House of Representatives - 1998 Election				
National List of Candidates				
				
				
Candidate	Party		Division	State
"GOODWIN, Kevin Patrick"	IND		McPherson	QLD
"GORYACHEV, Vladimir"	IND		Kingsford-Smith	NSW
"GOURLAY, Ralph"	CTA		Charlton	NSW
"GRACE, Elizabeth"	LP		Lilley	QLD
"GRAHAM, Alex"	IND		Ballarat	VIC
"GRAHAM, Ken"	DEM		Gwydir	NSW
"GRANT, Robert"	HAN		Corio	VIC
"GRAY, Ian"	NP		Grey	SA
"GREEN, Bruce"	NP		Groom	QLD
"GREEN, Jan"	GRN		Hume	NSW
"GREGORY, Ken"	CTA		Mitchell	NSW
"GREGSON, Andrew"	LP		Denison	TAS
"GRIEVES, Vicki"	ALP		Lyne	NSW
"GRIFFIN, Alan"	ALP		Bruce	VIC
"GRIFFITH, Steve"	NLP		Jagajaga	VIC
"GRIFFITH, Susan"	NLP		Indi	VIC
"GRIGG, Brian"	CTA		Banks	NSW
"GRIGG, Shirley"	ACH		Macquarie	NSW
"GRIM-REAPER, Steve"	IND		Lindsay	NSW
"GRIMSEY, Lynne"	DEM		McPherson	QLD
"GRINDLAY, Rebekah"	DEM		New England	NSW
"GUESS, Julian"	GRN		Chisholm	VIC
"GUNNYON, David"	HAN		Pearce	WA

"HAASE, Barry"	LP		Kalgoorlie	WA
"HABERMANN, Daniel"	GRN		Forde	QLD
"HAGE, Ann"	CTA		Rankin	QLD
"HAHNHEUSER, Ralph"	IND		Kingston	SA
"HAIDAR, Assyl"	UNI		La Trobe	VIC
"HAIG, Tom"	NP		Barker	SA
"HALE, Ian"	HAN		Parramatta	NSW
"HALE, Sylvia"	NAN		Grayndler	NSW
"HALL, Jill"	ALP		Shortland	NSW
"HALL, Lance"	DEM		Hinkler	QLD
"HALLIDAY, Robert John"	IND		Dickson	QLD
"HANNON, Karen"	ALP		Adelaide	SA
"HANSON, Ben"	DEM		Sydney	NSW
"HANSON, Pauline"	HAN		Blair	QLD
"HARALAMBOUS, Tatiana"	UNI		Kingsford-Smith	NSW
"HARDGRAVE, Gary"	LP		Moreton	QLD
"HARDY, Rod"	IND		Burke	VIC
"HARGREAVES, Peter"	ALP		Riverina	NSW
"HARPER, Mike"	IND		Fairfax	QLD
"HARRIOTT, Gordon Joseph"	CEC		Eden-Monaro	NSW
"HARRIS, Chris"	GRN		Prospect	NSW
"HARRIS, Judy"	CEC		Kennedy	QLD
"HARRIS, Michael Kingsley"	NLP		Calwell	VIC
"HARRISON, Ian"	IND		Ballarat	VIC
"HARRY, Paul"	CTA		Groom	QLD
"HARTWIG, Merv"	HAN		Wakefield	SA
"HARWOOD, Robert"	UNI		Corangamite	VIC
"HASSAPIS, Harold"	UNI		Blaxland	NSW
"HATTON, Michael John"	ALP		Blaxland	NSW
"HAWKER, David"	LP		Wannon	VIC
"HAWLEY, Arthur G L"	HAN		Melbourne Ports	VIC
"HAYES, Phillip"	CTA		Cowan	WA
"HAYNES, Tom"	NLP		Melbourne Ports	VIC
"HEALD, Martin"	RPA		Hughes	NSW
"HELLEMONS, Robert"	HAN		Murray	VIC
"HENDERSON, John"	ALP		Fairfax	QLD
"HENMAN, Jenny"	DEM		Fisher	QLD
