Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Maranoa (84022)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Surat		3	0.86		95	27.30		0	0.00		140	40.23		7	2.01		1	0.29		1	0.29		0	0.00		62	17.82		31	8.91		5	1.44		3	0.86		0	0.00		348	97.21		10	2.79		358	0.45
Talwood		1	0.78		26	20.31		0	0.00		55	42.97		0	0.00		0	0.00		1	0.78		1	0.78		22	17.19		20	15.63		1	0.78		1	0.78		0	0.00		128	96.24		5	3.76		133	0.17
Tambo		1	0.36		78	28.06		0	0.00		102	36.69		1	0.36		0	0.00		1	0.36		0	0.00		40	14.39		42	15.11		7	2.52		6	2.16		0	0.00		278	96.53		10	3.47		288	0.36
Tara		7	0.78		219	24.50		1	0.11		296	33.11		6	0.67		24	2.68		12	1.34		0	0.00		206	23.04		86	9.62		17	1.90		19	2.13		1	0.11		894	93.51		62	6.49		956	1.20
Taroom		3	0.53		83	14.59		0	0.00		283	49.74		1	0.18		3	0.53		2	0.35		2	0.35		89	15.64		80	14.06		8	1.41		15	2.64		0	0.00		569	95.79		25	4.21		594	0.75
Texas		4	0.71		173	30.67		1	0.18		214	37.94		5	0.89		8	1.42		1	0.18		0	0.00		89	15.78		44	7.80		14	2.48		11	1.95		0	0.00		564	97.07		17	2.93		581	0.73
Thallon		0	0.00		29	21.64		0	0.00		55	41.04		1	0.75		1	0.75		0	0.00		0	0.00		27	20.15		16	11.94		4	2.99		1	0.75		0	0.00		134	98.53		2	1.47		136	0.17
Thargomindah		1	0.85		34	29.06		1	0.85		35	29.91		0	0.00		1	0.85		2	1.71		0	0.00		21	17.95		20	17.09		0	0.00		2	1.71		0	0.00		117	98.32		2	1.68		119	0.15
The Gums		1	1.11		6	6.67		0	0.00		61	67.78		0	0.00		0	0.00		0	0.00		0	0.00		12	13.33		9	10.00		1	1.11		0	0.00		0	0.00		90	100.00		0	0.00		90	0.11
The Summit		2	0.69		72	24.74		1	0.34		95	32.65		2	0.69		9	3.09		4	1.37		0	0.00		56	19.24		36	12.37		3	1.03		11	3.78		0	0.00		291	93.57		20	6.43		311	0.39
Toobeah		1	0.81		16	13.01		0	0.00		58	47.15		2	1.63		0	0.00		0	0.00		0	0.00		20	16.26		23	18.70		2	1.63		1	0.81		0	0.00		123	100.00		0	0.00		123	0.15
Wallangarra		2	0.70		92	32.28		3	1.05		67	23.51		3	1.05		11	3.86		6	2.11		0	0.00		63	22.11		27	9.47		2	0.70		9	3.16		0	0.00		285	95.32		14	4.68		299	0.38
Wallumbilla		2	0.75		49	18.49		0	0.00		150	56.60		2	0.75		1	0.38		1	0.38		0	0.00		32	12.08		19	7.17		3	1.13		6	2.26		0	0.00		265	94.98		14	5.02		279	0.35
Wandoan		0	0.00		25	6.89		5	1.38		205	56.47		2	0.55		1	0.28		3	0.83		0	0.00		74	20.39		36	9.92		6	1.65		6	1.65		0	0.00		363	96.54		13	3.46		376	0.47
Warra		0	0.00		28	18.54		0	0.00		75	49.67		2	1.32		1	0.66		2	1.32		0	0.00		22	14.57		19	12.58		0	0.00		2	1.32		0	0.00		151	97.42		4	2.58		155	0.20
Warwick		8	0.40		552	27.26		3	0.15		606	29.93		27	1.33		54	2.67		24	1.19		3	0.15		225	11.11		354	17.48		48	2.37		119	5.88		2	0.10		2025	96.84		66	3.16		2091	2.63
Warwick East		5	0.25		501	24.85		6	0.30		599	29.71		14	0.69		68	3.37		24	1.19		3	0.15		346	17.16		319	15.82		31	1.54		98	4.86		2	0.10		2016	96.37		76	3.63		2092	2.63
