House of Representatives - 2001 Election: Tasmania												
Two Candidate Preferred Preference Flow Result												
By Polling Place												
												
Braddon (67749)												
		Candidate		                  	"SIDEBOTTOM, Sid"		            	"PATTISON, Alan"		             	Total	
				                           	ALP		                        	LP		                         		
				                           	Votes	%	                     	Votes	%	                     		
		"PICKFORD, Steve (HAN)"	10		4	40.00		6	60.00		10	
		Total	33		109	49.32		112	50.68		221	

	Ridgley											
			1st Prefs		327	53.87		280	46.13		607	
		"THOMPSON, Clare (GRN)"	32		22	68.75		10	31.25		32	
		"COOPER, Craig (DEM)"	13		7	53.85		6	46.15		13	
		"PICKFORD, Steve (HAN)"	28		16	57.14		12	42.86		28	
		Total	73		372	54.71		308	45.29		680	

	Rocky Cape											
			1st Prefs		174	54.04		148	45.96		322	
		"THOMPSON, Clare (GRN)"	19		14	73.68		5	26.32		19	
		"COOPER, Craig (DEM)"	13		7	53.85		6	46.15		13	
		"PICKFORD, Steve (HAN)"	25		11	44.00		14	56.00		25	
		Total	57		206	54.35		173	45.65		379	

	Sassafras											
			1st Prefs		74	32.74		152	67.26		226	
		"THOMPSON, Clare (GRN)"	4		2	50.00		2	50.00		4	
		"COOPER, Craig (DEM)"	4		3	75.00		1	25.00		4	
		"PICKFORD, Steve (HAN)"	13		6	46.15		7	53.85		13	
		Total	21		85	34.41		162	65.59		247	

	Savage River											
			1st Prefs		26	68.42		12	31.58		38	
		"THOMPSON, Clare (GRN)"	6		4	66.67		2	33.33		6	
		"COOPER, Craig (DEM)"	3		2	66.67		1	33.33		3	
		"PICKFORD, Steve (HAN)"	5		4	80.00		1	20.00		5	
		Total	14		36	69.23		16	30.77		52	

	Shorewell Park											
			1st Prefs		512	51.87		475	48.13		987	
		"THOMPSON, Clare (GRN)"	46		36	78.26		10	21.74		46	
		"COOPER, Craig (DEM)"	27		15	55.56		12	44.44		27	
		"PICKFORD, Steve (HAN)"	29		12	41.38		17	58.62		29	
		Total	102		575	52.80		514	47.20		1089	

	Sisters Beach											
			1st Prefs		110	61.80		68	38.20		178	
		"THOMPSON, Clare (GRN)"	18		11	61.11		7	38.89		18	
		"COOPER, Craig (DEM)"	3		0	0.00		3	100.00		3	
		"PICKFORD, Steve (HAN)"	2		2	100.00		0	0.00		2	
		Total	23		123	61.19		78	38.81		201	

	Sisters Creek											
			1st Prefs		69	48.25		74	51.75		143	
		"THOMPSON, Clare (GRN)"	17		13	76.47		4	23.53		17	
		"COOPER, Craig (DEM)"	10		6	60.00		4	40.00		10	
		"PICKFORD, Steve (HAN)"	6		3	50.00		3	50.00		6	
		Total	33		91	51.70		85	48.30		176	

	Smithton											
			1st Prefs		1149	51.25		1093	48.75		2242	
		"THOMPSON, Clare (GRN)"	63		35	55.56		28	44.44		63	
		"COOPER, Craig (DEM)"	55		39	70.91		16	29.09		55	
		"PICKFORD, Steve (HAN)"	73		33	45.21		40	54.79		73	
		Total	191		1256	51.62		1177	48.38		2433	

	Somerset											
			1st Prefs		1209	60.36		794	39.64		2003	
		"THOMPSON, Clare (GRN)"	96		72	75.00		24	25.00		96	
		"COOPER, Craig (DEM)"	59		29	49.15		30	50.85		59	
		"PICKFORD, Steve (HAN)"	117		49	41.88		68	58.12		117	
		Total	272		1359	59.74		916	40.26		2275	

	South Burnie											
			1st Prefs		181	58.39		129	41.61		310	
		"THOMPSON, Clare (GRN)"	18		12	66.67		6	33.33		18	
		"COOPER, Craig (DEM)"	9		5	55.56		4	44.44		9	
		"PICKFORD, Steve (HAN)"	13		6	46.15		7	53.85		13	
		Total	40		204	58.29		146	41.71		350	

	South Riana											
			1st Prefs		54	40.30		80	59.70		134	
		"THOMPSON, Clare (GRN)"	7		6	85.71		1	14.29		7	
		"COOPER, Craig (DEM)"	10		5	50.00		5	50.00		10	
		"PICKFORD, Steve (HAN)"	22		10	45.45		12	54.55		22	
		Total	39		75	43.35		98	56.65		173	

	Sprent											
			1st Prefs		85	51.83		79	48.17		164	
		"THOMPSON, Clare (GRN)"	17		14	82.35		3	17.65		17	
		"COOPER, Craig (DEM)"	1		1	100.00		0	0.00		1	
		"PICKFORD, Steve (HAN)"	13		2	15.38		11	84.62		13	
		Total	31		102	52.31		93	47.69		195	

	Spreyton											
			1st Prefs		581	52.39		528	47.61		1109	
		"THOMPSON, Clare (GRN)"	68		48	70.59		20	29.41		68	
		"COOPER, Craig (DEM)"	30		16	53.33		14	46.67		30	
		"PICKFORD, Steve (HAN)"	52		29	55.77		23	44.23		52	
		Total	150		674	53.53		585	46.47		1259	

	Stanley											
			1st Prefs		214	60.28		141	39.72		355	
		"THOMPSON, Clare (GRN)"	39		33	84.62		6	15.38		39	
		"COOPER, Craig (DEM)"	11		7	63.64		4	36.36		11	
		"PICKFORD, Steve (HAN)"	12		8	66.67		4	33.33		12	
		Total	62		262	62.83		155	37.17		417	

	Stowport											
			1st Prefs		93	48.69		98	51.31		191	
		"THOMPSON, Clare (GRN)"	11		8	72.73		3	27.27		11	
		"COOPER, Craig (DEM)"	6		4	66.67		2	33.33		6	
		"PICKFORD, Steve (HAN)"	12		2	16.67		10	83.33		12	
		Total	29		107	48.64		113	51.36		220	

	Sulphur Creek											
			1st Prefs		154	47.83		168	52.17		322	
		"THOMPSON, Clare (GRN)"	27		18	66.67		9	33.33		27	
		"COOPER, Craig (DEM)"	9		5	55.56		4	44.44		9	
		"PICKFORD, Steve (HAN)"	12		4	33.33		8	66.67		12	
		Total	48		181	48.92		189	51.08		370	

	Togari											
			1st Prefs		34	44.74		42	55.26		76	
		"THOMPSON, Clare (GRN)"	2		1	50.00		1	50.00		2	
		"COOPER, Craig (DEM)"	3		2	66.67		1	33.33		3	
		"PICKFORD, Steve (HAN)"	2		1	50.00		1	50.00		2	
