State;Division;Polling Place;Count;Ballot Position;Candidate Status;Vote Distributed;Vote;Vote Pc;Elected Swing;Exhausted Transfer;Exhausted
NSW;Barton;Athelstane;1;1;R;0;746;24.50;;;
NSW;Barton;Athelstane;1;2;R;0;2140;70.28;;;
NSW;Barton;Athelstane;1;3;R;0;21;0.69;;;
NSW;Barton;Athelstane;1;4;R;0;75;2.46;;;
NSW;Barton;Athelstane;1;5;R;0;28;0.92;;;
NSW;Barton;Athelstane;1;6;R;0;12;0.39;;;
NSW;Barton;Athelstane;1;7;R;0;12;0.39;;;
NSW;Barton;Athelstane;1;8;R;0;11;0.36;;;
NSW;Barton;Bald Face;1;1;R;0;1025;72.64;;;
NSW;Barton;Bald Face;1;2;R;0;296;20.98;;;
NSW;Barton;Bald Face;1;3;R;0;7;0.50;;;
NSW;Barton;Bald Face;1;4;R;0;36;2.55;;;
NSW;Barton;Bald Face;1;5;R;0;33;2.34;;;
NSW;Barton;Bald Face;1;6;R;0;6;0.43;;;
NSW;Barton;Bald Face;1;7;R;0;3;0.21;;;
NSW;Barton;Bald Face;1;8;R;0;5;0.35;;;
NSW;Barton;Banksia;1;1;R;0;486;25.13;;;
NSW;Barton;Banksia;1;2;R;0;1377;71.20;;;
NSW;Barton;Banksia;1;3;R;0;17;0.88;;;
NSW;Barton;Banksia;1;4;R;0;30;1.55;;;
NSW;Barton;Banksia;1;5;R;0;10;0.52;;;
NSW;Barton;Banksia;1;6;R;0;7;0.36;;;
NSW;Barton;Banksia;1;7;R;0;2;0.10;;;
NSW;Barton;Banksia;1;8;R;0;5;0.26;;;
NSW;Barton;Bell Park;1;1;R;0;411;39.94;;;
NSW;Barton;Bell Park;1;2;R;0;525;51.02;;;
NSW;Barton;Bell Park;1;3;R;0;9;0.87;;;
NSW;Barton;Bell Park;1;4;R;0;25;2.43;;;
NSW;Barton;Bell Park;1;5;R;0;35;3.40;;;
NSW;Barton;Bell Park;1;6;R;0;4;0.39;;;
NSW;Barton;Bell Park;1;7;R;0;17;1.65;;;
NSW;Barton;Bell Park;1;8;R;0;3;0.29;;;
NSW;Barton;Bexley;1;1;R;0;721;32.58;;;
NSW;Barton;Bexley;1;2;R;0;1349;60.96;;;
NSW;Barton;Bexley;1;3;R;0;15;0.68;;;
NSW;Barton;Bexley;1;4;R;0;86;3.89;;;
NSW;Barton;Bexley;1;5;R;0;20;0.90;;;
NSW;Barton;Bexley;1;6;R;0;12;0.54;;;
NSW;Barton;Bexley;1;7;R;0;4;0.18;;;
NSW;Barton;Bexley;1;8;R;0;6;0.27;;;
NSW;Barton;Bexley Central;1;1;R;0;274;31.28;;;
NSW;Barton;Bexley Central;1;2;R;0;542;61.87;;;
NSW;Barton;Bexley Central;1;3;R;0;11;1.26;;;
NSW;Barton;Bexley Central;1;4;R;0;26;2.97;;;
NSW;Barton;Bexley Central;1;5;R;0;15;1.71;;;
NSW;Barton;Bexley Central;1;6;R;0;2;0.23;;;
NSW;Barton;Bexley Central;1;7;R;0;3;0.34;;;
NSW;Barton;Bexley Central;1;8;R;0;3;0.34;;;
NSW;Barton;Blakehurst;1;1;R;0;489;50.05;;;
NSW;Barton;Blakehurst;1;2;R;0;420;42.99;;;
NSW;Barton;Blakehurst;1;3;R;0;3;0.31;;;
NSW;Barton;Blakehurst;1;4;R;0;45;4.61;;;
NSW;Barton;Blakehurst;1;5;R;0;8;0.82;;;
NSW;Barton;Blakehurst;1;6;R;0;4;0.41;;;
NSW;Barton;Blakehurst;1;7;R;0;2;0.20;;;
NSW;Barton;Blakehurst;1;8;R;0;6;0.61;;;
NSW;Barton;Bona Park;1;1;R;0;328;40.00;;;
NSW;Barton;Bona Park;1;2;R;0;443;54.02;;;
NSW;Barton;Bona Park;1;3;R;0;5;0.61;;;
NSW;Barton;Bona Park;1;4;R;0;22;2.68;;;
NSW;Barton;Bona Park;1;5;R;0;10;1.22;;;
NSW;Barton;Bona Park;1;6;R;0;6;0.73;;;
NSW;Barton;Bona Park;1;7;R;0;3;0.37;;;
NSW;Barton;Bona Park;1;8;R;0;3;0.37;;;
NSW;Barton;Brighton North;1;1;R;0;812;33.78;;;
NSW;Barton;Brighton North;1;2;R;0;1465;60.94;;;
NSW;Barton;Brighton North;1;3;R;0;11;0.46;;;
NSW;Barton;Brighton North;1;4;R;0;47;1.96;;;
NSW;Barton;Brighton North;1;5;R;0;36;1.50;;;
NSW;Barton;Brighton North;1;6;R;0;10;0.42;;;
NSW;Barton;Brighton North;1;7;R;0;12;0.50;;;
NSW;Barton;Brighton North;1;8;R;0;11;0.46;;;
NSW;Barton;Brighton-Le-Sands;1;1;R;0;787;35.89;;;
NSW;Barton;Brighton-Le-Sands;1;2;R;0;1305;59.51;;;
NSW;Barton;Brighton-Le-Sands;1;3;R;0;13;0.59;;;
NSW;Barton;Brighton-Le-Sands;1;4;R;0;43;1.96;;;
NSW;Barton;Brighton-Le-Sands;1;5;R;0;20;0.91;;;
NSW;Barton;Brighton-Le-Sands;1;6;R;0;11;0.50;;;
NSW;Barton;Brighton-Le-Sands;1;7;R;0;8;0.36;;;
NSW;Barton;Brighton-Le-Sands;1;8;R;0;6;0.27;;;
NSW;Barton;Broadford Street;1;1;R;0;221;25.55;;;
NSW;Barton;Broadford Street;1;2;R;0;594;68.67;;;
NSW;Barton;Broadford Street;1;3;R;0;6;0.69;;;
NSW;Barton;Broadford Street;1;4;R;0;20;2.31;;;
NSW;Barton;Broadford Street;1;5;R;0;12;1.39;;;
NSW;Barton;Broadford Street;1;6;R;0;3;0.35;;;
NSW;Barton;Broadford Street;1;7;R;0;4;0.46;;;
NSW;Barton;Broadford Street;1;8;R;0;5;0.58;;;
NSW;Barton;Carlton (Barton);1;1;R;0;577;27.44;;;
NSW;Barton;Carlton (Barton);1;2;R;0;1409;67.00;;;
NSW;Barton;Carlton (Barton);1;3;R;0;21;1.00;;;
NSW;Barton;Carlton (Barton);1;4;R;0;57;2.71;;;
NSW;Barton;Carlton (Barton);1;5;R;0;21;1.00;;;
NSW;Barton;Carlton (Barton);1;6;R;0;4;0.19;;;
NSW;Barton;Carlton (Barton);1;7;R;0;6;0.29;;;
NSW;Barton;Carlton (Barton);1;8;R;0;8;0.38;;;
NSW;Barton;Carlton North;1;1;R;0;363;29.90;;;
NSW;Barton;Carlton North;1;2;R;0;798;65.73;;;
NSW;Barton;Carlton North;1;3;R;0;7;0.58;;;
NSW;Barton;Carlton North;1;4;R;0;22;1.81;;;
NSW;Barton;Carlton North;1;5;R;0;12;0.99;;;
NSW;Barton;Carlton North;1;6;R;0;5;0.41;;;
NSW;Barton;Carlton North;1;7;R;0;3;0.25;;;
NSW;Barton;Carlton North;1;8;R;0;4;0.33;;;
NSW;Barton;Carss Park;1;1;R;0;550;58.14;;;
NSW;Barton;Carss Park;1;2;R;0;325;34.36;;;
