House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Hume (85640)											
		Candidate		"SCHULTZ, Alby"		              	"MERRIMAN, Jan"		              	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
		"PRELL, Charlie (HAN)"	160	59	36.88		101	63.13		160	
		Total	304	1012	64.01		569	35.99		1581	

	Thirlmere										
			1st Prefs	936	58.68		659	41.32		1595	
		"WATCHIRS, Kevin (GRN)"	111	32	28.83		79	71.17		111	
		"ROXBURGH, James (DEM)"	105	35	33.33		70	66.67		105	
		"PRELL, Charlie (HAN)"	193	64	33.16		129	66.84		193	
		Total	409	1067	53.24		937	46.76		2004	

	Tuena										
			1st Prefs	42	75.00		14	25.00		56	
		"WATCHIRS, Kevin (GRN)"	3	0	0.00		3	100.00		3	
		"ROXBURGH, James (DEM)"	6	2	33.33		4	66.67		6	
		"PRELL, Charlie (HAN)"	17	6	35.29		11	64.71		17	
		Total	26	50	60.98		32	39.02		82	

	Warragamba										
			1st Prefs	930	61.84		574	38.16		1504	
		"WATCHIRS, Kevin (GRN)"	76	27	35.53		49	64.47		76	
		"ROXBURGH, James (DEM)"	80	36	45.00		44	55.00		80	
		"PRELL, Charlie (HAN)"	179	75	41.90		104	58.10		179	
		Total	335	1068	58.08		771	41.92		1839	

	Wee Jasper										
			1st Prefs	43	69.35		19	30.65		62	
		"WATCHIRS, Kevin (GRN)"	4	2	50.00		2	50.00		4	
		"ROXBURGH, James (DEM)"	5	3	60.00		2	40.00		5	
		"PRELL, Charlie (HAN)"	3	1	33.33		2	66.67		3	
		Total	12	49	66.22		25	33.78		74	

	Welby										
			1st Prefs	293	57.91		213	42.09		506	
		"WATCHIRS, Kevin (GRN)"	51	18	35.29		33	64.71		51	
		"ROXBURGH, James (DEM)"	36	19	52.78		17	47.22		36	
		"PRELL, Charlie (HAN)"	51	20	39.22		31	60.78		51	
		Total	138	350	54.35		294	45.65		644	

	Wilton										
			1st Prefs	363	63.35		210	36.65		573	
		"WATCHIRS, Kevin (GRN)"	26	12	46.15		14	53.85		26	
		"ROXBURGH, James (DEM)"	34	14	41.18		20	58.82		34	
		"PRELL, Charlie (HAN)"	64	36	56.25		28	43.75		64	
		Total	124	425	60.98		272	39.02		697	

	Wombat										
			1st Prefs	134	70.90		55	29.10		189	
		"WATCHIRS, Kevin (GRN)"	3	1	33.33		2	66.67		3	
		"ROXBURGH, James (DEM)"	8	4	50.00		4	50.00		8	
		"PRELL, Charlie (HAN)"	18	4	22.22		14	77.78		18	
		Total	29	143	65.60		75	34.40		218	

	Yanderra										
			1st Prefs	131	50.58		128	49.42		259	
		"WATCHIRS, Kevin (GRN)"	16	3	18.75		13	81.25		16	
		"ROXBURGH, James (DEM)"	17	4	23.53		13	76.47		17	
		"PRELL, Charlie (HAN)"	17	13	76.47		4	23.53		17	
		Total	50	151	48.87		158	51.13		309	

	Yass										
			1st Prefs	1314	62.54		787	37.46		2101	
		"WATCHIRS, Kevin (GRN)"	82	19	23.17		63	76.83		82	
		"ROXBURGH, James (DEM)"	91	31	34.07		60	65.93		91	
		"PRELL, Charlie (HAN)"	160	66	41.25		94	58.75		160	
		Total	333	1430	58.75		1004	41.25		2434	

	Yass North										
			1st Prefs	503	58.49		357	41.51		860	
		"WATCHIRS, Kevin (GRN)"	32	13	40.63		19	59.38		32	
		"ROXBURGH, James (DEM)"	43	15	34.88		28	65.12		43	
		"PRELL, Charlie (HAN)"	90	44	48.89		46	51.11		90	
		Total	165	575	56.10		450	43.90		1025	

	Yerrinbool										
			1st Prefs	224	54.63		186	45.37		410	
		"WATCHIRS, Kevin (GRN)"	21	7	33.33		14	66.67		21	
		"ROXBURGH, James (DEM)"	33	7	21.21		26	78.79		33	
