House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Richmond (81312)											
		Candidate		"ANTHONY, Larry"		             	"MCALLISTER, Jenny"		          	Total	
				NP		                         	CLR		                        		
				Votes	%	                     	Votes	%	                     		
	Alstonville										
		"SIMPSON, Rob (IND)"	0	0	0.00		0	0.00		0	
		Total	57	141	58.51		100	41.49		241	

	Fingal Head										
			1st Prefs	91	43.75		117	56.25		208	
		"NATHAN, Julie (IND)"	8	7	87.50		1	12.50		8	
		"PENHALIGON, John (IND)"	3	3	100.00		0	0.00		3	
		"FAULKNER, Nicolas de Bray (IND)"	0	0	0.00		0	0.00		0	
		"BARHAM, Jan (GRN)"	38	6	15.79		32	84.21		38	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	16	3	18.75		13	81.25		16	
		"JEFFERYS, Dean (HMP)"	1	1	100.00		0	0.00		1	
		"ROLFE, Dell (HAN)"	18	10	55.56		8	44.44		18	
		"SIMPSON, Rob (IND)"	0	0	0.00		0	0.00		0	
		Total	84	121	41.44		171	58.56		292	

	Goonengerry										
			1st Prefs	21	28.38		53	71.62		74	
		"NATHAN, Julie (IND)"	3	1	33.33		2	66.67		3	
		"PENHALIGON, John (IND)"	0	0	0.00		0	0.00		0	
		"FAULKNER, Nicolas de Bray (IND)"	0	0	0.00		0	0.00		0	
		"BARHAM, Jan (GRN)"	55	1	1.82		54	98.18		55	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	6	1	16.67		5	83.33		6	
		"JEFFERYS, Dean (HMP)"	2	1	50.00		1	50.00		2	
		"ROLFE, Dell (HAN)"	3	1	33.33		2	66.67		3	
		"SIMPSON, Rob (IND)"	0	0	0.00		0	0.00		0	
		Total	69	26	18.18		117	81.82		143	

	Hastings Point										
			1st Prefs	115	44.23		145	55.77		260	
		"NATHAN, Julie (IND)"	3	1	33.33		2	66.67		3	
		"PENHALIGON, John (IND)"	1	0	0.00		1	100.00		1	
		"FAULKNER, Nicolas de Bray (IND)"	0	0	0.00		0	0.00		0	
		"BARHAM, Jan (GRN)"	24	2	8.33		22	91.67		24	
		"PENIAZEV, Alexander (NCP)"	2	1	50.00		1	50.00		2	
		"BALK, Casey (DEM)"	5	2	40.00		3	60.00		5	
		"JEFFERYS, Dean (HMP)"	1	0	0.00		1	100.00		1	
		"ROLFE, Dell (HAN)"	15	6	40.00		9	60.00		15	
		"SIMPSON, Rob (IND)"	2	1	50.00		1	50.00		2	
		Total	53	128	40.89		185	59.11		313	

	Kingscliff										
			1st Prefs	1115	52.97		990	47.03		2105	
		"NATHAN, Julie (IND)"	26	12	46.15		14	53.85		26	
		"PENHALIGON, John (IND)"	29	19	65.52		10	34.48		29	
		"FAULKNER, Nicolas de Bray (IND)"	3	0	0.00		3	100.00		3	
		"BARHAM, Jan (GRN)"	163	30	18.40		133	81.60		163	
		"PENIAZEV, Alexander (NCP)"	1	0	0.00		1	100.00		1	
		"BALK, Casey (DEM)"	72	11	15.28		61	84.72		72	
		"JEFFERYS, Dean (HMP)"	15	5	33.33		10	66.67		15	
		"ROLFE, Dell (HAN)"	103	75	72.82		28	27.18		103	
		"SIMPSON, Rob (IND)"	5	3	60.00		2	40.00		5	
		Total	417	1270	50.36		1252	49.64		2522	

	Kunghur										
			1st Prefs	75	54.74		62	45.26		137	
		"NATHAN, Julie (IND)"	4	3	75.00		1	25.00		4	
		"PENHALIGON, John (IND)"	10	10	100.00		0	0.00		10	
		"FAULKNER, Nicolas de Bray (IND)"	1	1	100.00		0	0.00		1	
		"BARHAM, Jan (GRN)"	47	8	17.02		39	82.98		47	
		"PENIAZEV, Alexander (NCP)"	1	0	0.00		1	100.00		1	
		"BALK, Casey (DEM)"	13	3	23.08		10	76.92		13	
		"JEFFERYS, Dean (HMP)"	11	1	9.09		10	90.91		11	
		"ROLFE, Dell (HAN)"	2	0	0.00		2	100.00		2	
		"SIMPSON, Rob (IND)"	2	0	0.00		2	100.00		2	
		Total	91	101	44.30		127	55.70		228	

	Lennox Head										
			1st Prefs	1308	57.67		960	42.33		2268	
		"NATHAN, Julie (IND)"	28	18	64.29		10	35.71		28	
		"PENHALIGON, John (IND)"	26	18	69.23		8	30.77		26	
		"FAULKNER, Nicolas de Bray (IND)"	6	2	33.33		4	66.67		6	
		"BARHAM, Jan (GRN)"	373	70	18.77		303	81.23		373	
		"PENIAZEV, Alexander (NCP)"	3	0	0.00		3	100.00		3	
		"BALK, Casey (DEM)"	127	31	24.41		96	75.59		127	
		"JEFFERYS, Dean (HMP)"	42	9	21.43		33	78.57		42	
		"ROLFE, Dell (HAN)"	54	28	51.85		26	48.15		54	
		"SIMPSON, Rob (IND)"	11	7	63.64		4	36.36		11	
		Total	670	1491	50.75		1447	49.25		2938	

	Mcleans Ridges										
			1st Prefs	52	80.00		13	20.00		65	
		"NATHAN, Julie (IND)"	1	0	0.00		1	100.00		1	
		"PENHALIGON, John (IND)"	1	1	100.00		0	0.00		1	
		"FAULKNER, Nicolas de Bray (IND)"	0	0	0.00		0	0.00		0	
		"BARHAM, Jan (GRN)"	3	0	0.00		3	100.00		3	
