Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Richmond (81312)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Sydney (Richmond)		0	0.00		0	0.00		0	0.00		0	0.00		1	6.25		0	0.00		3	18.75		0	0.00		0	0.00		3	18.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	6.25		5	31.25		0	0.00		0	0.00		3	18.75		0	0.00		0	0.00		0	0.00		0	0.00		16	100.00		0	0.00		16	0.02
Terranora		75	6.03		11	0.88		0	0.00		1	0.08		4	0.32		1	0.08		95	7.64		5	0.40		2	0.16		302	24.30		6	0.48		0	0.00		5	0.40		0	0.00		0	0.00		1	0.08		674	54.22		2	0.16		1	0.08		49	3.94		0	0.00		0	0.00		8	0.64		1	0.08		1243	98.65		17	1.35		1260	1.64
Tintenbar		35	6.88		6	1.18		0	0.00		0	0.00		0	0.00		4	0.79		50	9.82		10	1.96		0	0.00		111	21.81		3	0.59		0	0.00		9	1.77		0	0.00		1	0.20		0	0.00		218	42.83		4	0.79		1	0.20		55	10.81		0	0.00		0	0.00		2	0.39		0	0.00		509	97.88		11	2.12		520	0.68
Tumbulgum		32	8.06		4	1.01		0	0.00		0	0.00		5	1.26		2	0.50		25	6.30		7	1.76		0	0.00		145	36.52		3	0.76		0	0.00		3	0.76		0	0.00		1	0.25		1	0.25		129	32.49		1	0.25		0	0.00		37	9.32		0	0.00		0	0.00		2	0.50		0	0.00		397	96.83		13	3.17		410	0.53
Tweed Heads		299	9.02		29	0.87		1	0.03		2	0.06		37	1.12		2	0.06		138	4.16		46	1.39		4	0.12		1114	33.59		15	0.45		2	0.06		15	0.45		0	0.00		6	0.18		3	0.09		1404	42.34		32	0.97		2	0.06		150	4.52		0	0.00		2	0.06		12	0.36		1	0.03		3316	96.93		105	3.07		3421	4.45
Tweed Heads Central		245	9.70		15	0.59		2	0.08		0	0.00		31	1.23		2	0.08		104	4.12		21	0.83		2	0.08		809	32.01		6	0.24		0	0.00		9	0.36		2	0.08		3	0.12		0	0.00		1145	45.31		11	0.44		2	0.08		110	4.35		0	0.00		0	0.00		8	0.32		0	0.00		2527	97.01		78	2.99		2605	3.39
Tweed Heads South		306	10.10		19	0.63		3	0.10		1	0.03		79	2.61		6	0.20		120	3.96		29	0.96		9	0.30		1172	38.68		18	0.59		4	0.13		21	0.69		1	0.03		4	0.13		5	0.17		1081	35.68		23	0.76		3	0.10		103	3.40		0	0.00		1	0.03		22	0.73		0	0.00		3030	96.13		122	3.87		3152	4.10
Tyalgum		44	9.78		7	1.56		0	0.00		0	0.00		7	1.56		2	0.44		23	5.11		10	2.22		0	0.00		119	26.44		2	0.44		0	0.00		1	0.22		0	0.00		2	0.44		0	0.00		158	35.11		2	0.44		0	0.00		73	16.22		0	0.00		0	0.00		0	0.00		0	0.00		450	97.40		12	2.60		462	0.60
Uki		49	6.96		4	0.57		2	0.28		1	0.14		4	0.57		5	0.71		79	11.22		14	1.99		1	0.14		206	29.26		1	0.14		0	0.00		3	0.43		0	0.00		0	0.00		1	0.14		191	27.13		3	0.43		1	0.14		135	19.18		0	0.00		0	0.00		2	0.28		2	0.28		704	96.97		22	3.03		726	0.94
Wilsons Creek		3	1.81		0	0.00		0	0.00		0	0.00		0	0.00		5	3.01		17	10.24		4	2.41		0	0.00		42	25.30		0	0.00		0	0.00		1	0.60		0	0.00		1	0.60		1	0.60		17	10.24		0	0.00		0	0.00		75	45.18		0	0.00		0	0.00		0	0.00		0	0.00		166	98.81		2	1.19		168	0.22
Wollongbar		83	5.52		76	5.05		1	0.07		2	0.13		15	1.00		1	0.07		108	7.18		10	0.66		3	0.20		328	21.81		7	0.47		1	0.07		7	0.47		0	0.00		1	0.07		3	0.20		771	51.26		12	0.80		0	0.00		72	4.79		0	0.00		0	0.00		3	0.20		0	0.00		1504	98.04		30	1.96		1534	1.99
Special Hospitals		3	1.08		0	0.00		3	1.08		0	0.00		2	0.72		0	0.00		6	2.15		1	0.36		0	0.00		110	39.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		151	54.12		0	0.00		1	0.36		2	0.72		0	0.00		0	0.00		0	0.00		0	0.00		279	98.59		4	1.41		283	0.37
Total Ordinary		4267	6.92		888	1.44		44	0.07		35	0.06		768	1.24		369	0.60		4009	6.50		862	1.40		202	0.33		19042	30.86		282	0.46		26	0.04		371	0.60		16	0.03		84	0.14		75	0.12		23994	38.89		313	0.51		47	0.08		5757	9.33		8	0.01		16	0.03		194	0.31		34	0.06		61703	97.57		1539	2.43		63242	82.23
ABSENT		152	5.37		51	1.80		2	0.07		3	0.11		53	1.87		13	0.46		256	9.04		62	2.19		7	0.25		827	29.19		21	0.74		1	0.04		18	0.64		1	0.04		2	0.07		8	0.28		969	34.20		16	0.56		4	0.14		352	12.42		1	0.04		0	0.00		13	0.46		1	0.04		2833	98.61		40	1.39		2873	3.74
POSTAL		194	6.11		51	1.61		4	0.13		3	0.09		16	0.50		20	0.63		175	5.51		25	0.79		9	0.28		933	29.38		7	0.22		6	0.19		3	0.09		1	0.03		3	0.09		0	0.00		1556	48.99		15	0.47		3	0.09		136	4.28		1	0.03		1	0.03		13	0.41		1	0.03		3176	98.85		37	1.15		3213	4.18
PRE_POLL		547	7.97		73	1.06		2	0.03		3	0.04		89	1.30		41	0.60		417	6.07		74	1.08		15	0.22		2044	29.77		28	0.41		4	0.06		36	0.52		3	0.04		5	0.07		11	0.16		2991	43.56		33	0.48		8	0.12		416	6.06		0	0.00		4	0.06		22	0.32		1	0.01		6867	98.75		87	1.25		6954	9.04
PROVISIONAL		28	4.51		8	1.29		1	0.16		0	0.00		10	1.61		6	0.97		34	5.48		15	2.42		4	0.64		218	35.10		5	0.81		1	0.16		9	1.45		1	0.16		2	0.32		2	0.32		180	28.99		3	0.48		0	0.00		88	14.17		1	0.16		0	0.00		5	0.81		0	0.00		621	99.04		6	0.96		627	0.82
Division Summary		5188	6.9		1071	1.42		53	0.07		44	0.06		936	1.24		449	0.6		4891	6.5		1038	1.38		237	0.32		23064	30.67		343	0.46		38	0.05		437	0.58		22	0.03		96	0.13		96	0.13		29690	39.48		380	0.51		62	0.08		6749	8.97		11	0.01		21	0.03		247	0.33		37	0.05		75200	97.78		1709	2.22		76909	94.59
