Senate - 1996 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (81751)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group F			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
PRE_POLL		                                   	22	1.02	 	12	0.56	 	63	2.92	 	759	35.12	 	23	1.06	 	2	0.09	 	27	1.25	 	6	0.28	 	10	0.46	 	8	0.37	 	929	42.99	 	300	13.88	 	0	0	 	2161	98.86	 	25	1.14	 	2186	2.57
PROVISIONAL		                                	8	0.8	 	4	0.4	 	38	3.81	 	419	42.03	 	7	0.7	 	3	0.3	 	23	2.31	 	0	0	 	8	0.8	 	7	0.7	 	348	34.9	 	130	13.04	 	2	0.2	 	997	98.13	 	19	1.87	 	1016	1.2
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	567	0.69	 	694	0.84	 	1608	1.94	 	29181	35.29	 	861	1.04	 	120	0.15	 	855	1.03	 	158	0.19	 	374	0.45	 	590	0.71	 	34447	41.65	 	13209	15.97	 	36	0.04	 	82700	97.35	 	2248	2.65	 	84948	97.01
 																																																	


Mayo (88305)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group F			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Aberfoyle Park		                             	19	0.52	 	11	0.3	 	53	1.45	 	1061	29.07	 	23	0.63	 	1	0.03	 	30	0.82	 	12	0.33	 	12	0.33	 	42	1.15	 	1686	46.19	 	699	19.15	 	1	0.03	 	3650	97.65	 	88	2.35	 	3738	4.37
Aberfoyle Park North		                       	11	0.62	 	6	0.34	 	22	1.24	 	417	23.53	 	16	0.9	 	0	0	 	13	0.73	 	4	0.23	 	6	0.34	 	8	0.45	 	873	49.27	 	396	22.35	 	0	0	 	1772	97.58	 	44	2.42	 	1816	2.13
Aberfoyle Park South		                       	3	0.55	 	0	0	 	11	2.03	 	125	23.06	 	12	2.21	 	0	0	 	2	0.37	 	5	0.92	 	1	0.18	 	5	0.92	 	243	44.83	 	135	24.91	 	0	0	 	542	97.66	 	13	2.34	 	555	0.65
Adelaide (Mayo)		                            	0	0	 	0	0	 	14	12.17	 	27	23.48	 	3	2.61	 	1	0.87	 	2	1.74	 	0	0	 	1	0.87	 	0	0	 	44	38.26	 	23	20	 	0	0	 	115	98.29	 	2	1.71	 	117	0.14
Aldgate		                                    	10	0.52	 	3	0.15	 	95	4.9	 	411	21.2	 	9	0.46	 	1	0.05	 	14	0.72	 	6	0.31	 	6	0.31	 	8	0.41	 	869	44.82	 	505	26.04	 	2	0.1	 	1939	97.34	 	53	2.66	 	1992	2.33
Athelstone		                                 	33	0.89	 	21	0.57	 	83	2.25	 	1007	27.25	 	30	0.81	 	27	0.73	 	28	0.76	 	3	0.08	 	15	0.41	 	26	0.7	 	1786	48.34	 	633	17.13	 	3	0.08	 	3695	96.65	 	128	3.35	 	3823	4.47
Athelstone West		                            	23	0.76	 	10	0.33	 	41	1.35	 	990	32.61	 	11	0.36	 	6	0.2	 	17	0.56	 	4	0.13	 	10	0.33	 	26	0.86	 	1484	48.88	 	413	13.6	 	1	0.03	 	3036	94.55	 	175	5.45	 	3211	3.76
Balhannah		                                  	7	0.51	 	8	0.58	 	28	2.05	 	207	15.12	 	6	0.44	 	2	0.15	 	5	0.37	 	2	0.15	 	6	0.44	 	4	0.29	 	852	62.24	 	241	17.6	 	1	0.07	 	1369	96.82	 	45	3.18	 	1414	1.65
Basket Range		                               	2	1.37	 	2	1.37	 	10	6.85	 	24	16.44	 	2	1.37	 	1	0.68	 	2	1.37	 	1	0.68	 	1	0.68	 	1	0.68	 	68	46.58	 	32	21.92	 	0	0	 	146	94.81	 	8	5.19	 	154	0.18
Bridgewater		                                	5	0.32	 	8	0.51	 	54	3.44	 	334	21.26	 	16	1.02	 	1	0.06	 	10	0.64	 	3	0.19	 	11	0.7	 	7	0.45	 	743	47.29	 	374	23.81	 	5	0.32	 	1571	96.44	 	58	3.56	 	1629	1.91
Brukunga		                                   	2	1.5	 	1	0.75	 	5	3.76	 	37	27.82	 	1	0.75	 	0	0	 	0	0	 	0	0	 	2	1.5	 	0	0	 	58	43.61	 	27	20.3	 	0	0	 	133	91.1	 	13	8.9	 	146	0.17
Callington		                                 	6	2.86	 	1	0.48	 	5	2.38	 	45	21.43	 	3	1.43	 	0	0	 	6	2.86	 	1	0.48	 	0	0	 	0	0	 	91	43.33	 	52	24.76	 	0	0	 	210	95.89	 	9	4.11	 	219	0.26
Charleston		                                 	1	0.41	 	0	0	 	3	1.22	 	42	17.14	 	0	0	 	0	0	 	4	1.63	 	0	0	 	2	0.82	 	4	1.63	 	164	66.94	 	25	10.2	 	0	0	 	245	98.39	 	4	1.61	 	249	0.29
Cherry Gardens		                             	7	1.32	 	3	0.57	 	8	1.51	 	77	14.53	 	6	1.13	 	0	0	 	6	1.13	 	0	0	 	0	0	 	3	0.57	 	326	61.51	 	93	17.55	 	1	0.19	 	530	97.79	 	12	2.21	 	542	0.63
Clarendon		                                  	0	0	 	2	0.5	 	12	3	 	79	19.75	 	2	0.5	 	0	0	 	3	0.75	 	2	0.5	 	3	0.75	 	3	0.75	 	209	52.25	 	84	21	 	1	0.25	 	400	96.62	 	14	3.38	 	414	0.48
Coromandel Valley (Mayo)		                   	9	0.58	 	5	0.32	 	21	1.35	 	282	18.15	 	21	1.35	 	1	0.06	 	17	1.09	 	1	0.06	 	5	0.32	 	9	0.58	 	820	52.77	 	361	23.23	 	2	0.13	 	1554	97.92	 	33	2.08	 	1587	1.86
Crafers		                                    	5	0.41	 	5	0.41	 	46	3.77	 	216	17.72	 	5	0.41	 	1	0.08	 	9	0.74	 	6	0.49	 	11	0.9	 	6	0.49	 	639	52.42	 	267	21.9	 	3	0.25	 	1219	97.13	 	36	2.87	 	1255	1.47
Cudlee Creek		                               	8	4.02	 	3	1.51	 	8	4.02	 	26	13.07	 	4	2.01	 	1	0.5	 	2	1.01	 	0	0	 	1	0.5	 	6	3.02	 	118	59.3	 	22	11.06	 	0	0	 	199	97.07	 	6	2.93	 	205	0.24
Dernancourt		                                	16	0.85	 	7	0.37	 	28	1.49	 	477	25.47	 	23	1.23	 	1	0.05	 	13	0.69	 	2	0.11	 	11	0.59	 	6	0.32	 	974	52	 	314	16.76	 	1	0.05	 	1873	97.86	 	41	2.14	 	1914	2.24
Echunga		                                    	7	0.98	 	1	0.14	 	10	1.4	 	97	13.59	 	5	0.7	 	1	0.14	 	7	0.98	 	4	0.56	 	1	0.14	 	2	0.28	 	451	63.17	 	128	17.93	 	0	0	 	714	96.1	 	29	3.9	 	743	0.87
Flagstaff Hill		                             	29	0.64	 	12	0.26	 	71	1.57	 	997	22	 	23	0.51	 	5	0.11	 	26	0.57	 	5	0.11	 	14	0.31	 	24	0.53	 	2565	56.6	 	759	16.75	 	2	0.04	 	4532	97.78	 	103	2.22	 	4635	5.42
Flagstaff Hill East		                        	0	0	 	3	0.37	 	5	0.62	 	155	19.23	 	5	0.62	 	0	0	 	7	0.87	 	1	0.12	 	7	0.87	 	2	0.25	 	436	54.09	 	185	22.95	 	0	0	 	806	98.17	 	15	1.83	 	821	0.96
Hahndorf		                                   	14	0.94	 	6	0.4	 	22	1.47	 	220	14.71	 	9	0.6	 	2	0.13	 	22	1.47	 	5	0.33	 	6	0.4	 	9	0.6	 	915	61.16	 	263	17.58	 	3	0.2	 	1496	96.08	 	61	3.92	 	1557	1.82
Harrogate		                                  	0	0	 	0	0	 	5	4.59	 	29	26.61	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.92	 	1	0.92	 	56	51.38	 	17	15.6	 	0	0	 	109	97.32	 	3	2.68	 	112	0.13
Highbury East		                              	17	1.11	 	6	0.39	 	18	1.18	 	422	27.56	 	19	1.24	 	3	0.2	 	19	1.24	 	2	0.13	 	3	0.2	 	10	0.65	 	726	47.42	 	286	18.68	 	0	0	 	1531	97.39	 	41	2.61	 	1572	1.84
Highbury South		                             	33	0.84	 	17	0.43	 	76	1.94	 	975	24.88	 	31	0.79	 	5	0.13	 	30	0.77	 	7	0.18	 	9	0.23	 	25	0.64	 	2002	51.08	 	708	18.07	 	1	0.03	 	3919	96.27	 	152	3.73	 	4071	4.76
Holden Hill (Mayo)		                         	10	0.78	 	10	0.78	 	20	1.57	 	427	33.52	 	9	0.71	 	3	0.24	 	13	1.02	 	5	0.39	 	3	0.24	 	7	0.55	 	567	44.51	 	200	15.7	 	0	0	 	1274	95.43	 	61	4.57	 	1335	1.56
Houghton		                                   	3	0.46	 	5	0.77	 	16	2.47	 	102	15.77	 	10	1.55	 	3	0.46	 	10	1.55	 	3	0.46	 	4	0.62	 	7	1.08	 	383	59.2	 	101	15.61	 	0	0	 	647	98.78	 	8	1.22	 	655	0.77
Kangarilla		                                 	4	0.77	 	2	0.38	 	8	1.53	 	81	15.52	 	0	0	 	0	0	 	5	0.96	 	3	0.57	 	1	0.19	 	5	0.96	 	316	60.54	 	96	18.39	 	1	0.19	 	522	96.31	 	20	3.69	 	542	0.63
Langhorne Creek		                            	4	1.5	 	1	0.38	 	1	0.38	 	28	10.53	 	0	0	 	0	0	 	3	1.13	 	1	0.38	 	1	0.38	 	4	1.5	 	197	74.06	 	26	9.77	 	0	0	 	266	97.79	 	6	2.21	 	272	0.32
Lenswood		                                   	5	1.11	 	0	0	 	4	0.89	 	57	12.69	 	1	0.22	 	0	0	 	4	0.89	 	2	0.45	 	1	0.22	 	9	2	 	294	65.48	 	72	16.04	 	0	0	 	449	96.98	 	14	3.02	 	463	0.54
Littlehampton		                              	7	0.6	 	2	0.17	 	31	2.64	 	210	17.9	 	12	1.02	 	0	0	 	11	0.94	 	4	0.34	 	15	1.28	 	11	0.94	 	656	55.92	 	211	17.99	 	3	0.26	 	1173	96.54	 	42	3.46	 	1215	1.42
Lobethal		                                   	11	0.92	 	8	0.67	 	30	2.51	 	200	16.75	 	27	2.26	 	3	0.25	 	6	0.5	 	6	0.5	 	8	0.67	 	7	0.59	 	698	58.46	 	190	15.91	 	0	0	 	1194	95.44	 	57	4.56	 	1251	1.46
Longwood		                                   	2	0.6	 	0	0	 	14	4.2	 	55	16.52	 	0	0	 	0	0	 	5	1.5	 	3	0.9	 	0	0	 	3	0.9	 	158	47.45	 	93	27.93	 	0	0	 	333	98.52	 	5	1.48	 	338	0.4
Macclesfield		                               	8	1.19	 	4	0.59	 	27	4	 	130	19.26	 	2	0.3	 	1	0.15	 	3	0.44	 	1	0.15	 	3	0.44	 	5	0.74	 	346	51.26	 	143	21.19	 	2	0.3	 	675	96.15	 	27	3.85	 	702	0.82
Magill (Mayo)		                              	14	1.05	 	4	0.3	 	25	1.87	 	317	23.67	 	4	0.3	 	4	0.3	 	8	0.6	 	3	0.22	 	10	0.75	 	3	0.22	 	712	53.17	 	234	17.48	 	1	0.07	 	1339	96.4	 	50	3.6	 	1389	1.63
Meadows		                                    	8	0.89	 	6	0.67	 	26	2.91	 	155	17.34	 	8	0.89	 	0	0	 	12	1.34	 	1	0.11	 	4	0.45	 	5	0.56	 	508	56.82	 	161	18.01	 	0	0	 	894	97.81	 	20	2.19	 	914	1.07
Montacute		                                  	1	0.62	 	1	0.62	 	6	3.73	 	26	16.15	 	1	0.62	 	0	0	 	0	0	 	0	0	 	1	0.62	 	1	0.62	 	91	56.52	 	33	20.5	 	0	0	 	161	96.99	 	5	3.01	 	166	0.19
Mount Barker		                               	34	0.81	 	23	0.55	 	154	3.69	 	925	22.13	 	49	1.17	 	3	0.07	 	43	1.03	 	10	0.24	 	31	0.74	 	11	0.26	 	2128	50.92	 	764	18.28	 	4	0.1	 	4179	96.78	 	139	3.22	 	4318	5.05
Mylor		                                      	4	0.61	 	3	0.46	 	20	3.05	 	137	20.92	 	15	2.29	 	0	0	 	7	1.07	 	1	0.15	 	5	0.76	 	4	0.61	 	300	45.8	 	157	23.97	 	2	0.31	 	655	95.07	 	34	4.93	 	689	0.81
Nairne		                                     	23	1.38	 	17	1.02	 	55	3.29	 	374	22.4	 	19	1.14	 	0	0	 	22	1.32	 	5	0.3	 	11	0.66	 	4	0.24	 	822	49.22	 	318	19.04	 	0	0	 	1670	97.32	 	46	2.68	 	1716	2.01
Newton		                                     	18	1.2	 	1	0.07	 	27	1.81	 	616	41.23	 	5	0.33	 	2	0.13	 	6	0.4	 	9	0.6	 	7	0.47	 	7	0.47	 	589	39.42	 	206	13.79	 	1	0.07	 	1494	95.59	 	69	4.41	 	1563	1.83
Norton Summit		                              	6	1.09	 	7	1.27	 	24	4.36	 	100	18.18	 	4	0.73	 	4	0.73	 	3	0.55	 	0	0	 	4	0.73	 	5	0.91	 	269	48.91	 	124	22.55	 	0	0	 	550	95.99	 	23	4.01	 	573	0.67
Paracombe		                                  	1	0.34	 	0	0	 	6	2.05	 	40	13.7	 	2	0.68	 	4	1.37	 	1	0.34	 	0	0	 	0	0	 	0	0	 	196	67.12	 	41	14.04	 	1	0.34	 	292	98.65	 	4	1.35	 	296	0.35
Paradise		                                   	25	1.13	 	14	0.63	 	43	1.95	 	817	37.04	 	16	0.73	 	5	0.23	 	14	0.63	 	6	0.27	 	11	0.5	 	13	0.59	 	918	41.61	 	323	14.64	 	1	0.05	 	2206	94.88	 	119	5.12	 	2325	2.72
Paradise West		                              	17	1.63	 	4	0.38	 	18	1.73	 	336	32.21	 	14	1.34	 	3	0.29	 	6	0.58	 	7	0.67	 	5	0.48	 	11	1.05	 	460	44.1	 	162	15.53	 	0	0	 	1043	94.56	 	60	5.44	 	1103	1.29
Piccadilly		                                 	5	1.09	 	1	0.22	 	14	3.06	 	65	14.22	 	7	1.53	 	3	0.66	 	4	0.88	 	1	0.22	 	2	0.44	 	2	0.44	 	219	47.92	 	133	29.1	 	1	0.22	 	457	97.23	 	13	2.77	 	470	0.55
Prospect Hill		                              	1	0.95	 	0	0	 	4	3.81	 	7	6.67	 	3	2.86	 	0	0	 	0	0	 	0	0	 	3	2.86	 	2	1.9	 	68	64.76	 	17	16.19	 	0	0	 	105	97.22	 	3	2.78	 	108	0.13
Rostrevor		                                  	25	0.88	 	17	0.6	 	47	1.66	 	762	26.84	 	23	0.81	 	13	0.46	 	18	0.63	 	5	0.18	 	11	0.39	 	23	0.81	 	1419	49.98	 	472	16.63	 	4	0.14	 	2839	95.69	 	128	4.31	 	2967	3.47
Rostrevor South		                            	5	0.47	 	5	0.47	 	7	0.65	 	319	29.84	 	5	0.47	 	6	0.56	 	9	0.84	 	3	0.28	 	8	0.75	 	5	0.47	 	529	49.49	 	167	15.62	 	1	0.09	 	1069	95.96	 	45	4.04	 	1114	1.3
Stirling East		                              	2	0.17	 	3	0.25	 	37	3.07	 	208	17.25	 	5	0.41	 	1	0.08	 	11	0.91	 	1	0.08	 	2	0.17	 	4	0.33	 	659	54.64	 	271	22.47	 	2	0.17	 	1206	97.18	 	35	2.82	 	1241	1.45
Stirling West		                              	12	0.61	 	6	0.31	 	71	3.62	 	319	16.24	 	8	0.41	 	2	0.1	 	21	1.07	 	2	0.1	 	15	0.76	 	10	0.51	 	1016	51.73	 	477	24.29	 	5	0.25	 	1964	97.47	 	51	2.53	 	2015	2.36
Strathalbyn		                                	28	1.18	 	20	0.84	 	50	2.1	 	374	15.73	 	25	1.05	 	1	0.04	 	28	1.18	 	3	0.13	 	14	0.59	 	12	0.5	 	1387	58.35	 	435	18.3	 	0	0	 	2377	96.31	 	91	3.69	 	2468	2.89
Summertown		                                 	7	0.81	 	1	0.12	 	31	3.6	 	152	17.67	 	11	1.28	 	0	0	 	16	1.86	 	0	0	 	6	0.7	 	3	0.35	 	452	52.56	 	181	21.05	 	0	0	 	860	96.74	 	29	3.26	 	889	1.04
Upper Sturt		                                	5	0.89	 	4	0.71	 	25	4.43	 	100	17.73	 	5	0.89	 	0	0	 	8	1.42	 	1	0.18	 	4	0.71	 	1	0.18	 	277	49.11	 	134	23.76	 	0	0	 	564	97.41	 	15	2.59	 	579	0.68
Uraidla		                                    	1	0.21	 	1	0.21	 	9	1.86	 	73	15.05	 	3	0.62	 	0	0	 	0	0	 	0	0	 	1	0.21	 	9	1.86	 	290	59.79	 	96	19.79	 	2	0.41	 	485	96.23	 	19	3.77	 	504	0.59
Woodchester		                                	3	1.32	 	2	0.88	 	6	2.64	 	37	16.3	 	2	0.88	 	1	0.44	 	0	0	 	0	0	 	1	0.44	 	4	1.76	 	136	59.91	 	35	15.42	 	0	0	 	227	98.7	 	3	1.3	 	230	0.27
Woodside		                                   	16	1.34	 	6	0.5	 	26	2.18	 	206	17.25	 	12	1.01	 	1	0.08	 	23	1.93	 	1	0.08	 	11	0.92	 	7	0.59	 	663	55.53	 	222	18.59	 	0	0	 	1194	96.6	 	42	3.4	 	1236	1.45
Special Hospitals		                          	1	0.37	 	5	1.85	 	5	1.85	 	67	24.72	 	1	0.37	 	1	0.37	 	3	1.11	 	3	1.11	 	5	1.85	 	0	0	 	161	59.41	 	19	7.01	 	0	0	 	271	98.55	 	4	1.45	 	275	0.32
Total Ordinary		                             	583	0.81	 	324	0.45	 	1641	2.28	 	16601	23.08	 	593	0.82	 	124	0.17	 	617	0.86	 	166	0.23	 	353	0.49	 	441	0.61	 	37082	51.55	 	13356	18.57	 	58	0.08	 	71939	96.68	 	2473	3.32	 	74412	87.09
ABSENT		                                     	49	0.85	 	23	0.4	 	211	3.67	 	1527	26.58	 	55	0.96	 	8	0.14	 	75	1.31	 	28	0.49	 	49	0.85	 	21	0.37	 	2663	46.35	 	1030	17.93	 	6	0.1	 	5745	98.1	 	111	1.9	 	5856	6.85
POSTAL		                                     	16	1.01	 	18	1.14	 	48	3.03	 	338	21.32	 	20	1.26	 	0	0	 	21	1.32	 	9	0.57	 	14	0.88	 	9	0.57	 	858	54.13	 	232	14.64	 	2	0.13	 	1585	99.12	 	14	0.88	 	1599	1.87
PRE_POLL		                                   	25	0.95	 	5	0.19	 	117	4.44	 	609	23.11	 	10	0.38	 	1	0.04	 	26	0.99	 	7	0.27	 	27	1.02	 	9	0.34	 	1366	51.84	 	432	16.39	 	1	0.04	 	2635	98.76	 	33	1.24	 	2668	3.12
PROVISIONAL		                                	11	1.25	 	0	0	 	49	5.57	 	234	26.62	 	5	0.57	 	2	0.23	 	9	1.02	 	5	0.57	 	9	1.02	 	0	0	 	386	43.91	 	168	19.11	 	1	0.11	 	879	96.81	 	29	3.19	 	908	1.06
ADJUSTMENT		                                 	1		       	0		       	0		       	-1		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	-1		       	0		       	-1		       	1		       	0	
Division Summary		                           	685	0.83	 	370	0.45	 	2066	2.5	 	19308	23.32	 	683	0.83	 	135	0.16	 	748	0.9	 	215	0.26	 	452	0.55	 	480	0.58	 	42355	51.16	 	15217	18.38	 	68	0.08	 	82782	96.89	 	2661	3.11	 	85443	96.76
 																																																	


Port Adelaide (82175)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group F			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Port Adelaide)		                   	0	0	 	0	0	 	7	6.54	 	46	42.99	 	0	0	 	0	0	 	3	2.8	 	0	0	 	2	1.87	 	0	0	 	27	25.23	 	22	20.56	 	0	0	 	107	97.27	 	3	2.73	 	110	0.14
Albert Park		                                	5	0.5	 	6	0.6	 	15	1.5	 	449	44.86	 	8	0.8	 	17	1.7	 	9	0.9	 	3	0.3	 	6	0.6	 	14	1.4	 	371	37.06	 	98	9.79	 	0	0	 	1001	94.7	 	56	5.3	 	1057	1.34
Allenby Gardens		                            	10	1	 	4	0.4	 	24	2.4	 	474	47.45	 	9	0.9	 	1	0.1	 	10	1	 	0	0	 	10	1	 	2	0.2	 	309	30.93	 	145	14.51	 	1	0.1	 	999	95.97	 	42	4.03	 	1041	1.32
Angle Park		                                 	22	1.06	 	22	1.06	 	37	1.78	 	1308	62.82	 	14	0.67	 	2	0.1	 	18	0.86	 	6	0.29	 	11	0.53	 	16	0.77	 	455	21.85	 	171	8.21	 	0	0	 	2082	94.68	 	117	5.32	 	2199	2.78
Beverley		                                   	10	1.47	 	12	1.77	 	13	1.91	 	362	53.31	 	0	0	 	0	0	 	5	0.74	 	8	1.18	 	2	0.29	 	5	0.74	 	182	26.8	 	80	11.78	 	0	0	 	679	95.9	 	29	4.1	 	708	0.9
Birkenhead		                                 	21	1.09	 	25	1.3	 	73	3.79	 	1016	52.7	 	8	0.41	 	1	0.05	 	22	1.14	 	5	0.26	 	11	0.57	 	22	1.14	 	434	22.51	 	290	15.04	 	0	0	 	1928	96.84	 	63	3.16	 	1991	2.52
Cheltenham		                                 	16	1.16	 	41	2.96	 	35	2.53	 	587	42.38	 	11	0.79	 	2	0.14	 	13	0.94	 	5	0.36	 	13	0.94	 	9	0.65	 	462	33.36	 	191	13.79	 	0	0	 	1385	95.72	 	62	4.28	 	1447	1.83
Croydon Park West (Port Adelaide)		          	4	1.03	 	5	1.29	 	11	2.83	 	189	48.59	 	2	0.51	 	0	0	 	5	1.29	 	1	0.26	 	3	0.77	 	1	0.26	 	107	27.51	 	61	15.68	 	0	0	 	389	94.65	 	22	5.35	 	411	0.52
Ethelton		                                   	10	0.87	 	15	1.3	 	48	4.16	 	532	46.1	 	3	0.26	 	2	0.17	 	13	1.13	 	4	0.35	 	7	0.61	 	8	0.69	 	327	28.34	 	184	15.94	 	1	0.09	 	1154	95.06	 	60	4.94	 	1214	1.54
Ferryden Park		                              	11	0.94	 	19	1.62	 	35	2.98	 	758	64.46	 	4	0.34	 	1	0.09	 	13	1.11	 	6	0.51	 	6	0.51	 	11	0.94	 	231	19.64	 	81	6.89	 	0	0	 	1176	94.31	 	71	5.69	 	1247	1.58
Findon		                                     	18	1.11	 	20	1.23	 	26	1.6	 	742	45.8	 	14	0.86	 	4	0.25	 	25	1.54	 	3	0.19	 	8	0.49	 	17	1.05	 	551	34.01	 	192	11.85	 	0	0	 	1620	93.97	 	104	6.03	 	1724	2.18
Findon North		                               	12	1.05	 	14	1.22	 	12	1.05	 	496	43.24	 	11	0.96	 	0	0	 	17	1.48	 	2	0.17	 	7	0.61	 	10	0.87	 	409	35.66	 	156	13.6	 	1	0.09	 	1147	94.48	 	67	5.52	 	1214	1.54
Grange		                                     	16	0.49	 	52	1.6	 	64	1.97	 	1019	31.36	 	12	0.37	 	3	0.09	 	23	0.71	 	6	0.18	 	14	0.43	 	28	0.86	 	1445	44.48	 	562	17.3	 	5	0.15	 	3249	96.9	 	104	3.1	 	3353	4.25
Kilkenny		                                   	15	1.41	 	9	0.84	 	20	1.88	 	511	47.94	 	6	0.56	 	1	0.09	 	6	0.56	 	3	0.28	 	11	1.03	 	9	0.84	 	351	32.93	 	124	11.63	 	0	0	 	1066	94.76	 	59	5.24	 	1125	1.42
Largs Bay		                                  	17	0.51	 	38	1.15	 	62	1.88	 	1426	43.16	 	4	0.12	 	4	0.12	 	43	1.3	 	9	0.27	 	15	0.45	 	33	1	 	1082	32.75	 	568	17.19	 	3	0.09	 	3304	96.47	 	121	3.53	 	3425	4.34
Largs Bay Central		                          	7	0.87	 	6	0.74	 	14	1.73	 	304	37.62	 	2	0.25	 	3	0.37	 	3	0.37	 	0	0	 	4	0.5	 	5	0.62	 	329	40.72	 	130	16.09	 	1	0.12	 	808	97.23	 	23	2.77	 	831	1.05
North Haven		                                	13	0.55	 	26	1.11	 	25	1.07	 	931	39.7	 	3	0.13	 	2	0.09	 	25	1.07	 	6	0.26	 	18	0.77	 	23	0.98	 	892	38.04	 	381	16.25	 	0	0	 	2345	97.51	 	60	2.49	 	2405	3.05
Ottoway		                                    	28	1.83	 	36	2.36	 	32	2.1	 	772	50.56	 	8	0.52	 	3	0.2	 	14	0.92	 	5	0.33	 	9	0.59	 	9	0.59	 	455	29.8	 	156	10.22	 	0	0	 	1527	91.55	 	141	8.45	 	1668	2.11
Pennington		                                 	20	1.23	 	9	0.55	 	23	1.41	 	954	58.6	 	10	0.61	 	2	0.12	 	10	0.61	 	6	0.37	 	15	0.92	 	5	0.31	 	403	24.75	 	170	10.44	 	1	0.06	 	1628	96.05	 	67	3.95	 	1695	2.15
Port Adelaide		                              	4	0.62	 	18	2.81	 	19	2.96	 	362	56.47	 	7	1.09	 	0	0	 	7	1.09	 	2	0.31	 	6	0.94	 	3	0.47	 	153	23.87	 	60	9.36	 	0	0	 	641	94.82	 	35	5.18	 	676	0.86
Queenstown		                                 	20	1.14	 	32	1.83	 	41	2.34	 	836	47.8	 	23	1.32	 	2	0.11	 	11	0.63	 	5	0.29	 	8	0.46	 	12	0.69	 	539	30.82	 	219	12.52	 	1	0.06	 	1749	96.26	 	68	3.74	 	1817	2.3
Rosewater		                                  	17	0.87	 	53	2.7	 	49	2.49	 	997	50.74	 	17	0.87	 	5	0.25	 	25	1.27	 	4	0.2	 	10	0.51	 	15	0.76	 	529	26.92	 	240	12.21	 	4	0.2	 	1965	94.84	 	107	5.16	 	2072	2.62
Royal Park		                                 	23	1.11	 	13	0.63	 	37	1.78	 	901	43.32	 	13	0.63	 	4	0.19	 	13	0.63	 	8	0.38	 	7	0.34	 	32	1.54	 	812	39.04	 	215	10.34	 	2	0.1	 	2080	92.73	 	163	7.27	 	2243	2.84
Royal Park South		                           	14	0.74	 	11	0.58	 	27	1.43	 	819	43.29	 	2	0.11	 	3	0.16	 	15	0.79	 	7	0.37	 	11	0.58	 	19	1	 	724	38.27	 	240	12.68	 	0	0	 	1892	95.46	 	90	4.54	 	1982	2.51
Seaton		                                     	22	1.09	 	23	1.14	 	27	1.34	 	852	42.14	 	5	0.25	 	4	0.2	 	16	0.79	 	7	0.35	 	16	0.79	 	13	0.64	 	749	37.04	 	287	14.19	 	1	0.05	 	2022	94.75	 	112	5.25	 	2134	2.7
Seaton Park		                                	29	1.14	 	22	0.86	 	25	0.98	 	1203	47.08	 	14	0.55	 	2	0.08	 	18	0.7	 	5	0.2	 	17	0.67	 	18	0.7	 	858	33.58	 	344	13.46	 	0	0	 	2555	95.02	 	134	4.98	 	2689	3.4
Seaton West		                                	6	0.64	 	8	0.85	 	15	1.59	 	325	34.54	 	6	0.64	 	0	0	 	5	0.53	 	2	0.21	 	4	0.43	 	5	0.53	 	437	46.44	 	128	13.6	 	0	0	 	941	98.74	 	12	1.26	 	953	1.21
