Senate - 1996 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (81751)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group F			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Allendale East		                             	7	2.4	 	0	0	 	2	0.68	 	49	16.78	 	2	0.68	 	0	0	 	3	1.03	 	1	0.34	 	1	0.34	 	0	0	 	197	67.47	 	30	10.27	 	0	0	 	292	97.33	 	8	2.67	 	300	0.37
American River		                             	0	0	 	0	0	 	8	3.96	 	34	16.83	 	0	0	 	0	0	 	3	1.49	 	0	0	 	4	1.98	 	2	0.99	 	118	58.42	 	33	16.34	 	0	0	 	202	97.12	 	6	2.88	 	208	0.25
Ashbourne		                                  	2	1.69	 	0	0	 	1	0.85	 	25	21.19	 	0	0	 	0	0	 	1	0.85	 	0	0	 	0	0	 	0	0	 	75	63.56	 	14	11.86	 	0	0	 	118	100	 	0	0	 	118	0.14
Beachport		                                  	21	4.24	 	1	0.2	 	12	2.42	 	94	18.99	 	0	0	 	0	0	 	1	0.2	 	1	0.2	 	2	0.4	 	3	0.61	 	330	66.67	 	30	6.06	 	0	0	 	495	97.25	 	14	2.75	 	509	0.62
Bordertown		                                 	41	2.3	 	5	0.28	 	29	1.63	 	263	14.75	 	42	2.36	 	3	0.17	 	22	1.23	 	2	0.11	 	12	0.67	 	6	0.34	 	1253	70.27	 	104	5.83	 	1	0.06	 	1783	97.38	 	48	2.62	 	1831	2.24
Cambrai		                                    	3	1.22	 	5	2.03	 	5	2.03	 	41	16.67	 	2	0.81	 	0	0	 	4	1.63	 	0	0	 	0	0	 	2	0.81	 	161	65.45	 	23	9.35	 	0	0	 	246	96.47	 	9	3.53	 	255	0.31
Carpenter Rocks		                            	12	6.56	 	4	2.19	 	8	4.37	 	49	26.78	 	0	0	 	0	0	 	3	1.64	 	1	0.55	 	0	0	 	1	0.55	 	102	55.74	 	3	1.64	 	0	0	 	183	95.81	 	8	4.19	 	191	0.23
Compton		                                    	7	1.96	 	0	0	 	4	1.12	 	59	16.48	 	2	0.56	 	1	0.28	 	2	0.56	 	0	0	 	3	0.84	 	5	1.4	 	234	65.36	 	41	11.45	 	0	0	 	358	97.81	 	8	2.19	 	366	0.45
Coomandook		                                 	6	3.28	 	3	1.64	 	2	1.09	 	11	6.01	 	5	2.73	 	0	0	 	3	1.64	 	0	0	 	0	0	 	1	0.55	 	135	73.77	 	17	9.29	 	0	0	 	183	98.39	 	3	1.61	 	186	0.23
Coonalpyn		                                  	3	0.93	 	1	0.31	 	0	0	 	26	8.05	 	2	0.62	 	1	0.31	 	6	1.86	 	1	0.31	 	3	0.93	 	0	0	 	269	83.28	 	10	3.1	 	1	0.31	 	323	96.42	 	12	3.58	 	335	0.41
Coonawarra		                                 	4	1.74	 	1	0.43	 	2	0.87	 	24	10.43	 	2	0.87	 	0	0	 	0	0	 	1	0.43	 	1	0.43	 	1	0.43	 	180	78.26	 	14	6.09	 	0	0	 	230	99.14	 	2	0.86	 	232	0.28
Currency Creek		                             	3	1.31	 	1	0.44	 	3	1.31	 	16	6.99	 	1	0.44	 	0	0	 	3	1.31	 	0	0	 	1	0.44	 	3	1.31	 	171	74.67	 	27	11.79	 	0	0	 	229	96.22	 	9	3.78	 	238	0.29
Delamere		                                   	8	3.67	 	1	0.46	 	6	2.75	 	26	11.93	 	3	1.38	 	0	0	 	2	0.92	 	1	0.46	 	2	0.92	 	2	0.92	 	138	63.3	 	29	13.3	 	0	0	 	218	97.32	 	6	2.68	 	224	0.27
