Senate - 1996 Election: Western Australia																																								
First Preference Votes by Group																																								
By Polling Place																																								


Brand (92099)																																								
	   		Group Total AWP			Group Total LP			Group Total - Unendorsed Group C			Group Total CTA			Group Total NP			Group Total AFI			Group Total ALP			Group Total GWA			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
ABSENT		                                     	74	1.34	 	2401	43.41	 	14	0.25	 	34	0.61	 	136	2.46	 	151	2.73	 	1943	35.13	 	357	6.45	 	405	7.32	 	16	0.29	 	5531	98.24	 	99	1.76	 	5630	8.71
POSTAL		                                     	17	0.71	 	1265	52.88	 	8	0.33	 	18	0.75	 	78	3.26	 	96	4.01	 	635	26.55	 	117	4.89	 	150	6.27	 	8	0.33	 	2392	98.88	 	27	1.12	 	2419	3.74
PRE_POLL		                                   	38	1.22	 	1301	41.87	 	4	0.13	 	14	0.45	 	70	2.25	 	58	1.87	 	1245	40.07	 	164	5.28	 	202	6.5	 	11	0.35	 	3107	98.51	 	47	1.49	 	3154	4.88
PROVISIONAL		                                	30	2.06	 	436	29.99	 	3	0.21	 	7	0.48	 	18	1.24	 	30	2.06	 	804	55.3	 	65	4.47	 	59	4.06	 	2	0.14	 	1454	96.36	 	55	3.64	 	1509	2.33
ADJUSTMENT		                                 	0		       	0		       	1		       	0		       	3		       	0		       	10		       	0		       	0		       	-1		       	13		       	13		       	26	
Division Summary		                           	872	1.38	 	25471	40.44	 	150	0.24	 	361	0.57	 	949	1.51	 	1213	1.93	 	27474	43.62	 	2724	4.33	 	3618	5.74	 	148	0.23	 	62980	97.39	 	1690	2.61	 	64670	89.61
 																																								


Moore (89429)																																								
	   		Group Total AWP			Group Total LP			Group Total - Unendorsed Group C			Group Total CTA			Group Total NP			Group Total AFI			Group Total ALP			Group Total GWA			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Beldon		                                     	32	1.47	 	828	38	 	1	0.05	 	25	1.15	 	9	0.41	 	29	1.33	 	851	39.05	 	107	4.91	 	296	13.58	 	1	0.05	 	2179	97.45	 	57	2.55	 	2236	2.6
Bunbury Central (Moore)		                    	0	0	 	29	40.28	 	0	0	 	1	1.39	 	1	1.39	 	0	0	 	35	48.61	 	2	2.78	 	4	5.56	 	0	0	 	72	97.3	 	2	2.7	 	74	0.09
Burns Beach		                                	2	0.64	 	147	46.96	 	1	0.32	 	1	0.32	 	1	0.32	 	4	1.28	 	113	36.1	 	12	3.83	 	31	9.9	 	1	0.32	 	313	98.74	 	4	1.26	 	317	0.37
