House of Representatives - 1993 Election				
National List of Candidates				

				
				
Candidate	Party		Division	State
"HYLAND, Sonia"	NLP		Murray	VIC

"INGLIS, D.M."	DEM		Page	NSW
"IRVING, Alan"	LP		Makin	SA
"IRWIN, Ros"	IND		Page	NSW
"IVANOV, Stevan"			Melbourne	VIC
"IVANOVSKI, Petar"	GRN		Macquarie	NSW
"IVOR, F"	IND		Chifley	NSW

"JACKSON, Clive"	DEM		Higgins	VIC
"JACKSON, Lewina"			Newcastle	NSW
"JACKSON, Zillah"	DEM		Petrie	QLD
"JAKEMAN, Digby"	DEM		Fisher	QLD
"JAKOBSEN, Carolyn"	ALP		Cowan	WA
"JAMES, Richard"	DEM		Franklin	TAS
"JAMIESON, Alexa"	IND		Kingston	SA
"JEANNERET, Rod"	CAP		Moreton	QLD
"JEANS, Simon"	ALP		Bradfield	NSW
"JEBB, Patrick"	ALP		Pearce	WA
"JEFFREYS, Richard"	DEM		Stirling	WA
"JENKINS, Harry"	ALP		Scullin	VIC
"JERROW, John"	CTA		Greenway	NSW
"JOHNS, Gary"	ALP		Petrie	QLD
"JOHNSON, Brian"	DEM		Mackellar	NSW
"JOHNSON, Colin Andrew"	AIP		Hinkler	QLD
"JOHNSON, Jeff"	CAP		Fisher	QLD
"JOHNSON, Norman Abraham"	AIP		Kennedy	QLD
"JOHNSTON, Doug"	DEM		Chisholm	VIC
"JOHNSTON, Peter M."	NLP		Grayndler	NSW
"JOHNSTON, Ricky"	LP		Canning	WA
"JOHNSTON, Winston"	NP		Fisher	QLD
"JONES, Angela"	QG		Petrie	QLD
"JONES, Anne"	ALP		Maranoa	QLD
"JONES, Barry"	ALP		Lalor	VIC
"JONES, Elisabeth"	GWA		Curtin	WA
"JONES, Erika"	AFI		Lowe	NSW
"JORDAN, Jason"	ALP		Tangney	WA
"JOSEPH, Peter"	IND		Fraser	ACT
"JOSEVSKI, Peter"	LP		Throsby	NSW
"JOSLING, Greg"			Fowler	NSW
"JOY, Bert"	IND		Port Adelaide	SA
"JULL, David"	LP		Fadden	QLD
"JUNGWIRTH, Raymond"	DEM		La Trobe	VIC

"KANAGHINES, Julie"	ALP		Mitchell	NSW
"KARDAMITSIS, Bill"	ALP		Wills	VIC
"KATTER, Bob"	NP		Kennedy	QLD
"KEARNS, John"	NP		Moreton	QLD
"KEATING, Paul John"	ALP		Blaxland	NSW
"KEIGHLEY, Rosemary"	NLP		Gilmore	NSW
"KELLETT, Kerri Jean"	DEM		Brisbane	QLD
"KELLY, Ros"	ALP		Canberra	ACT
"KELLY, Sally Christine"	NLP		Canberra	ACT
"KELVIN, Wilfrid H. C."	IND		Blaxland	NSW
"KEMP, David"	LP		Goldstein	VIC
"KEMP, Eddy"	DEM		Richmond	NSW
"KENDALL, Jim"	CTA		Newcastle	NSW
"KENDI, Juliana"	NLP		La Trobe	VIC
"KENDI, Robert J"	NLP		Casey	VIC
"KENNEDY, Marnie"			Grayndler	NSW
"KENT, Deidre"	CTA		Barker	SA
"KERIN, John"	ALP		Werriwa	NSW
"KERNOT, Gavin"	DEM		Griffith	QLD
"KERR, Duncan"	ALP		Denison	TAS
"KIDD, Adrian"	LP		Mallee	VIC
"KIMBLE, Dave"	QG		Herbert	QLD
"KING, Jack"	IND		Adelaide	SA
"KINNY, Warren"	CTA		Cook	NSW
"KIRKMAN, Deborah"	IND		Banks	NSW
"KIRKWOOD, Eric"			Jagajaga	VIC
"KNIGHT, Irene"	DEM		Perth	WA
"KNOLES, Catherine"	NLP		Warringah	NSW
"KNOTT, Don"	DEM		Port Adelaide	SA
"KNOTT, Peter John"	ALP		Gilmore	NSW
"KOZANOGLU, Riza"	LP		Melbourne	VIC
"KRAMER, Greg"	DEM		Fraser	ACT
"KUHNE, Otto"	NLP		Fadden	QLD
"KUMAR, Tom"	IND		Chifley	NSW
"KURYLENKO, Valdamar"	NLP		Mackellar	NSW
"KVIZ, Zdenek"	NLP		Charlton	NSW

"LACEY, Dennis"	IND		Murray	VIC
"LAMB, Bob"	GSA		Hindmarsh	SA
"LAMBERT, Anne"	GWA		O'Connor	WA
"LAMBERT, Peter"	DEM		Pearce	WA
"LANGMORE, John"	ALP		Fraser	ACT
"LARCOS, Andrew"	DEM		Kingsford-Smith	NSW
"LAVARCH, Michael"	ALP		Dickson	QLD
"LAWRENCE, Fay"	DEM		Capricornia	QLD
"LAWSON KERR, Andrew"	NLP		Mallee	VIC
"LEAN, Graeme"	IND		Page	NSW
"LEATCH, May"	GRN		Gilmore	NSW
"LEE, Jim"	IND		O'Connor	WA
"LEE, Michael"	ALP		Dobell	NSW
"LEISHMAN, Anne"	NLP		Swan	WA
"LEVERITT, Bill"	LP		Lilley	QLD
"LEWIS, Barbara"	LP		Holt	VIC
"LEWIS, Rick"	LP		Werriwa	NSW
"LIEBERMAN, Lou"	LP		Indi	VIC
"LINDSAY, Eamon John"	ALP		Herbert	QLD
"LIVETT, Dianne"	LP		Calwell	VIC
"LLOYD, Bruce"	NP		Murray	VIC
"LOBBAN, Mark"	DEM		Hindmarsh	SA
"LOCKE, Paul"			Reid	NSW
"LOGAN, Donald Louis"			Kennedy	QLD
"LOHREY, Royce E"	IND		Braddon	TAS
"LOMSARGIS, Elena"	IND		Mayo	SA
"LONG, Jennifer"	WSG		Reid	NSW
"LORENZON, Vladimir"	NLP		Sturt	SA
"LOVISON, Christine"	QG		McPherson	QLD
"LOWRY, Erik"			Lowe	NSW
"LUCK, Jenny"	ALP		Indi	VIC
"LYNCH, Ralph"	LP		Cunningham	NSW

"MAAS, Colin"	DEM		Bonython	SA
"MAC NEVIN, Michelle Jo-Anne"	IND		Dawson	QLD
"MACEY, Reg"	IND		Boothby	SA
"MACGREGOR, Chris"	LP		Gellibrand	VIC
"MACK, Ted"	IND		North Sydney	NSW
"MACKAY, David"	DEM		Calwell	VIC
"MACKELLAR, Michael John Randal"	LP		Warringah	NSW
"MACKENZIE, Bruce"	IND		Paterson	NSW
"MACKENZIE, Jennifer"	LP		Chifley	NSW
"MACKINNON, Sally"	QG		Moncrieff	QLD
"MADDEN, Terry"	IND		Ryan	QLD
"MAGART, Peter"	DEM		Deakin	VIC
"MAGYAR, Stephen"	GWA		Moore	WA
"MAHER, Carol"	NLP		Hughes	NSW
"MAHER, Lesley"	CTA		Mackellar	NSW
