Senate -  1998 Election: New South Wales																																																																															
First Preference Votes by Group																																																																															
By Polling Place																																																																															


Banks (80108)																																																																															

	   		Group Total FST			Group Total NAN			Group Total NDP			Group Total - Unendorsed Group D			Group Total NLP			Group Total ACS			Group Total - Unendorsed Group G			Group Total ALP			Group Total CEC			Group Total - Unendorsed Group J			Group Total HAN			Group Total LNP			Group Total DEM			Group Total DSL			Group Total RAR			Group Total - Unendorsed Group P			Group Total SEP			Group Total - Unendorsed Group R			Group Total - Unendorsed Group S			Group Total CDP			Group Total GRN			Group Total UNI			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Carlton North		                              	8	0.72	  	3	0.27	  	2	0.18	  	1	0.09	  	1	0.09	  	1	0.09	  	2	0.18	  	535	48.37	  	5	0.45	  	0	0	  	93	8.41	  	296	26.76	  	66	5.97	  	5	0.45	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	10	0.9	  	19	1.72	  	59	5.33	  	0	0	  	1106	95.1	  	57	4.9	  	1163	1.47
Carss Park		                                 	0	0	  	1	0.12	  	1	0.12	  	0	0	  	0	0	  	2	0.24	  	3	0.36	  	223	26.9	  	1	0.12	  	0	0	  	72	8.69	  	446	53.8	  	47	5.67	  	4	0.48	  	1	0.12	  	0	0	  	0	0	  	0	0	  	0	0	  	13	1.57	  	7	0.84	  	8	0.97	  	0	0	  	829	96.17	  	33	3.83	  	862	1.09
Clareville Park		                            	23	1.14	  	0	0	  	4	0.2	  	1	0.05	  	3	0.15	  	4	0.2	  	3	0.15	  	684	33.96	  	2	0.1	  	4	0.2	  	211	10.48	  	918	45.58	  	94	4.67	  	7	0.35	  	2	0.1	  	0	0	  	0	0	  	0	0	  	0	0	  	15	0.74	  	28	1.39	  	11	0.55	  	0	0	  	2014	95.81	  	88	4.19	  	2102	2.66
Connells Point		                             	12	0.45	  	0	0	  	3	0.11	  	1	0.04	  	1	0.04	  	2	0.07	  	3	0.11	  	620	23.15	  	1	0.04	  	2	0.07	  	168	6.27	  	1507	56.27	  	189	7.06	  	7	0.26	  	7	0.26	  	0	0	  	1	0.04	  	0	0	  	0	0	  	36	1.34	  	43	1.61	  	74	2.76	  	1	0.04	  	2678	96.61	  	94	3.39	  	2772	3.51
Hurstville Central		                         	13	1.18	  	2	0.18	  	2	0.18	  	0	0	  	2	0.18	  	3	0.27	  	9	0.82	  	472	42.83	  	2	0.18	  	1	0.09	  	94	8.53	  	331	30.04	  	48	4.36	  	0	0	  	1	0.09	  	0	0	  	0	0	  	0	0	  	0	0	  	10	0.91	  	17	1.54	  	95	8.62	  	0	0	  	1102	95.83	  	48	4.17	  	1150	1.46
Hurstville Grove		                           	24	1.07	  	1	0.04	  	4	0.18	  	1	0.04	  	0	0	  	1	0.04	  	2	0.09	  	831	37.13	  	0	0	  	0	0	  	183	8.18	  	864	38.61	  	175	7.82	  	4	0.18	  	2	0.09	  	0	0	  	1	0.04	  	2	0.09	  	0	0	  	28	1.25	  	28	1.25	  	86	3.84	  	1	0.04	  	2238	96.88	  	72	3.12	  	2310	2.92
Hurstville South		                           	9	1.33	  	1	0.15	  	1	0.15	  	0	0	  	0	0	  	0	0	  	1	0.15	  	268	39.64	  	0	0	  	1	0.15	  	42	6.21	  	261	38.61	  	33	4.88	  	1	0.15	  	3	0.44	  	0	0	  	0	0	  	0	0	  	0	0	  	10	1.48	  	8	1.18	  	37	5.47	  	0	0	  	676	96.99	  	21	3.01	  	697	0.88
Jubilee		                                    	20	0.7	  	3	0.1	  	5	0.17	  	1	0.03	  	2	0.07	  	6	0.21	  	2	0.07	  	1400	48.7	  	8	0.28	  	3	0.1	  	164	5.7	  	923	32.1	  	174	6.05	  	6	0.21	  	4	0.14	  	1	0.03	  	2	0.07	  	1	0.03	  	0	0	  	15	0.52	  	35	1.22	  	96	3.34	  	4	0.14	  	2875	95.93	  	122	4.07	  	2997	3.79
Kogarah		                                    	8	0.72	  	3	0.27	  	2	0.18	  	0	0	  	0	0	  	0	0	  	0	0	  	576	51.8	  	4	0.36	  	0	0	  	63	5.67	  	272	24.46	  	69	6.21	  	6	0.54	  	0	0	  	0	0	  	1	0.09	  	0	0	  	0	0	  	12	1.08	  	11	0.99	  	82	7.37	  	3	0.27	  	1112	94.88	  	60	5.12	  	1172	1.48
Kogarah Bay		                                	8	0.86	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.11	  	0	0	  	291	31.16	  	1	0.11	  	0	0	  	105	11.24	  	417	44.65	  	61	6.53	  	0	0	  	3	0.32	  	0	0	  	1	0.11	  	0	0	  	0	0	  	23	2.46	  	11	1.18	  	12	1.28	  	0	0	  	934	94.63	  	53	5.37	  	987	1.25
Kogarah Central		                            	5	0.33	  	4	0.27	  	0	0	  	0	0	  	0	0	  	4	0.27	  	2	0.13	  	806	53.66	  	1	0.07	  	2	0.13	  	82	5.46	  	290	19.31	  	105	6.99	  	5	0.33	  	2	0.13	  	0	0	  	0	0	  	0	0	  	0	0	  	15	1	  	18	1.2	  	161	10.72	  	0	0	  	1502	96.84	  	49	3.16	  	1551	1.96
Kyeemagh		                                   	11	1.31	  	2	0.24	  	1	0.12	  	0	0	  	1	0.12	  	0	0	  	0	0	  	434	51.67	  	1	0.12	  	1	0.12	  	89	10.6	  	250	29.76	  	26	3.1	  	1	0.12	  	2	0.24	  	1	0.12	  	0	0	  	0	0	  	0	0	  	5	0.6	  	9	1.07	  	6	0.71	  	0	0	  	840	95.45	  	40	4.55	  	880	1.11
Monterey		                                   	20	1	  	2	0.1	  	0	0	  	0	0	  	2	0.1	  	1	0.05	  	2	0.1	  	813	40.55	  	2	0.1	  	0	0	  	176	8.78	  	804	40.1	  	108	5.39	  	7	0.35	  	4	0.2	  	1	0.05	  	0	0	  	0	0	  	0	0	  	15	0.75	  	16	0.8	  	32	1.6	  	0	0	  	2005	94.35	  	120	5.65	  	2125	2.69
Moorefield		                                 	9	1.15	  	3	0.38	  	1	0.13	  	2	0.25	  	1	0.13	  	0	0	  	1	0.13	  	397	50.57	  	0	0	  	0	0	  	63	8.03	  	228	29.04	  	37	4.71	  	2	0.25	  	1	0.13	  	0	0	  	1	0.13	  	0	0	  	0	0	  	6	0.76	  	6	0.76	  	26	3.31	  	1	0.13	  	785	92.24	  	66	7.76	  	851	1.08
Mortdale East		                              	9	0.91	  	3	0.3	  	2	0.2	  	0	0	  	0	0	  	0	0	  	2	0.2	  	406	40.89	  	2	0.2	  	0	0	  	86	8.66	  	340	34.24	  	91	9.16	  	2	0.2	  	1	0.1	  	0	0	  	0	0	  	0	0	  	0	0	  	12	1.21	  	18	1.81	  	17	1.71	  	2	0.2	  	993	96.78	  	33	3.22	  	1026	1.3
Oatley (Barton)		                            	11	0.53	  	1	0.05	  	1	0.05	  	0	0	  	1	0.05	  	0	0	  	3	0.14	  	623	29.94	  	2	0.1	  	0	0	  	153	7.35	  	959	46.08	  	193	9.27	  	8	0.38	  	5	0.24	  	0	0	  	0	0	  	0	0	  	0	0	  	31	1.49	  	47	2.26	  	39	1.87	  	4	0.19	  	2081	95.85	  	90	4.15	  	2171	2.75
Ramsgate North		                             	18	0.95	  	3	0.16	  	0	0	  	0	0	  	3	0.16	  	2	0.11	  	0	0	  	805	42.37	  	5	0.26	  	0	0	  	191	10.05	  	689	36.26	  	115	6.05	  	5	0.26	  	7	0.37	  	0	0	  	1	0.05	  	0	0	  	0	0	  	13	0.68	  	31	1.63	  	10	0.53	  	2	0.11	  	1900	94.29	  	115	5.71	  	2015	2.55
Rockdale		                                   	21	1.12	  	4	0.21	  	3	0.16	  	0	0	  	2	0.11	  	3	0.16	  	1	0.05	  	1188	63.63	  	7	0.37	  	0	0	  	98	5.25	  	275	14.73	  	48	2.57	  	2	0.11	  	2	0.11	  	1	0.05	  	0	0	  	2	0.11	  	1	0.05	  	15	0.8	  	15	0.8	  	179	9.59	  	0	0	  	1867	93.58	  	128	6.42	  	1995	2.52
Rockdale Central		                           	10	0.8	  	4	0.32	  	2	0.16	  	0	0	  	0	0	  	2	0.16	  	1	0.08	  	731	58.71	  	0	0	  	2	0.16	  	81	6.51	  	226	18.15	  	41	3.29	  	1	0.08	  	3	0.24	  	0	0	  	2	0.16	  	0	0	  	0	0	  	11	0.88	  	25	2.01	  	103	8.27	  	0	0	  	1245	96.14	  	50	3.86	  	1295	1.64
Rockdale Park		                              	7	0.9	  	8	1.03	  	3	0.38	  	0	0	  	4	0.51	  	0	0	  	0	0	  	460	58.97	  	0	0	  	0	0	  	49	6.28	  	186	23.85	  	21	2.69	  	1	0.13	  	1	0.13	  	0	0	  	0	0	  	0	0	  	0	0	  	19	2.44	  	6	0.77	  	14	1.79	  	1	0.13	  	780	94.09	  	49	5.91	  	829	1.05
Rockdale West		                              	20	1.17	  	5	0.29	  	0	0	  	0	0	  	0	0	  	1	0.06	  	0	0	  	1129	65.91	  	4	0.23	  	0	0	  	68	3.97	  	312	18.21	  	60	3.5	  	5	0.29	  	0	0	  	0	0	  	1	0.06	  	1	0.06	  	0	0	  	20	1.17	  	24	1.4	  	62	3.62	  	1	0.06	  	1713	92.74	  	134	7.26	  	1847	2.34
St Cuthbert's		                              	19	1.11	  	0	0	  	3	0.17	  	1	0.06	  	2	0.12	  	3	0.17	  	1	0.06	  	742	43.27	  	1	0.06	  	0	0	  	135	7.87	  	571	33.29	  	103	6.01	  	7	0.41	  	3	0.17	  	0	0	  	0	0	  	1	0.06	  	0	0	  	25	1.46	  	33	1.92	  	63	3.67	  	2	0.12	  	1715	95.54	  	80	4.46	  	1795	2.27
St George Hospital		                         	1	0.63	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	73	45.91	  	1	0.63	  	0	0	  	13	8.18	  	54	33.96	  	11	6.92	  	1	0.63	  	1	0.63	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.63	  	2	1.26	  	1	0.63	  	0	0	  	159	96.36	  	6	3.64	  	165	0.21
Sans Souci		                                 	9	0.41	  	2	0.09	  	0	0	  	2	0.09	  	2	0.09	  	4	0.18	  	1	0.05	  	808	37.13	  	1	0.05	  	3	0.14	  	210	9.65	  	908	41.73	  	119	5.47	  	0	0	  	2	0.09	  	1	0.05	  	2	0.09	  	0	0	  	0	0	  	18	0.83	  	27	1.24	  	57	2.62	  	0	0	  	2176	95.35	  	106	4.65	  	2282	2.89
Sans Souci North		                           	37	1.86	  	0	0	  	1	0.05	  	0	0	  	3	0.15	  	4	0.2	  	2	0.1	  	873	43.96	  	0	0	  	3	0.15	  	187	9.42	  	702	35.35	  	109	5.49	  	6	0.3	  	2	0.1	  	1	0.05	  	4	0.2	  	0	0	  	1	0.05	  	12	0.6	  	19	0.96	  	19	0.96	  	1	0.05	  	1986	94.66	  	112	5.34	  	2098	2.66
South Haven		                                	10	1.81	  	4	0.73	  	2	0.36	  	0	0	  	0	0	  	2	0.36	  	0	0	  	281	51	  	4	0.73	  	0	0	  	39	7.08	  	134	24.32	  	23	4.17	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	7	1.27	  	9	1.63	  	36	6.53	  	0	0	  	551	91.23	  	53	8.77	  	604	0.76
Sydney (Barton)		                            	1	0.68	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	63	43.15	  	0	0	  	0	0	  	7	4.79	  	47	32.19	  	14	9.59	  	1	0.68	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	2.05	  	10	6.85	  	0	0	  	146	95.42	  	7	4.58	  	153	0.19
The Mall		                                   	3	0.43	  	1	0.14	  	0	0	  	0	0	  	1	0.14	  	2	0.29	  	0	0	  	223	31.81	  	0	0	  	1	0.14	  	74	10.56	  	319	45.51	  	48	6.85	  	0	0	  	1	0.14	  	0	0	  	0	0	  	0	0	  	0	0	  	5	0.71	  	2	0.29	  	20	2.85	  	1	0.14	  	701	97.36	  	19	2.64	  	720	0.91
Turrella		                                   	15	1.71	  	2	0.23	  	0	0	  	0	0	  	4	0.46	  	1	0.11	  	2	0.23	  	566	64.54	  	2	0.23	  	0	0	  	50	5.7	  	151	17.22	  	44	5.02	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	5	0.57	  	18	2.05	  	17	1.94	  	0	0	  	877	92.9	  	67	7.1	  	944	1.19
Special Hospitals		                          	6	1.35	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	178	40.09	  	1	0.23	  	0	0	  	14	3.15	  	233	52.48	  	7	1.58	  	1	0.23	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	4	0.9	  	0	0	  	0	0	  	0	0	  	444	95.9	  	19	4.1	  	463	0.59
Total Ordinary		                             	584	0.95	  	119	0.19	  	69	0.11	  	14	0.02	  	51	0.08	  	70	0.11	  	64	0.1	  	28402	46.14	  	90	0.15	  	36	0.06	  	4538	7.37	  	20289	32.96	  	3353	5.45	  	133	0.22	  	90	0.15	  	14	0.02	  	24	0.04	  	11	0.02	  	3	0	  	635	1.03	  	784	1.27	  	2146	3.49	  	32	0.05	  	61551	94.92	  	3296	5.08	  	64847	82.07
ABSENT		                                     	41	0.79	  	6	0.12	  	12	0.23	  	4	0.08	  	6	0.12	  	8	0.15	  	4	0.08	  	2028	39.15	  	3	0.06	  	5	0.1	  	376	7.26	  	1944	37.53	  	385	7.43	  	14	0.27	  	16	0.31	  	1	0.02	  	4	0.08	  	0	0	  	0	0	  	76	1.47	  	131	2.53	  	115	2.22	  	1	0.02	  	5180	97.85	  	114	2.15	  	5294	6.7
POSTAL		                                     	12	0.38	  	15	0.47	  	2	0.06	  	0	0	  	1	0.03	  	1	0.03	  	6	0.19	  	1259	39.45	  	0	0	  	2	0.06	  	257	8.05	  	1232	38.61	  	205	6.42	  	2	0.06	  	7	0.22	  	0	0	  	1	0.03	  	0	0	  	0	0	  	76	2.38	  	36	1.13	  	74	2.32	  	3	0.09	  	3191	99.44	  	18	0.56	  	3209	4.06
PRE_POLL		                                   	23	0.52	  	12	0.27	  	5	0.11	  	2	0.04	  	3	0.07	  	5	0.11	  	6	0.13	  	1944	43.68	  	2	0.04	  	2	0.04	  	354	7.95	  	1478	33.21	  	284	6.38	  	7	0.16	  	12	0.27	  	2	0.04	  	3	0.07	  	0	0	  	1	0.02	  	58	1.3	  	74	1.66	  	174	3.91	  	0	0	  	4451	97.89	  	96	2.11	  	4547	5.75
PROVISIONAL		                                	11	1.04	  	4	0.38	  	2	0.19	  	0	0	  	0	0	  	2	0.19	  	3	0.28	  	649	61.46	  	4	0.38	  	1	0.09	  	51	4.83	  	234	22.16	  	28	2.65	  	4	0.38	  	1	0.09	  	0	0	  	0	0	  	0	0	  	0	0	  	10	0.95	  	16	1.52	  	35	3.31	  	1	0.09	  	1056	94.2	  	65	5.8	  	1121	1.42
Division Summary		                           	671	0.89	  	156	0.21	  	90	0.12	  	20	0.03	  	61	0.08	  	86	0.11	  	83	0.11	  	34282	45.45	  	99	0.13	  	46	0.06	  	5576	7.39	  	25177	33.38	  	4255	5.64	  	160	0.21	  	126	0.17	  	17	0.02	  	32	0.04	  	11	0.01	  	4	0.01	  	855	1.13	  	1041	1.38	  	2544	3.37	  	37	0.05	  	75429	95.46	  	3589	4.54	  	79018	95.03


Bennelong (83725)																																																																															

	   		Group Total FST			Group Total NAN			Group Total NDP			Group Total - Unendorsed Group D			Group Total NLP			Group Total ACS			Group Total - Unendorsed Group G			Group Total ALP			Group Total CEC			Group Total - Unendorsed Group J			Group Total HAN			Group Total LNP			Group Total DEM			Group Total DSL			Group Total RAR			Group Total - Unendorsed Group P			Group Total SEP			Group Total - Unendorsed Group R			Group Total - Unendorsed Group S			Group Total CDP			Group Total GRN			Group Total UNI			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Balaclava		                                  	8	0.37	  	6	0.28	  	2	0.09	  	2	0.09	  	1	0.05	  	3	0.14	  	3	0.14	  	529	24.38	  	0	0	  	2	0.09	  	82	3.78	  	989	45.58	  	243	11.2	  	9	0.41	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	37	1.71	  	65	3	  	186	8.57	  	3	0.14	  	2170	97.88	  	47	2.12	  	2217	2.78
Boronia Park		                               	16	0.72	  	23	1.04	  	8	0.36	  	0	0	  	1	0.05	  	0	0	  	2	0.09	  	601	27.19	  	2	0.09	  	2	0.09	  	112	5.07	  	1016	45.97	  	287	12.99	  	8	0.36	  	6	0.27	  	0	0	  	2	0.09	  	0	0	  	1	0.05	  	10	0.45	  	85	3.85	  	24	1.09	  	4	0.18	  	2210	96.46	  	81	3.54	  	2291	2.87
Denistone		                                  	5	0.51	  	1	0.1	  	1	0.1	  	0	0	  	0	0	  	0	0	  	0	0	  	284	29.07	  	0	0	  	2	0.2	  	43	4.4	  	442	45.24	  	92	9.42	  	0	0	  	2	0.2	  	0	0	  	2	0.2	  	0	0	  	0	0	  	34	3.48	  	11	1.13	  	58	5.94	  	0	0	  	977	97.12	  	29	2.88	  	1006	1.26
Denistone East		                             	16	0.79	  	1	0.05	  	2	0.1	  	0	0	  	1	0.05	  	0	0	  	6	0.3	  	569	28.27	  	1	0.05	  	3	0.15	  	129	6.41	  	890	44.21	  	190	9.44	  	1	0.05	  	1	0.05	  	0	0	  	1	0.05	  	0	0	  	1	0.05	  	41	2.04	  	39	1.94	  	120	5.96	  	1	0.05	  	2013	97.06	  	61	2.94	  	2074	2.6
Eastview		                                   	18	1.81	  	1	0.1	  	2	0.2	  	0	0	  	2	0.2	  	0	0	  	0	0	  	372	37.5	  	1	0.1	  	3	0.3	  	49	4.94	  	425	42.84	  	80	8.06	  	1	0.1	  	2	0.2	  	0	0	  	0	0	  	0	0	  	0	0	  	8	0.81	  	16	1.61	  	11	1.11	  	1	0.1	  	992	95.94	  	42	4.06	  	1034	1.29
Eastwood		                                   	19	0.47	  	0	0	  	4	0.1	  	3	0.07	  	9	0.22	  	1	0.02	  	5	0.12	  	1170	29.21	  	3	0.07	  	0	0	  	175	4.37	  	1604	40.05	  	476	11.89	  	8	0.2	  	3	0.07	  	0	0	  	1	0.02	  	0	0	  	2	0.05	  	62	1.55	  	104	2.6	  	351	8.76	  	5	0.12	  	4005	96.81	  	132	3.19	  	4137	5.18
Eastwood Heights		                           	14	0.71	  	2	0.1	  	0	0	  	0	0	  	0	0	  	0	0	  	2	0.1	  	551	28.05	  	0	0	  	1	0.05	  	117	5.96	  	891	45.37	  	205	10.44	  	3	0.15	  	5	0.25	  	1	0.05	  	0	0	  	0	0	  	2	0.1	  	33	1.68	  	24	1.22	  	110	5.6	  	3	0.15	  	1964	96.65	  	68	3.35	  	2032	2.54
Eastwood West		                              	5	0.9	  	1	0.18	  	0	0	  	0	0	  	0	0	  	1	0.18	  	2	0.36	  	140	25.27	  	0	0	  	1	0.18	  	33	5.96	  	273	49.28	  	52	9.39	  	4	0.72	  	0	0	  	0	0	  	1	0.18	  	0	0	  	0	0	  	12	2.17	  	6	1.08	  	22	3.97	  	1	0.18	  	554	99.11	  	5	0.89	  	559	0.7
Epping (Bennelong)		                         	13	0.77	  	3	0.18	  	2	0.12	  	0	0	  	3	0.18	  	1	0.06	  	0	0	  	413	24.61	  	3	0.18	  	0	0	  	70	4.17	  	772	46.01	  	228	13.59	  	2	0.12	  	3	0.18	  	0	0	  	0	0	  	0	0	  	3	0.18	  	26	1.55	  	35	2.09	  	98	5.84	  	3	0.18	  	1678	97.28	  	47	2.72	  	1725	2.16
Epping East		                                	10	0.42	  	0	0	  	0	0	  	3	0.13	  	1	0.04	  	1	0.04	  	3	0.13	  	565	23.55	  	1	0.04	  	0	0	  	97	4.04	  	1099	45.81	  	326	13.59	  	4	0.17	  	8	0.33	  	0	0	  	2	0.08	  	0	0	  	2	0.08	  	47	1.96	  	60	2.5	  	167	6.96	  	3	0.13	  	2399	97.32	  	66	2.68	  	2465	3.09
Epping North		                               	4	0.19	  	2	0.09	  	3	0.14	  	0	0	  	0	0	  	2	0.09	  	3	0.14	  	426	20.12	  	0	0	  	0	0	  	105	4.96	  	1090	51.49	  	324	15.3	  	5	0.24	  	3	0.14	  	0	0	  	0	0	  	0	0	  	5	0.24	  	42	1.98	  	52	2.46	  	50	2.36	  	1	0.05	  	2117	97.92	  	45	2.08	  	2162	2.71
Epping West (Bennelong)		                    	3	0.29	  	1	0.1	  	0	0	  	1	0.1	  	0	0	  	1	0.1	  	1	0.1	  	216	20.69	  	1	0.1	  	0	0	  	51	4.89	  	537	51.44	  	131	12.55	  	3	0.29	  	2	0.19	  	0	0	  	0	0	  	0	0	  	0	0	  	7	0.67	  	19	1.82	  	70	6.7	  	0	0	  	1044	98.03	  	21	1.97	  	1065	1.33
Ermington (Bennelong)		                      	14	1.27	  	1	0.09	  	3	0.27	  	0	0	  	0	0	  	3	0.27	  	4	0.36	  	333	30.3	  	3	0.27	  	4	0.36	  	54	4.91	  	490	44.59	  	106	9.65	  	4	0.36	  	1	0.09	  	0	0	  	0	0	  	0	0	  	0	0	  	19	1.73	  	18	1.64	  	42	3.82	  	0	0	  	1099	97.95	  	23	2.05	  	1122	1.41
Gladesville		                                	26	0.9	  	11	0.38	  	3	0.1	  	0	0	  	3	0.1	  	2	0.07	  	7	0.24	  	962	33.46	  	1	0.03	  	2	0.07	  	166	5.77	  	1196	41.6	  	312	10.85	  	8	0.28	  	2	0.07	  	2	0.07	  	0	0	  	1	0.03	  	0	0	  	16	0.56	  	72	2.5	  	83	2.89	  	0	0	  	2875	94.79	  	158	5.21	  	3033	3.8
Gladesville Central		                        	3	0.41	  	0	0	  	1	0.14	  	0	0	  	2	0.27	  	2	0.27	  	0	0	  	230	31.38	  	1	0.14	  	0	0	  	26	3.55	  	345	47.07	  	83	11.32	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.14	  	4	0.55	  	10	1.36	  	23	3.14	  	2	0.27	  	733	97.73	  	17	2.27	  	750	0.94
Gladesville East		                           	5	1.33	  	1	0.27	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	117	31.2	  	0	0	  	0	0	  	8	2.13	  	176	46.93	  	49	13.07	  	1	0.27	  	0	0	  	1	0.27	  	0	0	  	0	0	  	0	0	  	2	0.53	  	10	2.67	  	4	1.07	  	1	0.27	  	375	95.66	  	17	4.34	  	392	0.49
Gladesville North		                          	14	0.97	  	5	0.35	  	3	0.21	  	0	0	  	1	0.07	  	1	0.07	  	3	0.21	  	518	35.97	  	0	0	  	1	0.07	  	64	4.44	  	610	42.36	  	152	10.56	  	3	0.21	  	2	0.14	  	0	0	  	0	0	  	0	0	  	0	0	  	6	0.42	  	22	1.53	  	35	2.43	  	0	0	  	1440	95.81	  	63	4.19	  	1503	1.88
Gladesville West		                           	4	0.59	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	183	27.15	  	0	0	  	1	0.15	  	41	6.08	  	379	56.23	  	44	6.53	  	1	0.15	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	6	0.89	  	7	1.04	  	8	1.19	  	0	0	  	674	95.87	  	29	4.13	  	703	0.88
Hunters Hill		                               	2	0.15	  	13	0.95	  	2	0.15	  	0	0	  	0	0	  	0	0	  	1	0.07	  	193	14.04	  	0	0	  	1	0.07	  	44	3.2	  	903	65.67	  	158	11.49	  	2	0.15	  	1	0.07	  	0	0	  	0	0	  	0	0	  	3	0.22	  	6	0.44	  	19	1.38	  	26	1.89	  	1	0.07	  	1375	97.45	  	36	2.55	  	1411	1.77
Hunters Hill West		                          	3	0.29	  	15	1.46	  	3	0.29	  	0	0	  	1	0.1	  	0	0	  	1	0.1	  	243	23.71	  	0	0	  	0	0	  	37	3.61	  	554	54.05	  	129	12.59	  	2	0.2	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	5	0.49	  	14	1.37	  	17	1.66	  	1	0.1	  	1025	97.25	  	29	2.75	  	1054	1.32
Kent Road		                                  	8	0.38	  	3	0.14	  	5	0.24	  	0	0	  	2	0.1	  	7	0.34	  	5	0.24	  	694	33.27	  	5	0.24	  	2	0.1	  	88	4.22	  	896	42.95	  	204	9.78	  	5	0.24	  	6	0.29	  	0	0	  	1	0.05	  	0	0	  	0	0	  	28	1.34	  	40	1.92	  	85	4.07	  	2	0.1	  	2086	97.25	  	59	2.75	  	2145	2.69
Kittys Creek		                               	5	1.54	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	0.62	  	78	24.07	  	0	0	  	0	0	  	26	8.02	  	142	43.83	  	50	15.43	  	0	0	  	1	0.31	  	0	0	  	0	0	  	0	0	  	0	0	  	5	1.54	  	7	2.16	  	7	2.16	  	1	0.31	  	324	95.58	  	15	4.42	  	339	0.42
Lyon Park		                                  	3	0.25	  	0	0	  	1	0.08	  	0	0	  	0	0	  	1	0.08	  	3	0.25	  	458	38.33	  	0	0	  	0	0	  	52	4.35	  	406	33.97	  	138	11.55	  	5	0.42	  	1	0.08	  	0	0	  	1	0.08	  	0	0	  	2	0.17	  	43	3.6	  	29	2.43	  	50	4.18	  	2	0.17	  	1195	96.84	  	39	3.16	  	1234	1.55
Marsfield		                                  	17	0.92	  	1	0.05	  	4	0.22	  	0	0	  	4	0.22	  	2	0.11	  	5	0.27	  	530	28.6	  	1	0.05	  	1	0.05	  	66	3.56	  	889	47.98	  	139	7.5	  	2	0.11	  	3	0.16	  	0	0	  	2	0.11	  	0	0	  	0	0	  	25	1.35	  	21	1.13	  	140	7.56	  	1	0.05	  	1853	95.42	  	89	4.58	  	1942	2.43
Meadowbank		                                 	4	0.46	  	1	0.12	  	0	0	  	0	0	  	0	0	  	1	0.12	  	1	0.12	  	344	39.77	  	0	0	  	0	0	  	60	6.94	  	276	31.91	  	92	10.64	  	4	0.46	  	1	0.12	  	0	0	  	0	0	  	0	0	  	0	0	  	11	1.27	  	13	1.5	  	53	6.13	  	4	0.46	  	865	97.08	  	26	2.92	  	891	1.12
Parkes Street		                              	15	1.22	  	0	0	  	3	0.24	  	1	0.08	  	0	0	  	1	0.08	  	0	0	  	443	36.02	  	3	0.24	  	0	0	  	62	5.04	  	521	42.36	  	96	7.8	  	4	0.33	  	1	0.08	  	0	0	  	1	0.08	  	1	0.08	  	1	0.08	  	21	1.71	  	15	1.22	  	41	3.33	  	0	0	  	1230	97.7	  	29	2.3	  	1259	1.58
Putney		                                     	24	0.92	  	6	0.23	  	3	0.12	  	3	0.12	  	2	0.08	  	2	0.08	  	2	0.08	  	797	30.71	  	6	0.23	  	4	0.15	  	147	5.66	  	1216	46.86	  	234	9.02	  	7	0.27	  	12	0.46	  	1	0.04	  	0	0	  	0	0	  	0	0	  	21	0.81	  	48	1.85	  	55	2.12	  	5	0.19	  	2595	96.29	  	100	3.71	  	2695	3.37
