Senate -  1998 Election: Western Australia																																																																
First Preference Votes by Group																																																																
By Polling Place																																																																



Brand (77633)																																																																

	   		Group Total HAN			Group Total ASP			Group Total NP			Group Total NLP			Group Total LP			Group Total TPS			Group Total UNI			Group Total ACS			Group Total CEC			Group Total ALP			Group Total DSL			Group Total CDP			Group Total GWA			Group Total - Unendorsed Group N			Group Total - Unendorsed Unendorsed Group O			Group Total DEM			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Withers		                                    	306	15.79	  	12	0.62	  	14	0.72	  	4	0.21	  	556	28.69	  	2	0.1	  	11	0.57	  	2	0.1	  	1	0.05	  	812	41.9	  	8	0.41	  	34	1.75	  	92	4.75	  	0	0	  	1	0.05	  	81	4.18	  	2	0.1	  	0	0	  	1938	97.29	  	54	2.71	  	1992	2.5
Wollaston		                                  	100	11.7	  	5	0.58	  	14	1.64	  	0	0	  	370	43.27	  	0	0	  	0	0	  	1	0.12	  	0	0	  	241	28.19	  	5	0.58	  	20	2.34	  	38	4.44	  	1	0.12	  	1	0.12	  	56	6.55	  	3	0.35	  	0	0	  	855	95	  	45	5	  	900	1.13
Yakamia		                                    	265	18.08	  	3	0.2	  	43	2.93	  	4	0.27	  	602	41.06	  	0	0	  	2	0.14	  	3	0.2	  	4	0.27	  	361	24.62	  	4	0.27	  	51	3.48	  	64	4.37	  	2	0.14	  	1	0.07	  	53	3.62	  	3	0.2	  	1	0.07	  	1466	97.21	  	42	2.79	  	1508	1.9
Yallingup		                                  	28	6.97	  	0	0	  	9	2.24	  	0	0	  	183	45.52	  	0	0	  	0	0	  	0	0	  	0	0	  	84	20.9	  	0	0	  	4	1	  	63	15.67	  	0	0	  	0	0	  	31	7.71	  	0	0	  	0	0	  	402	99.75	  	1	0.25	  	403	0.51
Yoongarillup		                               	24	11.21	  	1	0.47	  	22	10.28	  	0	0	  	128	59.81	  	1	0.47	  	0	0	  	0	0	  	0	0	  	16	7.48	  	0	0	  	2	0.93	  	10	4.67	  	1	0.47	  	0	0	  	9	4.21	  	0	0	  	0	0	  	214	99.53	  	1	0.47	  	215	0.27
Yornup		                                     	16	13.45	  	0	0	  	5	4.2	  	0	0	  	80	67.23	  	0	0	  	0	0	  	0	0	  	0	0	  	11	9.24	  	0	0	  	3	2.52	  	3	2.52	  	0	0	  	0	0	  	1	0.84	  	0	0	  	0	0	  	119	95.2	  	6	4.8	  	125	0.16
Special Hospitals		                          	22	5.76	  	0	0	  	11	2.88	  	0	0	  	211	55.24	  	0	0	  	0	0	  	0	0	  	1	0.26	  	115	30.1	  	3	0.79	  	8	2.09	  	7	1.83	  	0	0	  	0	0	  	3	0.79	  	1	0.26	  	0	0	  	382	96.46	  	14	3.54	  	396	0.5
Total Ordinary		                             	9430	14.39	  	262	0.4	  	1843	2.81	  	128	0.2	  	27374	41.78	  	34	0.05	  	55	0.08	  	116	0.18	  	100	0.15	  	16825	25.68	  	219	0.33	  	931	1.42	  	4889	7.46	  	110	0.17	  	15	0.02	  	3124	4.77	  	53	0.08	  	16	0.02	  	65524	97.22	  	1874	2.78	  	67398	84.75
ABSENT		                                     	759	12.33	  	36	0.58	  	160	2.6	  	8	0.13	  	2523	40.97	  	2	0.03	  	7	0.11	  	10	0.16	  	10	0.16	  	1517	24.63	  	25	0.41	  	125	2.03	  	585	9.5	  	7	0.11	  	3	0.05	  	374	6.07	  	6	0.1	  	1	0.02	  	6158	98.86	  	71	1.14	  	6229	7.83
POSTAL		                                     	256	14.83	  	5	0.29	  	80	4.63	  	4	0.23	  	710	41.14	  	1	0.06	  	0	0	  	6	0.35	  	7	0.41	  	437	25.32	  	2	0.12	  	18	1.04	  	120	6.95	  	4	0.23	  	1	0.06	  	73	4.23	  	2	0.12	  	0	0	  	1726	98.74	  	22	1.26	  	1748	2.2
PRE_POLL		                                   	436	14.01	  	21	0.67	  	83	2.67	  	7	0.22	  	1221	39.22	  	1	0.03	  	1	0.03	  	9	0.29	  	5	0.16	  	863	27.72	  	9	0.29	  	63	2.02	  	248	7.97	  	3	0.1	  	0	0	  	140	4.5	  	3	0.1	  	0	0	  	3113	98.98	  	32	1.02	  	3145	3.95
PROVISIONAL		                                	187	18.85	  	9	0.91	  	15	1.51	  	4	0.4	  	299	30.14	  	1	0.1	  	3	0.3	  	5	0.5	  	1	0.1	  	327	32.96	  	3	0.3	  	5	0.5	  	94	9.48	  	1	0.1	  	1	0.1	  	33	3.33	  	3	0.3	  	1	0.1	  	992	98.71	  	13	1.29	  	1005	1.26
Division Summary		                           	11068	14.28	  	333	0.43	  	2181	2.81	  	151	0.19	  	32127	41.45	  	39	0.05	  	66	0.09	  	146	0.19	  	123	0.16	  	19969	25.76	  	258	0.33	  	1142	1.47	  	5936	7.66	  	125	0.16	  	20	0.03	  	3744	4.83	  	67	0.09	  	18	0.02	  	77513	97.47	  	2012	2.53	  	79525	96.2


Fremantle (84812)																																																																

	   		Group Total HAN			Group Total ASP			Group Total NP			Group Total NLP			Group Total LP			Group Total TPS			Group Total UNI			Group Total ACS			Group Total CEC			Group Total ALP			Group Total DSL			Group Total CDP			Group Total GWA			Group Total - Unendorsed Group N			Group Total - Unendorsed Group O			Group Total DEM			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Attadale		                                   	146	4.92	  	3	0.1	  	8	0.27	  	3	0.1	  	1830	61.72	  	1	0.03	  	4	0.13	  	1	0.03	  	1	0.03	  	534	18.01	  	12	0.4	  	9	0.3	  	157	5.3	  	8	0.27	  	1	0.03	  	243	8.2	  	3	0.1	  	1	0.03	  	2965	98.31	  	51	1.69	  	3016	3.74
Atwell		                                     	125	8.87	  	7	0.5	  	2	0.14	  	2	0.14	  	546	38.72	  	1	0.07	  	6	0.43	  	6	0.43	  	0	0	  	510	36.17	  	9	0.64	  	11	0.78	  	68	4.82	  	1	0.07	  	1	0.07	  	114	8.09	  	1	0.07	  	0	0	  	1410	98.95	  	15	1.05	  	1425	1.77
Beaconsfield		                               	82	4.23	  	1	0.05	  	4	0.21	  	4	0.21	  	457	23.56	  	2	0.1	  	5	0.26	  	1	0.05	  	2	0.1	  	954	49.18	  	11	0.57	  	6	0.31	  	241	12.42	  	1	0.05	  	3	0.15	  	162	8.35	  	3	0.15	  	1	0.05	  	1940	94.04	  	123	5.96	  	2063	2.56
Bibra Lake		                                 	190	8.6	  	10	0.45	  	6	0.27	  	3	0.14	  	818	37.03	  	1	0.05	  	3	0.14	  	2	0.09	  	1	0.05	  	835	37.8	  	11	0.5	  	19	0.86	  	135	6.11	  	5	0.23	  	0	0	  	167	7.56	  	2	0.09	  	1	0.05	  	2209	96.51	  	80	3.49	  	2289	2.84
Bicton		                                     	227	7.33	  	3	0.1	  	5	0.16	  	4	0.13	  	1347	43.48	  	1	0.03	  	1	0.03	  	3	0.1	  	4	0.13	  	969	31.28	  	13	0.42	  	10	0.32	  	253	8.17	  	3	0.1	  	0	0	  	250	8.07	  	5	0.16	  	0	0	  	3098	97.21	  	89	2.79	  	3187	3.95
Broome (Fremantle)		                         	9	11.25	  	0	0	  	1	1.25	  	0	0	  	21	26.25	  	0	0	  	0	0	  	0	0	  	0	0	  	29	36.25	  	0	0	  	0	0	  	14	17.5	  	0	0	  	0	0	  	6	7.5	  	0	0	  	0	0	  	80	100	  	0	0	  	80	0.1
Carnarvon (Fremantle)		                      	2	8	  	0	0	  	0	0	  	0	0	  	14	56	  	0	0	  	0	0	  	0	0	  	0	0	  	6	24	  	0	0	  	0	0	  	2	8	  	0	0	  	0	0	  	1	4	  	0	0	  	0	0	  	25	100	  	0	0	  	25	0.03
Coogee Beach		                               	191	10.33	  	3	0.16	  	2	0.11	  	3	0.16	  	677	36.61	  	2	0.11	  	2	0.11	  	1	0.05	  	2	0.11	  	710	38.4	  	10	0.54	  	4	0.22	  	116	6.27	  	2	0.11	  	2	0.11	  	121	6.54	  	1	0.05	  	0	0	  	1849	96.1	  	75	3.9	  	1924	2.38
Coolbellup		                                 	169	13.1	  	0	0	  	5	0.39	  	2	0.16	  	171	13.26	  	0	0	  	8	0.62	  	3	0.23	  	0	0	  	775	60.08	  	3	0.23	  	10	0.78	  	79	6.12	  	1	0.08	  	2	0.16	  	62	4.81	  	0	0	  	0	0	  	1290	95.77	  	57	4.23	  	1347	1.67
Coolbellup East		                            	162	11.41	  	6	0.42	  	3	0.21	  	6	0.42	  	219	15.42	  	1	0.07	  	2	0.14	  	4	0.28	  	5	0.35	  	861	60.63	  	3	0.21	  	9	0.63	  	79	5.56	  	0	0	  	1	0.07	  	57	4.01	  	1	0.07	  	1	0.07	  	1420	95.11	  	73	4.89	  	1493	1.85
East Fremantle		                             	135	5.84	  	3	0.13	  	5	0.22	  	9	0.39	  	686	29.67	  	1	0.04	  	2	0.09	  	3	0.13	  	0	0	  	889	38.45	  	14	0.61	  	7	0.3	  	335	14.49	  	11	0.48	  	0	0	  	205	8.87	  	6	0.26	  	1	0.04	  	2312	95.3	  	114	4.7	  	2426	3.01
Exmouth (Fremantle)		                        	4	6.06	  	0	0	  	0	0	  	0	0	  	25	37.88	  	0	0	  	0	0	  	0	0	  	0	0	  	27	40.91	  	0	0	  	0	0	  	3	4.55	  	0	0	  	0	0	  	7	10.61	  	0	0	  	0	0	  	66	98.51	  	1	1.49	  	67	0.08
Fremantle		                                  	92	4.78	  	2	0.1	  	1	0.05	  	5	0.26	  	429	22.27	  	1	0.05	  	4	0.21	  	1	0.05	  	0	0	  	841	43.67	  	22	1.14	  	15	0.78	  	311	16.15	  	2	0.1	  	0	0	  	191	9.92	  	7	0.36	  	2	0.1	  	1926	96.74	  	65	3.26	  	1991	2.47
Hamilton Hill East		                         	190	10.69	  	8	0.45	  	4	0.23	  	4	0.23	  	352	19.81	  	2	0.11	  	2	0.11	  	1	0.06	  	5	0.28	  	971	54.64	  	7	0.39	  	9	0.51	  	138	7.77	  	6	0.34	  	2	0.11	  	75	4.22	  	1	0.06	  	0	0	  	1777	95.13	  	91	4.87	  	1868	2.31
Hamilton Hill North		                        	114	6.28	  	2	0.11	  	7	0.39	  	2	0.11	  	465	25.62	  	0	0	  	1	0.06	  	2	0.11	  	0	0	  	999	55.04	  	12	0.66	  	5	0.28	  	111	6.12	  	3	0.17	  	3	0.17	  	88	4.85	  	1	0.06	  	0	0	  	1815	90.43	  	192	9.57	  	2007	2.49
Hamilton Hill South		                        	134	11.07	  	4	0.33	  	0	0	  	0	0	  	214	17.67	  	1	0.08	  	1	0.08	  	2	0.17	  	0	0	  	749	61.85	  	5	0.41	  	4	0.33	  	48	3.96	  	0	0	  	0	0	  	49	4.05	  	0	0	  	0	0	  	1211	93.08	  	90	6.92	  	1301	1.61
Hilton		                                     	127	7.66	  	0	0	  	1	0.06	  	4	0.24	  	273	16.47	  	0	0	  	4	0.24	  	3	0.18	  	2	0.12	  	883	53.26	  	5	0.3	  	12	0.72	  	221	13.33	  	1	0.06	  	6	0.36	  	114	6.88	  	2	0.12	  	0	0	  	1658	94.74	  	92	5.26	  	1750	2.17
Jandakot		                                   	116	11.04	  	6	0.57	  	7	0.67	  	0	0	  	441	41.96	  	0	0	  	1	0.1	  	1	0.1	  	0	0	  	366	34.82	  	6	0.57	  	5	0.48	  	48	4.57	  	0	0	  	0	0	  	53	5.04	  	1	0.1	  	0	0	  	1051	97.05	  	32	2.95	  	1083	1.34
Kalbarri (Fremantle)		                       	4	7.27	  	0	0	  	1	1.82	  	1	1.82	  	19	34.55	  	0	0	  	0	0	  	0	0	  	0	0	  	16	29.09	  	1	1.82	  	0	0	  	3	5.45	  	0	0	  	0	0	  	10	18.18	  	0	0	  	0	0	  	55	98.21	  	1	1.79	  	56	0.07
Kardinya (Fremantle)		                       	102	8.08	  	2	0.16	  	5	0.4	  	1	0.08	  	541	42.83	  	1	0.08	  	4	0.32	  	3	0.24	  	1	0.08	  	426	33.73	  	5	0.4	  	11	0.87	  	72	5.7	  	2	0.16	  	1	0.08	  	84	6.65	  	1	0.08	  	1	0.08	  	1263	96.34	  	48	3.66	  	1311	1.62
Kardinya West		                              	114	9.32	  	3	0.25	  	5	0.41	  	1	0.08	  	481	39.33	  	1	0.08	  	3	0.25	  	1	0.08	  	2	0.16	  	440	35.98	  	4	0.33	  	5	0.41	  	81	6.62	  	3	0.25	  	0	0	  	78	6.38	  	1	0.08	  	0	0	  	1223	97.37	  	33	2.63	  	1256	1.56
Lakeland		                                   	115	8.48	  	3	0.22	  	3	0.22	  	4	0.29	  	486	35.84	  	0	0	  	0	0	  	2	0.15	  	1	0.07	  	556	41	  	11	0.81	  	11	0.81	  	64	4.72	  	1	0.07	  	1	0.07	  	97	7.15	  	1	0.07	  	0	0	  	1356	97.62	  	33	2.38	  	1389	1.72
Melville Heights		                           	146	9.12	  	2	0.12	  	1	0.06	  	0	0	  	609	38.04	  	0	0	  	2	0.12	  	1	0.06	  	2	0.12	  	572	35.73	  	6	0.37	  	15	0.94	  	100	6.25	  	3	0.19	  	5	0.31	  	134	8.37	  	2	0.12	  	1	0.06	  	1601	96.56	  	57	3.44	  	1658	2.05
Melville South		                             	76	8.33	  	3	0.33	  	1	0.11	  	1	0.11	  	414	45.39	  	1	0.11	  	0	0	  	1	0.11	  	1	0.11	  	271	29.71	  	5	0.55	  	3	0.33	  	64	7.02	  	1	0.11	  	0	0	  	68	7.46	  	2	0.22	  	0	0	  	912	97.85	  	20	2.15	  	932	1.15
Munster		                                    	115	11.42	  	4	0.4	  	5	0.5	  	1	0.1	  	328	32.57	  	1	0.1	  	2	0.2	  	3	0.3	  	1	0.1	  	423	42.01	  	6	0.6	  	3	0.3	  	63	6.26	  	2	0.2	  	0	0	  	46	4.57	  	2	0.2	  	2	0.2	  	1007	95.09	  	52	4.91	  	1059	1.31
Myaree		                                     	137	7.12	  	2	0.1	  	5	0.26	  	3	0.16	  	788	40.94	  	1	0.05	  	2	0.1	  	0	0	  	2	0.1	  	631	32.78	  	9	0.47	  	8	0.42	  	131	6.81	  	7	0.36	  	0	0	  	197	10.23	  	2	0.1	  	0	0	  	1925	98.16	  	36	1.84	  	1961	2.43
North Fremantle		                            	54	5.77	  	0	0	  	3	0.32	  	4	0.43	  	285	30.45	  	0	0	  	2	0.21	  	0	0	  	1	0.11	  	332	35.47	  	4	0.43	  	0	0	  	139	14.85	  	0	0	  	2	0.21	  	109	11.65	  	1	0.11	  	0	0	  	936	97.81	  	21	2.19	  	957	1.19
Palmyra		                                    	189	7.45	  	4	0.16	  	3	0.12	  	3	0.12	  	776	30.6	  	1	0.04	  	2	0.08	  	6	0.24	  	3	0.12	  	1044	41.17	  	14	0.55	  	10	0.39	  	257	10.13	  	5	0.2	  	6	0.24	  	209	8.24	  	3	0.12	  	1	0.04	  	2536	95.92	  	108	4.08	  	2644	3.28
Palmyra North		                              	26	5.15	  	1	0.2	  	2	0.4	  	2	0.4	  	170	33.66	  	0	0	  	1	0.2	  	3	0.59	  	0	0	  	200	39.6	  	1	0.2	  	5	0.99	  	57	11.29	  	0	0	  	1	0.2	  	36	7.13	  	0	0	  	0	0	  	505	96.56	  	18	3.44	  	523	0.65
Perth (Fremantle)		                          	4	3.88	  	0	0	  	0	0	  	0	0	  	33	32.04	  	1	0.97	  	1	0.97	  	1	0.97	  	0	0	  	40	38.83	  	1	0.97	  	1	0.97	  	11	10.68	  	0	0	  	0	0	  	10	9.71	  	0	0	  	0	0	  	103	97.17	  	3	2.83	  	106	0.13
Richmond		                                   	134	5.83	  	2	0.09	  	1	0.04	  	6	0.26	  	991	43.11	  	3	0.13	  	3	0.13	  	4	0.17	  	0	0	  	691	30.06	  	13	0.57	  	3	0.13	  	250	10.87	  	6	0.26	  	1	0.04	  	190	8.26	  	1	0.04	  	0	0	  	2299	97.58	  	57	2.42	  	2356	2.92
Rottnest (Fremantle)		                       	0	0	  	1	0.9	  	2	1.8	  	0	0	  	40	36.04	  	0	0	  	0	0	  	0	0	  	0	0	  	40	36.04	  	0	0	  	3	2.7	  	14	12.61	  	0	0	  	0	0	  	11	9.91	  	0	0	  	0	0	  	111	100	  	0	0	  	111	0.14
Samson		                                     	162	8.3	  	1	0.05	  	4	0.21	  	5	0.26	  	643	32.96	  	2	0.1	  	3	0.15	  	2	0.1	  	0	0	  	862	44.18	  	12	0.62	  	11	0.56	  	110	5.64	  	2	0.1	  	1	0.05	  	128	6.56	  	3	0.15	  	0	0	  	1951	96.06	  	80	3.94	  	2031	2.52
South Fremantle		                            	35	2.42	  	1	0.07	  	3	0.21	  	2	0.14	  	408	28.22	  	3	0.21	  	1	0.07	  	1	0.07	  	0	0	  	571	39.49	  	15	1.04	  	6	0.41	  	251	17.36	  	1	0.07	  	0	0	  	147	10.17	  	1	0.07	  	0	0	  	1446	96.34	  	55	3.66	  	1501	1.86
South Lake		                                 	166	8.52	  	5	0.26	  	4	0.21	  	4	0.21	  	523	26.85	  	0	0	  	6	0.31	  	3	0.15	  	0	0	  	988	50.72	  	8	0.41	  	24	1.23	  	111	5.7	  	5	0.26	  	4	0.21	  	90	4.62	  	6	0.31	  	1	0.05	  	1948	96.63	  	68	3.37	  	2016	2.5
Spearwood		                                  	242	9.18	  	10	0.38	  	10	0.38	  	8	0.3	  	593	22.5	  	2	0.08	  	3	0.11	  	2	0.08	  	3	0.11	  	1477	56.03	  	12	0.46	  	11	0.42	  	138	5.24	  	4	0.15	  	3	0.11	  	115	4.36	  	2	0.08	  	1	0.04	  	2636	94.55	  	152	5.45	  	2788	3.45
Spearwood South		                            	211	7.98	  	5	0.19	  	5	0.19	  	5	0.19	  	704	26.62	  	1	0.04	  	1	0.04	  	6	0.23	  	3	0.11	  	1452	54.9	  	10	0.38	  	7	0.26	  	107	4.05	  	3	0.11	  	5	0.19	  	116	4.39	  	4	0.15	  	0	0	  	2645	94.36	  	158	5.64	  	2803	3.47
Spearwood West		                             	249	8.23	  	6	0.2	  	6	0.2	  	4	0.13	  	686	22.67	  	2	0.07	  	2	0.07	  	2	0.07	  	6	0.2	  	1709	56.48	  	9	0.3	  	21	0.69	  	174	5.75	  	1	0.03	  	1	0.03	  	142	4.69	  	5	0.17	  	1	0.03	  	3026	93.86	  	198	6.14	  	3224	3.99
Wattleup		                                   	57	9.02	  	6	0.95	  	2	0.32	  	1	0.16	  	141	22.31	  	0	0	  	3	0.47	  	0	0	  	2	0.32	  	335	53.01	  	3	0.47	  	4	0.63	  	43	6.8	  	0	0	  	0	0	  	34	5.38	  	1	0.16	  	0	0	  	632	93.63	  	43	6.37	  	675	0.84
White Gum Valley		                           	93	5.42	  	1	0.06	  	3	0.17	  	2	0.12	  	369	21.52	  	0	0	  	7	0.41	  	4	0.23	  	1	0.06	  	847	49.39	  	8	0.47	  	2	0.12	  	272	15.86	  	2	0.12	  	3	0.17	  	100	5.83	  	1	0.06	  	0	0	  	1715	93.77	  	114	6.23	  	1829	2.27
Willagee		                                   	105	8.54	  	3	0.24	  	5	0.41	  	3	0.24	  	248	20.18	  	1	0.08	  	2	0.16	  	3	0.24	  	4	0.33	  	699	56.88	  	7	0.57	  	15	1.22	  	69	5.61	  	2	0.16	  	0	0	  	60	4.88	  	3	0.24	  	0	0	  	1229	94.76	  	68	5.24	  	1297	1.61
Willagee East		                              	136	8.41	  	2	0.12	  	3	0.19	  	2	0.12	  	579	35.81	  	2	0.12	  	4	0.25	  	3	0.19	  	4	0.25	  	650	40.2	  	6	0.37	  	5	0.31	  	117	7.24	  	3	0.19	  	3	0.19	  	97	6	  	1	0.06	  	0	0	  	1617	95.91	  	69	4.09	  	1686	2.09
Yangebup		                                   	280	9.65	  	8	0.28	  	10	0.34	  	4	0.14	  	843	29.05	  	0	0	  	1	0.03	  	9	0.31	  	3	0.1	  	1405	48.41	  	16	0.55	  	15	0.52	  	165	5.69	  	2	0.07	  	0	0	  	136	4.69	  	5	0.17	  	0	0	  	2902	97.38	  	78	2.62	  	2980	3.69
Yangebup South		                             	36	7.23	  	0	0	  	1	0.2	  	0	0	  	144	28.92	  	0	0	  	1	0.2	  	1	0.2	  	0	0	  	239	47.99	  	4	0.8	  	9	1.81	  	34	6.83	  	0	0	  	2	0.4	  	27	5.42	  	0	0	  	0	0	  	498	98.22	  	9	1.78	  	507	0.63
Special Hospitals		                          	34	6.6	  	2	0.39	  	0	0	  	0	0	  	207	40.19	  	3	0.58	  	1	0.19	  	0	0	  	2	0.39	  	241	46.8	  	4	0.78	  	2	0.39	  	10	1.94	  	1	0.19	  	2	0.39	  	5	0.97	  	1	0.19	  	0	0	  	515	96.62	  	18	3.38	  	533	0.66
Total Ordinary		                             	5237	7.85	  	135	0.2	  	154	0.23	  	118	0.18	  	21034	31.54	  	40	0.06	  	103	0.15	  	95	0.14	  	64	0.1	  	29065	43.58	  	337	0.51	  	345	0.52	  	5266	7.9	  	100	0.15	  	62	0.09	  	4441	6.66	  	83	0.12	  	15	0.02	  	66694	95.92	  	2837	4.08	  	69531	86.16
ABSENT		                                     	389	8.01	  	26	0.54	  	24	0.49	  	14	0.29	  	1657	34.14	  	2	0.04	  	16	0.33	  	12	0.25	  	4	0.08	  	1711	35.25	  	31	0.64	  	39	0.8	  	551	11.35	  	9	0.19	  	2	0.04	  	360	7.42	  	4	0.08	  	3	0.06	  	4854	98.38	  	80	1.62	  	4934	6.11
POSTAL		                                     	194	11.24	  	2	0.12	  	9	0.52	  	5	0.29	  	544	31.52	  	1	0.06	  	0	0	  	1	0.06	  	0	0	  	745	43.16	  	7	0.41	  	14	0.81	  	98	5.68	  	2	0.12	  	7	0.41	  	94	5.45	  	3	0.17	  	0	0	  	1726	99.02	  	17	0.98	  	1743	2.16
PRE_POLL		                                   	259	6.64	  	16	0.41	  	12	0.31	  	12	0.31	  	1370	35.15	  	3	0.08	  	8	0.21	  	8	0.21	  	2	0.05	  	1523	39.07	  	14	0.36	  	24	0.62	  	384	9.85	  	1	0.03	  	1	0.03	  	250	6.41	  	9	0.23	  	2	0.05	  	3898	99.29	  	28	0.71	  	3926	4.86
PROVISIONAL		                                	38	6.96	  	3	0.55	  	2	0.37	  	4	0.73	  	143	26.19	  	0	0	  	0	0	  	1	0.18	  	0	0	  	259	47.44	  	4	0.73	  	2	0.37	  	59	10.81	  	0	0	  	3	0.55	  	25	4.58	  	2	0.37	  	1	0.18	  	546	96.3	  	21	3.7	  	567	0.7
Division Summary		                           	6117	7.87	  	182	0.23	  	201	0.26	  	153	0.2	  	24748	31.84	  	46	0.06	  	127	0.16	  	117	0.15	  	70	0.09	  	33303	42.85	  	393	0.51	  	424	0.55	  	6358	8.18	  	112	0.14	  	75	0.1	  	5170	6.65	  	101	0.13	  	21	0.03	  	77718	96.3	  	2983	3.7	  	80701	95.15


Kalgoorlie (82463)																																																																

	   		Group Total HAN			Group Total ASP			Group Total NP			Group Total NLP			Group Total LP			Group Total TPS			Group Total UNI			Group Total ACS			Group Total CEC			Group Total ALP			Group Total DSL			Group Total CDP			Group Total GWA			Group Total - Unendorsed Group N			Group Total - Unendorsed Group O			Group Total DEM			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Ajana		                                      	11	13.75	  	1	1.25	  	18	22.5	  	1	1.25	  	40	50	  	0	0	  	0	0	  	0	0	  	0	0	  	9	11.25	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	80	93.02	  	6	6.98	  	86	0.12
Argyle		                                     	9	18.75	  	0	0	  	1	2.08	  	0	0	  	21	43.75	  	0	0	  	0	0	  	1	2.08	  	0	0	  	12	25	  	0	0	  	0	0	  	2	4.17	  	0	0	  	0	0	  	2	4.17	  	0	0	  	0	0	  	48	97.96	  	1	2.04	  	49	0.07
Balgo		                                      	1	1.82	  	1	1.82	  	1	1.82	  	0	0	  	6	10.91	  	0	0	  	1	1.82	  	1	1.82	  	1	1.82	  	34	61.82	  	0	0	  	0	0	  	4	7.27	  	1	1.82	  	0	0	  	4	7.27	  	0	0	  	0	0	  	55	93.22	  	4	6.78	  	59	0.08
Barrow Island		                              	0	0	  	0	0	  	0	0	  	0	0	  	2	100	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	100	  	0	0	  	2	0
Bodallin		                                   	16	25.4	  	0	0	  	9	14.29	  	0	0	  	26	41.27	  	0	0	  	0	0	  	0	0	  	0	0	  	6	9.52	  	0	0	  	0	0	  	1	1.59	  	3	4.76	  	0	0	  	2	3.17	  	0	0	  	0	0	  	63	95.45	  	3	4.55	  	66	0.09
Boulder		                                    	467	14.67	  	37	1.16	  	82	2.58	  	8	0.25	  	900	28.28	  	2	0.06	  	4	0.13	  	17	0.53	  	7	0.22	  	1177	36.98	  	11	0.35	  	21	0.66	  	99	3.11	  	238	7.48	  	0	0	  	110	3.46	  	2	0.06	  	1	0.03	  	3183	97.01	  	98	2.99	  	3281	4.55
Broome (Kalgoorlie)		                        	212	8.87	  	8	0.33	  	36	1.51	  	6	0.25	  	744	31.13	  	1	0.04	  	16	0.67	  	5	0.21	  	5	0.21	  	966	40.42	  	4	0.17	  	9	0.38	  	232	9.71	  	47	1.97	  	0	0	  	94	3.93	  	4	0.17	  	1	0.04	  	2390	97.71	  	56	2.29	  	2446	3.39
Broome West		                                	81	7.53	  	5	0.46	  	17	1.58	  	1	0.09	  	416	38.66	  	0	0	  	4	0.37	  	4	0.37	  	1	0.09	  	348	32.34	  	5	0.46	  	14	1.3	  	98	9.11	  	26	2.42	  	0	0	  	55	5.11	  	1	0.09	  	0	0	  	1076	99.08	  	10	0.92	  	1086	1.5
Bullfinch		                                  	6	14.29	  	0	0	  	2	4.76	  	0	0	  	13	30.95	  	0	0	  	0	0	  	0	0	  	0	0	  	10	23.81	  	0	0	  	0	0	  	0	0	  	10	23.81	  	0	0	  	1	2.38	  	0	0	  	0	0	  	42	95.45	  	2	4.55	  	44	0.06
Burracoppin		                                	5	6.25	  	0	0	  	12	15	  	0	0	  	48	60	  	0	0	  	0	0	  	0	0	  	0	0	  	6	7.5	  	0	0	  	1	1.25	  	0	0	  	3	3.75	  	0	0	  	5	6.25	  	0	0	  	0	0	  	80	98.77	  	1	1.23	  	81	0.11
Carnarvon (Kalgoorlie)		                     	231	16.76	  	21	1.52	  	87	6.31	  	9	0.65	  	418	30.33	  	2	0.15	  	4	0.29	  	0	0	  	2	0.15	  	477	34.62	  	4	0.29	  	10	0.73	  	45	3.27	  	34	2.47	  	0	0	  	33	2.39	  	1	0.07	  	0	0	  	1378	96.97	  	43	3.03	  	1421	1.97
