Senate -  1998 Election: Victoria																																																																									
First Preference Votes by Group																																																																									
By Polling Place																																																																									


Aston (84875)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CDP			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alfredton		                                  	0	0	  	2	0.44	  	31	6.75	  	0	0	  	4	0.87	  	0	0	  	0	0	  	0	0	  	3	0.65	  	6	1.31	  	166	36.17	  	209	45.53	  	1	0.22	  	5	1.09	  	0	0	  	27	5.88	  	0	0	  	4	0.87	  	0	0	  	1	0.22	  	0	0	  	459	96.03	  	19	3.97	  	478	0.6
Alfredton West		                             	5	0.24	  	2	0.1	  	177	8.66	  	0	0	  	19	0.93	  	0	0	  	1	0.05	  	3	0.15	  	7	0.34	  	13	0.64	  	531	25.99	  	1164	56.98	  	1	0.05	  	9	0.44	  	2	0.1	  	76	3.72	  	1	0.05	  	32	1.57	  	0	0	  	0	0	  	0	0	  	2043	97.66	  	49	2.34	  	2092	2.64
Amphitheatre		                               	1	0.47	  	0	0	  	9	4.21	  	2	0.93	  	1	0.47	  	0	0	  	2	0.93	  	1	0.47	  	1	0.47	  	1	0.47	  	63	29.44	  	111	51.87	  	0	0	  	1	0.47	  	0	0	  	9	4.21	  	1	0.47	  	11	5.14	  	0	0	  	0	0	  	0	0	  	214	96.4	  	8	3.6	  	222	0.28
Ascot		                                      	0	0	  	1	0.75	  	8	5.97	  	0	0	  	1	0.75	  	0	0	  	0	0	  	0	0	  	0	0	  	2	1.49	  	16	11.94	  	98	73.13	  	0	0	  	1	0.75	  	1	0.75	  	3	2.24	  	0	0	  	3	2.24	  	0	0	  	0	0	  	0	0	  	134	97.1	  	4	2.9	  	138	0.17
Avoca		                                      	3	0.35	  	0	0	  	55	6.39	  	3	0.35	  	4	0.46	  	0	0	  	2	0.23	  	0	0	  	6	0.7	  	5	0.58	  	296	34.38	  	373	43.32	  	0	0	  	12	1.39	  	1	0.12	  	66	7.67	  	0	0	  	35	4.07	  	0	0	  	0	0	  	0	0	  	861	95.45	  	41	4.55	  	902	1.14
Ballan		                                     	6	0.41	  	3	0.2	  	151	10.29	  	5	0.34	  	20	1.36	  	0	0	  	2	0.14	  	0	0	  	3	0.2	  	7	0.48	  	612	41.72	  	539	36.74	  	2	0.14	  	8	0.55	  	1	0.07	  	74	5.04	  	0	0	  	32	2.18	  	1	0.07	  	1	0.07	  	0	0	  	1467	95.2	  	74	4.8	  	1541	1.95
Ballarat		                                   	2	0.15	  	0	0	  	139	10.23	  	3	0.22	  	46	3.38	  	0	0	  	0	0	  	0	0	  	5	0.37	  	10	0.74	  	515	37.9	  	552	40.62	  	2	0.15	  	11	0.81	  	1	0.07	  	51	3.75	  	2	0.15	  	19	1.4	  	1	0.07	  	0	0	  	0	0	  	1359	96.86	  	44	3.14	  	1403	1.77
Ballarat City		                              	0	0	  	0	0	  	52	9.44	  	0	0	  	11	2	  	0	0	  	2	0.36	  	1	0.18	  	4	0.73	  	2	0.36	  	99	17.97	  	355	64.43	  	0	0	  	1	0.18	  	1	0.18	  	18	3.27	  	1	0.18	  	4	0.73	  	0	0	  	0	0	  	0	0	  	551	97.18	  	16	2.82	  	567	0.72
Ballarat North		                             	13	0.62	  	2	0.1	  	167	7.96	  	5	0.24	  	25	1.19	  	1	0.05	  	1	0.05	  	3	0.14	  	5	0.24	  	8	0.38	  	796	37.92	  	934	44.5	  	2	0.1	  	11	0.52	  	4	0.19	  	76	3.62	  	0	0	  	42	2	  	4	0.19	  	0	0	  	0	0	  	2099	96.46	  	77	3.54	  	2176	2.75
Ballarat North West		                        	2	0.17	  	0	0	  	115	9.76	  	2	0.17	  	30	2.55	  	0	0	  	0	0	  	1	0.08	  	4	0.34	  	9	0.76	  	353	29.97	  	618	52.46	  	1	0.08	  	5	0.42	  	0	0	  	28	2.38	  	0	0	  	10	0.85	  	0	0	  	0	0	  	0	0	  	1178	96.88	  	38	3.13	  	1216	1.54
Ballarat South		                             	2	0.16	  	0	0	  	61	4.78	  	1	0.08	  	16	1.25	  	0	0	  	3	0.23	  	2	0.16	  	4	0.31	  	15	1.17	  	654	51.21	  	425	33.28	  	0	0	  	10	0.78	  	3	0.23	  	63	4.93	  	1	0.08	  	17	1.33	  	0	0	  	0	0	  	0	0	  	1277	94.94	  	68	5.06	  	1345	1.7
Ballarat South West		                        	12	0.61	  	0	0	  	173	8.86	  	1	0.05	  	62	3.17	  	0	0	  	2	0.1	  	4	0.2	  	6	0.31	  	15	0.77	  	718	36.76	  	846	43.32	  	3	0.15	  	5	0.26	  	1	0.05	  	71	3.64	  	0	0	  	33	1.69	  	1	0.05	  	0	0	  	0	0	  	1953	96.68	  	67	3.32	  	2020	2.55
Black Hill		                                 	7	0.32	  	0	0	  	220	10.01	  	12	0.55	  	42	1.91	  	2	0.09	  	2	0.09	  	6	0.27	  	6	0.27	  	14	0.64	  	860	39.14	  	879	40.01	  	1	0.05	  	7	0.32	  	0	0	  	94	4.28	  	1	0.05	  	38	1.73	  	3	0.14	  	2	0.09	  	1	0.05	  	2197	96.28	  	85	3.72	  	2282	2.88
Blackwood		                                  	0	0	  	0	0	  	33	11.74	  	0	0	  	6	2.14	  	0	0	  	0	0	  	0	0	  	1	0.36	  	1	0.36	  	128	45.55	  	80	28.47	  	1	0.36	  	1	0.36	  	0	0	  	26	9.25	  	0	0	  	3	1.07	  	1	0.36	  	0	0	  	0	0	  	281	94.61	  	16	5.39	  	297	0.38
Brown Hill		                                 	4	0.22	  	2	0.11	  	162	9.08	  	7	0.39	  	23	1.29	  	1	0.06	  	1	0.06	  	4	0.22	  	9	0.5	  	13	0.73	  	744	41.68	  	680	38.1	  	2	0.11	  	13	0.73	  	0	0	  	87	4.87	  	3	0.17	  	28	1.57	  	2	0.11	  	0	0	  	0	0	  	1785	95.1	  	92	4.9	  	1877	2.37
Bungaree		                                   	0	0	  	0	0	  	12	3.75	  	0	0	  	5	1.56	  	0	0	  	1	0.31	  	1	0.31	  	2	0.63	  	6	1.88	  	69	21.56	  	197	61.56	  	0	0	  	1	0.31	  	0	0	  	17	5.31	  	0	0	  	8	2.5	  	1	0.31	  	0	0	  	0	0	  	320	94.4	  	19	5.6	  	339	0.43
Buninyong		                                  	3	0.14	  	0	0	  	276	12.53	  	5	0.23	  	46	2.09	  	0	0	  	3	0.14	  	5	0.23	  	8	0.36	  	6	0.27	  	808	36.68	  	863	39.17	  	2	0.09	  	11	0.5	  	3	0.14	  	125	5.67	  	3	0.14	  	33	1.5	  	3	0.14	  	0	0	  	0	0	  	2203	97.31	  	61	2.69	  	2264	2.86
Burrumbeet		                                 	1	0.56	  	0	0	  	9	5.08	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	1.69	  	39	22.03	  	110	62.15	  	0	0	  	0	0	  	0	0	  	11	6.21	  	0	0	  	4	2.26	  	0	0	  	0	0	  	0	0	  	177	94.15	  	11	5.85	  	188	0.24
Canadian		                                   	4	0.21	  	0	0	  	149	7.99	  	5	0.27	  	34	1.82	  	0	0	  	6	0.32	  	6	0.32	  	4	0.21	  	22	1.18	  	923	49.49	  	569	30.51	  	2	0.11	  	12	0.64	  	3	0.16	  	82	4.4	  	1	0.05	  	36	1.93	  	5	0.27	  	1	0.05	  	1	0.05	  	1865	96.04	  	77	3.96	  	1942	2.45
