Senate -  1998 Election: Victoria																																																																									
First Preference Votes by Group																																																																									
By Polling Place																																																																									


Aston (84875)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CDP			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Anglesea		                                   	5	0.37	  	1	0.07	  	154	11.36	  	6	0.44	  	68	5.01	  	1	0.07	  	4	0.29	  	0	0	  	1	0.07	  	13	0.96	  	452	33.33	  	581	42.85	  	0	0	  	3	0.22	  	4	0.29	  	45	3.32	  	0	0	  	18	1.33	  	0	0	  	0	0	  	0	0	  	1356	95.7	  	61	4.3	  	1417	1.84
Apollo Bay		                                 	5	0.45	  	2	0.18	  	109	9.85	  	1	0.09	  	86	7.77	  	0	0	  	2	0.18	  	5	0.45	  	2	0.18	  	13	1.17	  	323	29.18	  	502	45.35	  	1	0.09	  	3	0.27	  	1	0.09	  	39	3.52	  	0	0	  	13	1.17	  	0	0	  	0	0	  	0	0	  	1107	96.51	  	40	3.49	  	1147	1.49
Bannockburn		                                	4	0.32	  	3	0.24	  	148	11.76	  	5	0.4	  	25	1.99	  	0	0	  	1	0.08	  	1	0.08	  	2	0.16	  	11	0.87	  	390	31	  	537	42.69	  	0	0	  	12	0.95	  	3	0.24	  	81	6.44	  	0	0	  	35	2.78	  	0	0	  	0	0	  	0	0	  	1258	96.55	  	45	3.45	  	1303	1.7
Barongarook		                                	2	1.08	  	0	0	  	25	13.44	  	0	0	  	5	2.69	  	0	0	  	1	0.54	  	0	0	  	0	0	  	1	0.54	  	54	29.03	  	82	44.09	  	0	0	  	0	0	  	1	0.54	  	12	6.45	  	0	0	  	3	1.61	  	0	0	  	0	0	  	0	0	  	186	100	  	0	0	  	186	0.24
Barwon Heads		                               	4	0.28	  	4	0.28	  	148	10.51	  	7	0.5	  	74	5.26	  	0	0	  	5	0.36	  	1	0.07	  	7	0.5	  	16	1.14	  	546	38.78	  	524	37.22	  	0	0	  	8	0.57	  	0	0	  	49	3.48	  	1	0.07	  	11	0.78	  	3	0.21	  	0	0	  	0	0	  	1408	96.77	  	47	3.23	  	1455	1.89
Beeac		                                      	1	0.27	  	0	0	  	22	5.91	  	1	0.27	  	2	0.54	  	0	0	  	1	0.27	  	1	0.27	  	3	0.81	  	3	0.81	  	81	21.77	  	214	57.53	  	0	0	  	0	0	  	1	0.27	  	35	9.41	  	0	0	  	7	1.88	  	0	0	  	0	0	  	0	0	  	372	95.14	  	19	4.86	  	391	0.51
Bellaire		                                   	2	0.06	  	0	0	  	407	12.21	  	6	0.18	  	86	2.58	  	0	0	  	4	0.12	  	0	0	  	14	0.42	  	26	0.78	  	955	28.66	  	1668	50.06	  	1	0.03	  	27	0.81	  	1	0.03	  	98	2.94	  	3	0.09	  	28	0.84	  	4	0.12	  	1	0.03	  	1	0.03	  	3332	97.11	  	99	2.89	  	3431	4.47
Bellbrae		                                   	0	0	  	0	0	  	55	10.83	  	3	0.59	  	32	6.3	  	0	0	  	1	0.2	  	0	0	  	3	0.59	  	5	0.98	  	157	30.91	  	229	45.08	  	0	0	  	3	0.59	  	1	0.2	  	13	2.56	  	0	0	  	6	1.18	  	0	0	  	0	0	  	0	0	  	508	98.26	  	9	1.74	  	517	0.67
Belmont		                                    	5	0.25	  	0	0	  	200	9.84	  	5	0.25	  	42	2.07	  	1	0.05	  	2	0.1	  	2	0.1	  	8	0.39	  	11	0.54	  	763	37.53	  	870	42.79	  	5	0.25	  	11	0.54	  	0	0	  	84	4.13	  	0	0	  	23	1.13	  	0	0	  	1	0.05	  	0	0	  	2033	96.44	  	75	3.56	  	2108	2.74
Belmont North		                              	12	0.5	  	2	0.08	  	287	11.86	  	5	0.21	  	88	3.64	  	0	0	  	1	0.04	  	0	0	  	8	0.33	  	20	0.83	  	860	35.55	  	1011	41.79	  	3	0.12	  	19	0.79	  	5	0.21	  	76	3.14	  	0	0	  	20	0.83	  	1	0.04	  	0	0	  	1	0.04	  	2419	96.53	  	87	3.47	  	2506	3.26
Birregurra		                                 	1	0.18	  	1	0.18	  	55	9.73	  	1	0.18	  	19	3.36	  	0	0	  	0	0	  	0	0	  	4	0.71	  	6	1.06	  	160	28.32	  	268	47.43	  	1	0.18	  	4	0.71	  	3	0.53	  	35	6.19	  	2	0.35	  	5	0.88	  	0	0	  	0	0	  	0	0	  	565	94.96	  	30	5.04	  	595	0.77
Carlisle River		                             	1	1.02	  	0	0	  	7	7.14	  	0	0	  	4	4.08	  	0	0	  	0	0	  	0	0	  	1	1.02	  	3	3.06	  	21	21.43	  	46	46.94	  	0	0	  	0	0	  	0	0	  	12	12.24	  	1	1.02	  	2	2.04	  	0	0	  	0	0	  	0	0	  	98	98.99	  	1	1.01	  	99	0.13
Ceres		                                      	0	0	  	0	0	  	60	12.4	  	0	0	  	8	1.65	  	0	0	  	0	0	  	0	0	  	2	0.41	  	1	0.21	  	86	17.77	  	289	59.71	  	0	0	  	5	1.03	  	0	0	  	23	4.75	  	0	0	  	10	2.07	  	0	0	  	0	0	  	0	0	  	484	96.22	  	19	3.78	  	503	0.65
Colac		                                      	11	0.64	  	2	0.12	  	110	6.44	  	5	0.29	  	28	1.64	  	0	0	  	5	0.29	  	5	0.29	  	19	1.11	  	24	1.4	  	599	35.05	  	722	42.25	  	2	0.12	  	8	0.47	  	4	0.23	  	83	4.86	  	1	0.06	  	78	4.56	  	2	0.12	  	1	0.06	  	0	0	  	1709	95.1	  	88	4.9	  	1797	2.34
Colac East		                                 	7	0.36	  	2	0.1	  	127	6.56	  	5	0.26	  	25	1.29	  	0	0	  	2	0.1	  	8	0.41	  	14	0.72	  	23	1.19	  	559	28.89	  	913	47.18	  	2	0.1	  	9	0.47	  	9	0.47	  	159	8.22	  	1	0.05	  	69	3.57	  	1	0.05	  	0	0	  	0	0	  	1935	95.79	  	85	4.21	  	2020	2.63
Colac West		                                 	12	0.68	  	3	0.17	  	107	6.03	  	9	0.51	  	28	1.58	  	1	0.06	  	2	0.11	  	7	0.39	  	7	0.39	  	26	1.46	  	560	31.55	  	855	48.17	  	1	0.06	  	2	0.11	  	4	0.23	  	103	5.8	  	0	0	  	46	2.59	  	1	0.06	  	0	0	  	1	0.06	  	1775	95.23	  	89	4.77	  	1864	2.43
Collendina		                                 	8	0.27	  	3	0.1	  	408	13.77	  	7	0.24	  	67	2.26	  	0	0	  	4	0.13	  	1	0.03	  	9	0.3	  	23	0.78	  	1142	38.54	  	1135	38.31	  	0	0	  	15	0.51	  	2	0.07	  	101	3.41	  	1	0.03	  	37	1.25	  	0	0	  	0	0	  	0	0	  	2963	97.76	  	68	2.24	  	3031	3.95
Connewarre		                                 	0	0	  	1	0.41	  	20	8.2	  	1	0.41	  	14	5.74	  	0	0	  	1	0.41	  	0	0	  	0	0	  	1	0.41	  	96	39.34	  	94	38.52	  	0	0	  	3	1.23	  	0	0	  	7	2.87	  	0	0	  	6	2.46	  	0	0	  	0	0	  	0	0	  	244	97.21	  	7	2.79	  	251	0.33
Cororooke		                                  	1	0.23	  	0	0	  	33	7.57	  	0	0	  	9	2.06	  	0	0	  	0	0	  	3	0.69	  	2	0.46	  	8	1.83	  	101	23.17	  	228	52.29	  	2	0.46	  	0	0	  	0	0	  	34	7.8	  	0	0	  	14	3.21	  	0	0	  	0	0	  	1	0.23	  	436	95.2	  	22	4.8	  	458	0.6
Cressy		                                     	1	0.7	  	0	0	  	9	6.34	  	0	0	  	2	1.41	  	0	0	  	0	0	  	0	0	  	1	0.7	  	2	1.41	  	19	13.38	  	85	59.86	  	0	0	  	0	0	  	0	0	  	18	12.68	  	0	0	  	5	3.52	  	0	0	  	0	0	  	0	0	  	142	94.04	  	9	5.96	  	151	0.2
Deans Marsh		                                	1	0.4	  	0	0	  	25	10	  	0	0	  	13	5.2	  	0	0	  	2	0.8	  	0	0	  	2	0.8	  	3	1.2	  	74	29.6	  	95	38	  	1	0.4	  	0	0	  	0	0	  	31	12.4	  	0	0	  	3	1.2	  	0	0	  	0	0	  	0	0	  	250	97.66	  	6	2.34	  	256	0.33
Dereel		                                     	0	0	  	0	0	  	22	8.98	  	1	0.41	  	3	1.22	  	0	0	  	0	0	  	1	0.41	  	1	0.41	  	2	0.82	  	97	39.59	  	71	28.98	  	0	0	  	0	0	  	2	0.82	  	30	12.24	  	0	0	  	15	6.12	  	0	0	  	0	0	  	0	0	  	245	96.46	  	9	3.54	  	254	0.33
Drysdale (Corangamite)		                     	1	0.14	  	0	0	  	78	10.74	  	3	0.41	  	8	1.1	  	0	0	  	1	0.14	  	0	0	  	3	0.41	  	6	0.83	  	206	28.37	  	363	50	  	1	0.14	  	10	1.38	  	1	0.14	  	39	5.37	  	0	0	  	6	0.83	  	0	0	  	0	0	  	0	0	  	726	97.45	  	19	2.55	  	745	0.97
Elliminyt		                                  	6	0.44	  	1	0.07	  	91	6.64	  	6	0.44	  	24	1.75	  	2	0.15	  	5	0.36	  	4	0.29	  	7	0.51	  	8	0.58	  	310	22.61	  	704	51.35	  	3	0.22	  	7	0.51	  	3	0.22	  	89	6.49	  	2	0.15	  	98	7.15	  	1	0.07	  	0	0	  	0	0	  	1371	95.67	  	62	4.33	  	1433	1.87
Forrest		                                    	2	0.68	  	0	0	  	36	12.2	  	1	0.34	  	13	4.41	  	0	0	  	1	0.34	  	1	0.34	  	2	0.68	  	4	1.36	  	83	28.14	  	120	40.68	  	0	0	  	1	0.34	  	0	0	  	21	7.12	  	2	0.68	  	8	2.71	  	0	0	  	0	0	  	0	0	  	295	97.68	  	7	2.32	  	302	0.39
Freshwater Creek		                           	0	0	  	0	0	  	33	13.98	  	1	0.42	  	6	2.54	  	0	0	  	1	0.42	  	1	0.42	  	1	0.42	  	4	1.69	  	41	17.37	  	122	51.69	  	0	0	  	1	0.42	  	0	0	  	18	7.63	  	0	0	  	7	2.97	  	0	0	  	0	0	  	0	0	  	236	93.28	  	17	6.72	  	253	0.33
Gellibrand River		                           	3	1.09	  	0	0	  	28	10.14	  	1	0.36	  	25	9.06	  	0	0	  	1	0.36	  	1	0.36	  	0	0	  	3	1.09	  	91	32.97	  	88	31.88	  	0	0	  	0	0	  	0	0	  	30	10.87	  	0	0	  	5	1.81	  	0	0	  	0	0	  	0	0	  	276	95.5	  	13	4.5	  	289	0.38
Grovedale		                                  	2	0.05	  	2	0.05	  	366	9.98	  	6	0.16	  	66	1.8	  	1	0.03	  	2	0.05	  	1	0.03	  	11	0.3	  	27	0.74	  	1482	40.4	  	1449	39.5	  	8	0.22	  	30	0.82	  	5	0.14	  	150	4.09	  	1	0.03	  	54	1.47	  	4	0.11	  	0	0	  	1	0.03	  	3668	97.09	  	110	2.91	  	3778	4.92
Grovedale East		                             	0	0	  	0	0	  	90	7.73	  	5	0.43	  	22	1.89	  	0	0	  	1	0.09	  	0	0	  	4	0.34	  	10	0.86	  	356	30.58	  	546	46.91	  	0	0	  	24	2.06	  	1	0.09	  	69	5.93	  	0	0	  	36	3.09	  	0	0	  	0	0	  	0	0	  	1164	97.32	  	32	2.68	  	1196	1.56
Highton		                                    	3	0.27	  	1	0.09	  	164	14.84	  	3	0.27	  	20	1.81	  	0	0	  	1	0.09	  	1	0.09	  	4	0.36	  	5	0.45	  	257	23.26	  	598	54.12	  	1	0.09	  	8	0.72	  	0	0	  	25	2.26	  	1	0.09	  	11	1	  	2	0.18	  	0	0	  	0	0	  	1105	97.01	  	34	2.99	  	1139	1.48
Highton North		                              	4	0.14	  	0	0	  	302	10.85	  	21	0.75	  	48	1.72	  	0	0	  	4	0.14	  	2	0.07	  	10	0.36	  	16	0.57	  	725	26.04	  	1504	54.02	  	2	0.07	  	6	0.22	  	2	0.07	  	96	3.45	  	1	0.04	  	36	1.29	  	5	0.18	  	0	0	  	0	0	  	2784	97.44	  	73	2.56	  	2857	3.72
Indented Head		                              	2	0.58	  	1	0.29	  	19	5.49	  	2	0.58	  	7	2.02	  	0	0	  	0	0	  	0	0	  	1	0.29	  	2	0.58	  	129	37.28	  	159	45.95	  	1	0.29	  	2	0.58	  	0	0	  	19	5.49	  	0	0	  	2	0.58	  	0	0	  	0	0	  	0	0	  	346	94.54	  	20	5.46	  	366	0.48
Inverleigh		                                 	1	0.18	  	0	0	  	36	6.34	  	0	0	  	9	1.58	  	0	0	  	0	0	  	1	0.18	  	0	0	  	6	1.06	  	197	34.68	  	245	43.13	  	0	0	  	1	0.18	  	0	0	  	57	10.04	  	0	0	  	14	2.46	  	0	0	  	1	0.18	  	0	0	  	568	95.3	  	28	4.7	  	596	0.78
Irrewillipe East		                           	1	0.66	  	0	0	  	8	5.3	  	0	0	  	2	1.32	  	0	0	  	0	0	  	2	1.32	  	1	0.66	  	1	0.66	  	19	12.58	  	85	56.29	  	0	0	  	0	0	  	0	0	  	25	16.56	  	0	0	  	7	4.64	  	0	0	  	0	0	  	0	0	  	151	99.34	  	1	0.66	  	152	0.2
Lavers Hill		                                	0	0	  	0	0	  	20	11.56	  	0	0	  	13	7.51	  	1	0.58	  	0	0	  	1	0.58	  	0	0	  	3	1.73	  	37	21.39	  	81	46.82	  	0	0	  	5	2.89	  	0	0	  	12	6.94	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	173	98.3	  	3	1.7	  	176	0.23
Lethbridge		                                 	3	0.79	  	0	0	  	33	8.66	  	2	0.52	  	12	3.15	  	0	0	  	0	0	  	1	0.26	  	1	0.26	  	1	0.26	  	128	33.6	  	160	41.99	  	0	0	  	3	0.79	  	0	0	  	26	6.82	  	0	0	  	11	2.89	  	0	0	  	0	0	  	0	0	  	381	95.97	  	16	4.03	  	397	0.52
Lorne		                                      	2	0.24	  	0	0	  	94	11.1	  	4	0.47	  	67	7.91	  	0	0	  	0	0	  	1	0.12	  	6	0.71	  	7	0.83	  	257	30.34	  	378	44.63	  	0	0	  	6	0.71	  	0	0	  	18	2.13	  	0	0	  	6	0.71	  	1	0.12	  	0	0	  	0	0	  	847	95.6	  	39	4.4	  	886	1.15
Mandama		                                    	9	0.39	  	0	0	  	223	9.76	  	7	0.31	  	29	1.27	  	0	0	  	4	0.18	  	1	0.04	  	11	0.48	  	15	0.66	  	879	38.47	  	966	42.28	  	1	0.04	  	15	0.66	  	2	0.09	  	90	3.94	  	0	0	  	33	1.44	  	0	0	  	0	0	  	0	0	  	2285	96.7	  	78	3.3	  	2363	3.08
Melbourne (Corangamite)		                    	0	0	  	0	0	  	19	37.25	  	0	0	  	5	9.8	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	8	15.69	  	15	29.41	  	0	0	  	2	3.92	  	0	0	  	2	3.92	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	51	100	  	0	0	  	51	0.07
Meredith		                                   	1	0.25	  	0	0	  	35	8.58	  	0	0	  	7	1.72	  	0	0	  	0	0	  	2	0.49	  	0	0	  	5	1.23	  	113	27.7	  	174	42.65	  	1	0.25	  	7	1.72	  	0	0	  	54	13.24	  	0	0	  	9	2.21	  	0	0	  	0	0	  	0	0	  	408	94.44	  	24	5.56	  	432	0.56
Moriac		                                     	1	0.13	  	0	0	  	52	7.01	  	1	0.13	  	14	1.89	  	1	0.13	  	0	0	  	2	0.27	  	1	0.13	  	9	1.21	  	183	24.66	  	388	52.29	  	1	0.13	  	5	0.67	  	1	0.13	  	54	7.28	  	1	0.13	  	28	3.77	  	0	0	  	0	0	  	0	0	  	742	96.74	  	25	3.26	  	767	1
Mount Duneed		                               	2	0.44	  	0	0	  	45	9.89	  	2	0.44	  	8	1.76	  	0	0	  	3	0.66	  	0	0	  	0	0	  	4	0.88	  	131	28.79	  	224	49.23	  	0	0	  	9	1.98	  	0	0	  	19	4.18	  	0	0	  	8	1.76	  	0	0	  	0	0	  	0	0	  	455	96.81	  	15	3.19	  	470	0.61
Oberon		                                     	14	0.71	  	2	0.1	  	146	7.45	  	3	0.15	  	43	2.19	  	0	0	  	4	0.2	  	1	0.05	  	6	0.31	  	24	1.23	  	810	41.35	  	758	38.69	  	2	0.1	  	14	0.71	  	2	0.1	  	94	4.8	  	2	0.1	  	31	1.58	  	1	0.05	  	2	0.1	  	0	0	  	1959	93.82	  	129	6.18	  	2088	2.72
Oberon South		                               	2	0.12	  	1	0.06	  	140	8.62	  	5	0.31	  	21	1.29	  	1	0.06	  	3	0.18	  	0	0	  	6	0.37	  	20	1.23	  	654	40.27	  	663	40.83	  	1	0.06	  	17	1.05	  	4	0.25	  	61	3.76	  	0	0	  	21	1.29	  	3	0.18	  	1	0.06	  	0	0	  	1624	96.55	  	58	3.45	  	1682	2.19
Ocean Grove		                                	3	0.12	  	1	0.04	  	264	10.91	  	9	0.37	  	124	5.12	  	0	0	  	2	0.08	  	0	0	  	3	0.12	  	10	0.41	  	862	35.62	  	1015	41.94	  	2	0.08	  	15	0.62	  	0	0	  	74	3.06	  	2	0.08	  	28	1.16	  	5	0.21	  	0	0	  	1	0.04	  	2420	96.18	  	96	3.82	  	2516	3.28
Pirron Yallock (Corangamite)		               	2	1.4	  	0	0	  	12	8.39	  	0	0	  	2	1.4	  	0	0	  	1	0.7	  	1	0.7	  	0	0	  	1	0.7	  	22	15.38	  	77	53.85	  	0	0	  	0	0	  	0	0	  	20	13.99	  	0	0	  	4	2.8	  	1	0.7	  	0	0	  	0	0	  	143	96.62	  	5	3.38	  	148	0.19
Point Lonsdale		                             	1	0.06	  	3	0.19	  	168	10.51	  	3	0.19	  	33	2.06	  	0	0	  	3	0.19	  	1	0.06	  	4	0.25	  	11	0.69	  	436	27.27	  	857	53.6	  	0	0	  	5	0.31	  	2	0.13	  	54	3.38	  	0	0	  	16	1	  	0	0	  	0	0	  	2	0.13	  	1599	97.56	  	40	2.44	  	1639	2.13
Portarlington		                              	8	0.43	  	3	0.16	  	182	9.85	  	5	0.27	  	16	0.87	  	0	0	  	2	0.11	  	1	0.05	  	7	0.38	  	13	0.7	  	762	41.26	  	724	39.2	  	0	0	  	5	0.27	  	3	0.16	  	91	4.93	  	0	0	  	25	1.35	  	0	0	  	0	0	  	0	0	  	1847	95.01	  	97	4.99	  	1944	2.53
Queenscliff		                                	3	0.37	  	0	0	  	89	11.01	  	1	0.12	  	22	2.72	  	0	0	  	1	0.12	  	0	0	  	2	0.25	  	9	1.11	  	271	33.54	  	357	44.18	  	0	0	  	3	0.37	  	0	0	  	45	5.57	  	0	0	  	5	0.62	  	0	0	  	0	0	  	0	0	  	808	96.42	  	30	3.58	  	838	1.09
Rokewood		                                   	0	0	  	0	0	  	11	5.45	  	0	0	  	3	1.49	  	0	0	  	0	0	  	0	0	  	0	0	  	3	1.49	  	44	21.78	  	105	51.98	  	0	0	  	0	0	  	1	0.5	  	28	13.86	  	0	0	  	7	3.47	  	0	0	  	0	0	  	0	0	  	202	95.73	  	9	4.27	  	211	0.27
St Leonards		                                	6	0.61	  	1	0.1	  	54	5.53	  	4	0.41	  	14	1.43	  	1	0.1	  	0	0	  	1	0.1	  	3	0.31	  	13	1.33	  	449	46	  	360	36.89	  	0	0	  	1	0.1	  	3	0.31	  	58	5.94	  	0	0	  	8	0.82	  	0	0	  	0	0	  	0	0	  	976	93.67	  	66	6.33	  	1042	1.36
Shelford		                                   	2	1.33	  	0	0	  	10	6.67	  	0	0	  	1	0.67	  	0	0	  	0	0	  	0	0	  	0	0	  	3	2	  	28	18.67	  	88	58.67	  	0	0	  	5	3.33	  	0	0	  	12	8	  	0	0	  	1	0.67	  	0	0	  	0	0	  	0	0	  	150	98.04	  	3	1.96	  	153	0.2
Simpson (Corangamite)		                      	0	0	  	0	0	  	6	3.23	  	1	0.54	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	8	4.3	  	159	85.48	  	0	0	  	0	0	  	0	0	  	10	5.38	  	0	0	  	0	0	  	1	0.54	  	0	0	  	1	0.54	  	186	95.88	  	8	4.12	  	194	0.25
Teesdale		                                   	0	0	  	0	0	  	62	10.76	  	0	0	  	20	3.47	  	0	0	  	1	0.17	  	0	0	  	1	0.17	  	10	1.74	  	227	39.41	  	203	35.24	  	0	0	  	3	0.52	  	0	0	  	40	6.94	  	0	0	  	8	1.39	  	1	0.17	  	0	0	  	0	0	  	576	97.79	  	13	2.21	  	589	0.77
Torquay		                                    	5	0.14	  	2	0.05	  	509	13.93	  	25	0.68	  	206	5.64	  	1	0.03	  	5	0.14	  	1	0.03	  	10	0.27	  	32	0.88	  	1263	34.57	  	1417	38.79	  	1	0.03	  	28	0.77	  	5	0.14	  	101	2.76	  	2	0.05	  	32	0.88	  	8	0.22	  	0	0	  	0	0	  	3653	97.13	  	108	2.87	  	3761	4.9
Wallington		                                 	1	0.15	  	1	0.15	  	67	9.81	  	2	0.29	  	12	1.76	  	0	0	  	0	0	  	0	0	  	2	0.29	  	4	0.59	  	195	28.55	  	360	52.71	  	0	0	  	2	0.29	  	0	0	  	24	3.51	  	0	0	  	13	1.9	  	0	0	  	0	0	  	0	0	  	683	96.47	  	25	3.53	  	708	0.92
Warrion		                                    	2	1.17	  	0	0	  	7	4.09	  	0	0	  	2	1.17	  	0	0	  	0	0	  	0	0	  	0	0	  	2	1.17	  	46	26.9	  	88	51.46	  	0	0	  	0	0	  	0	0	  	18	10.53	  	0	0	  	5	2.92	  	1	0.58	  	0	0	  	0	0	  	171	97.71	  	4	2.29	  	175	0.23
Winchelsea		                                 	7	0.65	  	1	0.09	  	65	6.08	  	1	0.09	  	23	2.15	  	0	0	  	2	0.19	  	0	0	  	6	0.56	  	15	1.4	  	356	33.3	  	444	41.53	  	4	0.37	  	4	0.37	  	1	0.09	  	121	11.32	  	0	0	  	18	1.68	  	1	0.09	  	0	0	  	0	0	  	1069	96.39	  	40	3.61	  	1109	1.44
Wiridjil (Corangamite)		                     	0	0	  	0	0	  	2	1.72	  	0	0	  	2	1.72	  	0	0	  	0	0	  	1	0.86	  	0	0	  	0	0	  	11	9.48	  	91	78.45	  	0	0	  	0	0	  	0	0	  	5	4.31	  	0	0	  	2	1.72	  	1	0.86	  	1	0.86	  	0	0	  	116	97.48	  	3	2.52	  	119	0.15
Wurdi Boluc		                                	0	0	  	0	0	  	17	11.18	  	0	0	  	7	4.61	  	0	0	  	0	0	  	0	0	  	1	0.66	  	3	1.97	  	36	23.68	  	64	42.11	  	0	0	  	0	0	  	0	0	  	17	11.18	  	0	0	  	7	4.61	  	0	0	  	0	0	  	0	0	  	152	96.2	  	6	3.8	  	158	0.21
Special Hospitals		                          	0	0	  	0	0	  	1	0.47	  	1	0.47	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.47	  	6	2.8	  	65	30.37	  	136	63.55	  	0	0	  	0	0	  	0	0	  	4	1.87	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	214	94.69	  	12	5.31	  	226	0.29
Total Ordinary		                             	182	0.29	  	45	0.07	  	6210	10	  	198	0.32	  	1732	2.79	  	11	0.02	  	86	0.14	  	65	0.1	  	228	0.37	  	562	0.9	  	20466	32.95	  	27673	44.55	  	48	0.08	  	377	0.61	  	79	0.13	  	2992	4.82	  	24	0.04	  	1072	1.73	  	49	0.08	  	8	0.01	  	9	0.01	  	62116	96.43	  	2298	3.57	  	64414	83.85
ABSENT		                                     	9	0.21	  	6	0.14	  	496	11.38	  	29	0.67	  	204	4.68	  	2	0.05	  	10	0.23	  	6	0.14	  	25	0.57	  	42	0.96	  	1414	32.44	  	1810	41.52	  	8	0.18	  	34	0.78	  	4	0.09	  	175	4.01	  	1	0.02	  	73	1.67	  	8	0.18	  	1	0.02	  	2	0.05	  	4359	98	  	89	2	  	4448	5.79
POSTAL		                                     	4	0.16	  	1	0.04	  	181	7.02	  	8	0.31	  	79	3.06	  	0	0	  	2	0.08	  	0	0	  	12	0.47	  	18	0.7	  	768	29.79	  	1282	49.73	  	0	0	  	21	0.81	  	5	0.19	  	159	6.17	  	2	0.08	  	33	1.28	  	1	0.04	  	1	0.04	  	1	0.04	  	2578	98.74	  	33	1.26	  	2611	3.4
PRE_POLL		                                   	7	0.15	  	4	0.09	  	385	8.46	  	29	0.64	  	155	3.41	  	2	0.04	  	11	0.24	  	10	0.22	  	23	0.51	  	48	1.05	  	1431	31.44	  	2069	45.46	  	4	0.09	  	40	0.88	  	9	0.2	  	240	5.27	  	4	0.09	  	77	1.69	  	2	0.04	  	1	0.02	  	0	0	  	4551	98.19	  	84	1.81	  	4635	6.03
PROVISIONAL		                                	4	0.58	  	2	0.29	  	53	7.69	  	7	1.02	  	36	5.22	  	1	0.15	  	4	0.58	  	2	0.29	  	8	1.16	  	11	1.6	  	273	39.62	  	228	33.09	  	0	0	  	3	0.44	  	1	0.15	  	39	5.66	  	0	0	  	16	2.32	  	0	0	  	0	0	  	1	0.15	  	689	96.5	  	25	3.5	  	714	0.93
Division Summary		                           	206	0.28	  	58	0.08	  	7325	9.86	  	271	0.36	  	2206	2.97	  	16	0.02	  	113	0.15	  	83	0.11	  	296	0.4	  	681	0.92	  	24352	32.78	  	33062	44.5	  	60	0.08	  	475	0.64	  	98	0.13	  	3605	4.85	  	31	0.04	  	1271	1.71	  	60	0.08	  	11	0.01	  	13	0.02	  	74293	96.71	  	2529	3.29	  	76822	96.12


Corio (82075)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CTA			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Aberdeen		                                   	1	0.08	  	1	0.08	  	147	11.48	  	6	0.47	  	34	2.66	  	0	0	  	2	0.16	  	1	0.08	  	3	0.23	  	11	0.86	  	343	26.8	  	667	52.11	  	2	0.16	  	10	0.78	  	0	0	  	42	3.28	  	0	0	  	10	0.78	  	0	0	  	0	0	  	0	0	  	1280	97.19	  	37	2.81	  	1317	1.67
Anakie		                                     	1	0.24	  	0	0	  	46	10.82	  	3	0.71	  	9	2.12	  	0	0	  	0	0	  	0	0	  	3	0.71	  	4	0.94	  	118	27.76	  	170	40	  	0	0	  	10	2.35	  	1	0.24	  	37	8.71	  	0	0	  	23	5.41	  	0	0	  	0	0	  	0	0	  	425	94.44	  	25	5.56	  	450	0.57
Barwon		                                     	4	0.47	  	1	0.12	  	81	9.5	  	9	1.06	  	24	2.81	  	2	0.23	  	1	0.12	  	3	0.35	  	1	0.12	  	8	0.94	  	388	45.49	  	283	33.18	  	0	0	  	3	0.35	  	1	0.12	  	36	4.22	  	0	0	  	6	0.7	  	2	0.23	  	0	0	  	0	0	  	853	95.09	  	44	4.91	  	897	1.14
