Senate -  1998 Election: South Australia																																																				
First Preference Votes by Group																																																				
By Polling Place																																																				


Adelaide (82157)																																																				

	   		Group Total CDP			Group Total FST			Group Total DEM			Group Total - Unendorsed Group D			Group Total - Unendorsed Group E			Group Total LP			Group Total CEC			Group Total DSL			Group Total GRN			Group Total HAN			Group Total ALP			Group Total - Unendorsed Group L			Group Total NP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Compton		                                    	5	1.63	  	6	1.95	  	28	9.12	  	0	0	  	0	0	  	176	57.33	  	0	0	  	0	0	  	5	1.63	  	24	7.82	  	59	19.22	  	0	0	  	4	1.3	  	0	0	  	307	97.46	  	8	2.54	  	315	0.38
Coomandook		                                 	10	5.49	  	1	0.55	  	10	5.49	  	0	0	  	0	0	  	119	65.38	  	0	0	  	0	0	  	3	1.65	  	24	13.19	  	14	7.69	  	0	0	  	1	0.55	  	0	0	  	182	99.45	  	1	0.55	  	183	0.22
Coonalpyn		                                  	5	1.65	  	6	1.98	  	5	1.65	  	0	0	  	0	0	  	211	69.64	  	0	0	  	1	0.33	  	0	0	  	40	13.2	  	33	10.89	  	1	0.33	  	1	0.33	  	0	0	  	303	97.43	  	8	2.57	  	311	0.38
Coonawarra		                                 	2	0.92	  	2	0.92	  	14	6.42	  	0	0	  	0	0	  	161	73.85	  	0	0	  	1	0.46	  	2	0.92	  	16	7.34	  	17	7.8	  	0	0	  	2	0.92	  	1	0.46	  	218	97.32	  	6	2.68	  	224	0.27
Currency Creek		                             	4	1.22	  	0	0	  	40	12.23	  	0	0	  	0	0	  	181	55.35	  	0	0	  	0	0	  	11	3.36	  	39	11.93	  	44	13.46	  	1	0.31	  	7	2.14	  	0	0	  	327	98.49	  	5	1.51	  	332	0.4
Delamere		                                   	0	0	  	2	0.88	  	26	11.5	  	0	0	  	0	0	  	111	49.12	  	2	0.88	  	0	0	  	6	2.65	  	38	16.81	  	38	16.81	  	0	0	  	3	1.33	  	0	0	  	226	95.76	  	10	4.24	  	236	0.29
Frances		                                    	0	0	  	3	3.03	  	7	7.07	  	0	0	  	0	0	  	69	69.7	  	0	0	  	0	0	  	0	0	  	7	7.07	  	10	10.1	  	0	0	  	3	3.03	  	0	0	  	99	98.02	  	2	1.98	  	101	0.12
Furner		                                     	0	0	  	0	0	  	5	4.55	  	0	0	  	0	0	  	80	72.73	  	2	1.82	  	2	1.82	  	1	0.91	  	10	9.09	  	8	7.27	  	0	0	  	2	1.82	  	0	0	  	110	98.21	  	2	1.79	  	112	0.14
Geranium		                                   	1	0.86	  	0	0	  	7	6.03	  	0	0	  	0	0	  	89	76.72	  	0	0	  	0	0	  	5	4.31	  	12	10.34	  	1	0.86	  	0	0	  	1	0.86	  	0	0	  	116	99.15	  	1	0.85	  	117	0.14
Glenburnie		                                 	4	1.66	  	2	0.83	  	13	5.39	  	0	0	  	1	0.41	  	124	51.45	  	0	0	  	0	0	  	2	0.83	  	47	19.5	  	47	19.5	  	0	0	  	1	0.41	  	0	0	  	241	98.37	  	4	1.63	  	245	0.3
Glencoe		                                    	3	0.88	  	6	1.76	  	32	9.41	  	1	0.29	  	0	0	  	154	45.29	  	0	0	  	0	0	  	7	2.06	  	40	11.76	  	91	26.76	  	0	0	  	5	1.47	  	1	0.29	  	340	98.27	  	6	1.73	  	346	0.42
Goolwa		                                     	40	1.61	  	19	0.77	  	285	11.49	  	0	0	  	7	0.28	  	1071	43.19	  	0	0	  	8	0.32	  	58	2.34	  	365	14.72	  	615	24.8	  	0	0	  	10	0.4	  	2	0.08	  	2480	96.99	  	77	3.01	  	2557	3.12
Gosse		                                      	1	1.39	  	2	2.78	  	11	15.28	  	0	0	  	0	0	  	36	50	  	0	0	  	0	0	  	1	1.39	  	15	20.83	  	4	5.56	  	0	0	  	2	2.78	  	0	0	  	72	100	  	0	0	  	72	0.09
Greenways		                                  	6	5.77	  	0	0	  	6	5.77	  	0	0	  	0	0	  	62	59.62	  	0	0	  	1	0.96	  	2	1.92	  	16	15.38	  	9	8.65	  	0	0	  	1	0.96	  	1	0.96	  	104	98.11	  	2	1.89	  	106	0.13
Hindmarsh Island		                           	4	1.82	  	0	0	  	28	12.73	  	0	0	  	0	0	  	108	49.09	  	0	0	  	0	0	  	5	2.27	  	51	23.18	  	21	9.55	  	0	0	  	3	1.36	  	0	0	  	220	99.1	  	2	0.9	  	222	0.27
Hindmarsh Valley		                           	1	0.9	  	1	0.9	  	12	10.81	  	0	0	  	0	0	  	61	54.95	  	0	0	  	0	0	  	3	2.7	  	14	12.61	  	16	14.41	  	0	0	  	3	2.7	  	0	0	  	111	94.87	  	6	5.13	  	117	0.14
Hope Forest		                                	0	0	  	3	1.7	  	27	15.34	  	0	0	  	0	0	  	88	50	  	0	0	  	0	0	  	5	2.84	  	27	15.34	  	25	14.2	  	0	0	  	1	0.57	  	0	0	  	176	98.88	  	2	1.12	  	178	0.22
