Senate -  1998 Election: South Australia																																																				
First Preference Votes by Group																																																				
By Polling Place																																																				


Adelaide (82157)																																																				

	   		Group Total CDP			Group Total FST			Group Total DEM			Group Total - Unendorsed Group D			Group Total - Unendorsed Group E			Group Total LP			Group Total CEC			Group Total DSL			Group Total GRN			Group Total HAN			Group Total ALP			Group Total - Unendorsed Group L			Group Total NP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Para Vista		                                 	38	1.37	  	16	0.57	  	351	12.61	  	2	0.07	  	4	0.14	  	866	31.12	  	2	0.07	  	10	0.36	  	54	1.94	  	313	11.25	  	1119	40.21	  	2	0.07	  	4	0.14	  	2	0.07	  	2783	96.5	  	101	3.5	  	2884	3.32
Pooraka		                                    	37	1.08	  	10	0.29	  	319	9.31	  	3	0.09	  	4	0.12	  	926	27.02	  	2	0.06	  	14	0.41	  	47	1.37	  	396	11.56	  	1644	47.97	  	15	0.44	  	6	0.18	  	4	0.12	  	3427	95.65	  	156	4.35	  	3583	4.13
Redwood Park		                               	13	0.6	  	13	0.6	  	302	13.99	  	2	0.09	  	0	0	  	940	43.54	  	1	0.05	  	6	0.28	  	38	1.76	  	189	8.75	  	645	29.87	  	3	0.14	  	4	0.19	  	3	0.14	  	2159	97.47	  	56	2.53	  	2215	2.55
Ridgehaven		                                 	24	0.83	  	9	0.31	  	406	13.99	  	0	0	  	5	0.17	  	1119	38.55	  	1	0.03	  	11	0.38	  	57	1.96	  	320	11.02	  	940	32.38	  	4	0.14	  	4	0.14	  	3	0.1	  	2903	97.12	  	86	2.88	  	2989	3.44
St Agnes		                                   	40	1.5	  	17	0.64	  	393	14.76	  	3	0.11	  	0	0	  	1157	43.45	  	1	0.04	  	15	0.56	  	67	2.52	  	220	8.26	  	738	27.71	  	6	0.23	  	5	0.19	  	1	0.04	  	2663	97.76	  	61	2.24	  	2724	3.14
St Agnes West		                              	11	0.8	  	8	0.58	  	190	13.77	  	2	0.14	  	2	0.14	  	608	44.06	  	1	0.07	  	6	0.43	  	21	1.52	  	121	8.77	  	404	29.28	  	4	0.29	  	2	0.14	  	0	0	  	1380	97.66	  	33	2.34	  	1413	1.63
Salisbury East		                             	31	1.21	  	10	0.39	  	281	11	  	5	0.2	  	3	0.12	  	829	32.46	  	3	0.12	  	13	0.51	  	44	1.72	  	271	10.61	  	1052	41.19	  	1	0.04	  	8	0.31	  	3	0.12	  	2554	97.3	  	71	2.7	  	2625	3.02
Salisbury East Central		                     	39	1.33	  	13	0.44	  	313	10.64	  	2	0.07	  	3	0.1	  	1015	34.5	  	1	0.03	  	11	0.37	  	47	1.6	  	364	12.37	  	1122	38.14	  	6	0.2	  	6	0.2	  	0	0	  	2942	96.65	  	102	3.35	  	3044	3.51
Salisbury Heights		                          	24	1.08	  	8	0.36	  	297	13.41	  	1	0.05	  	1	0.05	  	971	43.86	  	1	0.05	  	8	0.36	  	40	1.81	  	211	9.53	  	642	29	  	2	0.09	  	8	0.36	  	0	0	  	2214	97.53	  	56	2.47	  	2270	2.61
Surrey Downs		                               	32	1.38	  	7	0.3	  	309	13.36	  	0	0	  	2	0.09	  	967	41.81	  	1	0.04	  	9	0.39	  	45	1.95	  	220	9.51	  	708	30.61	  	1	0.04	  	7	0.3	  	5	0.22	  	2313	97.8	  	52	2.2	  	2365	2.72
Tea Tree Gully		                             	12	0.9	  	3	0.22	  	192	14.37	  	1	0.07	  	6	0.45	  	633	47.38	  	2	0.15	  	5	0.37	  	32	2.4	  	98	7.34	  	344	25.75	  	1	0.07	  	4	0.3	  	3	0.22	  	1336	97.73	  	31	2.27	  	1367	1.57
Valley View		                                	13	1.08	  	6	0.5	  	140	11.63	  	2	0.17	  	2	0.17	  	413	34.3	  	0	0	  	3	0.25	  	17	1.41	  	132	10.96	  	470	39.04	  	1	0.08	  	3	0.25	  	2	0.17	  	1204	96.09	  	49	3.91	  	1253	1.44
Wynn Vale		                                  	59	1.38	  	15	0.35	  	515	12.02	  	3	0.07	  	3	0.07	  	1867	43.57	  	2	0.05	  	17	0.4	  	59	1.38	  	343	8	  	1388	32.39	  	1	0.02	  	7	0.16	  	6	0.14	  	4285	97.94	  	90	2.06	  	4375	5.04
Special Hospitals		                          	2	1.26	  	0	0	  	3	1.89	  	0	0	  	0	0	  	68	42.77	  	0	0	  	1	0.63	  	1	0.63	  	11	6.92	  	73	45.91	  	0	0	  	0	0	  	0	0	  	159	94.64	  	9	5.36	  	168	0.19
Total Ordinary		                             	758	1.11	  	275	0.4	  	8694	12.76	  	68	0.1	  	76	0.11	  	25904	38.01	  	44	0.06	  	262	0.38	  	1225	1.8	  	6748	9.9	  	23836	34.97	  	91	0.13	  	121	0.18	  	52	0.08	  	68154	97.16	  	1994	2.84	  	70148	80.77
ABSENT		                                     	98	1.45	  	27	0.4	  	838	12.4	  	5	0.07	  	9	0.13	  	2467	36.5	  	7	0.1	  	39	0.58	  	211	3.12	  	691	10.22	  	2342	34.65	  	4	0.06	  	19	0.28	  	2	0.03	  	6759	98.5	  	103	1.5	  	6862	7.9
POSTAL		                                     	73	1.45	  	19	0.38	  	534	10.62	  	3	0.06	  	3	0.06	  	2059	40.96	  	7	0.14	  	11	0.22	  	61	1.21	  	560	11.14	  	1671	33.24	  	4	0.08	  	20	0.4	  	2	0.04	  	5027	99.45	  	28	0.55	  	5055	5.82
PRE_POLL		                                   	64	1.6	  	17	0.43	  	431	10.79	  	7	0.18	  	3	0.08	  	1681	42.07	  	4	0.1	  	14	0.35	  	97	2.43	  	433	10.84	  	1227	30.71	  	3	0.08	  	12	0.3	  	3	0.08	  	3996	98.62	  	56	1.38	  	4052	4.67
PROVISIONAL		                                	4	0.57	  	2	0.28	  	65	9.19	  	1	0.14	  	1	0.14	  	220	31.12	  	0	0	  	3	0.42	  	25	3.54	  	78	11.03	  	306	43.28	  	0	0	  	2	0.28	  	0	0	  	707	96.98	  	22	3.02	  	729	0.84
Division Summary		                           	997	1.18	  	340	0.4	  	10562	12.48	  	84	0.1	  	92	0.11	  	32331	38.2	  	62	0.07	  	329	0.39	  	1619	1.91	  	8510	10.05	  	29382	34.71	  	102	0.12	  	174	0.21	  	59	0.07	  	84643	97.46	  	2203	2.54	  	86846	96.68


Mayo (90861)																																																				

	   		Group Total CDP			Group Total FST			Group Total DEM			Group Total - Unendorsed Group D			Group Total - Unendorsed Group E			Group Total LP			Group Total CEC			Group Total DSL			Group Total GRN			Group Total HAN			Group Total ALP			Group Total - Unendorsed Group L			Group Total NP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Aberfoyle Park		                             	33	1.02	  	12	0.37	  	623	19.28	  	2	0.06	  	3	0.09	  	1429	44.21	  	2	0.06	  	13	0.4	  	59	1.83	  	204	6.31	  	844	26.11	  	3	0.09	  	4	0.12	  	1	0.03	  	3232	98.3	  	56	1.7	  	3288	3.76
Aberfoyle Park North		                       	34	1.63	  	0	0	  	445	21.38	  	1	0.05	  	0	0	  	987	47.43	  	1	0.05	  	9	0.43	  	24	1.15	  	140	6.73	  	435	20.9	  	1	0.05	  	1	0.05	  	3	0.14	  	2081	98.49	  	32	1.51	  	2113	2.41
Aberfoyle Park South		                       	13	1.81	  	0	0	  	147	20.5	  	0	0	  	0	0	  	313	43.65	  	0	0	  	3	0.42	  	13	1.81	  	47	6.56	  	180	25.1	  	0	0	  	1	0.14	  	0	0	  	717	98.62	  	10	1.38	  	727	0.83
Adelaide (Mayo)		                            	1	1.2	  	0	0	  	19	22.89	  	0	0	  	0	0	  	38	45.78	  	0	0	  	2	2.41	  	2	2.41	  	2	2.41	  	17	20.48	  	2	2.41	  	0	0	  	0	0	  	83	100	  	0	0	  	83	0.09
Aldgate		                                    	17	0.94	  	6	0.33	  	536	29.53	  	2	0.11	  	0	0	  	755	41.6	  	1	0.06	  	11	0.61	  	48	2.64	  	72	3.97	  	351	19.34	  	3	0.17	  	7	0.39	  	6	0.33	  	1815	98.48	  	28	1.52	  	1843	2.11
Athelstone		                                 	40	1.15	  	27	0.78	  	621	17.86	  	2	0.06	  	6	0.17	  	1459	41.96	  	0	0	  	14	0.4	  	67	1.93	  	235	6.76	  	987	28.39	  	12	0.35	  	5	0.14	  	2	0.06	  	3477	97.01	  	107	2.99	  	3584	4.09
Athelstone West		                            	37	1.22	  	14	0.46	  	446	14.68	  	3	0.1	  	3	0.1	  	1320	43.44	  	3	0.1	  	14	0.46	  	41	1.35	  	149	4.9	  	995	32.74	  	8	0.26	  	6	0.2	  	0	0	  	3039	94.35	  	182	5.65	  	3221	3.68
Balhannah		                                  	17	1.3	  	9	0.69	  	265	20.32	  	0	0	  	1	0.08	  	699	53.6	  	2	0.15	  	2	0.15	  	20	1.53	  	90	6.9	  	196	15.03	  	1	0.08	  	1	0.08	  	1	0.08	  	1304	98.12	  	25	1.88	  	1329	1.52
Basket Range		                               	2	1.92	  	1	0.96	  	30	28.85	  	0	0	  	0	0	  	43	41.35	  	0	0	  	0	0	  	6	5.77	  	8	7.69	  	13	12.5	  	1	0.96	  	0	0	  	0	0	  	104	97.2	  	3	2.8	  	107	0.12
Bridgewater		                                	11	0.76	  	1	0.07	  	381	26.44	  	0	0	  	0	0	  	581	40.32	  	0	0	  	15	1.04	  	51	3.54	  	75	5.2	  	319	22.14	  	3	0.21	  	4	0.28	  	0	0	  	1441	98.23	  	26	1.77	  	1467	1.68
Brukunga		                                   	4	2.56	  	0	0	  	30	19.23	  	0	0	  	0	0	  	61	39.1	  	0	0	  	1	0.64	  	2	1.28	  	25	16.03	  	33	21.15	  	0	0	  	0	0	  	0	0	  	156	94.55	  	9	5.45	  	165	0.19
Callington		                                 	5	1.85	  	0	0	  	66	24.44	  	0	0	  	0	0	  	98	36.3	  	0	0	  	0	0	  	14	5.19	  	29	10.74	  	55	20.37	  	0	0	  	3	1.11	  	0	0	  	270	98.54	  	4	1.46	  	274	0.31
Charleston		                                 	2	0.84	  	4	1.69	  	29	12.24	  	0	0	  	0	0	  	140	59.07	  	0	0	  	0	0	  	4	1.69	  	32	13.5	  	26	10.97	  	0	0	  	0	0	  	0	0	  	237	97.53	  	6	2.47	  	243	0.28
Cherry Gardens		                             	7	1.51	  	1	0.22	  	107	23.06	  	0	0	  	0	0	  	233	50.22	  	0	0	  	0	0	  	7	1.51	  	40	8.62	  	69	14.87	  	0	0	  	0	0	  	0	0	  	464	98.1	  	9	1.9	  	473	0.54
Clarendon		                                  	1	0.26	  	4	1.02	  	105	26.79	  	0	0	  	0	0	  	186	47.45	  	0	0	  	2	0.51	  	6	1.53	  	21	5.36	  	67	17.09	  	0	0	  	0	0	  	0	0	  	392	99.24	  	3	0.76	  	395	0.45
Coromandel Valley (Mayo)		                   	21	1.5	  	2	0.14	  	361	25.77	  	2	0.14	  	4	0.29	  	660	47.11	  	0	0	  	2	0.14	  	28	2	  	63	4.5	  	257	18.34	  	0	0	  	1	0.07	  	0	0	  	1401	98.38	  	23	1.62	  	1424	1.63
Crafers		                                    	9	0.8	  	4	0.35	  	300	26.53	  	0	0	  	1	0.09	  	516	45.62	  	0	0	  	7	0.62	  	30	2.65	  	56	4.95	  	191	16.89	  	12	1.06	  	1	0.09	  	4	0.35	  	1131	98.61	  	16	1.39	  	1147	1.31
Cudlee Creek		                               	3	1.65	  	0	0	  	26	14.29	  	0	0	  	0	0	  	82	45.05	  	0	0	  	1	0.55	  	6	3.3	  	44	24.18	  	20	10.99	  	0	0	  	0	0	  	0	0	  	182	96.3	  	7	3.7	  	189	0.22
Dernancourt		                                	19	1.24	  	3	0.2	  	293	19.08	  	0	0	  	2	0.13	  	669	43.55	  	1	0.07	  	8	0.52	  	23	1.5	  	80	5.21	  	426	27.73	  	6	0.39	  	5	0.33	  	1	0.07	  	1536	96.36	  	58	3.64	  	1594	1.82
Echunga		                                    	11	1.6	  	3	0.44	  	134	19.48	  	0	0	  	2	0.29	  	370	53.78	  	0	0	  	1	0.15	  	15	2.18	  	69	10.03	  	81	11.77	  	0	0	  	2	0.29	  	0	0	  	688	97.73	  	16	2.27	  	704	0.8
Flagstaff Hill		                             	41	1.02	  	13	0.32	  	699	17.36	  	4	0.1	  	2	0.05	  	2081	51.69	  	2	0.05	  	14	0.35	  	57	1.42	  	197	4.89	  	911	22.63	  	3	0.07	  	0	0	  	2	0.05	  	4026	98.34	  	68	1.66	  	4094	4.68
Flagstaff Hill East		                        	5	0.68	  	1	0.14	  	169	22.84	  	0	0	  	0	0	  	396	53.51	  	0	0	  	2	0.27	  	7	0.95	  	33	4.46	  	125	16.89	  	1	0.14	  	1	0.14	  	0	0	  	740	98.8	  	9	1.2	  	749	0.86
Hahndorf		                                   	26	1.74	  	19	1.27	  	263	17.56	  	2	0.13	  	0	0	  	794	53	  	1	0.07	  	6	0.4	  	25	1.67	  	143	9.55	  	214	14.29	  	0	0	  	3	0.2	  	2	0.13	  	1498	98.17	  	28	1.83	  	1526	1.74
Harrogate		                                  	0	0	  	0	0	  	14	12.28	  	0	0	  	1	0.88	  	57	50	  	0	0	  	0	0	  	3	2.63	  	14	12.28	  	25	21.93	  	0	0	  	0	0	  	0	0	  	114	98.28	  	2	1.72	  	116	0.13
Highbury East		                              	25	1.9	  	8	0.61	  	232	17.64	  	0	0	  	1	0.08	  	546	41.52	  	1	0.08	  	6	0.46	  	20	1.52	  	134	10.19	  	339	25.78	  	0	0	  	3	0.23	  	0	0	  	1315	97.7	  	31	2.3	  	1346	1.54
Highbury South		                             	45	1.22	  	18	0.49	  	637	17.34	  	1	0.03	  	4	0.11	  	1661	45.21	  	2	0.05	  	11	0.3	  	45	1.22	  	280	7.62	  	958	26.08	  	5	0.14	  	4	0.11	  	3	0.08	  	3674	96.86	  	119	3.14	  	3793	4.33
Holden Hill (Mayo)		                         	10	0.86	  	8	0.69	  	180	15.44	  	1	0.09	  	0	0	  	415	35.59	  	1	0.09	  	2	0.17	  	17	1.46	  	125	10.72	  	404	34.65	  	2	0.17	  	1	0.09	  	0	0	  	1166	96.05	  	48	3.95	  	1214	1.39
Houghton		                                   	6	1.06	  	7	1.24	  	98	17.38	  	0	0	  	0	0	  	276	48.94	  	0	0	  	1	0.18	  	12	2.13	  	52	9.22	  	106	18.79	  	1	0.18	  	3	0.53	  	2	0.35	  	564	98.6	  	8	1.4	  	572	0.65
Kangarilla		                                 	4	0.81	  	0	0	  	100	20.33	  	1	0.2	  	2	0.41	  	245	49.8	  	0	0	  	8	1.63	  	10	2.03	  	47	9.55	  	73	14.84	  	1	0.2	  	1	0.2	  	0	0	  	492	97.81	  	11	2.19	  	503	0.57
Langhorne Creek		                            	5	2.19	  	0	0	  	23	10.09	  	0	0	  	1	0.44	  	167	73.25	  	0	0	  	1	0.44	  	1	0.44	  	14	6.14	  	15	6.58	  	1	0.44	  	0	0	  	0	0	  	228	96.2	  	9	3.8	  	237	0.27
Lenswood		                                   	4	0.98	  	2	0.49	  	66	16.1	  	0	0	  	0	0	  	243	59.27	  	0	0	  	3	0.73	  	4	0.98	  	33	8.05	  	51	12.44	  	0	0	  	4	0.98	  	0	0	  	410	97.62	  	10	2.38	  	420	0.48
Littlehampton		                              	14	1.17	  	6	0.5	  	248	20.74	  	1	0.08	  	1	0.08	  	560	46.82	  	0	0	  	6	0.5	  	28	2.34	  	121	10.12	  	207	17.31	  	1	0.08	  	3	0.25	  	0	0	  	1196	97.47	  	31	2.53	  	1227	1.4
Lobethal		                                   	48	4.28	  	13	1.16	  	144	12.83	  	1	0.09	  	3	0.27	  	595	53.03	  	0	0	  	5	0.45	  	22	1.96	  	108	9.63	  	178	15.86	  	2	0.18	  	2	0.18	  	1	0.09	  	1122	95.33	  	55	4.67	  	1177	1.34
Longwood		                                   	3	0.99	  	0	0	  	82	26.97	  	0	0	  	0	0	  	127	41.78	  	0	0	  	1	0.33	  	6	1.97	  	27	8.88	  	58	19.08	  	0	0	  	0	0	  	0	0	  	304	98.06	  	6	1.94	  	310	0.35
Macclesfield		                               	4	0.6	  	2	0.3	  	158	23.8	  	1	0.15	  	0	0	  	287	43.22	  	0	0	  	3	0.45	  	24	3.61	  	68	10.24	  	116	17.47	  	0	0	  	1	0.15	  	0	0	  	664	98.22	  	12	1.78	  	676	0.77
Magill (Mayo)		                              	12	0.84	  	5	0.35	  	243	16.98	  	1	0.07	  	0	0	  	665	46.47	  	0	0	  	3	0.21	  	28	1.96	  	90	6.29	  	379	26.48	  	5	0.35	  	0	0	  	0	0	  	1431	97.02	  	44	2.98	  	1475	1.69
Meadows		                                    	4	0.47	  	7	0.82	  	183	21.33	  	1	0.12	  	0	0	  	389	45.34	  	1	0.12	  	2	0.23	  	24	2.8	  	85	9.91	  	159	18.53	  	2	0.23	  	1	0.12	  	0	0	  	858	97.83	  	19	2.17	  	877	1
Montacute		                                  	3	1.72	  	0	0	  	36	20.69	  	5	2.87	  	0	0	  	82	47.13	  	0	0	  	0	0	  	6	3.45	  	10	5.75	  	30	17.24	  	1	0.57	  	1	0.57	  	0	0	  	174	99.43	  	1	0.57	  	175	0.2
Mount Barker		                               	89	2.18	  	36	0.88	  	832	20.42	  	3	0.07	  	1	0.02	  	1738	42.66	  	5	0.12	  	22	0.54	  	96	2.36	  	375	9.2	  	860	21.11	  	2	0.05	  	13	0.32	  	2	0.05	  	4074	96.91	  	130	3.09	  	4204	4.8
Mylor		                                      	10	1.53	  	9	1.38	  	193	29.6	  	0	0	  	1	0.15	  	266	40.8	  	0	0	  	1	0.15	  	28	4.29	  	38	5.83	  	105	16.1	  	0	0	  	1	0.15	  	0	0	  	652	98.94	  	7	1.06	  	659	0.75
Nairne		                                     	19	1.22	  	10	0.64	  	328	20.99	  	0	0	  	2	0.13	  	624	39.92	  	2	0.13	  	8	0.51	  	56	3.58	  	171	10.94	  	327	20.92	  	1	0.06	  	11	0.7	  	4	0.26	  	1563	97.44	  	41	2.56	  	1604	1.83
Newton		                                     	25	1.57	  	9	0.57	  	214	13.44	  	1	0.06	  	0	0	  	583	36.62	  	4	0.25	  	7	0.44	  	27	1.7	  	92	5.78	  	625	39.26	  	1	0.06	  	4	0.25	  	0	0	  	1592	96.02	  	66	3.98	  	1658	1.89
Norton Summit		                              	8	1.52	  	1	0.19	  	112	21.33	  	1	0.19	  	2	0.38	  	231	44	  	0	0	  	0	0	  	23	4.38	  	33	6.29	  	106	20.19	  	3	0.57	  	4	0.76	  	1	0.19	  	525	98.31	  	9	1.69	  	534	0.61
Paracombe		                                  	3	1.13	  	2	0.75	  	37	13.96	  	1	0.38	  	0	0	  	154	58.11	  	0	0	  	0	0	  	2	0.75	  	22	8.3	  	44	16.6	  	0	0	  	0	0	  	0	0	  	265	98.51	  	4	1.49	  	269	0.31
Paradise		                                   	32	1.58	  	9	0.44	  	293	14.46	  	3	0.15	  	6	0.3	  	717	35.39	  	0	0	  	7	0.35	  	24	1.18	  	126	6.22	  	796	39.29	  	5	0.25	  	6	0.3	  	2	0.1	  	2026	95.3	  	100	4.7	  	2126	2.43
Paradise West		                              	15	1.56	  	10	1.04	  	137	14.23	  	2	0.21	  	1	0.1	  	338	35.1	  	0	0	  	8	0.83	  	17	1.77	  	80	8.31	  	349	36.24	  	2	0.21	  	4	0.42	  	0	0	  	963	96.3	  	37	3.7	  	1000	1.14
Piccadilly		                                 	4	0.97	  	0	0	  	93	22.63	  	0	0	  	0	0	  	197	47.93	  	0	0	  	4	0.97	  	10	2.43	  	33	8.03	  	68	16.55	  	2	0.49	  	0	0	  	0	0	  	411	99.04	  	4	0.96	  	415	0.47
Prospect Hill		                              	0	0	  	1	0.88	  	25	22.12	  	0	0	  	0	0	  	62	54.87	  	0	0	  	0	0	  	2	1.77	  	15	13.27	  	7	6.19	  	0	0	  	1	0.88	  	0	0	  	113	97.41	  	3	2.59	  	116	0.13
Rostrevor		                                  	35	1.27	  	16	0.58	  	433	15.76	  	2	0.07	  	5	0.18	  	1211	44.08	  	1	0.04	  	9	0.33	  	47	1.71	  	191	6.95	  	791	28.8	  	3	0.11	  	3	0.11	  	0	0	  	2747	95.75	  	122	4.25	  	2869	3.28
Stirling East		                              	5	0.49	  	3	0.29	  	251	24.51	  	0	0	  	1	0.1	  	506	49.41	  	0	0	  	3	0.29	  	30	2.93	  	34	3.32	  	186	18.16	  	2	0.2	  	3	0.29	  	0	0	  	1024	98.65	  	14	1.35	  	1038	1.19
Stirling West		                              	9	0.5	  	5	0.28	  	492	27.35	  	0	0	  	1	0.06	  	813	45.19	  	0	0	  	12	0.67	  	55	3.06	  	94	5.23	  	315	17.51	  	2	0.11	  	0	0	  	1	0.06	  	1799	98.41	  	29	1.59	  	1828	2.09
Strathalbyn		                                	61	2.72	  	12	0.54	  	371	16.57	  	7	0.31	  	2	0.09	  	1112	49.67	  	2	0.09	  	11	0.49	  	41	1.83	  	279	12.46	  	329	14.69	  	2	0.09	  	8	0.36	  	2	0.09	  	2239	97.43	  	59	2.57	  	2298	2.63
Summertown		                                 	13	1.84	  	3	0.42	  	184	26.06	  	0	0	  	0	0	  	324	45.89	  	0	0	  	1	0.14	  	18	2.55	  	51	7.22	  	110	15.58	  	2	0.28	  	0	0	  	0	0	  	706	99.02	  	7	0.98	  	713	0.81
Upper Sturt		                                	0	0	  	2	0.36	  	148	26.71	  	1	0.18	  	2	0.36	  	232	41.88	  	0	0	  	3	0.54	  	19	3.43	  	37	6.68	  	108	19.49	  	0	0	  	2	0.36	  	0	0	  	554	98.4	  	9	1.6	  	563	0.64
Uraidla		                                    	5	1.09	  	3	0.66	  	95	20.74	  	1	0.22	  	1	0.22	  	233	50.87	  	2	0.44	  	2	0.44	  	12	2.62	  	26	5.68	  	78	17.03	  	0	0	  	0	0	  	0	0	  	458	97.03	  	14	2.97	  	472	0.54
Woodchester		                                	3	1.14	  	1	0.38	  	37	14.07	  	0	0	  	0	0	  	128	48.67	  	0	0	  	1	0.38	  	8	3.04	  	44	16.73	  	40	15.21	  	0	0	  	1	0.38	  	0	0	  	263	99.25	  	2	0.75	  	265	0.3
Woodforde		                                  	5	0.85	  	2	0.34	  	104	17.72	  	2	0.34	  	2	0.34	  	287	48.89	  	0	0	  	2	0.34	  	4	0.68	  	36	6.13	  	140	23.85	  	1	0.17	  	1	0.17	  	1	0.17	  	587	97.02	  	18	2.98	  	605	0.69
Woodside		                                   	17	1.47	  	8	0.69	  	197	17.03	  	1	0.09	  	0	0	  	623	53.85	  	1	0.09	  	2	0.17	  	20	1.73	  	114	9.85	  	167	14.43	  	2	0.17	  	4	0.35	  	1	0.09	  	1157	97.31	  	32	2.69	  	1189	1.36
Special Hospitals		                          	8	2.85	  	5	1.78	  	13	4.63	  	0	0	  	0	0	  	167	59.43	  	1	0.36	  	2	0.71	  	0	0	  	21	7.47	  	62	22.06	  	1	0.36	  	1	0.36	  	0	0	  	281	96.23	  	11	3.77	  	292	0.33
Total Ordinary		                             	912	1.35	  	347	0.51	  	13128	19.38	  	56	0.08	  	64	0.09	  	30771	45.44	  	36	0.05	  	284	0.42	  	1344	1.98	  	4974	7.34	  	15523	22.92	  	108	0.16	  	136	0.2	  	42	0.06	  	67725	97.34	  	1849	2.66	  	69574	79.48
ABSENT		                                     	100	1.29	  	21	0.27	  	1350	17.37	  	5	0.06	  	8	0.1	  	3534	45.47	  	10	0.13	  	33	0.42	  	239	3.07	  	613	7.89	  	1823	23.45	  	8	0.1	  	26	0.33	  	3	0.04	  	7773	98.52	  	117	1.48	  	7890	9.01
POSTAL		                                     	61	1.38	  	17	0.38	  	832	18.82	  	1	0.02	  	4	0.09	  	2126	48.09	  	3	0.07	  	5	0.11	  	91	2.06	  	379	8.57	  	886	20.04	  	4	0.09	  	8	0.18	  	4	0.09	  	4421	99.33	  	30	0.67	  	4451	5.09
PRE_POLL		                                   	88	1.78	  	22	0.44	  	914	18.48	  	4	0.08	  	6	0.12	  	2271	45.93	  	4	0.08	  	27	0.55	  	160	3.24	  	330	6.67	  	1092	22.08	  	7	0.14	  	16	0.32	  	4	0.08	  	4945	98.94	  	53	1.06	  	4998	5.71
PROVISIONAL		                                	7	1.16	  	0	0	  	105	17.38	  	0	0	  	0	0	  	254	42.05	  	0	0	  	5	0.83	  	28	4.64	  	48	7.95	  	157	25.99	  	0	0	  	0	0	  	0	0	  	604	97.73	  	14	2.27	  	618	0.71
Division Summary		                           	1168	1.37	  	407	0.48	  	16329	19.11	  	66	0.08	  	82	0.1	  	38956	45.58	  	53	0.06	  	354	0.41	  	1862	2.18	  	6344	7.42	  	19481	22.79	  	127	0.15	  	186	0.22	  	53	0.06	  	85468	97.64	  	2063	2.36	  	87531	96.34


Port Adelaide (82248)																																																				

	   		Group Total CDP			Group Total FST			Group Total DEM			Group Total - Unendorsed Group D			Group Total - Unendorsed Group E			Group Total LP			Group Total CEC			Group Total DSL			Group Total GRN			Group Total HAN			Group Total ALP			Group Total - Unendorsed Group L			Group Total NP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Port Adelaide)		                   	0	0	  	0	0	  	7	8.64	  	0	0	  	0	0	  	25	30.86	  	0	0	  	0	0	  	6	7.41	  	9	11.11	  	34	41.98	  	0	0	  	0	0	  	0	0	  	81	98.78	  	1	1.22	  	82	0.1
Albert Park		                                	10	1.1	  	13	1.43	  	75	8.26	  	0	0	  	4	0.44	  	255	28.08	  	0	0	  	11	1.21	  	18	1.98	  	97	10.68	  	417	45.93	  	4	0.44	  	3	0.33	  	1	0.11	  	908	95.88	  	39	4.12	  	947	1.2
Allenby Gardens		                            	22	2.25	  	3	0.31	  	121	12.4	  	2	0.2	  	0	0	  	205	21	  	0	0	  	4	0.41	  	27	2.77	  	84	8.61	  	503	51.54	  	0	0	  	3	0.31	  	2	0.2	  	976	96.16	  	39	3.84	  	1015	1.29
Angle Park		                                 	20	1.01	  	21	1.06	  	104	5.23	  	3	0.15	  	1	0.05	  	257	12.93	  	2	0.1	  	13	0.65	  	24	1.21	  	196	9.86	  	1324	66.63	  	15	0.75	  	6	0.3	  	1	0.05	  	1987	95.94	  	84	4.06	  	2071	2.62
Beverley		                                   	1	0.15	  	3	0.45	  	55	8.23	  	0	0	  	0	0	  	140	20.96	  	0	0	  	2	0.3	  	11	1.65	  	71	10.63	  	380	56.89	  	4	0.6	  	1	0.15	  	0	0	  	668	95.98	  	28	4.02	  	696	0.88
Birkenhead		                                 	10	0.54	  	10	0.54	  	219	11.76	  	0	0	  	0	0	  	338	18.14	  	2	0.11	  	20	1.07	  	66	3.54	  	191	10.25	  	1005	53.95	  	1	0.05	  	0	0	  	1	0.05	  	1863	96.28	  	72	3.72	  	1935	2.45
Cheltenham		                                 	23	1.67	  	16	1.16	  	168	12.23	  	0	0	  	2	0.15	  	391	28.46	  	2	0.15	  	10	0.73	  	27	1.97	  	142	10.33	  	588	42.79	  	0	0	  	3	0.22	  	2	0.15	  	1374	95.88	  	59	4.12	  	1433	1.82
