House of Representatives - 2001 Election: Victoria																																																					
First Preference Votes and TCP 																																																					
By Candidate by Polling Place																																																					

Gippsland (83845)																																																					
	JAGO			FRESHWATER			MCCUBBIN			EVANS			BUCKLEY			THORPE			WILLIAMS			BOLITHO			TREASURE			# MCGAURAN			ROBINSON			AITKEN			FORMAL			INFORMAL			TOTAL										
	John			Michael			Jo			Phillip J			Ben			Marjorie			Frank			Bill			Doug			Peter			Phillip			Chris												Two Candidate Preferred							
	IND			HAN			DEM			IND			IND			IND			CEC			ALP			IND			NP			IND			GRN												 BOLITHO ALP			# MCGAURAN NP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Nambrok	6	2.83		10	4.72		5	2.36		8	3.77		3	1.42		2	0.94		3	1.42		10	4.72		12	5.66		148	69.81		3	1.42		2	0.94		212	94.64		12	5.36		224	0.27		35	16.51		177	83.49
Nerrena	1	0.67		6	4.00		1	0.67		1	0.67		1	0.67		1	0.67		0	0.00		16	10.67		5	3.33		103	68.67		0	0.00		15	10.00		150	95.54		7	4.46		157	0.19		27	18.00		123	82.00
Newmerella	0	0.00		16	5.80		9	3.26		12	4.35		8	2.90		6	2.17		1	0.36		55	19.93		16	5.80		150	54.35		1	0.36		2	0.72		276	94.85		15	5.15		291	0.35		85	30.80		191	69.20
Newry	5	1.98		12	4.76		10	3.97		3	1.19		4	1.59		0	0.00		1	0.40		28	11.11		19	7.54		163	64.68		0	0.00		7	2.78		252	95.82		11	4.18		263	0.31		58	23.02		194	76.98
Nicholson	15	2.33		64	9.94		22	3.42		23	3.57		9	1.40		6	0.93		5	0.78		166	25.78		46	7.14		243	37.73		10	1.55		35	5.43		644	97.13		19	2.87		663	0.79		311	48.29		333	51.71
Nowa Nowa	1	0.51		30	15.23		9	4.57		6	3.05		5	2.54		6	3.05		1	0.51		42	21.32		10	5.08		75	38.07		0	0.00		12	6.09		197	90.78		20	9.22		217	0.26		91	46.19		106	53.81
Nungurner	1	0.58		16	9.36		7	4.09		9	5.26		3	1.75		2	1.17		0	0.00		38	22.22		18	10.53		68	39.77		1	0.58		8	4.68		171	93.96		11	6.04		182	0.22		80	46.78		91	53.22
Omeo	2	0.65		11	3.58		6	1.95		6	1.95		39	12.70		1	0.33		2	0.65		57	18.57		23	7.49		147	47.88		4	1.30		9	2.93		307	95.64		14	4.36		321	0.38		112	36.48		195	63.52
Orbost	22	1.60		103	7.49		19	1.38		35	2.54		24	1.74		20	1.45		1	0.07		402	29.22		46	3.34		661	48.04		20	1.45		23	1.67		1376	92.72		108	7.28		1484	1.77		592	43.02		784	56.98
Paynesville	24	1.14		129	6.12		62	2.94		69	3.27		25	1.19		19	0.90		6	0.28		588	27.88		69	3.27		999	47.37		53	2.51		66	3.13		2109	94.87		114	5.13		2223	2.65		888	42.11		1221	57.89
Poowong	13	2.57		30	5.93		31	6.13		0	0.00		2	0.40		6	1.19		1	0.20		77	15.22		29	5.73		296	58.50		1	0.20		20	3.95		506	94.93		27	5.07		533	0.64		143	28.26		363	71.74
Port Albert	13	6.28		7	3.38		7	3.38		5	2.42		8	3.86		2	0.97		1	0.48		72	34.78		18	8.70		70	33.82		2	0.97		2	0.97		207	92.41		17	7.59		224	0.27		105	50.72		102	49.28
Port Franklin	0	0.00		5	4.42		7	6.19		2	1.77		1	0.88		1	0.88		0	0.00		17	15.04		14	12.39		56	49.56		0	0.00		10	8.85		113	96.58		4	3.42		117	0.14		34	30.09		79	69.91
Rosedale	17	1.84		68	7.37		52	5.63		25	2.71		9	0.98		7	0.76		2	0.22		286	30.99		42	4.55		394	42.69		3	0.33		18	1.95		923	93.90		60	6.10		983	1.23		436	47.24		487	52.76
Sale	141	4.45		105	3.32		253	7.99		34	1.07		31	0.98		18	0.57		15	0.47		767	24.23		193	6.10		1471	46.48		10	0.32		127	4.01		3165	93.53		219	6.47		3384	4.22		1294	40.88		1871	59.12
Sale East	84	4.19		55	2.74		145	7.23		27	1.35		10	0.50		14	0.70		5	0.25		419	20.90		105	5.24		1082	53.97		5	0.25		54	2.69		2005	95.84		87	4.16		2092	2.61		647	32.27		1358	67.73
Sale North	70	3.35		110	5.26		135	6.45		22	1.05		30	1.43		12	0.57		8	0.38		630	30.11		143	6.84		867	41.44		11	0.53		54	2.58		2092	94.83		114	5.17		2206	2.75		963	46.03		1129	53.97
Seaspray	4	1.52		16	6.06		12	4.55		8	3.03		4	1.52		0	0.00		1	0.38		72	27.27		28	10.61		111	42.05		1	0.38		7	2.65		264	94.29		16	5.71		280	0.35		108	40.91		156	59.09
Staceys Bridge	3	2.27		3	2.27		7	5.30		3	2.27		2	1.52		1	0.76		0	0.00		5	3.79		12	9.09		87	65.91		0	0.00		9	6.82		132	95.65		6	4.35		138	0.17		21	15.91		111	84.09
Stradbroke	5	3.73		8	5.97		6	4.48		0	0.00		1	0.75		0	0.00		0	0.00		27	20.15		15	11.19		68	50.75		1	0.75		3	2.24		134	98.53		2	1.47		136	0.17		50	37.31		84	62.69
Stratford	37	2.66		63	4.53		56	4.02		24	1.72		10	0.72		20	1.44		0	0.00		278	19.97		283	20.33		583	41.88		5	0.36		33	2.37		1392	94.50		81	5.50		1473	1.84		560	40.23		832	59.77
Swifts Creek	6	2.26		24	9.02		14	5.26		6	2.26		14	5.26		0	0.00		0	0.00		79	29.70		11	4.14		102	38.35		1	0.38		9	3.38		266	96.03		11	3.97		277	0.35		124	46.62		142	53.38
Tarwin Lower	8	1.35		27	4.56		20	3.38		6	1.01		3	0.51		3	0.51		0	0.00		167	28.21		16	2.70		272	45.95		3	0.51		67	11.32		592	93.23		43	6.77		635	0.79		263	44.43		329	55.57
Tinamba	3	1.24		7	2.89		11	4.55		8	3.31		1	0.41		1	0.41		1	0.41		23	9.50		19	7.85		161	66.53		1	0.41		6	2.48		242	92.72		19	7.28		261	0.33		46	19.01		196	80.99
