House of Representatives - 2001 Election: Victoria							
Swing to ALP							
By Division by Polling Place						
							
Aston							
							
Polling Place	Formal	BOLAND		PEARCE		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Westmeadows	3291	2254	68.49	1037	31.51	-0.31
ABSENT	4839	3183	65.78	1656	34.22	-
POSTAL	2044	1191	58.27	853	41.73	-	
PRE POLL	3375	2083	61.72	1292	38.28	-	
PROVISIONAL	671	490	73.03	181	26.97	-	
Division Total	87173	59044	67.73	28129	32.27	-1.25	
							
							
Casey							
							
Polling Place	Formal	McKENZIE		SMITH		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Bayswater North	3160	1450	45.89	1710	54.11	-1.36	
Bimbadeen Heights	1942	864	44.49	1078	55.51	-1.63	
Birmingham	3699	1645	44.47	2054	55.53	-3.60	
Chirnside Park	2612	1001	38.32	1611	61.68	-2.66	
Coldstream	1347	516	38.31	831	61.69	-3.36	
Croydon	1260	620	49.21	640	50.79	1.17	
Croydon Central	2698	1243	46.07	1455	53.93	-3.28
Croydon East	2969	1346	45.34	1623	54.66	-2.79
Croydon Hills	3635	1339	36.84	2296	63.16	-1.36
Croydon North	2552	1148	44.98	1404	55.02	-4.18
Croydon West	1843	853	46.28	990	53.72	-2.19
Gruyere	299	84	28.09	215	71.91	2.12
Kallista (Casey)	903	523	57.92	380	42.08	1.33
Kilsyth	2524	1214	48.10	1310	51.90	-2.98
Kilsyth South	1523	715	46.95	808	53.05	-6.12
Lilydale	2894	1246	43.05	1648	56.95	-0.47
Lilydale Lake	1968	746	37.91	1222	62.09	-7.70
Lilydale North	736	342	46.47	394	53.53	1.80
Lilydale West	3065	1135	37.03	1930	62.97	-4.14
Manchester	1827	859	47.02	968	52.98	-3.22
Melbourne (Casey)	53	19	35.85	34	64.15	-21.29
Monbulk	2321	1006	43.34	1315	56.66	-2.86
Montrose	3225	1444	44.78	1781	55.22	-2.27
Montrose South	1146	469	40.92	677	59.08	-0.63
Mooroolbark	2358	1146	48.60	1212	51.40	-3.37
Mooroolbark East	1902	847	44.53	1055	55.47	-0.06
Mooroolbark South	2022	866	42.83	1156	57.17	-7.26
Mount Dandenong (Casey)	618	356	57.61	262	42.39	5.78
Mount Evelyn	961	467	48.60	494	51.40	3.02
Rolling Hills	1928	763	39.57	1165	60.43	1.21
Seville	1573	649	41.26	924	58.74	-2.04
Silvan	721	260	36.06	461	63.94	0.69
Special Hospital Team 1	488	134	27.46	354	72.54	-36.43
Special Hospital Team 2	468	151	32.26	317	67.74	-3.12
The Patch	530	265	50.00	265	50.00	4.41
Wandin Yallock	1642	585	35.63	1057	64.37	-1.58
Yarra Road	1343	441	32.84	902	67.16	0.45
ABSENT	5020	2251	44.84	2769	55.16	-
POSTAL	3144	1074	34.16	2070	65.84	-	
PRE POLL	3404	1461	42.92	1943	57.08	-	
PROVISIONAL	404	180	44.55	224	55.45	-	
Division Total	78727	33723	42.84	45004	57.16	-2.30	
							
							
Chisholm							
							
Polling Place	Formal	BURKE		CLOWES		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Ashwood	3613	1995	55.22	1618	44.78	-2.59	
Bennettswood	2786	1518	54.49	1268	45.51	0.03	
Box Hill	1945	1163	59.79	782	40.21	0.62	
Box Hill Central	1543	918	59.49	625	40.51	-0.47	
Box Hill North	1324	750	56.65	574	43.35	1.54	
Box Hill South	1735	979	56.43	756	43.57	3.88	
Burwood Central	1937	989	51.06	948	48.94	-0.04
Chadstone East	2262	1452	64.19	810	35.81	-1.89
Clayton	1640	1129	68.84	511	31.16	-0.26
Clayton East	1317	891	67.65	426	32.35	0.00
Clayton North	1736	1135	65.38	601	34.62	-1.84
Elgar Park	1869	869	46.50	1000	53.50	4.88
Essex Heights	3123	1478	47.33	1645	52.67	2.19
Glendal	2619	1206	46.05	1413	53.95	-0.21
Huntingdale	999	648	64.86	351	35.14	-3.00
Kerrimuir	2686	1467	54.62	1219	45.38	1.50
Koonung Heights	2540	1259	49.57	1281	50.43	2.37
Manooka	1539	865	56.21	674	43.79	3.49
Melbourne (Chisholm)	88	49	55.68	39	44.32	-13.44
Mont Albert	2146	904	42.12	1242	57.88	2.18
Mount Waverley	666	295	44.29	371	55.71	-
Mount Waverley South	4139	1913	46.22	2226	53.78	1.66
Oakleigh (Chisholm)	1460	953	65.27	507	34.73	-0.95
Oakleigh East	1676	1034	61.69	642	38.31	-0.78
Oakleigh North	1627	972	59.74	655	40.26	1.84
Pinewood (Chisholm)	2188	1049	47.94	1139	52.06	0.95
Special Hospital Team 1	54	24	44.44	30	55.56	-8.59
Special Hospital Team 2	59	24	40.68	35	59.32	6.72
Special Hospital Team 3	11	6	54.54	5	45.45	-20.45
Special Hospital Team 4	403	93	23.08	310	76.92	-
Surrey Hills	1610	687	42.67	923	57.33	4.20
Sussex Heights	2050	1197	58.39	853	41.61	0.06
Syndal North	3001	1411	47.02	1590	52.98	3.28
Syndal South	1879	825	43.91	1054	56.09	1.26
Tally Ho (Chisholm)	1349	669	49.59	680	50.41	-3.41
Tyne	1158	612	52.85	546	47.15	1.10
Wattle Park	2407	1304	54.18	1103	45.82	0.93
Waverley North	1191	652	54.74	539	45.26	4.03
ABSENT	5640	2928	51.91	2712	48.09	-	
POSTAL	4558	2119	46.49	2439	53.51	-	
PRE POLL	3153	1635	51.86	1518	48.14	-	
PROVISIONAL	211	113	53.55	98	46.45	-	
Division Total	79937	42179	52.77	37758	47.23	0.69	
							
