Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Corangamite (85955)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Queenscliff		21	2.69		4	0.51		8	1.02		0	0.00		0	0.00		1	0.13		17	2.17		323	41.30		3	0.38		1	0.13		228	29.16		3	0.38		60	7.67		0	0.00		0	0.00		112	14.32		0	0.00		1	0.13		782	95.48		37	4.52		819	0.99
Rokewood		5	2.51		4	2.01		1	0.50		0	0.00		0	0.00		0	0.00		8	4.02		114	57.29		1	0.50		0	0.00		50	25.13		0	0.00		7	3.52		0	0.00		0	0.00		9	4.52		0	0.00		0	0.00		199	92.99		15	7.01		214	0.26
St Leonards		20	1.66		28	2.33		13	1.08		0	0.00		0	0.00		0	0.00		36	2.99		490	40.70		5	0.42		0	0.00		530	44.02		6	0.50		43	3.57		0	0.00		0	0.00		33	2.74		0	0.00		0	0.00		1204	91.63		110	8.37		1314	1.58
Shelford		2	1.23		1	0.61		1	0.61		0	0.00		0	0.00		0	0.00		5	3.07		103	63.19		0	0.00		1	0.61		28	17.18		1	0.61		12	7.36		0	0.00		0	0.00		9	5.52		0	0.00		0	0.00		163	97.02		5	2.98		168	0.20
Simpson (Corangamite)		6	3.14		1	0.52		0	0.00		0	0.00		0	0.00		0	0.00		7	3.66		154	80.63		0	0.00		0	0.00		15	7.85		1	0.52		3	1.57		0	0.00		1	0.52		3	1.57		0	0.00		0	0.00		191	97.45		5	2.55		196	0.24
Teesdale		7	1.13		19	3.06		9	1.45		0	0.00		0	0.00		0	0.00		21	3.39		206	33.23		2	0.32		0	0.00		242	39.03		4	0.65		54	8.71		0	0.00		2	0.32		52	8.39		1	0.16		1	0.16		620	97.79		14	2.21		634	0.76
Torquay		58	2.32		25	1.00		29	1.16		0	0.00		0	0.00		1	0.04		26	1.04		1091	43.64		4	0.16		1	0.04		740	29.60		12	0.48		220	8.80		0	0.00		2	0.08		290	11.60		0	0.00		1	0.04		2500	94.70		140	5.30		2640	3.18
Torquay North		29	1.57		20	1.08		12	0.65		0	0.00		0	0.00		1	0.05		18	0.98		706	38.27		2	0.11		1	0.05		580	31.44		6	0.33		210	11.38		0	0.00		2	0.11		257	13.93		1	0.05		0	0.00		1845	96.24		72	3.76		1917	2.31
Wallington		14	1.94		7	0.97		9	1.25		1	0.14		1	0.14		0	0.00		15	2.08		397	55.06		1	0.14		0	0.00		178	24.69		0	0.00		57	7.91		0	0.00		0	0.00		41	5.69		0	0.00		0	0.00		721	96.39		27	3.61		748	0.90
Warrion		4	2.68		3	2.01		4	2.68		0	0.00		0	0.00		0	0.00		4	2.68		96	64.43		0	0.00		1	0.67		31	20.81		0	0.00		4	2.68		0	0.00		0	0.00		2	1.34		0	0.00		0	0.00		149	93.13		11	6.88		160	0.19
Winchelsea		24	2.27		20	1.89		12	1.14		1	0.09		0	0.00		0	0.00		51	4.82		456	43.14		5	0.47		4	0.38		379	35.86		6	0.57		43	4.07		0	0.00		0	0.00		55	5.20		1	0.09		0	0.00		1057	92.07		91	7.93		1148	1.38
Wiridjil (Corangamite)		1	1.08		1	1.08		0	0.00		0	0.00		0	0.00		0	0.00		3	3.23		75	80.65		0	0.00		0	0.00		10	10.75		0	0.00		2	2.15		0	0.00		0	0.00		1	1.08		0	0.00		0	0.00		93	92.08		8	7.92		101	0.12
Wurdi Boluc		0	0.00		1	0.64		3	1.91		0	0.00		0	0.00		2	1.27		5	3.18		77	49.04		0	0.00		1	0.64		50	31.85		0	0.00		10	6.37		0	0.00		0	0.00		6	3.82		0	0.00		2	1.27		157	92.90		12	7.10		169	0.20
Special Hospitals		9	4.64		3	1.55		1	0.52		0	0.00		0	0.00		0	0.00		3	1.55		123	63.40		0	0.00		0	0.00		54	27.84		0	0.00		1	0.52		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		194	93.27		14	6.73		208	0.25
Total Ordinary		1432	2.20		1069	1.64		734	1.13		48	0.07		23	0.04		29	0.04		1547	2.37		30280	46.48		145	0.22		46	0.07		19651	30.16		408	0.63		5141	7.89		10	0.02		38	0.06		4504	6.91		19	0.03		23	0.04		65147	94.68		3664	5.32		68811	82.93
ABSENT		134	2.69		115	2.31		76	1.52		4	0.08		5	0.10		4	0.08		96	1.92		2008	40.25		28	0.56		0	0.00		1435	28.76		26	0.52		526	10.54		0	0.00		5	0.10		514	10.30		9	0.18		4	0.08		4989	97.18		145	2.82		5134	6.19
POSTAL		104	2.77		32	0.85		44	1.17		1	0.03		1	0.03		0	0.00		120	3.19		2146	57.12		6	0.16		1	0.03		901	23.98		25	0.67		208	5.54		2	0.05		2	0.05		159	4.23		1	0.03		4	0.11		3757	97.79		85	2.21		3842	4.63
PRE_POLL		106	2.42		70	1.60		54	1.23		5	0.11		1	0.02		2	0.05		130	2.97		2045	46.73		18	0.41		11	0.25		1314	30.03		46	1.05		356	8.14		2	0.05		1	0.02		213	4.87		2	0.05		0	0.00		4376	96.69		150	3.31		4526	5.45
PROVISIONAL		21	3.28		19	2.96		4	0.62		0	0.00		1	0.16		0	0.00		11	1.72		272	42.43		2	0.31		0	0.00		181	28.24		2	0.31		68	10.61		0	0.00		0	0.00		59	9.20		1	0.16		0	0.00		641	96.97		20	3.03		661	0.80
Division Summary		1797	2.28		1305	1.65		912	1.16		58	0.07		31	0.04		35	0.04		1904	2.41		36751	46.57		199	0.25		58	0.07		23482	29.76		507	0.64		6299	7.98		14	0.02		46	0.06		5449	6.91		32	0.04		31	0.04		78910	95.1		4064	4.9		82974	96.53
