Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Murray (85651)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Shepparton East		17	2.80		12	1.97		11	1.81		1	0.16		0	0.00		0	0.00		23	3.78		387	63.65		1	0.16		2	0.33		109	17.93		1	0.16		26	4.28		0	0.00		0	0.00		18	2.96		0	0.00		0	0.00		608	93.11		45	6.89		653	0.79
Shepparton North		53	2.30		32	1.39		36	1.56		4	0.17		2	0.09		1	0.04		72	3.12		1375	59.60		11	0.48		1	0.04		491	21.28		12	0.52		147	6.37		0	0.00		0	0.00		69	2.99		1	0.04		0	0.00		2307	95.45		110	4.55		2417	2.93
Shepparton South		88	3.81		62	2.69		27	1.17		3	0.13		2	0.09		1	0.04		97	4.20		1142	49.50		7	0.30		1	0.04		681	29.52		13	0.56		125	5.42		0	0.00		2	0.09		56	2.43		0	0.00		0	0.00		2307	93.14		170	6.86		2477	3.00
Stanhope		18	2.47		14	1.92		8	1.10		0	0.00		0	0.00		0	0.00		34	4.66		484	66.30		4	0.55		1	0.14		123	16.85		2	0.27		32	4.38		0	0.00		0	0.00		10	1.37		0	0.00		0	0.00		730	96.69		25	3.31		755	0.91
Strathmerton		22	3.26		15	2.23		13	1.93		0	0.00		0	0.00		2	0.30		86	12.76		365	54.15		4	0.59		0	0.00		131	19.44		2	0.30		22	3.26		1	0.15		1	0.15		10	1.48		0	0.00		0	0.00		674	94.40		40	5.60		714	0.86
Tallygaroopna		7	1.93		5	1.38		2	0.55		1	0.28		0	0.00		1	0.28		19	5.25		239	66.02		0	0.00		0	0.00		67	18.51		2	0.55		16	4.42		0	0.00		1	0.28		2	0.55		0	0.00		0	0.00		362	96.02		15	3.98		377	0.46
Tatura		86	3.62		47	1.98		23	0.97		2	0.08		2	0.08		0	0.00		108	4.55		1357	57.14		7	0.29		2	0.08		514	21.64		17	0.72		132	5.56		0	0.00		0	0.00		76	3.20		1	0.04		1	0.04		2375	94.73		132	5.27		2507	3.04
Tennyson		0	0.00		2	1.48		2	1.48		0	0.00		0	0.00		0	0.00		8	5.93		108	80.00		0	0.00		0	0.00		7	5.19		0	0.00		4	2.96		0	0.00		0	0.00		4	2.96		0	0.00		0	0.00		135	99.26		1	0.74		136	0.16
Tongala		40	3.70		22	2.04		26	2.41		0	0.00		0	0.00		1	0.09		58	5.37		677	62.63		3	0.28		0	0.00		190	17.58		8	0.74		31	2.87		0	0.00		1	0.09		23	2.13		1	0.09		0	0.00		1081	94.66		61	5.34		1142	1.38
Toolamba		10	2.53		11	2.78		9	2.28		0	0.00		0	0.00		224	56.71		26	6.58		7	1.77		3	0.76		0	0.00		77	19.49		2	0.51		16	4.05		0	0.00		0	0.00		10	2.53		0	0.00		0	0.00		395	95.87		17	4.13		412	0.50
