Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
 By Polling Place																																																															

Gippsland (83845)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Metung		17	3.07		8	1.44		9	1.62		2	0.36		0	0.00		0	0.00		12	2.17		303	54.69		1	0.18		0	0.00		113	20.40		1	0.18		52	9.39		1	0.18		0	0.00		34	6.14		0	0.00		1	0.18		554	97.19		16	2.81		570	0.68
Mirboo North		37	2.68		22	1.59		25	1.81		1	0.07		2	0.14		1	0.07		93	6.74		558	40.43		2	0.14		1	0.07		393	28.48		11	0.80		106	7.68		0	0.00		1	0.07		125	9.06		2	0.14		0	0.00		1380	94.98		73	5.02		1453	1.73
Mount Eccles		4	2.90		3	2.17		8	5.80		0	0.00		0	0.00		0	0.00		9	6.52		74	53.62		0	0.00		0	0.00		16	11.59		1	0.72		13	9.42		0	0.00		0	0.00		10	7.25		0	0.00		0	0.00		138	98.57		2	1.43		140	0.17
Nambrok		9	4.13		1	0.46		9	4.13		2	0.92		0	0.00		0	0.00		12	5.50		149	68.35		3	1.38		1	0.46		17	7.80		0	0.00		9	4.13		0	0.00		0	0.00		6	2.75		0	0.00		0	0.00		218	97.32		6	2.68		224	0.27
Nerrena		4	2.58		2	1.29		3	1.94		1	0.65		0	0.00		0	0.00		3	1.94		113	72.90		0	0.00		0	0.00		15	9.68		2	1.29		5	3.23		0	0.00		0	0.00		7	4.52		0	0.00		0	0.00		155	98.73		2	1.27		157	0.19
Newmerella		18	6.38		2	0.71		7	2.48		0	0.00		0	0.00		0	0.00		27	9.57		166	58.87		1	0.35		0	0.00		46	16.31		0	0.00		9	3.19		0	0.00		1	0.35		5	1.77		0	0.00		0	0.00		282	95.59		13	4.41		295	0.35
Newry		8	3.14		2	0.78		6	2.35		0	0.00		0	0.00		0	0.00		20	7.84		171	67.06		2	0.78		0	0.00		31	12.16		0	0.00		10	3.92		0	0.00		0	0.00		5	1.96		0	0.00		0	0.00		255	96.96		8	3.04		263	0.31
Nicholson		14	2.13		4	0.61		19	2.90		0	0.00		0	0.00		1	0.15		74	11.28		285	43.45		2	0.30		1	0.15		180	27.44		11	1.68		28	4.27		0	0.00		0	0.00		37	5.64		0	0.00		0	0.00		656	98.94		7	1.06		663	0.79
Nowa Nowa		6	2.96		1	0.49		4	1.97		0	0.00		0	0.00		0	0.00		37	18.23		81	39.90		0	0.00		0	0.00		54	26.60		1	0.49		7	3.45		0	0.00		0	0.00		11	5.42		0	0.00		1	0.49		203	93.12		15	6.88		218	0.26
Nungurner		2	1.14		5	2.86		6	3.43		0	0.00		0	0.00		0	0.00		17	9.71		76	43.43		1	0.57		0	0.00		44	25.14		0	0.00		13	7.43		0	0.00		0	0.00		11	6.29		0	0.00		0	0.00		175	95.63		8	4.37		183	0.22
Omeo		13	4.23		5	1.63		7	2.28		0	0.00		0	0.00		0	0.00		23	7.49		170	55.37		0	0.00		2	0.65		64	20.85		1	0.33		10	3.26		1	0.33		0	0.00		9	2.93		1	0.33		1	0.33		307	95.64		14	4.36		321	0.38
Orbost		66	4.62		28	1.96		24	1.68		0	0.00		3	0.21		1	0.07		134	9.38		680	47.59		5	0.35		5	0.35		397	27.78		11	0.77		43	3.01		1	0.07		2	0.14		27	1.89		2	0.14		0	0.00		1429	96.03		59	3.97		1488	1.77
Paynesville		52	2.43		29	1.36		36	1.68		3	0.14		0	0.00		1	0.05		146	6.83		1075	50.26		5	0.23		0	0.00		594	27.77		9	0.42		91	4.25		1	0.05		0	0.00		94	4.39		0	0.00		3	0.14		2139	95.96		90	4.04		2229	2.66
Poowong		12	2.32		3	0.58		8	1.54		0	0.00		1	0.19		0	0.00		36	6.95		315	60.81		1	0.19		0	0.00		95	18.34		2	0.39		26	5.02		0	0.00		0	0.00		18	3.47		1	0.19		0	0.00		518	97.37		14	2.63		532	0.63
Port Albert		8	3.79		3	1.42		7	3.32		0	0.00		0	0.00		0	0.00		14	6.64		86	40.76		0	0.00		1	0.47		79	37.44		1	0.47		9	4.27		0	0.00		0	0.00		3	1.42		0	0.00		0	0.00		211	94.20		13	5.80		224	0.27
Port Franklin		1	0.88		2	1.75		4	3.51		0	0.00		0	0.00		0	0.00		5	4.39		66	57.89		0	0.00		0	0.00		23	20.18		0	0.00		11	9.65		0	0.00		0	0.00		2	1.75		0	0.00		0	0.00		114	97.44		3	2.56		117	0.14
Rosedale		18	1.93		32	3.43		17	1.82		2	0.21		1	0.11		0	0.00		86	9.22		420	45.02		1	0.11		1	0.11		276	29.58		1	0.11		64	6.86		0	0.00		0	0.00		13	1.39		0	0.00		1	0.11		933	94.82		51	5.18		984	1.17
Sale		92	2.83		70	2.15		59	1.81		6	0.18		0	0.00		0	0.00		152	4.67		1565	48.12		7	0.22		2	0.06		847	26.05		16	0.49		284	8.73		1	0.03		4	0.12		140	4.31		4	0.12		3	0.09		3252	95.99		136	4.01		3388	4.04
Sale East		44	2.15		27	1.32		26	1.27		0	0.00		0	0.00		1	0.05		85	4.15		1173	57.30		7	0.34		1	0.05		455	22.23		8	0.39		152	7.43		1	0.05		2	0.10		64	3.13		1	0.05		0	0.00		2047	97.80		46	2.20		2093	2.50
Sale North		56	2.65		48	2.27		39	1.84		5	0.24		1	0.05		1	0.05		132	6.24		946	44.73		8	0.38		3	0.14		668	31.58		8	0.38		138	6.52		0	0.00		3	0.14		55	2.60		0	0.00		4	0.19		2115	95.70		95	4.30		2210	2.64
Seaspray		6	2.26		9	3.38		7	2.63		0	0.00		0	0.00		0	0.00		34	12.78		110	41.35		0	0.00		0	0.00		76	28.57		0	0.00		14	5.26		0	0.00		0	0.00		10	3.76		0	0.00		0	0.00		266	94.66		15	5.34		281	0.34
Staceys Bridge		2	1.52		2	1.52		3	2.27		0	0.00		0	0.00		0	0.00		3	2.27		99	75.00		0	0.00		0	0.00		6	4.55		0	0.00		6	4.55		0	0.00		0	0.00		10	7.58		0	0.00		1	0.76		132	95.65		6	4.35		138	0.16
Stradbroke		4	2.99		3	2.24		3	2.24		0	0.00		0	0.00		0	0.00		14	10.45		68	50.75		0	0.00		0	0.00		27	20.15		0	0.00		7	5.22		0	0.00		0	0.00		8	5.97		0	0.00		0	0.00		134	98.53		2	1.47		136	0.16
Stratford		42	2.96		29	2.04		35	2.46		2	0.14		3	0.21		0	0.00		102	7.18		700	49.30		3	0.21		1	0.07		355	25.00		7	0.49		77	5.42		0	0.00		0	0.00		63	4.44		0	0.00		1	0.07		1420	96.08		58	3.92		1478	1.76
Swifts Creek		2	0.74		8	2.96		13	4.81		0	0.00		0	0.00		0	0.00		29	10.74		118	43.70		1	0.37		0	0.00		72	26.67		1	0.37		14	5.19		0	0.00		0	0.00		12	4.44		0	0.00		0	0.00		270	97.47		7	2.53		277	0.33
Tarwin Lower		23	3.78		12	1.97		8	1.32		0	0.00		0	0.00		0	0.00		32	5.26		285	46.88		2	0.33		1	0.16		148	24.34		1	0.16		33	5.43		2	0.33		0	0.00		60	9.87		1	0.16		0	0.00		608	95.45		29	4.55		637	0.76
Tinamba		9	3.67		4	1.63		4	1.63		0	0.00		0	0.00		0	0.00		14	5.71		169	68.98		1	0.41		0	0.00		30	12.24		1	0.41		7	2.86		0	0.00		0	0.00		6	2.45		0	0.00		0	0.00		245	94.59		14	5.41		259	0.31
Toongabbie		10	2.31		10	2.31		6	1.39		2	0.46		0	0.00		1	0.23		25	5.79		162	37.50		1	0.23		7	1.62		157	36.34		1	0.23		31	7.18		0	0.00		1	0.23		18	4.17		0	0.00		0	0.00		432	94.74		24	5.26		456	0.54
Toora		10	1.90		11	2.09		8	1.52		1	0.19		0	0.00		0	0.00		38	7.22		247	46.96		1	0.19		0	0.00		139	26.43		1	0.19		24	4.56		0	0.00		0	0.00		45	8.56		1	0.19		0	0.00		526	94.60		30	5.40		556	0.66
