Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Mallee (81774)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Piangil		25	8.90		7	2.49		4	1.42		1	0.36		0	0.00		0	0.00		19	6.76		172	61.21		0	0.00		0	0.00		42	14.95		0	0.00		8	2.85		0	0.00		0	0.00		3	1.07		0	0.00		0	0.00		281	94.93		15	5.07		296	0.38
Pimpinio		12	9.02		2	1.50		1	0.75		0	0.00		0	0.00		0	0.00		12	9.02		86	64.66		1	0.75		0	0.00		15	11.28		1	0.75		3	2.26		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		133	98.52		2	1.48		135	0.17
Quantong		12	5.91		0	0.00		3	1.48		0	0.00		0	0.00		0	0.00		23	11.33		110	54.19		0	0.00		1	0.49		34	16.75		5	2.46		10	4.93		0	0.00		1	0.49		4	1.97		0	0.00		0	0.00		203	98.54		3	1.46		206	0.26
Rainbow		37	7.41		7	1.40		6	1.20		0	0.00		1	0.20		0	0.00		26	5.21		338	67.74		1	0.20		0	0.00		68	13.63		1	0.20		5	1.00		0	0.00		0	0.00		9	1.80		0	0.00		0	0.00		499	96.52		18	3.48		517	0.66
Red Cliffs		197	8.01		51	2.07		33	1.34		4	0.16		3	0.12		2	0.08		287	11.68		977	39.75		11	0.45		2	0.08		715	29.09		35	1.42		85	3.46		0	0.00		1	0.04		54	2.20		0	0.00		1	0.04		2458	95.79		108	4.21		2566	3.26
Riverside		19	9.18		5	2.42		2	0.97		0	0.00		0	0.00		0	0.00		15	7.25		122	58.94		2	0.97		0	0.00		30	14.49		2	0.97		9	4.35		1	0.48		0	0.00		0	0.00		0	0.00		0	0.00		207	96.28		8	3.72		215	0.27
Robinvale		173	11.26		33	2.15		30	1.95		1	0.07		2	0.13		1	0.07		153	9.95		716	46.58		10	0.65		4	0.26		357	23.23		7	0.46		27	1.76		1	0.07		0	0.00		21	1.37		0	0.00		1	0.07		1537	93.04		115	6.96		1652	2.10
Rupanyup		26	6.93		8	2.13		4	1.07		0	0.00		0	0.00		0	0.00		25	6.67		228	60.80		1	0.27		4	1.07		68	18.13		1	0.27		6	1.60		0	0.00		0	0.00		3	0.80		0	0.00		1	0.27		375	94.94		20	5.06		395	0.50
St Arnaud		156	8.30		67	3.57		24	1.28		1	0.05		2	0.11		2	0.11		115	6.12		893	47.53		5	0.27		20	1.06		489	26.02		11	0.59		57	3.03		1	0.05		1	0.05		33	1.76		0	0.00		2	0.11		1879	95.82		82	4.18		1961	2.49
Sea Lake		47	10.11		10	2.15		11	2.37		0	0.00		0	0.00		0	0.00		41	8.82		230	49.46		3	0.65		1	0.22		93	20.00		2	0.43		16	3.44		0	0.00		0	0.00		11	2.37		0	0.00		0	0.00		465	94.90		25	5.10		490	0.62
