Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

McMillan (85551)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Toomuc Valley		4	3.96		1	0.99		0	0.00		0	0.00		0	0.00		0	0.00		6	5.94		59	58.42		0	0.00		0	0.00		22	21.78		0	0.00		5	4.95		0	0.00		0	0.00		4	3.96		0	0.00		0	0.00		101	89.38		12	10.62		113	0.14
Trafalgar		50	2.61		30	1.57		21	1.10		6	0.31		0	0.00		3	0.16		65	3.40		924	48.28		2	0.10		1	0.05		592	30.93		8	0.42		138	7.21		0	0.00		3	0.16		70	3.66		0	0.00		1	0.05		1914	94.24		117	5.76		2031	2.47
Traralgon		86	2.28		61	1.62		46	1.22		3	0.08		2	0.05		2	0.05		119	3.15		1724	45.67		12	0.32		2	0.05		1257	33.30		21	0.56		283	7.50		2	0.05		4	0.11		149	3.95		0	0.00		2	0.05		3775	94.14		235	5.86		4010	4.87
Traralgon East		61	1.95		70	2.24		31	0.99		6	0.19		0	0.00		0	0.00		152	4.87		1156	37.02		7	0.22		2	0.06		1342	42.97		8	0.26		198	6.34		0	0.00		3	0.10		86	2.75		0	0.00		1	0.03		3123	94.18		193	5.82		3316	4.03
Traralgon North		78	1.98		90	2.28		43	1.09		3	0.08		0	0.00		2	0.05		154	3.91		1608	40.81		6	0.15		3	0.08		1576	40.00		13	0.33		241	6.12		1	0.03		4	0.10		114	2.89		3	0.08		1	0.03		3940	94.53		228	5.47		4168	5.06
Traralgon South		6	1.31		6	1.31		4	0.88		0	0.00		0	0.00		0	0.00		27	5.91		179	39.17		1	0.22		4	0.88		153	33.48		6	1.31		39	8.53		0	0.00		1	0.22		31	6.78		0	0.00		0	0.00		457	96.62		16	3.38		473	0.57
Traralgon West		20	1.97		12	1.18		7	0.69		1	0.10		0	0.00		1	0.10		48	4.72		454	44.64		2	0.20		1	0.10		363	35.69		5	0.49		70	6.88		0	0.00		0	0.00		32	3.15		0	0.00		1	0.10		1017	95.31		50	4.69		1067	1.30
Tyers		9	1.66		8	1.48		8	1.48		1	0.18		0	0.00		0	0.00		29	5.36		225	41.59		1	0.18		1	0.18		199	36.78		1	0.18		37	6.84		0	0.00		0	0.00		22	4.07		0	0.00		0	0.00		541	98.01		11	1.99		552	0.67
Tynong		3	0.95		3	0.95		1	0.32		0	0.00		0	0.00		0	0.00		17	5.36		150	47.32		1	0.32		2	0.63		93	29.34		8	2.52		21	6.62		0	0.00		0	0.00		18	5.68		0	0.00		0	0.00		317	90.83		32	9.17		349	0.42
Tynong North		0	0.00		1	0.81		4	3.23		0	0.00		0	0.00		0	0.00		6	4.84		76	61.29		0	0.00		1	0.81		23	18.55		2	1.61		5	4.03		0	0.00		0	0.00		6	4.84		0	0.00		0	0.00		124	96.88		4	3.13		128	0.16
