Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Barker (87836)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Port Elliot		254	23.69		80	7.46		52	4.85		0	0.00		552	51.49		0	0.00		0	0.00		2	0.19		132	12.31		0	0.00		1072	96.66		37	3.34		1109	1.31
Port MacDonnell		185	27.25		12	1.77		74	10.90		1	0.15		363	53.46		1	0.15		0	0.00		2	0.29		40	5.89		1	0.15		679	96.59		24	3.41		703	0.83
Purnong		20	14.39		4	2.88		7	5.04		0	0.00		102	73.38		0	0.00		0	0.00		0	0.00		6	4.32		0	0.00		139	98.58		2	1.42		141	0.17
Rendelsham		31	21.23		1	0.68		13	8.90		0	0.00		90	61.64		0	0.00		0	0.00		0	0.00		10	6.85		1	0.68		146	95.42		7	4.58		153	0.18
Robe		116	14.27		21	2.58		49	6.03		0	0.00		567	69.74		1	0.12		0	0.00		1	0.12		55	6.77		3	0.37		813	97.60		20	2.40		833	0.98
Salt Creek		12	21.05		4	7.02		7	12.28		0	0.00		29	50.88		0	0.00		0	0.00		0	0.00		5	8.77		0	0.00		57	96.61		2	3.39		59	0.07
Second Valley		28	28.57		5	5.10		4	4.08		0	0.00		45	45.92		0	0.00		0	0.00		0	0.00		16	16.33		0	0.00		98	97.03		3	2.97		101	0.12
Sedan		21	12.88		9	5.52		13	7.98		0	0.00		111	68.10		0	0.00		0	0.00		1	0.61		8	4.91		0	0.00		163	98.19		3	1.81		166	0.20
Southend		27	15.34		2	1.14		18	10.23		0	0.00		122	69.32		0	0.00		0	0.00		0	0.00		6	3.41		1	0.57		176	98.88		2	1.12		178	0.21
Suttontown		188	24.70		18	2.37		58	7.62		2	0.26		446	58.61		0	0.00		1	0.13		3	0.39		44	5.78		1	0.13		761	97.07		23	2.93		784	0.93
