House of Representatives - 2001 Election: South Australia											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Mayo (86319)											
		Candidate		"DOWNER, Alexander"		          	"BRENNAN, Delia"		             	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
		"COOMBE, Howie F (IND)"	3	0	0.00		3	100.00		3	
		Total	183	320	58.61		226	41.39		546	

	Uraidla										
			1st Prefs	318	82.81		66	17.19		384	
		"MCLAREN, John (DEM)"	78	28	35.90		50	64.10		78	
		"SPRAGG, Bill (IND)"	15	6	40.00		9	60.00		15	
		"CLARK, Dave (GRN)"	27	5	18.52		22	81.48		27	
		"THOMAS, Mike (HAN)"	17	10	58.82		7	41.18		17	
		"COOMBE, Howie F (IND)"	1	1	100.00		0	0.00		1	
		Total	138	368	70.50		154	29.50		522	

	Willunga										
			1st Prefs	912	71.19		369	28.81		1281	
		"MCLAREN, John (DEM)"	232	77	33.19		155	66.81		232	
		"SPRAGG, Bill (IND)"	42	22	52.38		20	47.62		42	
		"CLARK, Dave (GRN)"	138	28	20.29		110	79.71		138	
		"THOMAS, Mike (HAN)"	46	33	71.74		13	28.26		46	
		"COOMBE, Howie F (IND)"	5	3	60.00		2	40.00		5	
		Total	463	1075	61.64		669	38.36		1744	

	Woodchester										
			1st Prefs	157	80.93		37	19.07		194	
		"MCLAREN, John (DEM)"	32	8	25.00		24	75.00		32	
		"SPRAGG, Bill (IND)"	12	5	41.67		7	58.33		12	
		"CLARK, Dave (GRN)"	12	1	8.33		11	91.67		12	
		"THOMAS, Mike (HAN)"	14	8	57.14		6	42.86		14	
		"COOMBE, Howie F (IND)"	1	1	100.00		0	0.00		1	
		Total	71	180	67.92		85	32.08		265	

	Woodside										
			1st Prefs	759	78.65		206	21.35		965	
		"MCLAREN, John (DEM)"	157	69	43.95		88	56.05		157	
		"SPRAGG, Bill (IND)"	37	12	32.43		25	67.57		37	
		"CLARK, Dave (GRN)"	47	13	27.66		34	72.34		47	
		"THOMAS, Mike (HAN)"	56	43	76.79		13	23.21		56	
		"COOMBE, Howie F (IND)"	5	4	80.00		1	20.00		5	
		Total	302	900	71.03		367	28.97		1267	

	Special Hospitals										
			1st Prefs	188	71.48		75	28.52		263	
