Senate - 2001 Election: Australian Capital Territory																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												


Fraser (112225)																																																																																																																																																																																																																																																												

	   		 A Australian Democrats												 B Christian Democratic Party (Fred Nile Group)												 C Australian Greens												 D Australian Labor Party (ACT Branch)												 E Liberal Party of Australia - ACT Division												 F Pauline Hanson's One Nation												Ungrouped																																																																																																																																																																																	
    			TICKET VOTES			SIEVERS			DUNDAS			Group Total			TICKET VOTES			MCCLURE			JANES			Group Total			TICKET VOTES			CORR			FAHEY			Group Total			TICKET VOTES			# LUNDY			POKE			Group Total			TICKET VOTES			# REID			HANLON			Group Total			TICKET VOTES			TARLINTON			TARLINTON			Group Total			ARNOLD			HELM			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																																																																																		
    						Wayne			Roslyn Jane									Ian			Tim									Gary			Felicity									Kate			Robin									Margaret			Bill									Don			Ted						James T A			Ken																																																																																																																																																																														
Polling Places			Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																																																																																	
Total Ordinary			5737	6.98		2384	2.90		1017	1.24		9138	11.12		840	1.02		572	0.70		82	0.10		1494	1.82		3494	4.25		2550	3.10		811	0.99		6855	8.34		28589	34.78		6347	7.72		323	0.39		35259	42.89		22762	27.69		3020	3.67		337	0.41		26119	31.77		1287	1.57		383	0.47		38	0.05		1708	2.08		46	0.06		1590	1.93		1636	1.99		82209	97.36		2226	2.64		84435	79.36																																																																																																																																																																	
ABSENT			189	7.69		76	3.09		37	1.51		302	12.29		22	0.90		13	0.53		3	0.12		38	1.55		148	6.02		72	2.93		31	1.26		251	10.21		816	33.20		161	6.55		9	0.37		986	40.11		689	28.03		89	3.62		15	0.61		793	32.26		46	1.87		9	0.37		0	0.00		55	2.24		2	0.08		31	1.26		33	1.34		2458	97.73		57	2.27		2515	2.36																																																																																																																																																																	
POSTAL			187	5.73		81	2.48		37	1.13		305	9.34		32	0.98		16	0.49		2	0.06		50	1.53		87	2.66		71	2.17		29	0.89		187	5.73		1054	32.28		248	7.60		15	0.46		1317	40.34		1068	32.71		171	5.24		24	0.74		1263	38.68		65	1.99		29	0.89		5	0.15		99	3.03		4	0.12		40	1.23		44	1.35		3265	99.03		32	0.97		3297	3.10																																																																																																																																																																	
PRE_POLL			1160	7.65		427	2.82		209	1.38		1796	11.85		115	0.76		77	0.51		8	0.05		200	1.32		750	4.95		462	3.05		169	1.11		1381	9.11		5133	33.86		1073	7.08		63	0.42		6269	41.35		4374	28.85		553	3.65		65	0.43		4992	32.93		257	1.70		81	0.53		6	0.04		344	2.27		9	0.06		170	1.12		179	1.18		15161	98.57		220	1.43		15381	14.46																																																																																																																																																																	
PROVISIONAL			56	7.33		19	2.49		10	1.31		85	11.13		9	1.18		1	0.13		0	0.00		10	1.31		48	6.28		17	2.23		10	1.31		75	9.82		292	38.22		61	7.98		4	0.52		357	46.73		185	24.21		21	2.75		3	0.39		209	27.36		19	2.49		2	0.26		0	0.00		21	2.75		0	0.00		7	0.92		7	0.92		764	98.84		9	1.16		773	0.73																																																																																																																																																																	
Division Summary			7329	7.06		2987	2.88		1310	1.26		11626	11.19		1018	0.98		679	0.65		95	0.09		1792	1.73		4527	4.36		3172	3.05		1050	1.01		8749	8.42		35884	34.55		7890	7.60		414	0.40		44188	42.55		29078	28.00		3854	3.71		444	0.43		33376	32.14		1674	1.61		504	0.49		49	0.05		2227	2.14		61	0.06		1838	1.77		1899	1.83		103857	97.61		2544	2.39		106401	94.81																																																																																																																																																																	
																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																												
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
