Senate - 1993 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (85484)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Brooklyn Park South		                        	6	0.43	 	27	1.91	 	7	0.5	 	14	0.99	 	596	42.27	 	4	0.28	 	129	9.15	 	14	0.99	 	5	0.35	 	8	0.57	 	5	0.35	 	595	42.2	 	0	0	 	1410	97.51	 	36	2.49	 	1446	1.71
Camden Park		                                	7	0.5	 	19	1.35	 	1	0.07	 	8	0.57	 	583	41.52	 	3	0.21	 	110	7.83	 	8	0.57	 	7	0.5	 	14	1	 	5	0.36	 	639	45.51	 	0	0	 	1404	98.25	 	25	1.75	 	1429	1.69
Cowandilla		                                 	14	0.58	 	48	2	 	7	0.29	 	20	0.83	 	1414	58.84	 	12	0.5	 	184	7.66	 	11	0.46	 	16	0.67	 	7	0.29	 	7	0.29	 	663	27.59	 	0	0	 	2403	96.12	 	97	3.88	 	2500	2.96
Cowandilla West		                            	4	0.77	 	6	1.15	 	2	0.38	 	5	0.96	 	248	47.6	 	3	0.58	 	29	5.57	 	4	0.77	 	6	1.15	 	13	2.5	 	2	0.38	 	199	38.2	 	0	0	 	521	97.93	 	11	2.07	 	532	0.63
Edwardstown		                                	5	0.31	 	30	1.86	 	4	0.25	 	16	0.99	 	722	44.65	 	7	0.43	 	160	9.89	 	8	0.49	 	11	0.68	 	14	0.87	 	1	0.06	 	639	39.52	 	0	0	 	1617	97.82	 	36	2.18	 	1653	1.96
Flinders Park		                              	16	0.52	 	39	1.27	 	5	0.16	 	26	0.85	 	1425	46.4	 	13	0.42	 	261	8.5	 	15	0.49	 	25	0.81	 	22	0.72	 	6	0.2	 	1217	39.63	 	1	0.03	 	3071	96.63	 	107	3.37	 	3178	3.76
Forbes		                                     	12	0.42	 	40	1.41	 	6	0.21	 	35	1.23	 	1289	45.4	 	6	0.21	 	229	8.07	 	14	0.49	 	21	0.74	 	23	0.81	 	6	0.21	 	1155	40.68	 	3	0.11	 	2839	96.76	 	95	3.24	 	2934	3.47
Fulham		                                     	6	0.32	 	19	1.02	 	2	0.11	 	9	0.49	 	568	30.64	 	38	2.05	 	123	6.63	 	13	0.7	 	2	0.11	 	14	0.76	 	6	0.32	 	1053	56.8	 	1	0.05	 	1854	98.25	 	33	1.75	 	1887	2.23
Fulham Gardens		                             	17	0.47	 	45	1.26	 	6	0.17	 	14	0.39	 	1448	40.46	 	21	0.59	 	297	8.3	 	22	0.61	 	17	0.47	 	19	0.53	 	9	0.25	 	1664	46.49	 	0	0	 	3579	96.94	 	113	3.06	 	3692	4.37
Glandore		                                   	4	0.35	 	19	1.68	 	2	0.18	 	7	0.62	 	433	38.35	 	2	0.18	 	114	10.1	 	7	0.62	 	8	0.71	 	8	0.71	 	4	0.35	 	520	46.06	 	1	0.09	 	1129	97.92	 	24	2.08	 	1153	1.36
Glandore South		                             	2	0.13	 	20	1.26	 	1	0.06	 	13	0.82	 	677	42.53	 	6	0.38	 	153	9.61	 	8	0.5	 	6	0.38	 	10	0.63	 	5	0.31	 	690	43.34	 	1	0.06	 	1592	97.73	 	37	2.27	 	1629	1.93
Glenelg Central		                            	4	0.24	 	31	1.82	 	4	0.24	 	13	0.77	 	544	32.02	 	5	0.29	 	167	9.83	 	22	1.29	 	12	0.71	 	14	0.82	 	3	0.18	 	880	51.8	 	0	0	 	1699	97.09	 	51	2.91	 	1750	2.07
Glenelg East		                               	9	0.48	 	38	2.05	 	4	0.22	 	3	0.16	 	634	34.12	 	4	0.22	 	161	8.67	 	10	0.54	 	7	0.38	 	17	0.91	 	3	0.16	 	968	52.1	 	0	0	 	1858	98.1	 	36	1.9	 	1894	2.24
Glenelg North		                              	4	0.16	 	28	1.09	 	8	0.31	 	18	0.7	 	815	31.6	 	3	0.12	 	231	8.96	 	16	0.62	 	16	0.62	 	22	0.85	 	10	0.39	 	1408	54.59	 	0	0	 	2579	98.14	 	49	1.86	 	2628	3.11
Glenelg South		                              	6	0.3	 	37	1.85	 	0	0	 	1	0.05	 	492	24.66	 	2	0.1	 	137	6.87	 	8	0.4	 	8	0.4	 	10	0.5	 	3	0.15	 	1289	64.61	 	2	0.1	 	1995	98.03	 	40	1.97	 	2035	2.41
Glengowrie		                                 	5	0.29	 	18	1.05	 	3	0.17	 	12	0.7	 	530	30.87	 	7	0.41	 	126	7.34	 	14	0.82	 	12	0.7	 	26	1.51	 	4	0.23	 	959	55.85	 	1	0.06	 	1717	98.17	 	32	1.83	 	1749	2.07
Grovene		                                    	5	0.36	 	21	1.53	 	2	0.15	 	3	0.22	 	413	30.12	 	1	0.07	 	93	6.78	 	6	0.44	 	3	0.22	 	8	0.58	 	0	0	 	816	59.52	 	0	0	 	1371	97.51	 	35	2.49	 	1406	1.66
Henley Beach		                               	6	0.25	 	61	2.57	 	4	0.17	 	11	0.46	 	881	37.11	 	28	1.18	 	253	10.66	 	30	1.26	 	3	0.13	 	24	1.01	 	10	0.42	 	1062	44.73	 	1	0.04	 	2374	97.86	 	52	2.14	 	2426	2.87
Henley South		                               	6	0.37	 	42	2.61	 	3	0.19	 	15	0.93	 	558	34.68	 	7	0.44	 	167	10.38	 	19	1.18	 	4	0.25	 	19	1.18	 	3	0.19	 	766	47.61	 	0	0	 	1609	98.05	 	32	1.95	 	1641	1.94
Kidman Park		                                	7	0.59	 	19	1.6	 	3	0.25	 	5	0.42	 	515	43.28	 	3	0.25	 	84	7.06	 	2	0.17	 	2	0.17	 	4	0.34	 	3	0.25	 	542	45.55	 	1	0.08	 	1190	98.43	 	19	1.57	 	1209	1.43
Kidman Park South		                          	14	0.64	 	27	1.23	 	2	0.09	 	15	0.68	 	941	42.75	 	29	1.32	 	176	8	 	8	0.36	 	7	0.32	 	2	0.09	 	5	0.23	 	975	44.3	 	0	0	 	2201	97.09	 	66	2.91	 	2267	2.68
Kurralta Park		                              	11	0.74	 	18	1.22	 	5	0.34	 	6	0.41	 	667	45.04	 	3	0.2	 	127	8.58	 	11	0.74	 	7	0.47	 	5	0.34	 	7	0.47	 	614	41.46	 	0	0	 	1481	96.42	 	55	3.58	 	1536	1.82
Lockleys		                                   	9	0.47	 	41	2.13	 	3	0.16	 	25	1.3	 	563	29.29	 	7	0.36	 	132	6.87	 	8	0.42	 	9	0.47	 	16	0.83	 	4	0.21	 	1105	57.49	 	0	0	 	1922	98.11	 	37	1.89	 	1959	2.32
Lockleys North		                             	11	0.85	 	15	1.16	 	9	0.69	 	15	1.16	 	482	37.22	 	6	0.46	 	118	9.11	 	6	0.46	 	18	1.39	 	1	0.08	 	3	0.23	 	611	47.18	 	0	0	 	1295	97.66	 	31	2.34	 	1326	1.57
Morphettville		                              	1	0.09	 	17	1.45	 	1	0.09	 	11	0.94	 	523	44.74	 	4	0.34	 	85	7.27	 	11	0.94	 	14	1.2	 	17	1.45	 	2	0.17	 	483	41.32	 	0	0	 	1169	97.17	 	34	2.83	 	1203	1.42
Netley		                                     	8	0.41	 	20	1.03	 	5	0.26	 	13	0.67	 	852	44.08	 	10	0.52	 	137	7.09	 	8	0.41	 	19	0.98	 	14	0.72	 	8	0.41	 	839	43.4	 	0	0	 	1933	97.92	 	41	2.08	 	1974	2.34
Novar Gardens		                              	2	0.1	 	24	1.15	 	3	0.14	 	8	0.38	 	595	28.47	 	6	0.29	 	161	7.7	 	13	0.62	 	13	0.62	 	16	0.77	 	1	0.05	 	1248	59.71	 	0	0	 	2090	98.54	 	31	1.46	 	2121	2.51
Park Holme		                                 	10	0.59	 	20	1.18	 	2	0.12	 	21	1.24	 	820	48.43	 	5	0.3	 	162	9.57	 	11	0.65	 	14	0.83	 	9	0.53	 	3	0.18	 	616	36.39	 	0	0	 	1693	96.52	 	61	3.48	 	1754	2.08
Park Holme South		                           	6	0.3	 	21	1.05	 	1	0.05	 	16	0.8	 	913	45.76	 	5	0.25	 	178	8.92	 	16	0.8	 	11	0.55	 	19	0.95	 	5	0.25	 	801	40.15	 	3	0.15	 	1995	96.99	 	62	3.01	 	2057	2.43
Plympton		                                   	16	0.87	 	31	1.68	 	3	0.16	 	12	0.65	 	739	39.99	 	9	0.49	 	171	9.25	 	12	0.65	 	17	0.92	 	12	0.65	 	6	0.32	 	820	44.37	 	0	0	 	1848	97.37	 	50	2.63	 	1898	2.25
Plympton West		                              	10	0.63	 	32	2.02	 	8	0.51	 	15	0.95	 	616	38.96	 	2	0.13	 	134	8.48	 	17	1.08	 	4	0.25	 	14	0.89	 	6	0.38	 	723	45.73	 	0	0	 	1581	97.47	 	41	2.53	 	1622	1.92
Richmond		                                   	8	0.52	 	20	1.31	 	2	0.13	 	14	0.91	 	742	48.47	 	3	0.2	 	109	7.12	 	8	0.52	 	6	0.39	 	11	0.72	 	7	0.46	 	600	39.19	 	1	0.07	 	1531	96.72	 	52	3.28	 	1583	1.87
Somerton Park East		                         	7	0.42	 	29	1.74	 	4	0.24	 	8	0.48	 	517	31.09	 	9	0.54	 	137	8.24	 	8	0.48	 	3	0.18	 	21	1.26	 	3	0.18	 	913	54.9	 	4	0.24	 	1663	97.77	 	38	2.23	 	1701	2.01
South Plympton		                             	3	0.26	 	14	1.21	 	3	0.26	 	13	1.13	 	453	39.22	 	6	0.52	 	97	8.4	 	6	0.52	 	4	0.35	 	8	0.69	 	2	0.17	 	546	47.27	 	0	0	 	1155	97.8	 	26	2.2	 	1181	1.4
Torrensville		                               	18	0.68	 	49	1.84	 	8	0.3	 	16	0.6	 	1497	56.32	 	14	0.53	 	224	8.43	 	22	0.83	 	16	0.6	 	12	0.45	 	10	0.38	 	770	28.97	 	2	0.08	 	2658	96.13	 	107	3.87	 	2765	3.27
West Beach		                                 	6	0.21	 	27	0.95	 	4	0.14	 	17	0.6	 	891	31.23	 	6	0.21	 	265	9.29	 	21	0.74	 	7	0.25	 	30	1.05	 	6	0.21	 	1573	55.13	 	0	0	 	2853	98.48	 	44	1.52	 	2897	3.43
West Richmond		                              	6	0.6	 	17	1.69	 	1	0.1	 	6	0.6	 	508	50.4	 	3	0.3	 	63	6.25	 	7	0.69	 	6	0.6	 	5	0.5	 	2	0.2	 	384	38.1	 	0	0	 	1008	96.37	 	38	3.63	 	1046	1.24
Special Hospitals		                          	8	2.06	 	2	0.51	 	1	0.26	 	0	0	 	173	44.47	 	0	0	 	17	4.37	 	2	0.51	 	1	0.26	 	5	1.29	 	1	0.26	 	179	46.02	 	0	0	 	389	93.51	 	27	6.49	 	416	0.49
Total Ordinary		                             	323	0.45	 	1066	1.49	 	146	0.2	 	508	0.71	 	28632	40.11	 	313	0.44	 	5966	8.36	 	469	0.66	 	388	0.54	 	524	0.73	 	191	0.27	 	32832	45.99	 	25	0.04	 	71383	97.4	 	1905	2.6	 	73288	86.72
ABSENT		                                     	35	0.62	 	169	2.99	 	16	0.28	 	48	0.85	 	2470	43.74	 	26	0.46	 	558	9.88	 	54	0.96	 	25	0.44	 	29	0.51	 	37	0.66	 	2179	38.59	 	1	0.02	 	5647	98.04	 	113	1.96	 	5760	6.82
POSTAL		                                     	6	0.2	 	46	1.54	 	7	0.23	 	19	0.63	 	1066	35.58	 	5	0.17	 	173	5.77	 	8	0.27	 	12	0.4	 	57	1.9	 	11	0.37	 	1584	52.87	 	2	0.07	 	2996	98.59	 	43	1.41	 	3039	3.6
PRE_POLL		                                   	11	0.5	 	83	3.81	 	13	0.6	 	11	0.5	 	864	39.65	 	8	0.37	 	172	7.89	 	16	0.73	 	11	0.5	 	12	0.55	 	15	0.69	 	961	44.1	 	2	0.09	 	2179	98.82	 	26	1.18	 	2205	2.61
PROVISIONAL		                                	1	0.49	 	3	1.48	 	3	1.48	 	1	0.49	 	93	45.81	 	2	0.99	 	13	6.4	 	2	0.99	 	3	1.48	 	1	0.49	 	0	0	 	81	39.9	 	0	0	 	203	93.55	 	14	6.45	 	217	0.26
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	-1		       	0		       	1		       	0		       	0		       	0	
Division Summary		                           	376	0.46	 	1367	1.66	 	185	0.22	 	587	0.71	 	33125	40.2	 	354	0.43	 	6882	8.35	 	549	0.67	 	439	0.53	 	623	0.76	 	253	0.31	 	37637	45.67	 	31	0.04	 	82408	97.51	 	2101	2.49	 	84509	95.17
 																																																	


Kingston (82511)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Kingston)		                        	2	1.68	 	6	5.04	 	0	0	 	3	2.52	 	46	38.66	 	1	0.84	 	16	13.45	 	4	3.36	 	0	0	 	0	0	 	0	0	 	41	34.45	 	0	0	 	119	96.75	 	4	3.25	 	123	0.15
Aldinga Beach		                              	6	0.21	 	69	2.42	 	5	0.18	 	74	2.6	 	1051	36.9	 	4	0.14	 	338	11.87	 	45	1.58	 	7	0.25	 	24	0.84	 	8	0.28	 	1217	42.73	 	0	0	 	2848	98.38	 	47	1.62	 	2895	3.64
Christie Downs		                             	12	0.4	 	45	1.51	 	11	0.37	 	40	1.34	 	1591	53.48	 	12	0.4	 	278	9.34	 	12	0.4	 	22	0.74	 	38	1.28	 	13	0.44	 	900	30.25	 	1	0.03	 	2975	97.41	 	79	2.59	 	3054	3.84
Christies Beach		                            	6	0.27	 	33	1.46	 	6	0.27	 	51	2.26	 	984	43.62	 	5	0.22	 	218	9.66	 	21	0.93	 	19	0.84	 	34	1.51	 	5	0.22	 	874	38.74	 	0	0	 	2256	97.49	 	58	2.51	 	2314	2.91
Christies North		                            	3	0.29	 	24	2.35	 	1	0.1	 	12	1.18	 	443	43.39	 	1	0.1	 	131	12.83	 	5	0.49	 	4	0.39	 	10	0.98	 	6	0.59	 	378	37.02	 	3	0.29	 	1021	98.65	 	14	1.35	 	1035	1.3
Hackham		                                    	9	0.34	 	51	1.95	 	6	0.23	 	56	2.14	 	1344	51.36	 	9	0.34	 	277	10.58	 	24	0.92	 	17	0.65	 	18	0.69	 	11	0.42	 	794	30.34	 	1	0.04	 	2617	97.72	 	61	2.28	 	2678	3.37
Hackham East		                               	8	0.25	 	53	1.67	 	7	0.22	 	62	1.95	 	1401	44.03	 	8	0.25	 	368	11.57	 	20	0.63	 	14	0.44	 	19	0.6	 	9	0.28	 	1212	38.09	 	1	0.03	 	3182	98.15	 	60	1.85	 	3242	4.08
Hackham South		                              	1	0.07	 	20	1.4	 	2	0.14	 	33	2.31	 	692	48.36	 	2	0.14	 	178	12.44	 	10	0.7	 	7	0.49	 	8	0.56	 	8	0.56	 	470	32.84	 	0	0	 	1431	97.75	 	33	2.25	 	1464	1.84
Hallett Cove		                               	10	0.35	 	41	1.42	 	2	0.07	 	43	1.49	 	1085	37.57	 	7	0.24	 	324	11.22	 	20	0.69	 	25	0.87	 	15	0.52	 	9	0.31	 	1306	45.22	 	1	0.03	 	2888	98.53	 	43	1.47	 	2931	3.69
Happy Valley		                               	2	0.09	 	30	1.37	 	2	0.09	 	19	0.87	 	642	29.25	 	2	0.09	 	237	10.8	 	17	0.77	 	15	0.68	 	9	0.41	 	4	0.18	 	1213	55.26	 	3	0.14	 	2195	98.34	 	37	1.66	 	2232	2.81
Karrara		                                    	3	0.1	 	41	1.37	 	2	0.07	 	44	1.47	 	1117	37.25	 	14	0.47	 	323	10.77	 	22	0.73	 	7	0.23	 	8	0.27	 	9	0.3	 	1409	46.98	 	0	0	 	2999	98.75	 	38	1.25	 	3037	3.82
Lonsdale		                                   	1	0.11	 	19	2.04	 	3	0.32	 	17	1.83	 	478	51.34	 	5	0.54	 	107	11.49	 	4	0.43	 	6	0.64	 	2	0.21	 	0	0	 	289	31.04	 	0	0	 	931	98.62	 	13	1.38	 	944	1.19
Mclaren Flat		                               	2	0.3	 	15	2.29	 	4	0.61	 	8	1.22	 	147	22.41	 	4	0.61	 	48	7.32	 	5	0.76	 	9	1.37	 	4	0.61	 	3	0.46	 	407	62.04	 	0	0	 	656	98.06	 	13	1.94	 	669	0.84
Mclaren Vale		                               	3	0.17	 	21	1.17	 	4	0.22	 	29	1.61	 	438	24.33	 	4	0.22	 	187	10.39	 	21	1.17	 	10	0.56	 	21	1.17	 	6	0.33	 	1054	58.56	 	2	0.11	 	1800	98.36	 	30	1.64	 	1830	2.3
Maslin Beach		                               	0	0	 	12	2.64	 	3	0.66	 	2	0.44	 	183	40.22	 	0	0	 	52	11.43	 	4	0.88	 	1	0.22	 	4	0.88	 	1	0.22	 	193	42.42	 	0	0	 	455	99.34	 	3	0.66	 	458	0.58
Moana		                                      	7	0.31	 	36	1.58	 	4	0.18	 	35	1.53	 	934	40.91	 	4	0.18	 	297	13.01	 	28	1.23	 	6	0.26	 	37	1.62	 	9	0.39	 	885	38.76	 	1	0.04	 	2283	98.45	 	36	1.55	 	2319	2.92
Morphett Vale		                              	12	0.32	 	58	1.54	 	5	0.13	 	68	1.8	 	1678	44.42	 	9	0.24	 	452	11.96	 	21	0.56	 	30	0.79	 	28	0.74	 	16	0.42	 	1401	37.08	 	0	0	 	3778	98.21	 	69	1.79	 	3847	4.84
Morphett Vale East		                         	11	0.31	 	49	1.4	 	9	0.26	 	82	2.34	 	1430	40.87	 	9	0.26	 	434	12.4	 	27	0.77	 	29	0.83	 	27	0.77	 	13	0.37	 	1376	39.33	 	3	0.09	 	3499	98.07	 	69	1.93	 	3568	4.49
Morphett Vale North		                        	9	0.45	 	30	1.49	 	2	0.1	 	23	1.14	 	803	39.97	 	7	0.35	 	240	11.95	 	9	0.45	 	8	0.4	 	12	0.6	 	6	0.3	 	859	42.76	 	1	0.05	 	2009	98.58	 	29	1.42	 	2038	2.56
Morphett Vale South		                        	1	0.1	 	21	2.17	 	6	0.62	 	18	1.86	 	525	54.24	 	3	0.31	 	99	10.23	 	7	0.72	 	4	0.41	 	17	1.76	 	5	0.52	 	260	26.86	 	2	0.21	 	968	97.88	 	21	2.12	 	989	1.24
Noarlunga Downs		                            	5	0.45	 	33	2.94	 	6	0.54	 	25	2.23	 	543	48.44	 	2	0.18	 	127	11.33	 	18	1.61	 	0	0	 	7	0.62	 	4	0.36	 	349	31.13	 	2	0.18	 	1121	96.89	 	36	3.11	 	1157	1.46
O'Halloran Hill		                            	3	0.1	 	34	1.12	 	7	0.23	 	35	1.15	 	1075	35.47	 	5	0.16	 	354	11.68	 	21	0.69	 	11	0.36	 	8	0.26	 	7	0.23	 	1468	48.43	 	3	0.1	 	3031	98.96	 	32	1.04	 	3063	3.85
O'Sullivan Beach		                           	9	0.61	 	28	1.9	 	5	0.34	 	13	0.88	 	731	49.63	 	5	0.34	 	185	12.56	 	9	0.61	 	5	0.34	 	13	0.88	 	3	0.2	 	467	31.7	 	0	0	 	1473	98.27	 	26	1.73	 	1499	1.89
Old Noarlunga		                              	0	0	 	18	2.44	 	1	0.14	 	5	0.68	 	280	37.94	 	0	0	 	87	11.79	 	6	0.81	 	3	0.41	 	14	1.9	 	4	0.54	 	320	43.36	 	0	0	 	738	98.01	 	15	1.99	 	753	0.95
Pimpala		                                    	4	0.2	 	38	1.88	 	4	0.2	 	32	1.59	 	824	40.85	 	8	0.4	 	238	11.8	 	22	1.09	 	11	0.55	 	13	0.64	 	7	0.35	 	816	40.46	 	0	0	 	2017	98.2	 	37	1.8	 	2054	2.58
Port Noarlunga		                             	4	0.24	 	44	2.68	 	6	0.37	 	34	2.07	 	644	39.2	 	3	0.18	 	166	10.1	 	17	1.03	 	9	0.55	 	32	1.95	 	4	0.24	 	679	41.33	 	1	0.06	 	1643	98.56	 	24	1.44	 	1667	2.1
Reynella		                                   	1	0.05	 	25	1.16	 	4	0.19	 	43	1.99	 	929	43.03	 	3	0.14	 	248	11.49	 	16	0.74	 	11	0.51	 	7	0.32	 	4	0.19	 	867	40.16	 	1	0.05	 	2159	99.49	 	11	0.51	 	2170	2.73
Reynella East		                              	5	0.14	 	47	1.32	 	9	0.25	 	53	1.49	 	1408	39.53	 	16	0.45	 	427	11.99	 	16	0.45	 	24	0.67	 	11	0.31	 	6	0.17	 	1540	43.23	 	0	0	 	3562	98.45	 	56	1.55	 	3618	4.55
Reynella South		                             	10	0.29	 	53	1.52	 	10	0.29	 	61	1.75	 	1529	43.79	 	19	0.54	 	368	10.54	 	18	0.52	 	17	0.49	 	25	0.72	 	14	0.4	 	1368	39.18	 	0	0	 	3492	98.28	 	61	1.72	 	3553	4.47
Seaford		                                    	3	0.11	 	38	1.41	 	3	0.11	 	27	1.01	 	1202	44.75	 	5	0.19	 	321	11.95	 	36	1.34	 	20	0.74	 	61	2.27	 	8	0.3	 	961	35.78	 	1	0.04	 	2686	98.1	 	52	1.9	 	2738	3.45
Sellicks Beach		                             	0	0	 	11	1.51	 	2	0.28	 	14	1.93	 	267	36.73	 	1	0.14	 	70	9.63	 	13	1.79	 	9	1.24	 	5	0.69	 	4	0.55	 	331	45.53	 	0	0	 	727	98.11	 	14	1.89	 	741	0.93
Sheidow Park		                               	2	0.08	 	45	1.7	 	2	0.08	 	23	0.87	 	1085	40.91	 	5	0.19	 	295	11.12	 	13	0.49	 	20	0.75	 	16	0.6	 	7	0.26	 	1139	42.95	 	0	0	 	2652	98.88	 	30	1.12	 	2682	3.38
Trott Park		                                 	1	0.18	 	4	0.71	 	0	0	 	9	1.59	 	204	35.98	 	2	0.35	 	71	12.52	 	2	0.35	 	2	0.35	 	4	0.71	 	2	0.35	 	266	46.91	 	0	0	 	567	98.1	 	11	1.9	 	578	0.73
Willunga		                                   	2	0.14	 	33	2.24	 	4	0.27	 	28	1.9	 	349	23.69	 	1	0.07	 	184	12.49	 	17	1.15	 	4	0.27	 	10	0.68	 	3	0.2	 	838	56.89	 	0	0	 	1473	98.86	 	17	1.14	 	1490	1.88
Woodcroft		                                  	8	0.51	 	13	0.83	 	2	0.13	 	26	1.65	 	690	43.87	 	4	0.25	 	157	9.98	 	17	1.08	 	5	0.32	 	5	0.32	 	5	0.32	 	639	40.62	 	2	0.13	 	1573	98.99	 	16	1.01	 	1589	2
Special Hospitals		                          	2	0.83	 	0	0	 	0	0	 	4	1.67	 	72	30	 	0	0	 	16	6.67	 	0	0	 	0	0	 	7	2.92	 	0	0	 	139	57.92	 	0	0	 	240	97.56	 	6	2.44	 	246	0.31
Total Ordinary		                             	167	0.24	 	1138	1.62	 	149	0.21	 	1151	1.64	 	28844	41.17	 	189	0.27	 	7918	11.3	 	567	0.81	 	391	0.56	 	573	0.82	 	223	0.32	 	28725	41	 	29	0.04	 	70064	98.31	 	1201	1.69	 	71265	89.68
ABSENT		                                     	24	0.61	 	97	2.45	 	8	0.2	 	47	1.19	 	1591	40.25	 	12	0.3	 	458	11.59	 	46	1.16	 	12	0.3	 	29	0.73	 	17	0.43	 	1610	40.73	 	2	0.05	 	3953	98.68	 	53	1.32	 	4006	5.04
POSTAL		                                     	4	0.23	 	24	1.37	 	17	0.97	 	37	2.11	 	577	32.88	 	6	0.34	 	154	8.77	 	15	0.85	 	8	0.46	 	54	3.08	 	8	0.46	 	849	48.38	 	2	0.11	 	1755	99.1	 	16	0.9	 	1771	2.23
PRE_POLL		                                   	4	0.18	 	59	2.71	 	12	0.55	 	36	1.65	 	871	39.95	 	7	0.32	 	178	8.17	 	17	0.78	 	5	0.23	 	22	1.01	 	6	0.28	 	962	44.13	 	1	0.05	 	2180	98.55	 	32	1.45	 	2212	2.78
PROVISIONAL		                                	0	0	 	3	1.38	 	1	0.46	 	2	0.92	 	87	40.09	 	0	0	 	22	10.14	 	7	3.23	 	1	0.46	 	1	0.46	 	1	0.46	 	92	42.4	 	0	0	 	217	97.31	 	6	2.69	 	223	0.28
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	-5		       	0		       	-2		       	0		       	0		       	0		       	0		       	-6		       	0		       	-13		       	0		       	-13	
Division Summary		                           	199	0.25	 	1321	1.69	 	187	0.24	 	1273	1.63	 	31965	40.9	 	214	0.27	 	8728	11.17	 	652	0.83	 	417	0.53	 	679	0.87	 	255	0.33	 	32232	41.24	 	34	0.04	 	78156	98.35	 	1308	1.65	 	79464	96.31
 																																																	


Makin (84984)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Banksia Park		                               	5	0.19	 	33	1.23	 	6	0.22	 	44	1.64	 	918	34.25	 	3	0.11	 	307	11.46	 	21	0.78	 	12	0.45	 	10	0.37	 	9	0.34	 	1312	48.96	 	0	0	 	2680	98.82	 	32	1.18	 	2712	3.31
Enfield North (Makin)		                      	6	0.88	 	10	1.47	 	2	0.29	 	14	2.06	 	351	51.77	 	2	0.29	 	71	10.47	 	5	0.74	 	2	0.29	 	2	0.29	 	8	1.18	 	205	30.24	 	0	0	 	678	98.4	 	11	1.6	 	689	0.84
Fairview Park		                              	3	0.18	 	27	1.61	 	5	0.3	 	14	0.84	 	550	32.82	 	2	0.12	 	149	8.89	 	10	0.6	 	3	0.18	 	5	0.3	 	7	0.42	 	899	53.64	 	2	0.12	 	1676	98.94	 	18	1.06	 	1694	2.07
Golden Grove		                               	0	0	 	5	1.01	 	0	0	 	7	1.41	 	163	32.86	 	1	0.2	 	46	9.27	 	4	0.81	 	0	0	 	5	1.01	 	4	0.81	 	261	52.62	 	0	0	 	496	98.61	 	7	1.39	 	503	0.61
Golden Grove Central		                       	3	0.12	 	30	1.22	 	0	0	 	26	1.05	 	1051	42.57	 	2	0.08	 	266	10.77	 	8	0.32	 	5	0.2	 	10	0.41	 	3	0.12	 	1063	43.05	 	2	0.08	 	2469	98.96	 	26	1.04	 	2495	3.04
Holden Hill North		                          	8	0.5	 	24	1.49	 	1	0.06	 	19	1.18	 	676	41.83	 	3	0.19	 	155	9.59	 	11	0.68	 	8	0.5	 	9	0.56	 	5	0.31	 	697	43.13	 	0	0	 	1616	98.6	 	23	1.4	 	1639	2
Hope Valley		                                	3	0.23	 	13	1	 	1	0.08	 	25	1.93	 	554	42.68	 	2	0.15	 	137	10.55	 	10	0.77	 	12	0.92	 	6	0.46	 	4	0.31	 	531	40.91	 	0	0	 	1298	98.26	 	23	1.74	 	1321	1.61
Ingle Farm		                                 	17	0.45	 	59	1.56	 	8	0.21	 	50	1.32	 	2011	53.1	 	15	0.4	 	448	11.83	 	28	0.74	 	19	0.5	 	18	0.48	 	13	0.34	 	1101	29.07	 	0	0	 	3787	96.83	 	124	3.17	 	3911	4.77
