Senate - 1993 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (85484)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
PRE_POLL		                                   	9	0.38	 	108	4.62	 	24	1.03	 	17	0.73	 	835	35.71	 	6	0.26	 	243	10.39	 	19	0.81	 	6	0.26	 	9	0.38	 	7	0.3	 	1054	45.08	 	1	0.04	 	2338	98.28	 	41	1.72	 	2379	2.95
PROVISIONAL		                                	5	1.18	 	10	2.37	 	3	0.71	 	2	0.47	 	209	49.53	 	0	0	 	39	9.24	 	3	0.71	 	0	0	 	1	0.24	 	2	0.47	 	148	35.07	 	0	0	 	422	95.91	 	18	4.09	 	440	0.55
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	-1		       	0		       	-1		       	1		       	0	
Division Summary		                           	445	0.57	 	1724	2.2	 	201	0.26	 	571	0.73	 	30517	38.94	 	230	0.29	 	8560	10.92	 	914	1.17	 	273	0.35	 	424	0.54	 	247	0.32	 	34221	43.67	 	36	0.05	 	78363	97.3	 	2171	2.7	 	80534	94.21


Barker (83749)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alawoona		                                   	1	2.13	 	2	4.26	 	1	2.13	 	0	0	 	4	8.51	 	0	0	 	5	10.64	 	0	0	 	1	2.13	 	1	2.13	 	0	0	 	32	68.09	 	0	0	 	47	97.92	 	1	2.08	 	48	0.06
Allendale East		                             	1	0.42	 	4	1.69	 	2	0.84	 	2	0.84	 	47	19.83	 	1	0.42	 	15	6.33	 	1	0.42	 	0	0	 	0	0	 	1	0.42	 	163	68.78	 	0	0	 	237	98.75	 	3	1.25	 	240	0.3
American River		                             	1	0.56	 	4	2.26	 	0	0	 	0	0	 	23	12.99	 	0	0	 	29	16.38	 	1	0.56	 	0	0	 	1	0.56	 	0	0	 	118	66.67	 	0	0	 	177	97.79	 	4	2.21	 	181	0.22
Ashbourne		                                  	0	0	 	1	0.98	 	0	0	 	0	0	 	16	15.69	 	0	0	 	11	10.78	 	3	2.94	 	0	0	 	1	0.98	 	1	0.98	 	69	67.65	 	0	0	 	102	99.03	 	1	0.97	 	103	0.13
Avenue Range		                               	1	1.03	 	0	0	 	1	1.03	 	0	0	 	11	11.34	 	0	0	 	4	4.12	 	0	0	 	0	0	 	0	0	 	1	1.03	 	79	81.44	 	0	0	 	97	100	 	0	0	 	97	0.12
Beachport		                                  	3	0.59	 	10	1.96	 	2	0.39	 	3	0.59	 	90	17.61	 	0	0	 	24	4.7	 	0	0	 	0	0	 	4	0.78	 	3	0.59	 	372	72.8	 	0	0	 	511	97.52	 	13	2.48	 	524	0.65
Black Hill		                                 	1	1.92	 	0	0	 	1	1.92	 	1	1.92	 	6	11.54	 	0	0	 	11	21.15	 	0	0	 	1	1.92	 	1	1.92	 	0	0	 	29	55.77	 	1	1.92	 	52	100	 	0	0	 	52	0.06
