Senate - 1993 Election: Victoria																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Aston (79158)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Miners Rest		                                	3	0.59	 	0	0	 	4	0.79	 	1	0.2	 	13	2.57	 	5	0.99	 	308	60.87	 	0	0	 	147	29.05	 	18	3.56	 	0	0	 	7	1.38	 	0	0	 	506	98.64	 	7	1.36	 	513	0.71
Moonambel		                                  	0	0	 	3	1.54	 	0	0	 	0	0	 	1	0.51	 	3	1.54	 	103	52.82	 	0	0	 	76	38.97	 	3	1.54	 	0	0	 	4	2.05	 	2	1.03	 	195	98.48	 	3	1.52	 	198	0.27
Mount Clear		                                	4	0.19	 	22	1.06	 	9	0.43	 	0	0	 	19	0.91	 	8	0.38	 	1078	51.78	 	3	0.14	 	841	40.39	 	52	2.5	 	0	0	 	39	1.87	 	7	0.34	 	2082	98.53	 	31	1.47	 	2113	2.92
Mount Egerton		                              	1	0.45	 	2	0.9	 	1	0.45	 	0	0	 	2	0.9	 	4	1.79	 	89	39.91	 	0	0	 	112	50.22	 	8	3.59	 	0	0	 	2	0.9	 	2	0.9	 	223	95.71	 	10	4.29	 	233	0.32
Mount Pleasant		                             	10	0.74	 	5	0.37	 	4	0.3	 	5	0.37	 	17	1.26	 	15	1.11	 	524	38.9	 	2	0.15	 	689	51.15	 	57	4.23	 	0	0	 	19	1.41	 	0	0	 	1347	97.54	 	34	2.46	 	1381	1.91
Mount Wallace		                              	4	3.01	 	1	0.75	 	0	0	 	0	0	 	0	0	 	0	0	 	77	57.89	 	0	0	 	41	30.83	 	7	5.26	 	0	0	 	3	2.26	 	0	0	 	133	97.08	 	4	2.92	 	137	0.19
Napoleons		                                  	3	0.62	 	3	0.62	 	4	0.83	 	1	0.21	 	8	1.66	 	11	2.28	 	227	47	 	2	0.41	 	196	40.58	 	23	4.76	 	0	0	 	1	0.21	 	4	0.83	 	483	98.37	 	8	1.63	 	491	0.68
Natte Yallock		                              	0	0	 	0	0	 	0	0	 	0	0	 	1	1.15	 	0	0	 	74	85.06	 	0	0	 	10	11.49	 	0	0	 	0	0	 	2	2.3	 	0	0	 	87	100	 	0	0	 	87	0.12
Navarre		                                    	1	1.28	 	2	2.56	 	0	0	 	1	1.28	 	0	0	 	0	0	 	62	79.49	 	1	1.28	 	9	11.54	 	1	1.28	 	0	0	 	1	1.28	 	0	0	 	78	98.73	 	1	1.27	 	79	0.11
Newington		                                  	2	0.41	 	7	1.42	 	1	0.2	 	0	0	 	6	1.22	 	9	1.83	 	217	44.11	 	0	0	 	224	45.53	 	17	3.46	 	0	0	 	6	1.22	 	3	0.61	 	492	97.43	 	13	2.57	 	505	0.7
Newlyn		                                     	3	0.9	 	3	0.9	 	4	1.2	 	2	0.6	 	5	1.5	 	3	0.9	 	216	64.67	 	1	0.3	 	82	24.55	 	9	2.69	 	0	0	 	6	1.8	 	0	0	 	334	97.38	 	9	2.62	 	343	0.47
Queen Elizabeth Centre		                     	3	1.08	 	3	1.08	 	3	1.08	 	0	0	 	2	0.72	 	1	0.36	 	110	39.43	 	0	0	 	152	54.48	 	4	1.43	 	0	0	 	1	0.36	 	0	0	 	279	98.59	 	4	1.41	 	283	0.39
Redan		                                      	16	1.12	 	5	0.35	 	6	0.42	 	2	0.14	 	22	1.55	 	14	0.98	 	579	40.69	 	4	0.28	 	728	51.16	 	37	2.6	 	0	0	 	9	0.63	 	1	0.07	 	1423	97.73	 	33	2.27	 	1456	2.01
Redan North		                                	12	1.04	 	9	0.78	 	8	0.69	 	0	0	 	16	1.38	 	8	0.69	 	431	37.19	 	2	0.17	 	623	53.75	 	39	3.36	 	0	0	 	9	0.78	 	2	0.17	 	1159	97.07	 	35	2.93	 	1194	1.65
Ross Creek		                                 	0	0	 	9	1.67	 	1	0.19	 	0	0	 	6	1.12	 	9	1.67	 	263	48.88	 	4	0.74	 	226	42.01	 	16	2.97	 	0	0	 	4	0.74	 	0	0	 	538	98.72	 	7	1.28	 	545	0.75
Sebastopol		                                 	28	0.86	 	46	1.42	 	17	0.52	 	5	0.15	 	56	1.73	 	66	2.04	 	1184	36.52	 	3	0.09	 	1744	53.79	 	71	2.19	 	0	0	 	21	0.65	 	1	0.03	 	3242	96.52	 	117	3.48	 	3359	4.65
Smeaton		                                    	2	0.93	 	0	0	 	2	0.93	 	0	0	 	3	1.39	 	2	0.93	 	142	65.74	 	0	0	 	57	26.39	 	6	2.78	 	0	0	 	0	0	 	2	0.93	 	216	96.86	 	7	3.14	 	223	0.31
Smythesdale		                                	1	0.23	 	4	0.93	 	4	0.93	 	0	0	 	0	0	 	7	1.63	 	194	45.22	 	1	0.23	 	203	47.32	 	11	2.56	 	0	0	 	4	0.93	 	0	0	 	429	98.39	 	7	1.61	 	436	0.6
Soldiers Hill		                              	5	0.49	 	12	1.18	 	5	0.49	 	4	0.39	 	17	1.67	 	15	1.48	 	420	41.34	 	1	0.1	 	481	47.34	 	35	3.44	 	0	0	 	19	1.87	 	2	0.2	 	1016	96.58	 	36	3.42	 	1052	1.46
Springbank		                                 	5	2.45	 	0	0	 	0	0	 	0	0	 	2	0.98	 	5	2.45	 	130	63.73	 	1	0.49	 	56	27.45	 	5	2.45	 	0	0	 	0	0	 	0	0	 	204	99.03	 	2	0.97	 	206	0.28
Stawell		                                    	6	0.46	 	10	0.76	 	8	0.61	 	1	0.08	 	9	0.69	 	18	1.38	 	641	49.01	 	2	0.15	 	561	42.89	 	45	3.44	 	0	0	 	6	0.46	 	1	0.08	 	1308	97.32	 	36	2.68	 	1344	1.86
Stawell District Hospital		                  	13	2.88	 	5	1.11	 	3	0.67	 	1	0.22	 	3	0.67	 	6	1.33	 	217	48.12	 	2	0.44	 	181	40.13	 	14	3.1	 	0	0	 	4	0.89	 	2	0.44	 	451	96.57	 	16	3.43	 	467	0.65
Stawell West		                               	22	0.98	 	10	0.45	 	9	0.4	 	2	0.09	 	28	1.25	 	33	1.47	 	1063	47.35	 	4	0.18	 	982	43.74	 	78	3.47	 	0	0	 	14	0.62	 	0	0	 	2245	96.23	 	88	3.77	 	2333	3.23
The Stockade		                               	11	1.27	 	13	1.5	 	5	0.58	 	1	0.12	 	10	1.15	 	23	2.65	 	394	45.44	 	2	0.23	 	378	43.6	 	22	2.54	 	1	0.12	 	5	0.58	 	2	0.23	 	867	97.75	 	20	2.25	 	887	1.23
Warrenheip		                                 	2	0.52	 	0	0	 	2	0.52	 	3	0.77	 	1	0.26	 	8	2.06	 	218	56.19	 	0	0	 	134	34.54	 	9	2.32	 	0	0	 	8	2.06	 	3	0.77	 	388	97	 	12	3	 	400	0.55
Waubra		                                     	1	0.38	 	4	1.53	 	4	1.53	 	1	0.38	 	1	0.38	 	2	0.77	 	168	64.37	 	0	0	 	69	26.44	 	9	3.45	 	0	0	 	2	0.77	 	0	0	 	261	99.62	 	1	0.38	 	262	0.36
Wendouree		                                  	16	0.78	 	10	0.49	 	6	0.29	 	4	0.19	 	23	1.12	 	26	1.26	 	1085	52.77	 	3	0.15	 	827	40.22	 	41	1.99	 	0	0	 	13	0.63	 	2	0.1	 	2056	97.12	 	61	2.88	 	2117	2.93
Wendouree East		                             	15	1.01	 	13	0.87	 	6	0.4	 	5	0.34	 	25	1.68	 	8	0.54	 	700	46.98	 	2	0.13	 	675	45.3	 	28	1.88	 	0	0	 	9	0.6	 	4	0.27	 	1490	96.88	 	48	3.12	 	1538	2.13
Wendouree North		                            	11	0.41	 	12	0.45	 	8	0.3	 	5	0.19	 	46	1.72	 	34	1.27	 	1227	45.8	 	0	0	 	1265	47.22	 	55	2.05	 	0	0	 	11	0.41	 	5	0.19	 	2679	97.03	 	82	2.97	 	2761	3.82
Wendouree West		                             	28	1.88	 	6	0.4	 	4	0.27	 	5	0.34	 	18	1.21	 	26	1.75	 	325	21.84	 	1	0.07	 	1035	69.56	 	28	1.88	 	0	0	 	12	0.81	 	0	0	 	1488	95.57	 	69	4.43	 	1557	2.15
Yendon		                                     	2	0.8	 	5	2	 	3	1.2	 	0	0	 	8	3.2	 	3	1.2	 	117	46.8	 	0	0	 	96	38.4	 	10	4	 	0	0	 	6	2.4	 	0	0	 	250	98.81	 	3	1.19	 	253	0.35
Special Hospitals		                          	2	0.49	 	1	0.24	 	1	0.24	 	1	0.24	 	1	0.24	 	9	2.2	 	248	60.49	 	0	0	 	142	34.63	 	5	1.22	 	0	0	 	0	0	 	0	0	 	410	97.16	 	12	2.84	 	422	0.58
Total Ordinary		                             	456	0.74	 	484	0.78	 	281	0.46	 	122	0.2	 	803	1.3	 	798	1.29	 	29361	47.62	 	89	0.14	 	26797	43.46	 	1761	2.86	 	2	0	 	594	0.96	 	111	0.18	 	61659	97.37	 	1668	2.63	 	63327	87.61
ABSENT		                                     	16	0.48	 	28	0.83	 	23	0.69	 	19	0.57	 	32	0.95	 	51	1.52	 	1541	45.95	 	7	0.21	 	1379	41.12	 	167	4.98	 	0	0	 	82	2.44	 	9	0.27	 	3354	98.3	 	58	1.7	 	3412	4.72
POSTAL		                                     	44	1.57	 	18	0.64	 	23	0.82	 	3	0.11	 	25	0.89	 	31	1.11	 	1453	51.86	 	0	0	 	1110	39.61	 	53	1.89	 	0	0	 	31	1.11	 	11	0.39	 	2802	98.66	 	38	1.34	 	2840	3.93
PRE_POLL		                                   	20	0.85	 	17	0.73	 	15	0.64	 	10	0.43	 	37	1.58	 	36	1.54	 	1092	46.61	 	6	0.26	 	982	41.91	 	92	3.93	 	0	0	 	33	1.41	 	3	0.13	 	2343	97.75	 	54	2.25	 	2397	3.32
PROVISIONAL		                                	2	0.67	 	3	1	 	6	2	 	0	0	 	2	0.67	 	5	1.67	 	116	38.67	 	0	0	 	153	51	 	6	2	 	0	0	 	7	2.33	 	0	0	 	300	96.77	 	10	3.23	 	310	0.43
ADJUSTMENT		                                 	1		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	-2		       	0		       	0		       	0		       	0		       	-1		       	1		       	0	
Division Summary		                           	539	0.77	 	550	0.78	 	348	0.49	 	154	0.22	 	899	1.28	 	921	1.31	 	33563	47.64	 	102	0.14	 	30419	43.17	 	2079	2.95	 	2	0	 	747	1.06	 	134	0.19	 	70457	97.47	 	1829	2.53	 	72286	97.31
 																																																	


Batman (78231)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alphington		                                 	14	1.12	 	49	3.91	 	6	0.48	 	9	0.72	 	5	0.4	 	13	1.04	 	335	26.71	 	1	0.08	 	672	53.59	 	113	9.01	 	0	0	 	29	2.31	 	8	0.64	 	1254	97.51	 	32	2.49	 	1286	1.72
Alphington North		                           	13	1.01	 	38	2.96	 	5	0.39	 	4	0.31	 	1	0.08	 	16	1.25	 	351	27.36	 	9	0.7	 	768	59.86	 	53	4.13	 	0	0	 	23	1.79	 	2	0.16	 	1283	96.68	 	44	3.32	 	1327	1.78
Bell		                                       	15	1.14	 	27	2.04	 	7	0.53	 	3	0.23	 	1	0.08	 	19	1.44	 	287	21.73	 	0	0	 	902	68.28	 	39	2.95	 	0	0	 	17	1.29	 	4	0.3	 	1321	95.17	 	67	4.83	 	1388	1.86
Boldrewood		                                 	32	1.26	 	50	1.97	 	14	0.55	 	6	0.24	 	12	0.47	 	53	2.09	 	550	21.69	 	7	0.28	 	1722	67.9	 	66	2.6	 	0	0	 	14	0.55	 	10	0.39	 	2536	95.7	 	114	4.3	 	2650	3.55
Burbank		                                    	4	0.38	 	6	0.58	 	3	0.29	 	6	0.58	 	2	0.19	 	14	1.35	 	195	18.75	 	2	0.19	 	784	75.38	 	19	1.83	 	0	0	 	5	0.48	 	0	0	 	1040	94.89	 	56	5.11	 	1096	1.47
Croxton		                                    	25	1.34	 	63	3.37	 	6	0.32	 	4	0.21	 	7	0.37	 	31	1.66	 	338	18.08	 	3	0.16	 	1249	66.83	 	92	4.92	 	0	0	 	36	1.93	 	15	0.8	 	1869	94.2	 	115	5.8	 	1984	2.66
Faircote		                                   	15	1.46	 	15	1.46	 	5	0.49	 	6	0.58	 	3	0.29	 	22	2.14	 	262	25.54	 	2	0.19	 	642	62.57	 	40	3.9	 	0	0	 	11	1.07	 	3	0.29	 	1026	94.82	 	56	5.18	 	1082	1.45
Fairfield		                                  	31	0.92	 	96	2.84	 	15	0.44	 	20	0.59	 	7	0.21	 	53	1.57	 	784	23.17	 	7	0.21	 	2165	63.98	 	154	4.55	 	0	0	 	44	1.3	 	8	0.24	 	3384	94.21	 	208	5.79	 	3592	4.81
Fairfield North		                            	11	1.39	 	38	4.81	 	3	0.38	 	7	0.89	 	2	0.25	 	5	0.63	 	201	25.44	 	1	0.13	 	466	58.99	 	43	5.44	 	1	0.13	 	9	1.14	 	3	0.38	 	790	94.84	 	43	5.16	 	833	1.12
Kendall		                                    	9	1.21	 	7	0.94	 	4	0.54	 	1	0.13	 	5	0.67	 	8	1.07	 	223	29.93	 	0	0	 	442	59.33	 	30	4.03	 	0	0	 	14	1.88	 	2	0.27	 	745	95.27	 	37	4.73	 	782	1.05
Keon Park		                                  	13	1.21	 	23	2.14	 	11	1.02	 	3	0.28	 	1	0.09	 	16	1.49	 	205	19.03	 	3	0.28	 	775	71.96	 	18	1.67	 	0	0	 	9	0.84	 	0	0	 	1077	94.31	 	65	5.69	 	1142	1.53
Murray		                                     	17	1.18	 	26	1.8	 	6	0.42	 	2	0.14	 	7	0.48	 	22	1.52	 	370	25.61	 	5	0.35	 	932	64.5	 	42	2.91	 	0	0	 	14	0.97	 	2	0.14	 	1445	94.88	 	78	5.12	 	1523	2.04
Newlands		                                   	29	1.74	 	22	1.32	 	12	0.72	 	5	0.3	 	13	0.78	 	42	2.53	 	343	20.63	 	3	0.18	 	1132	68.07	 	45	2.71	 	0	0	 	15	0.9	 	2	0.12	 	1663	94.81	 	91	5.19	 	1754	2.35
Northcote		                                  	36	1.08	 	130	3.89	 	13	0.39	 	18	0.54	 	14	0.42	 	51	1.52	 	599	17.9	 	10	0.3	 	2211	66.08	 	177	5.29	 	0	0	 	72	2.15	 	15	0.45	 	3346	94.73	 	186	5.27	 	3532	4.73
Northcote North		                            	11	0.86	 	39	3.04	 	5	0.39	 	7	0.55	 	3	0.23	 	19	1.48	 	248	19.36	 	3	0.23	 	885	69.09	 	37	2.89	 	0	0	 	19	1.48	 	5	0.39	 	1281	94.68	 	72	5.32	 	1353	1.81
Northcote South		                            	11	0.56	 	76	3.88	 	5	0.26	 	2	0.1	 	4	0.2	 	20	1.02	 	352	17.99	 	6	0.31	 	1304	66.63	 	128	6.54	 	0	0	 	37	1.89	 	12	0.61	 	1957	95.98	 	82	4.02	 	2039	2.73
Northcote West		                             	8	1.01	 	40	5.04	 	8	1.01	 	4	0.5	 	1	0.13	 	13	1.64	 	151	19.04	 	0	0	 	486	61.29	 	44	5.55	 	1	0.13	 	32	4.04	 	5	0.63	 	793	96.71	 	27	3.29	 	820	1.1
Oakhill		                                    	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0
Preston		                                    	18	1.38	 	20	1.54	 	5	0.38	 	3	0.23	 	4	0.31	 	52	4	 	264	20.31	 	2	0.15	 	884	68	 	33	2.54	 	0	0	 	11	0.85	 	4	0.31	 	1300	94.68	 	73	5.32	 	1373	1.84
Preston East		                               	41	1.69	 	21	0.87	 	11	0.45	 	9	0.37	 	5	0.21	 	46	1.9	 	494	20.38	 	3	0.12	 	1707	70.42	 	67	2.76	 	0	0	 	13	0.54	 	7	0.29	 	2424	94.17	 	150	5.83	 	2574	3.45
Preston North		                              	11	1.22	 	17	1.88	 	2	0.22	 	2	0.22	 	3	0.33	 	16	1.77	 	189	20.88	 	4	0.44	 	618	68.29	 	32	3.54	 	0	0	 	7	0.77	 	4	0.44	 	905	94.76	 	50	5.24	 	955	1.28
Preston North East		                         	48	2.87	 	26	1.56	 	12	0.72	 	3	0.18	 	3	0.18	 	26	1.56	 	229	13.7	 	7	0.42	 	1266	75.72	 	30	1.79	 	2	0.12	 	14	0.84	 	6	0.36	 	1672	95	 	88	5	 	1760	2.36
Preston South		                              	25	1.82	 	21	1.53	 	5	0.36	 	5	0.36	 	11	0.8	 	28	2.04	 	248	18.1	 	4	0.29	 	961	70.15	 	42	3.07	 	0	0	 	15	1.09	 	5	0.36	 	1370	94.88	 	74	5.12	 	1444	1.93
Preston South East		                         	30	2.04	 	16	1.09	 	8	0.54	 	2	0.14	 	2	0.14	 	27	1.84	 	317	21.58	 	4	0.27	 	1012	68.89	 	38	2.59	 	0	0	 	10	0.68	 	3	0.2	 	1469	93.81	 	97	6.19	 	1566	2.1
Preston West		                               	29	1.16	 	44	1.76	 	7	0.28	 	7	0.28	 	10	0.4	 	48	1.92	 	573	22.96	 	9	0.36	 	1669	66.87	 	73	2.92	 	0	0	 	22	0.88	 	5	0.2	 	2496	94.9	 	134	5.1	 	2630	3.52
Regent		                                     	29	1.37	 	35	1.65	 	10	0.47	 	4	0.19	 	12	0.57	 	49	2.32	 	492	23.25	 	2	0.09	 	1399	66.12	 	50	2.36	 	0	0	 	28	1.32	 	6	0.28	 	2116	94.21	 	130	5.79	 	2246	3.01
Regent West		                                	8	0.92	 	16	1.85	 	6	0.69	 	1	0.12	 	7	0.81	 	19	2.19	 	267	30.83	 	0	0	 	503	58.08	 	29	3.35	 	0	0	 	6	0.69	 	4	0.46	 	866	95.9	 	37	4.1	 	903	1.21
Reservoir		                                  	12	0.85	 	31	2.2	 	10	0.71	 	1	0.07	 	6	0.43	 	23	1.63	 	376	26.67	 	5	0.35	 	901	63.9	 	28	1.99	 	0	0	 	12	0.85	 	5	0.35	 	1410	96.31	 	54	3.69	 	1464	1.96
Reservoir Central		                          	40	1.59	 	43	1.71	 	16	0.64	 	8	0.32	 	15	0.6	 	64	2.55	 	630	25.09	 	7	0.28	 	1570	62.52	 	85	3.39	 	2	0.08	 	20	0.8	 	11	0.44	 	2511	94.97	 	133	5.03	 	2644	3.54
Reservoir East		                             	15	1.01	 	23	1.55	 	15	1.01	 	4	0.27	 	4	0.27	 	39	2.63	 	358	24.11	 	1	0.07	 	969	65.25	 	40	2.69	 	0	0	 	7	0.47	 	10	0.67	 	1485	95.68	 	67	4.32	 	1552	2.08
Reservoir North		                            	40	1.37	 	43	1.47	 	19	0.65	 	6	0.2	 	12	0.41	 	53	1.81	 	671	22.91	 	6	0.2	 	1993	68.04	 	59	2.01	 	0	0	 	17	0.58	 	10	0.34	 	2929	95.25	 	146	4.75	 	3075	4.12
Reservoir North East		                       	29	1.56	 	24	1.29	 	11	0.59	 	2	0.11	 	7	0.38	 	29	1.56	 	397	21.38	 	3	0.16	 	1307	70.38	 	37	1.99	 	0	0	 	9	0.48	 	2	0.11	 	1857	95.87	 	80	4.13	 	1937	2.59
Reservoir South		                            	19	1.86	 	20	1.96	 	3	0.29	 	1	0.1	 	10	0.98	 	15	1.47	 	288	28.21	 	3	0.29	 	626	61.31	 	29	2.84	 	0	0	 	6	0.59	 	1	0.1	 	1021	94.98	 	54	5.02	 	1075	1.44
Reservoir West		                             	23	1.76	 	19	1.45	 	16	1.22	 	4	0.31	 	5	0.38	 	11	0.84	 	371	28.34	 	1	0.08	 	822	62.8	 	29	2.22	 	0	0	 	5	0.38	 	3	0.23	 	1309	94.44	 	77	5.56	 	1386	1.86
Thornbury		                                  	22	0.96	 	66	2.88	 	14	0.61	 	10	0.44	 	7	0.31	 	39	1.7	 	482	21.02	 	8	0.35	 	1477	64.41	 	122	5.32	 	1	0.04	 	31	1.35	 	14	0.61	 	2293	94.67	 	129	5.33	 	2422	3.24
Thornbury Central		                          	22	1.65	 	32	2.39	 	9	0.67	 	4	0.3	 	2	0.15	 	27	2.02	 	285	21.32	 	2	0.15	 	902	67.46	 	35	2.62	 	0	0	 	12	0.9	 	5	0.37	 	1337	94.29	 	81	5.71	 	1418	1.9
Thornbury East		                             	19	0.98	 	32	1.64	 	7	0.36	 	3	0.15	 	11	0.57	 	35	1.8	 	422	21.69	 	4	0.21	 	1303	66.96	 	82	4.21	 	0	0	 	19	0.98	 	9	0.46	 	1946	93.69	 	131	6.31	 	2077	2.78
Thornbury South		                            	14	0.94	 	71	4.79	 	4	0.27	 	5	0.34	 	3	0.2	 	19	1.28	 	302	20.38	 	1	0.07	 	969	65.38	 	61	4.12	 	0	0	 	27	1.82	 	6	0.4	 	1482	95.98	 	62	4.02	 	1544	2.07
Thornbury West		                             	14	1.7	 	25	3.04	 	2	0.24	 	4	0.49	 	5	0.61	 	15	1.82	 	192	23.36	 	2	0.24	 	525	63.87	 	29	3.53	 	0	0	 	6	0.73	 	3	0.36	 	822	96.59	 	29	3.41	 	851	1.14
Westgarth		                                  	16	1.39	 	54	4.69	 	9	0.78	 	6	0.52	 	4	0.35	 	22	1.91	 	197	17.1	 	3	0.26	 	773	67.1	 	47	4.08	 	0	0	 	15	1.3	 	6	0.52	 	1152	95.92	 	49	4.08	 	1201	1.61
Special Hospitals		                          	1	1.05	 	1	1.05	 	1	1.05	 	0	0	 	1	1.05	 	4	4.21	 	45	47.37	 	0	0	 	42	44.21	 	0	0	 	0	0	 	0	0	 	0	0	 	95	97.94	 	2	2.06	 	97	0.13
Total Ordinary		                             	819	1.3	 	1445	2.29	 	330	0.52	 	201	0.32	 	237	0.38	 	1123	1.78	 	13883	22.01	 	143	0.23	 	41735	66.17	 	2217	3.51	 	7	0.01	 	712	1.13	 	225	0.36	 	63077	95.03	 	3300	4.97	 	66377	88.9
ABSENT		                                     	31	0.84	 	72	1.96	 	32	0.87	 	42	1.14	 	16	0.43	 	80	2.17	 	904	24.57	 	11	0.3	 	2194	59.64	 	177	4.81	 	1	0.03	 	102	2.77	 	17	0.46	 	3679	97.17	 	107	2.83	 	3786	5.07
POSTAL		                                     	79	3.41	 	22	0.95	 	33	1.42	 	3	0.13	 	11	0.47	 	44	1.9	 	808	34.87	 	4	0.17	 	1210	52.22	 	76	3.28	 	1	0.04	 	21	0.91	 	5	0.22	 	2317	96.74	 	78	3.26	 	2395	3.21
PRE_POLL		                                   	20	1.19	 	23	1.37	 	10	0.59	 	15	0.89	 	14	0.83	 	42	2.5	 	487	28.95	 	5	0.3	 	934	55.53	 	70	4.16	 	0	0	 	60	3.57	 	2	0.12	 	1682	97.17	 	49	2.83	 	1731	2.32
PROVISIONAL		                                	12	3.48	 	8	2.32	 	2	0.58	 	2	0.58	 	1	0.29	 	9	2.61	 	52	15.07	 	5	1.45	 	233	67.54	 	13	3.77	 	0	0	 	5	1.45	 	3	0.87	 	345	91.76	 	31	8.24	 	376	0.5
ADJUSTMENT		                                 	1		       	0		       	0		       	0		       	0		       	0		       	-2		       	0		       	-1		       	0		       	-1		       	0		       	0		       	-3		       	2		       	-1	
Division Summary		                           	962	1.35	 	1570	2.21	 	407	0.57	 	263	0.37	 	279	0.39	 	1298	1.83	 	16132	22.69	 	168	0.24	 	46305	65.13	 	2553	3.59	 	8	0.01	 	900	1.27	 	252	0.35	 	71097	95.22	 	3567	4.78	 	74664	95.44
 																																																	


Bendigo (77106)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Axedale		                                    	2	0.76	 	3	1.14	 	2	0.76	 	2	0.76	 	7	2.65	 	7	2.65	 	150	56.82	 	0	0	 	81	30.68	 	8	3.03	 	0	0	 	1	0.38	 	1	0.38	 	264	96.7	 	9	3.3	 	273	0.36
Baringhup		                                  	0	0	 	0	0	 	3	1.75	 	0	0	 	4	2.34	 	0	0	 	117	68.42	 	0	0	 	43	25.15	 	3	1.75	 	0	0	 	1	0.58	 	0	0	 	171	97.71	 	4	2.29	 	175	0.23
Barkers Creek		                              	1	0.43	 	4	1.7	 	1	0.43	 	0	0	 	4	1.7	 	1	0.43	 	125	53.19	 	1	0.43	 	86	36.6	 	9	3.83	 	0	0	 	3	1.28	 	0	0	 	235	98.74	 	3	1.26	 	238	0.32
Bealiba		                                    	1	0.52	 	2	1.03	 	0	0	 	0	0	 	0	0	 	1	0.52	 	120	61.86	 	0	0	 	61	31.44	 	8	4.12	 	0	0	 	1	0.52	 	0	0	 	194	96.04	 	8	3.96	 	202	0.27
Bendigo Base Hospital		                      	0	0	 	4	1.79	 	1	0.45	 	1	0.45	 	4	1.79	 	6	2.68	 	77	34.38	 	0	0	 	124	55.36	 	7	3.13	 	0	0	 	0	0	 	0	0	 	224	98.25	 	4	1.75	 	228	0.3
Bendigo Central		                            	11	1.13	 	25	2.57	 	8	0.82	 	9	0.93	 	24	2.47	 	18	1.85	 	386	39.75	 	1	0.1	 	425	43.77	 	50	5.15	 	0	0	 	11	1.13	 	3	0.31	 	971	96.43	 	36	3.57	 	1007	1.34
Bendigo North		                              	12	1.22	 	9	0.91	 	8	0.81	 	1	0.1	 	17	1.73	 	15	1.52	 	316	32.11	 	2	0.2	 	541	54.98	 	52	5.28	 	0	0	 	9	0.91	 	2	0.2	 	984	97.33	 	27	2.67	 	1011	1.35
Betley		                                     	0	0	 	0	0	 	1	1.2	 	0	0	 	0	0	 	0	0	 	48	57.83	 	0	0	 	32	38.55	 	2	2.41	 	0	0	 	0	0	 	0	0	 	83	98.81	 	1	1.19	 	84	0.11
Big Hill		                                   	1	0.2	 	3	0.6	 	4	0.8	 	1	0.2	 	5	1	 	3	0.6	 	266	53.41	 	0	0	 	194	38.96	 	15	3.01	 	0	0	 	5	1	 	1	0.2	 	498	98.03	 	10	1.97	 	508	0.68
Borung		                                     	1	0.87	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	90	78.26	 	0	0	 	22	19.13	 	0	0	 	0	0	 	2	1.74	 	0	0	 	115	99.14	 	1	0.86	 	116	0.15
Bowenvale		                                  	0	0	 	2	1.08	 	1	0.54	 	1	0.54	 	4	2.15	 	1	0.54	 	93	50	 	0	0	 	79	42.47	 	3	1.61	 	0	0	 	2	1.08	 	0	0	 	186	97.38	 	5	2.62	 	191	0.25
Bridgewater		                                	6	1.56	 	1	0.26	 	0	0	 	1	0.26	 	3	0.78	 	3	0.78	 	265	68.83	 	0	0	 	100	25.97	 	3	0.78	 	0	0	 	3	0.78	 	0	0	 	385	97.22	 	11	2.78	 	396	0.53
