Senate - 1993 Election: Victoria																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Aston (79158)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Golden Point		                               	8	1.03	 	4	0.51	 	6	0.77	 	3	0.38	 	13	1.67	 	13	1.67	 	301	38.59	 	2	0.26	 	383	49.1	 	32	4.1	 	0	0	 	13	1.67	 	2	0.26	 	780	97.62	 	19	2.38	 	799	1.11
Gong Gong		                                  	4	0.94	 	2	0.47	 	1	0.23	 	3	0.7	 	3	0.7	 	3	0.7	 	241	56.44	 	2	0.47	 	146	34.19	 	12	2.81	 	0	0	 	9	2.11	 	1	0.23	 	427	96.83	 	14	3.17	 	441	0.61
Gordon		                                     	2	0.47	 	2	0.47	 	1	0.24	 	1	0.24	 	7	1.65	 	8	1.89	 	196	46.34	 	0	0	 	191	45.15	 	11	2.6	 	0	0	 	2	0.47	 	2	0.47	 	423	98.37	 	7	1.63	 	430	0.59
Great Western		                              	1	0.32	 	3	0.97	 	3	0.97	 	0	0	 	1	0.32	 	4	1.3	 	171	55.52	 	0	0	 	113	36.69	 	6	1.95	 	0	0	 	6	1.95	 	0	0	 	308	98.72	 	4	1.28	 	312	0.43
Haddon		                                     	5	0.56	 	3	0.34	 	5	0.56	 	2	0.23	 	11	1.24	 	15	1.69	 	413	46.51	 	2	0.23	 	398	44.82	 	20	2.25	 	0	0	 	12	1.35	 	2	0.23	 	888	98.34	 	15	1.66	 	903	1.25
Halls Gap		                                  	1	0.36	 	3	1.09	 	3	1.09	 	0	0	 	9	3.26	 	4	1.45	 	168	60.87	 	0	0	 	71	25.72	 	12	4.35	 	0	0	 	5	1.81	 	0	0	 	276	98.57	 	4	1.43	 	280	0.39
Kingston		                                   	2	1.12	 	3	1.68	 	1	0.56	 	0	0	 	2	1.12	 	1	0.56	 	76	42.46	 	0	0	 	81	45.25	 	6	3.35	 	0	0	 	6	3.35	 	1	0.56	 	179	98.9	 	2	1.1	 	181	0.25
Korweinguboora		                             	0	0	 	5	4.42	 	0	0	 	0	0	 	0	0	 	2	1.77	 	33	29.2	 	0	0	 	62	54.87	 	11	9.73	 	0	0	 	0	0	 	0	0	 	113	96.58	 	4	3.42	 	117	0.16
Lakeside Hospital		                          	2	1.56	 	1	0.78	 	0	0	 	0	0	 	2	1.56	 	3	2.34	 	36	28.13	 	1	0.78	 	78	60.94	 	3	2.34	 	0	0	 	2	1.56	 	0	0	 	128	96.97	 	4	3.03	 	132	0.18
Landsborough		                               	4	1.81	 	2	0.9	 	0	0	 	0	0	 	4	1.81	 	3	1.36	 	155	70.14	 	0	0	 	45	20.36	 	5	2.26	 	0	0	 	3	1.36	 	0	0	 	221	98.66	 	3	1.34	 	224	0.31
Learmonth		                                  	7	1.49	 	4	0.85	 	2	0.43	 	3	0.64	 	4	0.85	 	5	1.07	 	287	61.19	 	1	0.21	 	142	30.28	 	9	1.92	 	0	0	 	5	1.07	 	0	0	 	469	97.1	 	14	2.9	 	483	0.67
Lexton		                                     	3	1.29	 	4	1.72	 	1	0.43	 	0	0	 	6	2.58	 	3	1.29	 	128	54.94	 	1	0.43	 	76	32.62	 	10	4.29	 	0	0	 	1	0.43	 	0	0	 	233	98.31	 	4	1.69	 	237	0.33
Little Bendigo		                             	0	0	 	1	0.52	 	0	0	 	0	0	 	4	2.07	 	5	2.59	 	69	35.75	 	1	0.52	 	98	50.78	 	13	6.74	 	0	0	 	0	0	 	2	1.04	 	193	98.47	 	3	1.53	 	196	0.27
Magpie		                                     	1	0.52	 	1	0.52	 	1	0.52	 	2	1.04	 	8	4.17	 	1	0.52	 	104	54.17	 	0	0	 	68	35.42	 	3	1.56	 	0	0	 	3	1.56	 	0	0	 	192	98.46	 	3	1.54	 	195	0.27
Marnoo		                                     	0	0	 	0	0	 	1	0.57	 	2	1.15	 	9	5.17	 	1	0.57	 	144	82.76	 	0	0	 	16	9.2	 	1	0.57	 	0	0	 	0	0	 	0	0	 	174	97.21	 	5	2.79	 	179	0.25
Millbrook		                                  	0	0	 	0	0	 	2	1.16	 	1	0.58	 	3	1.73	 	2	1.16	 	118	68.21	 	0	0	 	42	24.28	 	5	2.89	 	0	0	 	0	0	 	0	0	 	173	96.65	 	6	3.35	 	179	0.25
