Senate - 1993 Election: Western Australia																																											
First Preference Votes by Group																																											
By Polling Place																																											


Brand (80370)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Mogumber		                                   	0	0	 	0	0	 	0	0	 	1	1.39	 	7	9.72	 	60	83.33	 	0	0	 	0	0	 	4	5.56	 	0	0	 	0	0	 	72	97.3	 	2	2.7	 	74	0.1
Moonyoonooka		                               	2	0.96	 	0	0	 	3	1.44	 	0	0	 	31	14.9	 	136	65.38	 	0	0	 	8	3.85	 	25	12.02	 	0	0	 	3	1.44	 	208	98.11	 	4	1.89	 	212	0.29
Moora		                                      	15	1.46	 	4	0.39	 	43	4.2	 	2	0.2	 	262	25.56	 	612	59.71	 	1	0.1	 	35	3.41	 	48	4.68	 	2	0.2	 	1	0.1	 	1025	97.71	 	24	2.29	 	1049	1.45
Morawa		                                     	4	0.86	 	3	0.65	 	21	4.52	 	0	0	 	93	20	 	288	61.94	 	1	0.22	 	25	5.38	 	28	6.02	 	1	0.22	 	1	0.22	 	465	98.94	 	5	1.06	 	470	0.65
Mount Barker		                               	13	1.05	 	4	0.32	 	51	4.11	 	2	0.16	 	329	26.53	 	579	46.69	 	3	0.24	 	52	4.19	 	205	16.53	 	1	0.08	 	1	0.08	 	1240	97.56	 	31	2.44	 	1271	1.76
Mount Tarcoola		                             	14	1.27	 	1	0.09	 	39	3.53	 	0	0	 	280	25.34	 	687	62.17	 	1	0.09	 	52	4.71	 	31	2.81	 	0	0	 	0	0	 	1105	97.61	 	27	2.39	 	1132	1.57
Mount Walker		                               	0	0	 	0	0	 	1	1.28	 	0	0	 	1	1.28	 	40	51.28	 	0	0	 	4	5.13	 	32	41.03	 	0	0	 	0	0	 	78	95.12	 	4	4.88	 	82	0.11
Mukinbudin		                                 	12	3.32	 	0	0	 	5	1.39	 	0	0	 	25	6.93	 	280	77.56	 	0	0	 	7	1.94	 	32	8.86	 	0	0	 	0	0	 	361	98.9	 	4	1.1	 	365	0.51
Mullewa		                                    	6	1.44	 	4	0.96	 	4	0.96	 	0	0	 	105	25.18	 	252	60.43	 	0	0	 	13	3.12	 	33	7.91	 	0	0	 	0	0	 	417	97.89	 	9	2.11	 	426	0.59
Munglinup (O'Connor)		                       	0	0	 	0	0	 	2	2.63	 	0	0	 	4	5.26	 	61	80.26	 	0	0	 	3	3.95	 	5	6.58	 	0	0	 	1	1.32	 	76	98.7	 	1	1.3	 	77	0.11
Muntadgin		                                  	0	0	 	0	0	 	3	2.8	 	0	0	 	5	4.67	 	77	71.96	 	0	0	 	2	1.87	 	20	18.69	 	0	0	 	0	0	 	107	99.07	 	1	0.93	 	108	0.15
Muradup		                                    	0	0	 	0	0	 	5	2.56	 	0	0	 	4	2.05	 	137	70.26	 	0	0	 	3	1.54	 	46	23.59	 	0	0	 	0	0	 	195	97.99	 	4	2.01	 	199	0.28
Nabawa		                                     	1	0.52	 	0	0	 	8	4.15	 	0	0	 	34	17.62	 	125	64.77	 	0	0	 	10	5.18	 	14	7.25	 	0	0	 	1	0.52	 	193	96.98	 	6	3.02	 	199	0.28
Narembeen		                                  	4	0.99	 	0	0	 	6	1.49	 	2	0.5	 	56	13.86	 	204	50.5	 	0	0	 	13	3.22	 	119	29.46	 	0	0	 	0	0	 	404	96.88	 	13	3.12	 	417	0.58
Narrikup		                                   	6	2.84	 	0	0	 	3	1.42	 	0	0	 	18	8.53	 	113	53.55	 	0	0	 	11	5.21	 	57	27.01	 	0	0	 	3	1.42	 	211	98.14	 	4	1.86	 	215	0.3
Narrogin		                                   	36	1.43	 	7	0.28	 	88	3.49	 	1	0.04	 	662	26.23	 	1341	53.13	 	0	0	 	112	4.44	 	271	10.74	 	1	0.04	 	5	0.2	 	2524	97.68	 	60	2.32	 	2584	3.58
Narrogin Regional Hospital		                 	0	0	 	0	0	 	9	7.89	 	1	0.88	 	25	21.93	 	55	48.25	 	0	0	 	3	2.63	 	21	18.42	 	0	0	 	0	0	 	114	95.8	 	5	4.2	 	119	0.16
Newdegate		                                  	0	0	 	0	0	 	7	2.67	 	0	0	 	12	4.58	 	175	66.79	 	0	0	 	10	3.82	 	58	22.14	 	0	0	 	0	0	 	262	98.87	 	3	1.13	 	265	0.37
New Norcia		                                 	1	0.8	 	1	0.8	 	2	1.6	 	0	0	 	16	12.8	 	95	76	 	0	0	 	5	4	 	5	4	 	0	0	 	0	0	 	125	100	 	0	0	 	125	0.17
Northampton		                                	7	0.72	 	2	0.21	 	27	2.79	 	1	0.1	 	200	20.68	 	650	67.22	 	0	0	 	35	3.62	 	44	4.55	 	0	0	 	1	0.1	 	967	97.87	 	21	2.13	 	988	1.37
Nungarin		                                   	0	0	 	0	0	 	3	2.21	 	0	0	 	18	13.24	 	90	66.18	 	0	0	 	4	2.94	 	20	14.71	 	0	0	 	1	0.74	 	136	98.55	 	2	1.45	 	138	0.19
Nyabing		                                    	1	0.49	 	0	0	 	3	1.48	 	0	0	 	8	3.94	 	138	67.98	 	0	0	 	4	1.97	 	49	24.14	 	0	0	 	0	0	 	203	99.51	 	1	0.49	 	204	0.28
Ongerup		                                    	1	0.49	 	1	0.49	 	3	1.46	 	0	0	 	24	11.65	 	95	46.12	 	0	0	 	5	2.43	 	77	37.38	 	0	0	 	0	0	 	206	99.04	 	2	0.96	 	208	0.29
Perenjori		                                  	4	2.04	 	0	0	 	2	1.02	 	0	0	 	23	11.73	 	149	76.02	 	0	0	 	5	2.55	 	13	6.63	 	0	0	 	0	0	 	196	97.03	 	6	2.97	 	202	0.28
Perth (O'Connor)		                           	1	0.57	 	0	0	 	7	4.02	 	0	0	 	25	14.37	 	118	67.82	 	0	0	 	5	2.87	 	18	10.34	 	0	0	 	0	0	 	174	100	 	0	0	 	174	0.24
Pingaring		                                  	0	0	 	0	0	 	0	0	 	0	0	 	4	4.04	 	71	71.72	 	0	0	 	2	2.02	 	22	22.22	 	0	0	 	0	0	 	99	97.06	 	3	2.94	 	102	0.14
Pingelly		                                   	5	0.74	 	4	0.59	 	6	0.89	 	2	0.3	 	100	14.86	 	394	58.54	 	0	0	 	21	3.12	 	141	20.95	 	0	0	 	0	0	 	673	97.82	 	15	2.18	 	688	0.95
Pingrup		                                    	1	0.56	 	0	0	 	2	1.12	 	0	0	 	18	10.06	 	127	70.95	 	0	0	 	7	3.91	 	24	13.41	 	0	0	 	0	0	 	179	99.44	 	1	0.56	 	180	0.25
Pithara		                                    	2	2.17	 	0	0	 	3	3.26	 	0	0	 	15	16.3	 	60	65.22	 	0	0	 	1	1.09	 	11	11.96	 	0	0	 	0	0	 	92	98.92	 	1	1.08	 	93	0.13
Popanyinning		                               	1	0.87	 	1	0.87	 	2	1.74	 	0	0	 	23	20	 	70	60.87	 	0	0	 	2	1.74	 	16	13.91	 	0	0	 	0	0	 	115	99.14	 	1	0.86	 	116	0.16
Porongurup		                                 	3	2.26	 	2	1.5	 	12	9.02	 	0	0	 	13	9.77	 	54	40.6	 	0	0	 	2	1.5	 	47	35.34	 	0	0	 	0	0	 	133	100	 	0	0	 	133	0.18
Quairading		                                 	16	2.5	 	0	0	 	8	1.25	 	0	0	 	91	14.24	 	437	68.39	 	0	0	 	14	2.19	 	71	11.11	 	2	0.31	 	0	0	 	639	98.61	 	9	1.39	 	648	0.9
Quindanning		                                	0	0	 	0	0	 	4	4.35	 	0	0	 	10	10.87	 	58	63.04	 	0	0	 	3	3.26	 	17	18.48	 	0	0	 	0	0	 	92	100	 	0	0	 	92	0.13
Rangeway		                                   	31	1.54	 	1	0.05	 	32	1.59	 	2	0.1	 	996	49.43	 	812	40.3	 	1	0.05	 	100	4.96	 	35	1.74	 	3	0.15	 	2	0.1	 	2015	96.83	 	66	3.17	 	2081	2.88
Ravensthorpe		                               	1	0.29	 	2	0.58	 	13	3.76	 	0	0	 	68	19.65	 	199	57.51	 	1	0.29	 	7	2.02	 	55	15.9	 	0	0	 	0	0	 	346	98.86	 	4	1.14	 	350	0.48
Rocky Gully		                                	1	1.04	 	0	0	 	6	6.25	 	0	0	 	13	13.54	 	35	36.46	 	1	1.04	 	7	7.29	 	33	34.38	 	0	0	 	0	0	 	96	97.96	 	2	2.04	 	98	0.14
Seabird		                                    	0	0	 	0	0	 	2	3.45	 	0	0	 	7	12.07	 	45	77.59	 	0	0	 	2	3.45	 	2	3.45	 	0	0	 	0	0	 	58	100	 	0	0	 	58	0.08
Shackleton		                                 	0	0	 	0	0	 	1	1.15	 	0	0	 	7	8.05	 	71	81.61	 	1	1.15	 	1	1.15	 	6	6.9	 	0	0	 	0	0	 	87	98.86	 	1	1.14	 	88	0.12
Spalding		                                   	9	0.9	 	0	0	 	23	2.31	 	2	0.2	 	380	38.19	 	513	51.56	 	1	0.1	 	42	4.22	 	22	2.21	 	0	0	 	3	0.3	 	995	97.74	 	23	2.26	 	1018	1.41
Tambellup		                                  	3	0.77	 	0	0	 	4	1.03	 	0	0	 	62	15.94	 	206	52.96	 	0	0	 	10	2.57	 	103	26.48	 	0	0	 	1	0.26	 	389	97.49	 	10	2.51	 	399	0.55
Tammin		                                     	1	0.43	 	1	0.43	 	4	1.72	 	0	0	 	44	18.97	 	98	42.24	 	0	0	 	7	3.02	 	76	32.76	 	0	0	 	1	0.43	 	232	97.48	 	6	2.52	 	238	0.33
Tardun		                                     	4	5.26	 	0	0	 	2	2.63	 	0	0	 	18	23.68	 	33	43.42	 	0	0	 	7	9.21	 	11	14.47	 	0	0	 	1	1.32	 	76	96.2	 	3	3.8	 	79	0.11
Three Springs		                              	7	1.83	 	2	0.52	 	2	0.52	 	1	0.26	 	64	16.75	 	273	71.47	 	1	0.26	 	15	3.93	 	17	4.45	 	0	0	 	0	0	 	382	97.45	 	10	2.55	 	392	0.54
Tincurrin		                                  	0	0	 	0	0	 	3	2.91	 	0	0	 	7	6.8	 	61	59.22	 	0	0	 	1	0.97	 	31	30.1	 	0	0	 	0	0	 	103	99.04	 	1	0.96	 	104	0.14
Trayning		                                   	0	0	 	0	0	 	5	2.66	 	0	0	 	19	10.11	 	142	75.53	 	0	0	 	9	4.79	 	13	6.91	 	0	0	 	0	0	 	188	98.95	 	2	1.05	 	190	0.26
Varley		                                     	0	0	 	0	0	 	0	0	 	0	0	 	2	2.94	 	53	77.94	 	0	0	 	0	0	 	12	17.65	 	1	1.47	 	0	0	 	68	98.55	 	1	1.45	 	69	0.1
Waggrakine		                                 	15	1.23	 	3	0.25	 	49	4.01	 	4	0.33	 	381	31.15	 	676	55.27	 	0	0	 	47	3.84	 	35	2.86	 	0	0	 	13	1.06	 	1223	97.61	 	30	2.39	 	1253	1.74
Wagin		                                      	8	0.78	 	2	0.19	 	19	1.85	 	1	0.1	 	225	21.89	 	635	61.77	 	1	0.1	 	37	3.6	 	98	9.53	 	2	0.19	 	0	0	 	1028	96.25	 	40	3.75	 	1068	1.48
Walkaway		                                   	2	0.68	 	0	0	 	13	4.44	 	0	0	 	35	11.95	 	200	68.26	 	0	0	 	19	6.48	 	14	4.78	 	1	0.34	 	9	3.07	 	293	98.32	 	5	1.68	 	298	0.41
Wandering		                                  	0	0	 	0	0	 	5	2.62	 	0	0	 	19	9.95	 	131	68.59	 	0	0	 	8	4.19	 	28	14.66	 	0	0	 	0	0	 	191	98.96	 	2	1.04	 	193	0.27
Watheroo		                                   	0	0	 	0	0	 	4	2.7	 	1	0.68	 	14	9.46	 	113	76.35	 	0	0	 	4	2.7	 	12	8.11	 	0	0	 	0	0	 	148	98.67	 	2	1.33	 	150	0.21
Wickepin		                                   	2	0.63	 	1	0.32	 	6	1.89	 	0	0	 	27	8.52	 	183	57.73	 	0	0	 	5	1.58	 	92	29.02	 	0	0	 	1	0.32	 	317	99.69	 	1	0.31	 	318	0.44
Williams		                                   	3	0.63	 	1	0.21	 	10	2.08	 	0	0	 	57	11.88	 	274	57.08	 	0	0	 	12	2.5	 	123	25.63	 	0	0	 	0	0	 	480	97.17	 	14	2.83	 	494	0.68
Wongan Hills		                               	5	0.76	 	1	0.15	 	11	1.67	 	0	0	 	92	13.96	 	441	66.92	 	0	0	 	13	1.97	 	94	14.26	 	2	0.3	 	0	0	 	659	98.07	 	13	1.93	 	672	0.93
Wonthella		                                  	32	1.96	 	4	0.24	 	37	2.27	 	5	0.31	 	598	36.62	 	848	51.93	 	0	0	 	73	4.47	 	29	1.78	 	1	0.06	 	6	0.37	 	1633	98.14	 	31	1.86	 	1664	2.3
Woodanilling		                               	4	2.84	 	0	0	 	2	1.42	 	0	0	 	23	16.31	 	69	48.94	 	1	0.71	 	8	5.67	 	34	24.11	 	0	0	 	0	0	 	141	97.92	 	3	2.08	 	144	0.2
Woodridge		                                  	2	0.82	 	1	0.41	 	10	4.08	 	0	0	 	89	36.33	 	130	53.06	 	1	0.41	 	10	4.08	 	2	0.82	 	0	0	 	0	0	 	245	96.46	 	9	3.54	 	254	0.35
Woogenellup		                                	0	0	 	0	0	 	1	1.96	 	0	0	 	0	0	 	21	41.18	 	0	0	 	0	0	 	29	56.86	 	0	0	 	0	0	 	51	98.08	 	1	1.92	 	52	0.07
Wubin		                                      	0	0	 	1	0.78	 	0	0	 	0	0	 	19	14.73	 	86	66.67	 	1	0.78	 	3	2.33	 	19	14.73	 	0	0	 	0	0	 	129	100	 	0	0	 	129	0.18
Wyalkatchem		                                	1	0.28	 	0	0	 	8	2.2	 	0	0	 	61	16.8	 	240	66.12	 	0	0	 	13	3.58	 	39	10.74	 	0	0	 	1	0.28	 	363	97.06	 	11	2.94	 	374	0.52
Yealering		                                  	1	0.93	 	0	0	 	0	0	 	0	0	 	12	11.21	 	75	70.09	 	0	0	 	1	0.93	 	18	16.82	 	0	0	 	0	0	 	107	99.07	 	1	0.93	 	108	0.15
Yerecoin		                                   	0	0	 	1	0.96	 	5	4.81	 	0	0	 	4	3.85	 	74	71.15	 	0	0	 	1	0.96	 	19	18.27	 	0	0	 	0	0	 	104	100	 	0	0	 	104	0.14
York		                                       	22	1.61	 	4	0.29	 	70	5.11	 	1	0.07	 	336	24.54	 	775	56.61	 	4	0.29	 	51	3.73	 	103	7.52	 	1	0.07	 	2	0.15	 	1369	97.02	 	42	2.98	 	1411	1.95
Yorkrakine		                                 	0	0	 	0	0	 	1	2	 	0	0	 	2	4	 	28	56	 	0	0	 	0	0	 	19	38	 	0	0	 	0	0	 	50	100	 	0	0	 	50	0.07
Yuna		                                       	1	1.16	 	0	0	 	0	0	 	0	0	 	5	5.81	 	76	88.37	 	0	0	 	1	1.16	 	3	3.49	 	0	0	 	0	0	 	86	100	 	0	0	 	86	0.12
Special Hospitals		                          	4	3.36	 	0	0	 	4	3.36	 	1	0.84	 	30	25.21	 	68	57.14	 	0	0	 	1	0.84	 	11	9.24	 	0	0	 	0	0	 	119	94.44	 	7	5.56	 	126	0.17
Total Ordinary		                             	643	1.08	 	138	0.23	 	1686	2.83	 	61	0.1	 	13433	22.59	 	34620	58.21	 	40	0.07	 	2164	3.64	 	6538	10.99	 	41	0.07	 	111	0.19	 	59475	97.9	 	1277	2.1	 	60752	84.12
ABSENT		                                     	108	1.31	 	24	0.29	 	336	4.07	 	5	0.06	 	1668	20.23	 	4799	58.2	 	9	0.11	 	233	2.83	 	1048	12.71	 	6	0.07	 	10	0.12	 	8246	99.06	 	78	0.94	 	8324	11.53
POSTAL		                                     	22	1.55	 	6	0.42	 	24	1.69	 	4	0.28	 	239	16.81	 	879	61.81	 	4	0.28	 	32	2.25	 	209	14.7	 	0	0	 	3	0.21	 	1422	99.23	 	11	0.77	 	1433	1.98
PRE_POLL		                                   	12	0.96	 	2	0.16	 	47	3.76	 	5	0.4	 	238	19.02	 	774	61.87	 	2	0.16	 	33	2.64	 	134	10.71	 	2	0.16	 	2	0.16	 	1251	98.82	 	15	1.18	 	1266	1.75
PROVISIONAL		                                	5	1.15	 	2	0.46	 	22	5.07	 	3	0.69	 	177	40.78	 	183	42.17	 	2	0.46	 	15	3.46	 	24	5.53	 	1	0.23	 	0	0	 	434	97.97	 	9	2.03	 	443	0.61
ADJUSTMENT		                                 	2		       	0		       	2		       	1		       	-4		       	-7		       	0		       	3		       	4		       	0		       	1		       	2		       	-2		       	0	
Division Summary		                           	792	1.12	 	172	0.24	 	2117	2.99	 	79	0.11	 	15751	22.24	 	41248	58.24	 	57	0.08	 	2480	3.5	 	7957	11.23	 	50	0.07	 	127	0.18	 	70830	98.08	 	1388	1.92	 	72218	96.23
 																																											


Pearce (71880)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bakers Hill		                                	4	0.9	 	0	0	 	24	5.39	 	2	0.45	 	132	29.66	 	218	48.99	 	1	0.22	 	23	5.17	 	37	8.31	 	2	0.45	 	2	0.45	 	445	97.59	 	11	2.41	 	456	0.66
Baskerville		                                	6	0.55	 	3	0.28	 	67	6.16	 	1	0.09	 	335	30.82	 	617	56.76	 	1	0.09	 	42	3.86	 	14	1.29	 	1	0.09	 	0	0	 	1087	98.28	 	19	1.72	 	1106	1.59
Bellevue Central		                           	7	4.07	 	0	0	 	13	7.56	 	2	1.16	 	63	36.63	 	81	47.09	 	0	0	 	5	2.91	 	1	0.58	 	0	0	 	0	0	 	172	96.63	 	6	3.37	 	178	0.26
Bindoon		                                    	12	2.19	 	1	0.18	 	44	8.04	 	2	0.37	 	116	21.21	 	314	57.4	 	0	0	 	24	4.39	 	33	6.03	 	0	0	 	1	0.18	 	547	98.56	 	8	1.44	 	555	0.8
Boya		                                       	8	1.1	 	2	0.28	 	57	7.85	 	1	0.14	 	201	27.69	 	386	53.17	 	0	0	 	54	7.44	 	13	1.79	 	2	0.28	 	2	0.28	 	726	99.05	 	7	0.95	 	733	1.06
Bullsbrook		                                 	12	0.98	 	3	0.25	 	71	5.8	 	3	0.25	 	330	26.96	 	686	56.05	 	2	0.16	 	64	5.23	 	26	2.12	 	6	0.49	 	21	1.72	 	1224	98.39	 	20	1.61	 	1244	1.79
Carmel		                                     	5	1.42	 	2	0.57	 	37	10.51	 	0	0	 	57	16.19	 	226	64.2	 	0	0	 	16	4.55	 	6	1.7	 	1	0.28	 	2	0.57	 	352	98.6	 	5	1.4	 	357	0.51
Chidlow		                                    	22	2.73	 	1	0.12	 	70	8.67	 	1	0.12	 	267	33.09	 	345	42.75	 	0	0	 	50	6.2	 	48	5.95	 	1	0.12	 	2	0.25	 	807	97.35	 	22	2.65	 	829	1.19
Darlington		                                 	34	1.73	 	11	0.56	 	208	10.59	 	4	0.2	 	519	26.41	 	1026	52.21	 	1	0.05	 	133	6.77	 	21	1.07	 	4	0.2	 	4	0.2	 	1965	98.89	 	22	1.11	 	1987	2.86
Forrestfield		                               	43	1.56	 	5	0.18	 	101	3.67	 	8	0.29	 	1204	43.72	 	1216	44.15	 	3	0.11	 	112	4.07	 	37	1.34	 	10	0.36	 	15	0.54	 	2754	97.9	 	59	2.1	 	2813	4.05
Forrestfield North		                         	40	1.25	 	4	0.13	 	153	4.8	 	1	0.03	 	1320	41.41	 	1434	44.98	 	2	0.06	 	187	5.87	 	31	0.97	 	11	0.35	 	5	0.16	 	3188	98.06	 	63	1.94	 	3251	4.68
Gidgegannup		                                	14	1.89	 	3	0.4	 	67	9.03	 	0	0	 	168	22.64	 	407	54.85	 	0	0	 	45	6.06	 	36	4.85	 	1	0.13	 	1	0.13	 	742	98.41	 	12	1.59	 	754	1.09
Glen Forrest		                               	17	1.08	 	5	0.32	 	155	9.83	 	3	0.19	 	432	27.39	 	818	51.87	 	1	0.06	 	101	6.4	 	42	2.66	 	0	0	 	3	0.19	 	1577	98.38	 	26	1.62	 	1603	2.31
Gooseberry Hill		                            	14	0.88	 	5	0.31	 	131	8.24	 	5	0.31	 	304	19.12	 	1000	62.89	 	1	0.06	 	92	5.79	 	32	2.01	 	4	0.25	 	2	0.13	 	1590	99.13	 	14	0.87	 	1604	2.31
Grass Valley		                               	0	0	 	2	1.21	 	7	4.24	 	0	0	 	23	13.94	 	102	61.82	 	0	0	 	5	3.03	 	25	15.15	 	1	0.61	 	0	0	 	165	98.8	 	2	1.2	 	167	0.24
Greenmount		                                 	25	1.42	 	7	0.4	 	118	6.71	 	1	0.06	 	622	35.38	 	865	49.2	 	4	0.23	 	84	4.78	 	25	1.42	 	2	0.11	 	5	0.28	 	1758	98.43	 	28	1.57	 	1786	2.57
Henley Brook		                               	6	0.68	 	1	0.11	 	52	5.88	 	2	0.23	 	222	25.08	 	543	61.36	 	2	0.23	 	36	4.07	 	20	2.26	 	1	0.11	 	0	0	 	885	97.57	 	22	2.43	 	907	1.31
Herne Hill		                                 	12	1.03	 	1	0.09	 	53	4.55	 	2	0.17	 	432	37.08	 	594	50.99	 	2	0.17	 	36	3.09	 	27	2.32	 	4	0.34	 	2	0.17	 	1165	95.26	 	58	4.74	 	1223	1.76
High Wycombe		                               	24	0.77	 	3	0.1	 	136	4.34	 	12	0.38	 	1421	45.37	 	1384	44.19	 	1	0.03	 	117	3.74	 	21	0.67	 	8	0.26	 	5	0.16	 	3132	98.27	 	55	1.73	 	3187	4.59
High Wycombe South		                         	18	1.29	 	3	0.22	 	61	4.39	 	2	0.14	 	607	43.67	 	627	45.11	 	1	0.07	 	56	4.03	 	14	1.01	 	0	0	 	1	0.07	 	1390	98.51	 	21	1.49	 	1411	2.03
Kalamunda		                                  	54	1.43	 	12	0.32	 	290	7.67	 	5	0.13	 	909	24.03	 	2261	59.78	 	3	0.08	 	199	5.26	 	37	0.98	 	6	0.16	 	6	0.16	 	3782	98.59	 	54	1.41	 	3836	5.53
Kalamunda North		                            	28	2.01	 	4	0.29	 	95	6.81	 	2	0.14	 	343	24.57	 	824	59.03	 	2	0.14	 	70	5.01	 	23	1.65	 	2	0.14	 	3	0.21	 	1396	98.45	 	22	1.55	 	1418	2.04
Karragullen		                                	0	0	 	0	0	 	4	2.11	 	1	0.53	 	36	18.95	 	142	74.74	 	0	0	 	6	3.16	 	1	0.53	 	0	0	 	0	0	 	190	98.96	 	2	1.04	 	192	0.28
Koongamia		                                  	19	2.42	 	1	0.13	 	61	7.76	 	0	0	 	386	49.11	 	270	34.35	 	0	0	 	38	4.83	 	9	1.15	 	2	0.25	 	0	0	 	786	96.44	 	29	3.56	 	815	1.17
Lesmurdie		                                  	46	1.39	 	7	0.21	 	206	6.21	 	1	0.03	 	721	21.75	 	2082	62.81	 	3	0.09	 	188	5.67	 	50	1.51	 	5	0.15	 	6	0.18	 	3315	98.4	 	54	1.6	 	3369	4.85
Lower Chittering		                           	2	1.87	 	2	1.87	 	4	3.74	 	0	0	 	20	18.69	 	67	62.62	 	0	0	 	4	3.74	 	8	7.48	 	0	0	 	0	0	 	107	99.07	 	1	0.93	 	108	0.16
Mahogany Creek		                             	3	0.53	 	2	0.35	 	41	7.22	 	1	0.18	 	160	28.17	 	308	54.23	 	1	0.18	 	32	5.63	 	19	3.35	 	0	0	 	1	0.18	 	568	98.44	 	9	1.56	 	577	0.83
Maida Vale		                                 	25	1.23	 	5	0.25	 	94	4.62	 	0	0	 	604	29.71	 	1201	59.08	 	1	0.05	 	73	3.59	 	17	0.84	 	8	0.39	 	5	0.25	 	2033	98.17	 	38	1.83	 	2071	2.98
Midland Central		                            	5	0.88	 	6	1.06	 	39	6.89	 	1	0.18	 	197	34.81	 	285	50.35	 	0	0	 	18	3.18	 	11	1.94	 	2	0.35	 	2	0.35	 	566	97.42	 	15	2.58	 	581	0.84
Mooliabeenie		                               	0	0	 	1	1.52	 	2	3.03	 	0	0	 	12	18.18	 	42	63.64	 	0	0	 	0	0	 	9	13.64	 	0	0	 	0	0	 	66	97.06	 	2	2.94	 	68	0.1
Mount Helena		                               	19	1.58	 	4	0.33	 	125	10.4	 	1	0.08	 	350	29.12	 	600	49.92	 	1	0.08	 	51	4.24	 	49	4.08	 	1	0.08	 	1	0.08	 	1202	99.17	 	10	0.83	 	1212	1.75
Muchea		                                     	7	2.41	 	2	0.69	 	12	4.14	 	0	0	 	85	29.31	 	157	54.14	 	1	0.34	 	6	2.07	 	18	6.21	 	2	0.69	 	0	0	 	290	97.64	 	7	2.36	 	297	0.43
Mundaring		                                  	29	1.57	 	4	0.22	 	177	9.58	 	1	0.05	 	554	29.99	 	945	51.16	 	0	0	 	84	4.55	 	49	2.65	 	2	0.11	 	2	0.11	 	1847	98.19	 	34	1.81	 	1881	2.71
Northam		                                    	30	1.32	 	8	0.35	 	92	4.06	 	4	0.18	 	900	39.68	 	983	43.34	 	3	0.13	 	77	3.4	 	169	7.45	 	2	0.09	 	0	0	 	2268	96.96	 	71	3.04	 	2339	3.37
Northam East		                               	10	1.21	 	2	0.24	 	34	4.11	 	1	0.12	 	289	34.9	 	397	47.95	 	1	0.12	 	38	4.59	 	56	6.76	 	0	0	 	0	0	 	828	97.64	 	20	2.36	 	848	1.22
Northam North		                              	3	0.44	 	2	0.29	 	21	3.1	 	2	0.29	 	401	59.14	 	183	26.99	 	1	0.15	 	23	3.39	 	39	5.75	 	1	0.15	 	2	0.29	 	678	97.27	 	19	2.73	 	697	1
Parkerville		                                	11	1.1	 	5	0.5	 	130	12.95	 	4	0.4	 	277	27.59	 	502	50	 	2	0.2	 	47	4.68	 	25	2.49	 	0	0	 	1	0.1	 	1004	99.41	 	6	0.59	 	1010	1.46
Perth (Pearce)		                             	1	1.15	 	0	0	 	14	16.09	 	0	0	 	25	28.74	 	42	48.28	 	0	0	 	5	5.75	 	0	0	 	0	0	 	0	0	 	87	98.86	 	1	1.14	 	88	0.13
Pickering Brook		                            	6	1.6	 	1	0.27	 	26	6.95	 	1	0.27	 	77	20.59	 	239	63.9	 	0	0	 	15	4.01	 	8	2.14	 	1	0.27	 	0	0	 	374	96.64	 	13	3.36	 	387	0.56
Roleystone		                                 	54	1.86	 	15	0.52	 	286	9.85	 	6	0.21	 	848	29.21	 	1495	51.5	 	1	0.03	 	159	5.48	 	30	1.03	 	3	0.1	 	6	0.21	 	2903	98.51	 	44	1.49	 	2947	4.25
Sawyers Valley		                             	7	1.99	 	1	0.28	 	40	11.4	 	0	0	 	99	28.21	 	159	45.3	 	0	0	 	28	7.98	 	16	4.56	 	0	0	 	1	0.28	 	351	98.32	 	6	1.68	 	357	0.51
Stoneville		                                 	13	1.54	 	0	0	 	86	10.19	 	1	0.12	 	224	26.54	 	445	52.73	 	1	0.12	 	49	5.81	 	24	2.84	 	0	0	 	1	0.12	 	844	98.83	 	10	1.17	 	854	1.23
Stratton		                                   	9	1.75	 	1	0.19	 	34	6.6	 	0	0	 	246	47.77	 	175	33.98	 	0	0	 	38	7.38	 	9	1.75	 	1	0.19	 	2	0.39	 	515	98.66	 	7	1.34	 	522	0.75
Swan View		                                  	44	1.14	 	8	0.21	 	202	5.24	 	6	0.16	 	1730	44.91	 	1602	41.59	 	3	0.08	 	217	5.63	 	34	0.88	 	3	0.08	 	3	0.08	 	3852	97.77	 	88	2.23	 	3940	5.68
