Senate - 1993 Election: Tasmania																																					
First Preference Votes by Group																																					
By Polling Place																																					


Bass (66119)																																					

	   		Group Total HAR			Group Total ALP			Group Total TST			Group Total TG			Group Total CTA			Group Total NLP			Group Total DEM			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Lileah		                                     	2	2.82	 	16	22.54	 	1	1.41	 	6	8.45	 	0	0	 	0	0	 	2	2.82	 	44	61.97	 	0	0	 	71	98.61	 	1	1.39	 	72	0.12
Malonga Park		                               	135	12.45	 	374	34.5	 	10	0.92	 	45	4.15	 	9	0.83	 	0	0	 	15	1.38	 	494	45.57	 	2	0.18	 	1084	98.55	 	16	1.45	 	1100	1.77
Marrawah		                                   	21	10.45	 	42	20.9	 	1	0.5	 	21	10.45	 	1	0.5	 	0	0	 	5	2.49	 	110	54.73	 	0	0	 	201	97.57	 	5	2.43	 	206	0.33
Mawbanna		                                   	3	4.41	 	11	16.18	 	1	1.47	 	1	1.47	 	1	1.47	 	0	0	 	1	1.47	 	50	73.53	 	0	0	 	68	100	 	0	0	 	68	0.11
Melrose		                                    	17	10.18	 	46	27.54	 	6	3.59	 	12	7.19	 	2	1.2	 	0	0	 	1	0.6	 	83	49.7	 	0	0	 	167	94.35	 	10	5.65	 	177	0.28
Montagu		                                    	6	4.92	 	25	20.49	 	1	0.82	 	5	4.1	 	0	0	 	0	0	 	1	0.82	 	84	68.85	 	0	0	 	122	98.39	 	2	1.61	 	124	0.2
Montello		                                   	186	10.95	 	954	56.15	 	13	0.77	 	44	2.59	 	10	0.59	 	1	0.06	 	18	1.06	 	472	27.78	 	1	0.06	 	1699	97.09	 	51	2.91	 	1750	2.81
Moorleah		                                   	18	9.23	 	64	32.82	 	0	0	 	21	10.77	 	0	0	 	0	0	 	6	3.08	 	86	44.1	 	0	0	 	195	98.48	 	3	1.52	 	198	0.32
Natone		                                     	9	5.23	 	72	41.86	 	3	1.74	 	13	7.56	 	1	0.58	 	0	0	 	4	2.33	 	70	40.7	 	0	0	 	172	97.18	 	5	2.82	 	177	0.28
Nietta		                                     	6	6.52	 	37	40.22	 	1	1.09	 	8	8.7	 	2	2.17	 	0	0	 	2	2.17	 	36	39.13	 	0	0	 	92	98.92	 	1	1.08	 	93	0.15
Nixon Street		                               	335	10.96	 	1199	39.23	 	14	0.46	 	110	3.6	 	17	0.56	 	2	0.07	 	43	1.41	 	1332	43.59	 	4	0.13	 	3056	98.33	 	52	1.67	 	3108	4.99
North Motton		                               	21	8.57	 	52	21.22	 	4	1.63	 	26	10.61	 	1	0.41	 	0	0	 	4	1.63	 	136	55.51	 	1	0.41	 	245	95.7	 	11	4.3	 	256	0.41
Penguin		                                    	193	8.72	 	909	41.08	 	20	0.9	 	128	5.78	 	10	0.45	 	4	0.18	 	33	1.49	 	916	41.39	 	0	0	 	2213	97.75	 	51	2.25	 	2264	3.63
Preston		                                    	9	7.56	 	23	19.33	 	0	0	 	6	5.04	 	2	1.68	 	0	0	 	2	1.68	 	77	64.71	 	0	0	 	119	95.97	 	5	4.03	 	124	0.2
Redpa		                                      	6	6.59	 	17	18.68	 	0	0	 	9	9.89	 	0	0	 	0	0	 	2	2.2	 	57	62.64	 	0	0	 	91	100	 	0	0	 	91	0.15
Reekara		                                    	9	7.03	 	25	19.53	 	0	0	 	7	5.47	 	0	0	 	0	0	 	1	0.78	 	86	67.19	 	0	0	 	128	99.22	 	1	0.78	 	129	0.21
Riana		                                      	20	9.48	 	42	19.91	 	3	1.42	 	10	4.74	 	0	0	 	0	0	 	2	0.95	 	134	63.51	 	0	0	 	211	96.79	 	7	3.21	 	218	0.35
Ridgley		                                    	73	9.54	 	304	39.74	 	2	0.26	 	29	3.79	 	7	0.92	 	0	0	 	3	0.39	 	346	45.23	 	1	0.13	 	765	97.95	 	16	2.05	 	781	1.25
Rocky Cape		                                 	32	8.16	 	111	28.32	 	3	0.77	 	18	4.59	 	0	0	 	2	0.51	 	8	2.04	 	217	55.36	 	1	0.26	 	392	98	 	8	2	 	400	0.64
Savage River		                               	11	4.14	 	185	69.55	 	2	0.75	 	5	1.88	 	0	0	 	0	0	 	5	1.88	 	55	20.68	 	3	1.13	 	266	98.52	 	4	1.48	 	270	0.43
Sisters Beach		                              	22	10	 	75	34.09	 	2	0.91	 	29	13.18	 	4	1.82	 	0	0	 	6	2.73	 	82	37.27	 	0	0	 	220	98.65	 	3	1.35	 	223	0.36
Sisters Creek		                              	20	8.23	 	59	24.28	 	2	0.82	 	20	8.23	 	3	1.23	 	1	0.41	 	3	1.23	 	135	55.56	 	0	0	 	243	97.2	 	7	2.8	 	250	0.4
Smithton		                                   	225	8.92	 	899	35.63	 	19	0.75	 	51	2.02	 	18	0.71	 	2	0.08	 	38	1.51	 	1268	50.26	 	3	0.12	 	2523	96.85	 	82	3.15	 	2605	4.18
Somerset		                                   	300	12.47	 	1111	46.2	 	11	0.46	 	87	3.62	 	15	0.62	 	5	0.21	 	24	1	 	851	35.38	 	1	0.04	 	2405	96.74	 	81	3.26	 	2486	3.99
South Riana		                                	17	8.99	 	49	25.93	 	3	1.59	 	5	2.65	 	1	0.53	 	1	0.53	 	4	2.12	 	109	57.67	 	0	0	 	189	97.93	 	4	2.07	 	193	0.31
Sprent		                                     	10	5	 	54	27	 	1	0.5	 	18	9	 	1	0.5	 	0	0	 	4	2	 	111	55.5	 	1	0.5	 	200	98.52	 	3	1.48	 	203	0.33
Spreyton		                                   	124	10.77	 	434	37.71	 	10	0.87	 	55	4.78	 	6	0.52	 	0	0	 	25	2.17	 	496	43.09	 	1	0.09	 	1151	97.13	 	34	2.87	 	1185	1.9
Stanley		                                    	45	10	 	197	43.78	 	2	0.44	 	30	6.67	 	3	0.67	 	0	0	 	8	1.78	 	165	36.67	 	0	0	 	450	96.98	 	14	3.02	 	464	0.74
Stowport		                                   	24	8.76	 	89	32.48	 	3	1.09	 	17	6.2	 	0	0	 	0	0	 	7	2.55	 	134	48.91	 	0	0	 	274	96.82	 	9	3.18	 	283	0.45
Sulphur Creek		                              	53	10.66	 	165	33.2	 	5	1.01	 	25	5.03	 	1	0.2	 	2	0.4	 	4	0.8	 	242	48.69	 	0	0	 	497	98.03	 	10	1.97	 	507	0.81
Togari		                                     	14	16.47	 	18	21.18	 	0	0	 	4	4.71	 	0	0	 	0	0	 	0	0	 	49	57.65	 	0	0	 	85	95.51	 	4	4.49	 	89	0.14
Trowutta		                                   	1	1.1	 	36	39.56	 	1	1.1	 	4	4.4	 	0	0	 	0	0	 	2	2.2	 	47	51.65	 	0	0	 	91	100	 	0	0	 	91	0.15
Turners Beach		                              	79	11.3	 	215	30.76	 	9	1.29	 	30	4.29	 	15	2.15	 	0	0	 	14	2	 	337	48.21	 	0	0	 	699	97.9	 	15	2.1	 	714	1.15
Ulverstone		                                 	163	10.87	 	494	32.96	 	21	1.4	 	62	4.14	 	15	1	 	2	0.13	 	12	0.8	 	727	48.5	 	3	0.2	 	1499	96.27	 	58	3.73	 	1557	2.5
Ulverstone East		                            	95	8.96	 	337	31.79	 	7	0.66	 	37	3.49	 	12	1.13	 	2	0.19	 	15	1.42	 	555	52.36	 	0	0	 	1060	97.88	 	23	2.12	 	1083	1.74
