House of Representatives - 1996 Election 							
Swing to ALP 							
By Division by Polling Place							

New South Wales							

Banks							

Polling Place	Formal	MELHAM		SPARKES		Swing	Exh
Hilltop Road	3706	2065	55.87	1631	44.13	-9.38	10
Hyde Park	2220	1271	57.38	944	42.62	-8.91	5
Lidcombe	3737	2451	65.75	1277	34.25	-4.88	9
Lidcombe South	1578	963	61.1	613	38.9	-5.92	2
Merrylands	1654	924	55.86	730	44.14	-9.39	0
Merrylands East	1843	1014	55.29	820	44.71	-7.93	9
Merrylands North	2124	1228	57.9	893	42.1	-7.73	3
Merrylands West	612	330	54.1	280	45.9	-16.21	2
Monterey Street	354	219	62.04	134	37.96	-14.61	1
Noller Park	682	355	52.28	324	47.72	-5.78	3
Parramatta (Reid)	589	381	64.8	207	35.2	-3.53	1
Pendle Hill (Reid)	962	536	55.72	426	44.28	-10.3	0
Pendle Hill Central (Reid)	174	75	43.1	99	56.9	-8.97	0
Pitt Row	1218	675	55.69	537	44.31	-3.97	6
Prison Mobile Team 1	0	0	0	0	0	-	0
Rawson	882	526	59.64	356	40.36	-9.67	0
Regents Park	1288	770	59.92	515	40.08	-10.22	3
Rosehill	1117	667	60.09	443	39.91	-6.81	7
Sherwood Grange (Reid)	1151	596	51.78	555	48.22	-15.04	0
Silverwater	881	618	70.47	259	29.53	-2.71	4
Special Hospital Team 1	159	85	53.46	74	46.54	-	0
Special Hospital Team 2	68	26	38.24	42	61.76	-	0
St Johns Auburn	785	472	60.36	310	39.64	-10.88	3
Sydney (Reid)	63	40	65.57	21	34.43	-2.61	2
Wentworthville	2425	1386	57.34	1031	42.66	-7.68	8
Wentworthville South	744	400	53.98	341	46.02	-10.9	3
Westmead (Reid)	2233	1250	56	982	44	-10.04	1
ABSENT	4054	2411	59.66	1630	40.34	-	13
POSTAL	1830	1093	59.86	733	40.14	-	4
PRE POLL	2113	1246	59.14	861	40.86	-	6
PROVISIONAL	493	345	69.98	148	30.02	-	0
Division Total	71582	43837	61.38	27580	38.62	-7.42	165


Richmond							

Polling Place	Formal	NEWELL		ANTHONY		Swing	Exh
	Votes	(ALP)	%	(NP)	%	%	
Alstonville	3158	984	31.3	2160	68.7	-6.72	14
Ballina	3732	1497	40.29	2219	59.71	-11.85	16
Ballina East	2470	897	36.48	1562	63.52	-8.55	11
Ballina Hospital	1904	767	40.54	1125	59.46	-10.85	12
Ballina West	1490	580	38.98	908	61.02	-8.48	2
Bangalow	1019	449	44.72	555	55.28	-8.34	15
Banora Point	2843	987	34.83	1847	65.17	-8.43	9
Banora Point South	839	378	45.05	461	54.95	-1.84	0
Banora Point West	976	354	36.34	620	63.66	-13.36	2
Bilambil	1293	515	39.89	776	60.11	-12.37	2
Billinudgel	676	321	48.13	346	51.87	-12.92	9
Bray Park	1091	405	37.36	679	62.64	-11.76	7
Brunswick Heads	1652	853	51.67	798	48.33	-4.38	1
Burringbar	476	244	51.59	229	48.41	-3.97	3
Byron Bay	1915	1200	63.69	684	36.31	-1.3	31
Byron Bay South	1700	956	56.84	726	43.16	-7.37	18
Cabarita Beach	1294	623	48.18	670	51.82	-11.27	1
Carool	123	45	36.59	78	63.41	-16.36	0
Chillingham	267	95	35.58	172	64.42	-10.57	0
Chinderah	863	415	48.26	445	51.74	-16.62	3
Condong	752	289	38.53	461	61.47	-7.64	2
Coorabell	147	63	43.15	83	56.85	-8.48	1
Crabbes Creek	129	56	43.75	72	56.25	-16.25	1
Crystal Creek	266	96	36.09	170	63.91	-6.12	0
Cudgen	478	204	42.77	273	57.23	-10.68	1
Dungay	285	99	35.11	183	64.89	-2.78	3
Duranbah	88	29	33.72	57	66.28	-2.2	2
Durrumbul	131	77	59.69	52	40.31	-2.14	2
Empire Vale	196	76	38.78	120	61.22	-13.01	0
Eureka	207	67	32.84	137	67.16	-8.67	3
Ewingsdale	480	196	41.61	275	58.39	-5.83	9
Federal	343	207	61.61	129	38.39	-2.63	7
Fernleigh	230	69	30.4	158	69.6	-10.91	3
Fingal Head	285	144	50.53	141	49.47	-9.06	0
Goonengerry	169	120	73.17	44	26.83	2.5	5
Greenbank	3515	1438	40.99	2070	59.01	-10.17	7
Hastings Point	349	186	53.76	160	46.24	-1.84	3
Kingscliff	2413	1097	45.56	1311	54.44	-10.96	5
Kunghur	207	97	48.02	105	51.98	-7.35	5
Lennox Head	2071	869	42.25	1188	57.75	-7.98	14
Main Arm Upper	132	100	78.12	28	21.87	-1.88	4
Mcleans Ridges	86	28	32.94	57	67.06	-2.48	1
Meerschaum Vale	220	69	31.65	149	68.35	-8.77	2
Mooball	214	89	41.59	125	58.41	-5.78	0
Mullumbimby	2548	1227	48.75	1290	51.25	-5.35	31
Murwillumbah	2663	1159	43.65	1496	56.35	-9.51	8
Murwillumbah Hospital	147	79	53.74	68	46.26	1.62	0
Murwillumbah South	1027	443	43.26	581	56.74	-8.21	3
Newrybar	468	193	41.77	269	58.23	-6.44	6
Ocean Shores	1394	676	48.77	710	51.23	-5.38	8
Piggabeen	508	184	36.29	323	63.71	-6.93	1
Pimlico	132	28	21.37	103	78.63	-10.88	1
Pottsville Beach	1206	541	44.97	662	55.03	-9.36	3
Rous Mill	379	94	24.8	285	75.2	-9.26	0
Special Hospital Team 1	97	29	29.9	68	70.1	-	0
Special Hospital Team 2	119	54	45.38	65	54.62	-	0
Special Hospital Team 3	101	38	37.62	63	62.38	-	0
Special Hospital Team 4	75	35	46.67	40	53.33	-	0
Stokers Siding	229	122	53.51	106	46.49	-9.31	1
Sydney (Richmond)	22	14	63.64	8	36.36	-23.86	0
Terranora	994	316	32.02	671	67.98	-6.11	7
Tintenbar	412	128	31.14	283	68.86	-8.97	1
Tumbulgum	381	192	50.53	188	49.47	-5.33	1
Tweed Heads	2756	1189	43.16	1566	56.84	-9.38	1
Tweed Heads South	3280	1580	48.23	1696	51.77	-11.78	4
Tyalgum	399	162	41.12	232	58.88	-4.05	5
Uki	657	364	55.83	288	44.17	-5.53	5
Wardell	591	255	43.29	334	56.71	-8.08	2
Wilsons Creek	162	118	75.16	39	24.84	-8.99	5
Wollongbar	1377	382	27.88	988	72.12	-12.5	7
ABSENT	2428	1255	52.16	1151	47.84	-	22
POSTAL	2729	967	35.5	1757	64.5	-	5
PRE POLL	5439	2354	43.44	3065	56.56	-	20
PROVISIONAL	1053	600	57.42	445	42.58	-	8
Division Total	76947	33108	43.25	43448	56.75	-8.53	391


Riverina							

Polling Place	Formal	COLLIGAN		HICKS		Swing	Exh
	Votes	(ALP)	%	(NP)	%	%	
Ardlethan	491	102	20.77	389	79.23	-3.02	0
Ashmont	2423	958	39.55	1464	60.45	-10.45	1
Ballingal	348	116	33.33	232	66.67	-1.54	0
Barellan	465	76	16.38	388	83.62	-2.16	1
Beckom	113	2	1.77	111	98.23	-2.31	0
Beelbangera	306	71	23.28	234	76.72	-5.34	1
Bethungra	136	45	33.09	91	66.91	-0.25	0
Bilbul	203	32	15.76	171	84.24	-4.04	0
Binya	91	5	5.49	86	94.51	-0.12	0
Booligal	78	21	26.92	57	73.08	-4.16	0
Carrathool	99	27	27.27	72	72.73	-1.05	0
Charles Sturt University	176	48	27.27	128	72.73	2.8	0
Coleambally	667	105	15.74	562	84.26	-1.1	0
Collingullie	179	19	10.61	160	89.39	-5.86	0
Coolamon	978	231	23.62	747	76.38	-6.77	0
Currawarna	140	27	19.29	113	80.71	-10.13	0
Darlington Point	653	260	39.82	393	60.18	-7.71	0
Driver	1162	284	24.48	876	75.52	-7	2
Euberta	102	2	1.98	99	98.02	-3.38	1
Forest Hill	919	265	28.84	654	71.16	-11.45	0
Galore	116	8	6.9	108	93.1	-6.21	0
Ganmain	433	78	18.1	353	81.9	-5.62	2
Goolgowi	290	41	14.14	249	85.86	-4.94	0
Gralee	950	289	30.55	657	69.45	-6.07	4
Griffith	2497	777	31.17	1716	68.83	-6.85	4
Griffith East	1092	266	24.38	825	75.62	-8.95	1
Griffith North	1841	530	28.8	1310	71.2	-7.81	1
Griffith West	1492	535	35.86	957	64.14	-6.42	0
Grong Grong	183	57	31.15	126	68.85	0.16	0
Gumly Gumly	322	100	31.06	222	68.94	-6.44	0
Hanwood	870	196	22.55	673	77.45	-5.49	1
Hay	1432	506	35.41	923	64.59	-5.75	3
Hay Hospital	554	219	39.53	335	60.47	-6.3	0
Hillston	863	233	27.03	629	72.97	-6.8	1
Illabo	166	12	7.23	154	92.77	-6.51	0
Junee	2312	985	42.68	1323	57.32	-13.46	4
Kapooka	118	26	22.03	92	77.97	-5.55	0
Kooringal	2849	797	28.04	2045	71.96	-8.81	7
Ladysmith	258	37	14.34	221	85.66	-5.74	0
Lake Albert	2283	546	23.97	1732	76.03	-9.07	5
Lake Wyangan	443	90	20.36	352	79.64	-10.41	1
Leeton	1867	648	34.75	1217	65.25	-6.4	2
Leeton Hospital	499	138	27.66	361	72.34	-11.83	0
Mangoplah	244	15	6.15	229	93.85	-2.11	0
Marrar	246	29	11.79	217	88.21	-9.52	0
Matong	162	21	12.96	141	87.04	-7.32	0
Maude	69	14	20.29	55	79.71	-5.94	0
Merriwagga	95	16	16.84	79	83.16	-6.16	0
Milbrulong	80	14	17.5	66	82.5	5.5	0
Mirrool	113	3	2.65	110	97.35	-3.01	0
Mount Austin	2678	877	32.82	1795	67.18	-10.33	6
Murrami	132	15	11.36	117	88.64	0.18	0
Naradhan	51	6	11.76	45	88.24	-12.31	0
Narrandera	1915	643	33.59	1271	66.41	-10.03	1
Narrandera East	724	234	32.37	489	67.63	-10.78	1
Narrandera West	453	171	37.83	281	62.17	-0.33	1
Parkview	773	329	42.56	444	57.44	-6.16	0
Pleasant Hills	91	7	7.69	84	92.31	-2.9	0
Rankins Springs	183	45	24.59	138	75.41	0.29	0
San Isidore	185	55	29.73	130	70.27	-15.98	0
Special Hospital Team 1	104	35	33.65	69	66.35	-	0
Special Hospital Team 2	32	18	56.25	14	43.75	-	0
Special Hospital Team 3	85	38	44.71	47	55.29	-	0
Special Hospital Team 4	207	57	27.54	150	72.46	-	0
Special Hospital Team 5	33	7	21.21	26	78.79	-	0
Sturt	2288	622	27.33	1654	72.67	-10.07	12
Sydney (Riverina)	40	18	45	22	55	14.35	0
Tallimba	143	6	4.2	137	95.8	-1.8	0
Tatton	512	72	14.09	439	85.91	-9.03	1
The Rock	659	210	31.87	449	68.13	-10.67	0
Tolland	1973	657	33.35	1313	66.65	-11.95	3
Turvey Park	2019	639	31.84	1368	68.16	-13.17	12
Ungarie	377	87	23.08	290	76.92	2.62	0
Uranquinty	457	131	28.73	325	71.27	-12.52	1
Wagga Wagga	1378	457	33.41	911	66.59	-11.12	10
Wagga Wagga High	579	202	35.01	375	64.99	-7.19	2
Wagga Wagga Hospital	245	61	25	183	75	-20.11	1
Wagga Wagga North	1538	466	30.44	1065	69.56	-10.78	7
Wagga Wagga South	1668	557	33.59	1101	66.41	-10.34	10
Wagga Wagga West	2216	701	31.71	1510	68.29	-12.12	5
Wamoon	256	68	26.56	188	73.44	-5.57	0
Wantabadgery	98	11	11.22	87	88.78	-26.03	0
Weethalle	276	41	14.86	235	85.14	-1.57	0
West Wyalong	1757	342	19.46	1415	80.53	-7.64	0
West Wyalong Hospital	106	29	27.36	77	72.64	4.28	0
Whitton	411	132	32.12	279	67.88	-4.83	0
Willimbong	409	145	35.54	263	64.46	-4.24	1
Wyalong	517	128	25	384	75	-10.56	5
Yanco	691	236	34.3	452	65.7	-9.86	3
Yenda	980	235	24	744	76	-7.23	1
Yerong Creek	248	35	14.11	213	85.89	-8.96	0
Yoogali	611	158	25.99	450	74.01	-3.63	3
ABSENT	3644	962	26.55	2662	73.45	-	20
POSTAL	1833	415	22.71	1412	77.29	-	6
PRE POLL	3615	965	26.77	2640	73.23	-	10
PROVISIONAL	604	237	39.24	367	60.76	-	0
Division Total	74262	21484	28.99	52614	71.01	-8.08	164


Robertson							

Polling Place	Formal	WALKER		LLOYD		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Avoca Beach	1778	742	42.06	1022	57.94	-8.52	14
Booker Bay	542	264	48.89	276	51.11	-11.43	2
Copacabana	1149	581	50.83	562	49.17	-6.49	6
Davistown	1356	651	48.22	699	51.78	-11.28	6
Empire Bay	2366	953	40.43	1404	59.57	-8.61	9
Erina	3911	1677	42.97	2226	57.03	-9.04	8
Erina Heights (Robertson)	798	300	37.69	496	62.31	-8.41	2
Ettalong	3619	1877	52.04	1730	47.96	-10.76	12
Ettalong South	510	304	59.84	204	40.16	-7.5	2
Ettalong West	2616	1506	57.66	1106	42.34	-10.65	4
Gosford	1265	563	44.68	697	55.32	-6.01	5
Gosford East	2897	1152	39.9	1735	60.1	-7.26	10
Gosford West	1102	470	42.84	627	57.16	-6.77	5
Green Point	956	312	32.74	641	67.26	-7.83	3
Hardys Bay	289	119	41.32	169	58.68	-7.73	1
Henry Kendall	581	289	49.91	290	50.09	-11.37	2
Kariong	2745	1114	40.81	1616	59.19	-9.95	15
Kincumber	2911	1253	43.25	1644	56.75	-14.73	14
Kincumber Central	1327	606	45.77	718	54.23	-12.22	3
Macmasters Beach	423	168	40	252	60	-10.24	3
Mangrove Mountain	452	108	24	342	76	-11.7	2
Mooney Mooney	274	118	43.54	153	56.46	-12.86	3
Mount White	92	35	38.04	57	61.96	-0.92	0
Narara South	1447	589	40.93	850	59.07	-11.07	8
Ocean Beach	2536	1350	53.53	1172	46.47	-10.09	14
Patonga	197	106	53.81	91	46.19	-10.6	0
Pearl Beach	340	146	43.45	190	56.55	-8.92	4
Peats Ridge	262	65	25	195	75	-6.62	2
Point Clare	2531	1124	44.55	1399	55.45	-8.21	8
Pretty Beach	659	327	49.7	331	50.3	-11.18	1
Saratoga	1777	745	42	1029	58	-10.56	3
Somersby	506	139	27.47	367	72.53	-5.65	0
Special Hospital Team 1	227	80	35.4	146	64.6	-	1
Special Hospital Team 2	195	95	48.72	100	51.28	-	0
Special Hospital Team 3	105	43	40.95	62	59.05	-	0
Spencer	157	76	48.41	81	51.59	-11.35	0
Springfield	1518	814	53.73	701	46.27	-8.23	3
Sydney (Robertson)	75	34	45.33	41	54.67	-20.46	0
Terrigal	2687	1045	39.07	1630	60.93	-7.89	12
Terrigal Central	687	235	34.26	451	65.74	-8.05	1
Umina Bullion St.	1378	751	54.86	618	45.14	-9.53	9
Umina Central	2455	1349	55.11	1099	44.89	-10.81	7
Umina Mall	1835	993	54.56	827	45.44	-11.9	15
Woy Woy	3102	1610	52.15	1477	47.85	-10.85	15
Woy Woy Bay	274	139	51.48	131	48.52	-5.29	4
Woy Woy South	1098	559	51.14	534	48.86	-13.91	5
Wyoming (Robertson)	1378	669	48.8	702	51.2	-4.13	7
ABSENT	4397	2148	49.05	2231	50.95	-	18
POSTAL	2454	1103	45.13	1341	54.87	-	10
PRE POLL	3409	1550	45.68	1843	54.32	-	16
PROVISIONAL	644	384	59.81	258	40.19	-	2
Division Total	72289	33430	46.44	38563	53.56	-9.12	296


Shortland							

Polling Place	Formal	MORRIS		PARKER		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Belmont	1379	815	59.27	560	40.73	-11.79	4
Belmont Central	1593	999	62.87	590	37.13	-6.27	4
Belmont North	1904	1194	62.94	703	37.06	-9.21	7
Belmont West	963	529	55.28	428	44.72	-11.14	6
Blacksmiths	924	661	71.61	262	28.39	-7.63	1
Budgewoi	2061	1199	58.35	856	41.65	-10.25	6
Budgewoi Central	1087	588	54.19	497	45.81	-12.5	2
Buff Point	1481	835	56.53	642	43.47	-7.95	4
Catherine Hill Bay	149	121	82.31	26	17.69	-0.94	2
Caves Beach	2564	1508	59.02	1047	40.98	-12.46	9
Chain Valley Bay	551	311	56.96	235	43.04	-5.33	5
Charlestown	2474	1363	55.52	1092	44.48	-8.49	19
Charlestown East	1005	570	57.11	428	42.89	-9.55	7
Charlestown South	1063	577	54.49	482	45.51	-8.39	4
Dudley	1426	781	55.04	638	44.96	-7.2	7
Eleebana	3035	1236	40.94	1783	59.06	-8.04	16
Floraville	1298	765	59.21	527	40.79	-7.2	6
Gateshead	1635	1049	64.43	579	35.57	-8.84	7
Gateshead West	1278	1005	78.82	270	21.18	-7.46	3
Gwandalan	1172	647	55.49	519	44.51	-10.67	6
Hillsborough (Shortland)	1000	511	51.41	483	48.59	-10.74	6
Jewells	1956	1059	54.39	888	45.61	-9.68	9
Kahibah	2381	1350	56.87	1024	43.13	-7.39	7
Lake Munmorah	2220	1228	55.52	984	44.48	-13.52	8
Mannering Park	1354	803	59.57	545	40.43	-8.29	6
Marks Point	1389	834	60.17	552	39.83	-8.98	3
Mount Hutton (Shortland)	1328	761	57.61	560	42.39	-10.83	7
Norah Head	812	413	51.05	396	48.95	-8.39	3
Nords Wharf	467	277	59.44	189	40.56	-3.17	1
Pelican	796	585	73.77	208	26.23	-9.03	3
Redhead	1713	1015	59.53	690	40.47	-10.65	8
San Remo (Shortland)	1810	1057	58.46	751	41.54	-15.03	2
Special Hospital Team 1	108	66	61.11	42	38.89	-	0
Special Hospital Team 2	151	81	53.64	70	46.36	-	0
Special Hospital Team 3	129	81	62.79	48	37.21	-	0
Summerland Point	953	512	54.18	433	45.82	-7.16	8
Swansea	2015	1357	67.51	653	32.49	-12.2	5
Swansea North	917	718	78.47	197	21.53	-1.22	2
Sydney (Shortland)	24	7	29.17	17	70.83	-28.9	0
Tingira Heights	678	373	55.18	303	44.82	-14.82	2
Toukley	1729	881	51.1	843	48.9	-11.24	5
Toukley East	2178	1170	53.84	1003	46.16	-9.18	5
Valentine	2523	1147	45.66	1365	54.34	-9.04	11
Valentine East	693	344	49.93	345	50.07	-4.7	4
Warners Bay Central (Shortland)	274	153	56.04	120	43.96	-9.49	1
Whitebridge	1244	698	56.79	531	43.21	-10.1	15
Windale	2257	1800	80.11	447	19.89	-7.92	10
ABSENT	4073	2260	55.89	1784	44.11	-	29
POSTAL	1991	1196	60.16	792	39.84	-	3
PRE POLL	3251	1850	57.05	1393	42.95	-	8
PROVISIONAL	483	320	66.39	162	33.61	-	1
Division Total	71939	41660	58.15	29982	41.85	-9.18	297


Sydney							

Polling Place	Formal	BALDWIN		FUSSELL		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Alexandria	1349	920	68.86	416	31.14	-11.49	13
Annandale North (Sydney)	1463	910	63.24	529	36.76	-10.3	24
Bald Rock	363	226	62.95	133	37.05	-8.9	4
Balmain	2328	1429	62.24	867	37.76	-9.61	32
Balmain East	924	547	60.04	364	39.96	-8.79	13
Balmain Hospital	217	133	62.44	80	37.56	-10.74	4
Barcom	544	341	63.62	195	36.38	-4.43	8
Beaconsfield	350	237	69.3	105	30.7	-9.43	8
Birchgrove	1873	1166	63.03	684	36.97	-5.83	23
Blackfriars	377	268	71.85	105	28.15	-3.29	4
Camperdown (Sydney)	365	262	72.58	99	27.42	-8.7	4
Centennial Park	570	242	42.68	325	57.32	-7.67	3
Chippendale	888	624	71.48	249	28.52	-7.06	15
Darlinghurst	923	661	72.24	254	27.76	-6.02	8
Darlington	1014	724	72.76	271	27.24	-5.53	19
East Sydney	1815	1217	67.76	579	32.24	-5.38	19
Erskineville	1940	1405	73.56	505	26.44	-6.33	30
Flinders	900	619	69.47	272	30.53	-1.26	9
Forest Lodge	1108	745	68.54	342	31.46	-6.21	21
Gardeners Road	442	263	59.77	177	40.23	-12.34	2
Gladstone Park	1628	1084	67.08	532	32.92	-4.88	12
Glebe	1069	740	69.81	320	30.19	-6.65	9
Glebe East	1614	1188	74.67	403	25.33	-4.92	23
Glebe North	886	580	67.13	284	32.87	-10.34	22
Glenmore	2476	1233	50.1	1228	49.9	-5.25	15
Holdsworth	1122	374	33.51	742	66.49	-6.65	6
Hyde Park	426	266	63.18	155	36.82	-6.37	5
Kings Cross	1569	1086	69.84	469	30.16	-0.87	14
Lilyfield	1492	919	62.18	559	37.82	-7.7	14
Lilyfield North	911	518	58.4	369	41.6	-12.72	24
Lord Howe Island	180	74	41.57	104	58.43	-9.55	2
Millers Point	651	452	70.08	193	29.92	-8.25	6
Newtown East	444	325	74.71	110	25.29	-6.11	9
Newtown North (Sydney)	1572	1205	78.2	336	21.8	-3.48	31
Paddington	1070	494	46.56	567	53.44	-6.31	9
Paddington South	1777	969	54.99	793	45.01	-6.23	15
Plunkett Street	964	640	66.88	317	33.12	-8.4	7
Potts Point	2821	1603	57.19	1200	42.81	1.93	18
Prince Alfred Hospital	337	193	57.78	141	42.22	-13.4	3
Pyrmont	484	310	64.32	172	35.68	-7.44	2
Rachel Forster Hospital	1283	909	71.52	362	28.48	-7.62	12
Redfern	1636	1172	71.99	456	28.01	-3.33	8
Redfern East	1928	1397	72.84	521	27.16	-4.97	10
Rosebery	1008	553	54.97	453	45.03	-13.96	2
Roslyn Gardens	1297	650	50.47	638	49.53	-2.53	9
Royal Hospital	582	355	61.42	223	38.58	-2.79	4
Rozelle	2631	1700	65.61	891	34.39	-5.55	40
South Sydney Hospital	83	54	65.85	28	34.15	-10.43	1
Special Hospital Team 1	117	45	38.46	72	61.54	-	0
Special Hospital Team 2	93	67	72.04	26	27.96	-	0
Special Hospital Team 3	66	23	34.85	43	65.15	-	0
St Vincents Hospital	186	102	56.35	79	43.65	-6.57	5
Surry Hills	433	324	75.17	107	24.83	-3.09	2
Surry Hills North	1114	836	75.66	269	24.34	2.54	9
Surry Hills South	949	671	71.31	270	28.69	-4.13	8
Sydney (Sydney)	1742	1000	58.11	721	41.89	-1.49	21
Toxteth	1099	679	63.16	396	36.84	-8.97	24
Ultimo	713	481	67.94	227	32.06	-6.29	5
Waterloo	1011	759	75.75	243	24.25	-4.04	9
Zetland	147	111	77.08	33	22.92	-1.76	3
ABSENT	5838	3365	58.24	2413	41.76	-	60
POSTAL	2160	1311	60.89	842	39.11	-	7
PRE POLL	3331	2006	60.57	1306	39.43	-	19
PROVISIONAL	1281	941	73.98	331	26.02	-	9
Division Total	73974	46703	63.8	26495	36.2	-5.67	776


Throsby							

Polling Place	Formal	HOLLIS		GALEA		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Albion Park	4240	2734	64.85	1482	35.15	-2.24	24
Albion Park Rail	3966	2709	68.56	1242	31.44	-4.09	15
Barrack Heights	1755	1303	74.71	441	25.29	-1.83	11
Berkeley	2033	1525	75.23	502	24.77	-0.65	6
Berkeley South	711	544	77.05	162	22.95	-2.12	5
Berkeley West	1832	1428	78.16	399	21.84	-2.6	5
Brownsville	1419	853	60.41	559	39.59	-5.14	7
Cringila	1398	1182	84.85	211	15.15	-1.63	5
Dapto	2719	1804	66.52	908	33.48	-7.06	7
Farmborough Road	3008	1906	63.81	1081	36.19	-4.93	21
Figtree (Throsby)	568	363	64.13	203	35.87	-7.39	2
Hayes Park	2320	1440	62.39	868	37.61	-5.08	12
Kemblawarra	979	755	77.28	222	22.72	-1.08	2
Koonawarra	2784	2113	76.17	661	23.83	-4	10
Lake Heights	1296	952	73.74	339	26.26	0.29	5
Lake Illawarra High	2303	1567	68.34	726	31.66	-5.58	10
Lakelands	1774	1171	66.23	597	33.77	-7.16	6
Marshall Mount	122	28	22.95	94	77.05	-14.89	0
Mount Brown	2048	1249	61.17	793	38.83	-6.38	6
Mount Warrigal	2499	1730	69.84	747	30.16	-4.84	22
Oak Flats	3069	2027	66.35	1028	33.65	-7.06	14
Oak Flats East	1132	760	67.38	368	32.62	-6.01	4
Port Kembla	1514	1167	77.59	337	22.41	-1.02	10
Port Kembla Central	915	711	77.88	202	22.12	0.64	2
Port Kembla Hospital	74	49	66.22	25	33.78	-18.4	0
Primbee	997	687	69.05	308	30.95	-3.51	2
Shellharbour	2320	1520	65.86	788	34.14	-4.1	12
Special Hospital Team 1	134	66	49.25	68	50.75	-	0
Sydney (Throsby)	26	15	57.69	11	42.31	-14.31	0
Unanderra Central (Throsby)	585	374	64.04	210	35.96	-6.75	1
Warilla	1702	1257	74.25	436	25.75	-6.73	9
Warilla East	1047	694	66.54	349	33.46	-6.26	4
Warilla High	2658	1828	69.24	812	30.76	-3.68	18
Warilla North	1911	1542	80.9	364	19.1	-3.71	5
Warrawong	1864	1504	80.77	358	19.23	-2.16	2
Warrawong Central	1393	1118	80.37	273	19.63	-6.97	2
West Dapto	1171	764	65.41	404	34.59	-7.05	3
Windang	1523	1033	67.92	488	32.08	-3.02	2
ABSENT	2639	1683	63.99	947	36.01	-	9
POSTAL	1434	937	65.39	496	34.61	-	1
PRE POLL	2061	1341	65.29	713	34.71	-	7
PROVISIONAL	681	533	78.38	147	21.62	-	1
Division Total	70624	48966	69.62	21369	30.38	-4.41	289


Warringah							

Polling Place	Formal	HERAGHTY		ABBOTT		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Allambie	677	275	40.92	397	59.08	-10.64	5
Allambie Heights	3229	1124	35.05	2083	64.95	-8.36	22
Balgowlah	1548	431	28.08	1104	71.92	-5.61	13
Balgowlah Heights	2549	574	22.64	1961	77.36	-2.72	14
Beacon Hill (Warringah)	1186	406	34.67	765	65.33	-7.15	15
Beauty Point	1356	272	20.18	1076	79.82	-4.1	8
Brookvale	1659	706	42.68	948	57.32	-7.26	5
Cremorne South (Warringah)	405	126	31.42	275	68.58	-2.25	4
Curl Curl	2358	1007	42.92	1339	57.08	-6.06	12
Dee Why Central (Warringah)	276	128	46.72	146	53.28	-1.84	2
Fairlight	1629	547	33.83	1070	66.17	-2.28	12
Forestville	3975	1255	31.8	2692	68.2	-7.59	28
Forestville East	893	273	30.64	618	69.36	-6	2
Frenchs Forest (Warringah)	1408	456	32.59	943	67.41	-5.8	9
Freshwater	981	418	42.87	557	57.13	-8.58	6
Harbord	3275	1394	42.96	1851	57.04	-7.67	30
Killarney Heights	1703	449	26.51	1245	73.49	-3.09	9
Manly	4269	1768	41.68	2474	58.32	-4.39	27
Manly Central	1104	498	45.27	602	54.73	-3.88	4
Manly Hospital	284	109	38.65	173	61.35	3.23	2
Manly Vale	2358	977	41.79	1361	58.21	-7.27	20
Manly West	2087	852	41.02	1225	58.98	-5.18	10
Middle Harbour	1519	438	28.89	1078	71.11	-2.94	3
Mosman	5363	1579	29.63	3750	70.37	-2.85	34
Mosman Bay	2765	706	25.69	2042	74.31	-1.61	17
Mosman West	648	192	29.81	452	70.19	-8.53	4
North Balgowlah	1810	655	36.43	1143	63.57	-8.6	12
North Manly	981	353	36.09	625	63.91	-7.38	3
Queenscliff	1578	598	38.28	964	61.72	-8.86	16
Seaforth	2710	868	32.24	1824	67.76	-4.82	18
Seaforth East	1898	552	29.27	1334	70.73	-3.42	12
Special Hospital Team 1	34	8	23.53	26	76.47	-	0
Special Hospital Team 2	66	17	25.76	49	74.24	-	0
Special Hospital Team 3	156	25	16.03	131	83.97	-	0
Special Hospital Team 4	197	44	22.34	153	77.66	-	0
Spit Junction	1464	501	34.41	955	65.59	0.84	8
Sydney (Warringah)	103	56	54.9	46	45.1	22.04	1
Wingala	1951	818	42.23	1119	57.77	-10.94	14
ABSENT	4296	1607	37.7	2656	62.3	-	33
POSTAL	2039	601	29.5	1436	70.5	-	2
PRE POLL	3753	1258	33.72	2473	66.28	-	22
PROVISIONAL	607	287	47.67	315	52.33	-	5
Division Total	73147	25208	34.68	47476	65.32	-5.06	463


Watson							

Polling Place	Formal	McLEAY		LARTER		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Bardwell Park	986	438	44.51	546	55.49	-3.77	2
Belmore Central	1915	1332	69.63	581	30.37	-2.94	2
Belmore North	2287	1636	71.75	644	28.25	-5.5	7
Belmore South	1977	1332	67.51	641	32.49	-3.21	4
Beverly Hills	1424	644	45.26	779	54.74	-5.37	1
Beverly Hills South	1218	683	56.21	532	43.79	-4.45	3
Bexley North	1166	596	51.2	568	48.8	-2.53	2
