House of Representatives -1996 Election 				
National List of Candidates				

Candidate	Party		Division	State
"GAYNOR, Jeremy Peter"	ALP		Boothby	SA
"GEAR, George"	ALP		Canning	WA
"GENT, Alan"	IND		Brand	WA
"GEORGIOU, Petro"	LP		Kooyong	VIC
"GIBSON, Garrie"	ALP		Moreton	QLD
"GILBERT, Frank"	ALP		Dawson	QLD
"GILFILLAN, Sarah"	DEM		Moore	WA
"GILLESPIE-JONES, Margaret"	AFI		Melbourne Ports	VIC
"GIULIANO, Alfie"	DEM		Reid	NSW
"GLOVER, Les"	LP		Franklin	TAS
"GODFREY, Lyn"	DEM		Charlton	NSW
"GOODALE, Bob"	GWA		Brand	WA
"GOODWIN, Kevin Patrick"	IND		McPherson	QLD
"GRACE, Elizabeth"	LP		Lilley	QLD
"GRACE, Ted"	ALP		Fowler	NSW
"GRAHAM, Anne"	DEM		Gwydir	NSW
"GRAHAM, Ken"	DEM		Parkes	NSW
"GRAHAM, Murray"	CTA		Deakin	VIC
"GRAHAM, Tim"	GRN		Adelaide	SA
"GRAY, Alan"	IND		Ballarat	VIC
"GRAY-GRZESZKIEWICZ, Jerzy"	IND		Canberra	ACT
"GREEN, Jenny"	LP		Chifley	NSW
"GREEN, Neville John"	ALP		Groom	QLD
"GRIFFIN, Alan"	ALP		Bruce	VIC
"GRIFFIN, Brendan"	IND		Maribyrnong	VIC
"GRIFFITH, Susan"	NLP		Bendigo	VIC
"GRIGG, Brian"	CTA		Lindsay	NSW
"GRIGG, Shirley"	CTA		Chifley	NSW
"GRIVAS, Ilias"	ALP		Higgins	VIC
"GRUMMET, Richard"	DEM		Melbourne	VIC
"GUENTNER, Joe"	DEM		Fremantle	WA
"GWIN, Chris"	GRN		Fisher	QLD
"GYORGY, Stephan"	IND		O'Connor	WA

"HAILEY, Michael"	ALP		Aston	VIC
"HALE, John"	TG		Franklin	TAS
"HALLIDAY, Martha"	IND		Hughes	NSW
"HALVERSON, Bob"	LP		Casey	VIC
"HANCOCK, Vicki"	IND		Moore	WA
"HANSON, Pauline"	LP		Oxley	QLD
"HAPP, Di"	DEM		Wentworth	NSW
"HARCOURT, Pierre"	DEM		Kooyong	VIC
"HARDGRAVE, Gary"	LP		Moreton	QLD
"HARGREAVES, Louise Jayne"	NLP		Chifley	NSW
"HASTIE, John R"	DEM		La Trobe	VIC
"HAWKER, David"	LP		Wannon	VIC
"HAY, Kerry Paul"	IND		Petrie	QLD
"HAYNES, Suzi"	NLP		Kingsford-Smith	NSW
"HAYNES, Tom"	NLP		Grayndler	NSW
"HEARNE, Penny"	LP		Brand	WA
"HEBBARD, Leigh"	DEM		Lalor	VIC
"HEGARTY, Norman W"	AIP		Longman	QLD
"HELLING, Rita"	GRN		Barker	SA
"HELLYER, Ronald"	DEM		Forrest	WA
"HELPER, Joe"	ALP		Bendigo	VIC
"HEMSLEY, John"	GWA		O'Connor	WA
"HENDERSON, John"	ALP		Fisher	QLD
"HENZELL, Marjorie"	ALP		Capricornia	QLD
"HERAGHTY, Julie"	ALP		Warringah	NSW
"HERBERT, Kim"	GWA		Stirling	WA
"HEWSON, Tony"	ALP		Hume	NSW
"HICKS, Colin H T"	AIP		Fairfax	QLD
"HICKS, Noel"	NP		Riverina	NSW
"HIGGINS, Paul"	AGV		Dunkley	VIC
"HIGGINSON, Sue"	GRN		Page	NSW
"HILBERT, Bryan"	IND		Swan	WA
"HILL, Cheryl"	LP		Fraser	ACT
"HILL, Richard"	IND		Shortland	NSW
"HILL, Rick"	LP		Port Adelaide	SA
"HILL, Tony"	DEM		Makin	SA
"HINE, Doug"	GRN		Lowe	NSW
"HIPWOOD, Michael"	DEM		Lilley	QLD
"HIRSH, Carolyn"	ALP		La Trobe	VIC
"HOCKEY, Joe"	LP		North Sydney	NSW
"HOLDING, Clyde"	ALP		Melbourne Ports	VIC
"HOLLAND, Gary"	IND		Griffith	QLD
