House of Representatives:  Election 2001 - National				
List of Candidates				
				
Candidate	Party		Division	State
"LAMING, Andrew"	LP		Bowman	QLD
"LAMPIS, Edda"			Page	NSW
"LANE, Max"			Lowe	NSW
"LANGENAUER, Jason"	DEM		Ryan	QLD
"LANTRY, Jasmine"	DEM		Macarthur	NSW
"LARNER, Caroline"	CEC		Bass	TAS
"LATHAM, Mark"	ALP		Werriwa	NSW
"LAU, John"	UNI		Barton	NSW
"LAVELLE, Ashley"			Brisbane	QLD
"LAW, May"	UNI		Bennelong	NSW
"LAWLER, Ann"	CEC		Hunter	NSW
"LAWN, Barrie"	HAN		Newcastle	NSW
"LAWRENCE, Carmen"	ALP		Fremantle	WA
"LEACH, Lorraine"	GRN		Casey	VIC
"LEDERMANN, Uwe"	CTA		Reid	NSW
"LEE, Michael"	ALP		Dobell	NSW
"LEVER, John"	NP		Capricornia	QLD
"LEVICK, Ray"	CTA		Aston	VIC
"LEWIS, Paul"	HAN		McPherson	QLD
