House of Representatives - 2001 Election: Western Australia																																																																								
First Preference Votes and TCP																																																																								
By Candidate by Polling Place																																																																								

O'Connor (83118)																																																																								
		# TUCKEY			MCNABB			PESTANA			GYORGY			BROWN			DAVIS			ITURBIDE			MCLEAN			SELBY			PENDLEBURY			FORMAL			INFORMAL			TOTAL																																		
		Wilson			Alistair			Carole			Stephan			Vicki			Sandy			Terry Kay			Ron			Donna			Mark Hamilton												Two Candidate Preferred																															
		LP			CTA			DEM			IND			NP			GWA			CEC			HAN			LFF			ALP												# TUCKEY LP			 PENDLEBURY ALP																												
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																											
	Manypeaks	105	55.85		4	2.13		3	1.60		1	0.53		14	7.45		11	5.85		1	0.53		30	15.96		2	1.06		17	9.04		188	94.47		11	5.53		199	0.25		148	78.72		40	21.28																											
	Mayanup	68	57.63		3	2.54		0	0.00		0	0.00		22	18.64		1	0.85		0	0.00		17	14.41		1	0.85		6	5.08		118	95.93		5	4.07		123	0.16		107	90.68		11	9.32																											
	Meckering	87	64.93		1	0.75		1	0.75		3	2.24		6	4.48		1	0.75		0	0.00		12	8.96		1	0.75		22	16.42		134	94.37		8	5.63		142	0.18		102	76.12		32	23.88																											
	Middleton Beach	571	51.96		23	2.09		29	2.64		9	0.82		63	5.73		95	8.64		10	0.91		85	7.73		21	1.91		193	17.56		1099	94.33		66	5.67		1165	1.47		745	67.79		354	32.21																											
	Miling	96	82.05		0	0.00		2	1.71		0	0.00		3	2.56		2	1.71		0	0.00		10	8.55		0	0.00		4	3.42		117	92.86		9	7.14		126	0.16		109	93.16		8	6.84																											
	Mingenew	193	62.87		4	1.30		4	1.30		2	0.65		19	6.19		5	1.63		1	0.33		34	11.07		1	0.33		44	14.33		307	91.37		29	8.63		336	0.42		238	77.52		69	22.48																											
	Mogumber	45	68.18		0	0.00		0	0.00		0	0.00		1	1.52		3	4.55		0	0.00		10	15.15		0	0.00		7	10.61		66	98.51		1	1.49		67	0.08		54	81.82		12	18.18																											
	Moonyoonooka	122	59.22		3	1.46		2	0.97		1	0.49		14	6.80		1	0.49		1	0.49		39	18.93		0	0.00		23	11.17		206	94.93		11	5.07		217	0.27		175	84.95		31	15.05																											
	Moora	516	56.95		4	0.44		12	1.32		7	0.77		47	5.19		17	1.88		1	0.11		95	10.49		5	0.55		202	22.30		906	92.73		71	7.27		977	1.23		650	71.74		256	28.26																											
	Morawa	252	61.61		4	0.98		7	1.71		1	0.24		18	4.40		7	1.71		1	0.24		56	13.69		1	0.24		62	15.16		409	94.68		23	5.32		432	0.55		319	78.00		90	22.00																											
	Mount Barker	602	43.85		40	2.91		26	1.89		13	0.95		142	10.34		69	5.03		6	0.44		168	12.24		26	1.89		281	20.47		1373	92.96		104	7.04		1477	1.86		918	66.86		455	33.14																											
	Mount Tarcoola	1000	57.50		29	1.67		36	2.07		15	0.86		34	1.96		59	3.39		2	0.12		156	8.97		23	1.32		385	22.14		1739	93.70		117	6.30		1856	2.34		1212	69.70		527	30.30																											
	Mount Walker	25	46.30		2	3.70		0	0.00		0	0.00		13	24.07		1	1.85		0	0.00		9	16.67		0	0.00		4	7.41		54	91.53		5	8.47		59	0.07		48	88.89		6	11.11																											
	Mukinbudin	222	60.66		30	8.20		5	1.37		1	0.27		35	9.56		5	1.37		1	0.27		44	12.02		0	0.00		23	6.28		366	96.06		15	3.94		381	0.48		325	88.80		41	11.20																											
	Munglinup (O'Connor)	41	60.29		0	0.00		0	0.00		0	0.00		5	7.35		3	4.41		0	0.00		7	10.29		1	1.47		11	16.18		68	95.77		3	4.23		71	0.09		52	76.47		16	23.53																											
	Muradup	109	59.56		1	0.55		1	0.55		0	0.00		31	16.94		3	1.64		0	0.00		28	15.30		0	0.00		10	5.46		183	97.86		4	2.14		187	0.24		163	89.07		20	10.93																											
	Napier	84	54.55		5	3.25		3	1.95		0	0.00		17	11.04		7	4.55		2	1.30		11	7.14		2	1.30		23	14.94		154	96.25		6	3.75		160	0.20		110	71.43		44	28.57																											
	Narembeen	179	51.14		8	2.29		0	0.00		4	1.14		76	21.71		3	0.86		1	0.29		33	9.43		2	0.57		44	12.57		350	94.09		22	5.91		372	0.47		290	82.86		60	17.14																											
	Narrikup	102	48.34		14	6.64		5	2.37		1	0.47		32	15.17		9	4.27		0	0.00		30	14.22		3	1.42		15	7.11		211	89.79		24	10.21		235	0.30		172	81.52		39	18.48																											
	Newdegate	142	57.96		2	0.82		2	0.82		1	0.41		46	18.78		2	0.82		0	0.00		37	15.10		0	0.00		13	5.31		245	93.87		16	6.13		261	0.33		218	88.98		27	11.02																											
	New Norcia	86	74.78		1	0.87		2	1.74		0	0.00		3	2.61		1	0.87		0	0.00		7	6.09		2	1.74		13	11.30		115	95.83		5	4.17		120	0.15		97	84.35		18	15.65																											
	Nungarin	70	52.24		0	0.00		2	1.49		2	1.49		24	17.91		1	0.75		0	0.00		20	14.93		1	0.75		14	10.45		134	94.37		8	5.63		142	0.18		113	84.33		21	15.67																											
	Nyabing	95	59.38		3	1.88		2	1.25		0	0.00		29	18.13		2	1.25		1	0.63		21	13.12		1	0.63		6	3.75		160	97.56		4	2.44		164	0.21		140	87.50		20	12.50																											
	Ongerup	82	50.62		1	0.62		0	0.00		2	1.23		32	19.75		6	3.70		2	1.23		24	14.81		2	1.23		11	6.79		162	95.29		8	4.71		170	0.21		134	82.72		28	17.28																											
	Parryville	66	37.29		0	0.00		2	1.13		1	0.56		7	3.95		31	17.51		0	0.00		20	11.30		17	9.60		33	18.64		177	92.19		15	7.81		192	0.24		96	54.24		81	45.76																											
	Perenjori	106	57.30		1	0.54		3	1.62		0	0.00		16	8.65		4	2.16		0	0.00		31	16.76		1	0.54		23	12.43		185	96.35		7	3.65		192	0.24		143	77.30		42	22.70																											
	Perth (O'Connor)	33	45.83		0	0.00		5	6.94		1	1.39		8	11.11		5	6.94		0	0.00		5	6.94		0	0.00		15	20.83		72	97.30		2	2.70		74	0.09		44	61.11		28	38.89																											
	Pingaring	32	40.00		0	0.00		0	0.00		0	0.00		31	38.75		0	0.00		3	3.75		10	12.50		1	1.25		3	3.75		80	94.12		5	5.88		85	0.11		74	92.50		6	7.50																											
	Pingrup	56	49.56		1	0.88		0	0.00		0	0.00		31	27.43		0	0.00		0	0.00		16	14.16		0	0.00		9	7.96		113	97.41		3	2.59		116	0.15		97	85.84		16	14.16																											
	Pithara	42	51.85		1	1.23		0	0.00		0	0.00		16	19.75		1	1.23		0	0.00		13	16.05		0	0.00		8	9.88		81	96.43		3	3.57		84	0.11		67	82.72		14	17.28																											
	Porongurup	41	32.80		1	0.80		2	1.60		0	0.00		30	24.00		16	12.80		1	0.80		14	11.20		6	4.80		14	11.20		125	93.28		9	6.72		134	0.17		87	69.60		38	30.40																											
