House of Representatives - 2001 Election: Western Australia							
Swing to ALP							
By Division by Polling Place							
							
Brand							
							
Polling Place	Formal	BEAZLEY		THOMAS		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Burracoppin	66	9	13.64	57	86.36	0.65	
Carnarvon	1384	601	43.42	783	56.58	-3.11	
Carnarvon East	1088	411	37.78	677	62.22	-3.25	
Cascade	82	4	4.88	78	95.12	-6.66	
Castletown	1901	610	32.09	1291	67.91	0.77	
Condingup	226	48	21.24	178	78.76	2.49	
Cooke Point	495	228	46.06	267	53.94	-3.68
Coolgardie	389	207	53.21	182	46.79	-1.73
Coral Bay	84	30	35.71	54	64.29	0.54
Cue	141	63	44.68	78	55.32	-3.93
Dalyup	111	11	9.91	100	90.09	-4.13
Dampier	751	378	50.33	373	49.67	-0.02
Denham	334	116	34.73	218	65.27	-2.23
Derby	1171	634	54.14	537	45.86	-5.08
Esperance	2276	756	33.22	1520	66.78	-1.33
Exmouth	1014	386	38.07	628	61.93	-4.40
Fitzroy Crossing	376	263	69.95	113	30.05	9.63
Gascoyne Junction	49	13	26.53	36	73.47	-10.97
Gibson	172	40	23.26	132	76.74	2.11
Grass Patch	98	10	10.20	88	89.80	-5.33
Halls Creek	448	296	66.07	152	33.93	-3.04
Horrocks	87	25	28.74	62	71.26	-4.95
Jigalong	76	51	67.11	25	32.89	-6.63
Kalbarri	661	233	35.25	428	64.75	0.35
Kalgoorlie	2661	1117	41.98	1544	58.02	-4.47
Kalgoorlie East	183	124	67.76	59	32.24	-4.31
Kalgoorlie Eastern Goldfields	732	363	49.59	369	50.41	0.76
Kalgoorlie Halfway	1610	779	48.39	831	51.61	1.53
Kalgoorlie Hannans	806	329	40.82	477	59.18	3.83
Kalgoorlie North	1542	640	41.50	902	58.50	0.19
Kalgoorlie Regional Hospital	672	262	38.99	410	61.01	-5.42
Kalgoorlie Somerville	723	326	45.09	397	54.91	-5.67
Kalgoorlie Wallace Park	417	179	42.93	238	57.07	-6.75
Kambalda	351	215	61.25	136	38.75	9.57
