Senate - 2001 Election: Western Australia																																																		5														
First Preference Votes by Group 																																																																
By Polling Place																																																																
Forrest (82248)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Sealinks		1	0.09		2	0.17		1	0.09		9	0.77		1	0.09		603	51.80		35	3.01		0	0.00		74	6.36		43	3.69		0	0.00		2	0.17		0	0.00		9	0.77		40	3.44		282	24.23		62	5.33		0	0.00		1164	97.00		36	3.00		1200	1.52
	South Bunbury		1	0.07		1	0.07		1	0.07		10	0.73		6	0.44		545	39.99		17	1.25		1	0.07		92	6.75		44	3.23		0	0.00		4	0.29		0	0.00		14	1.03		65	4.77		465	34.12		96	7.04		1	0.07		1363	95.58		63	4.42		1426	1.81
	South West Health Campus		0	0.00		0	0.00		0	0.00		7	1.80		0	0.00		158	40.72		8	2.06		0	0.00		35	9.02		13	3.35		0	0.00		2	0.52		0	0.00		4	1.03		22	5.67		119	30.67		20	5.15		0	0.00		388	97.24		11	2.76		399	0.51
	Vasse		5	0.59		0	0.00		1	0.12		13	1.55		1	0.12		430	51.13		35	4.16		1	0.12		92	10.94		22	2.62		0	0.00		0	0.00		0	0.00		3	0.36		38	4.52		157	18.67		43	5.11		0	0.00		841	97.23		24	2.77		865	1.10
	Villa Maria		1	0.23		0	0.00		0	0.00		4	0.92		1	0.23		219	50.23		15	3.44		0	0.00		32	7.34		19	4.36		1	0.23		2	0.46		0	0.00		3	0.69		16	3.67		108	24.77		15	3.44		0	0.00		436	94.37		26	5.63		462	0.59
	Walpole		2	0.64		0	0.00		0	0.00		3	0.96		0	0.00		130	41.80		13	4.18		0	0.00		40	12.86		7	2.25		0	0.00		0	0.00		1	0.32		1	0.32		5	1.61		74	23.79		35	11.25		0	0.00		311	94.82		17	5.18		328	0.42
	Wilson Park		2	0.48		1	0.24		0	0.00		1	0.24		0	0.00		74	17.83		7	1.69		0	0.00		58	13.98		6	1.45		0	0.00		2	0.48		0	0.00		10	2.41		4	0.96		244	58.80		6	1.45		0	0.00		415	94.10		26	5.90		441	0.56
	Witchcliffe		0	0.00		0	0.00		0	0.00		3	0.80		0	0.00		170	45.21		11	2.93		0	0.00		41	10.90		8	2.13		0	0.00		0	0.00		0	0.00		2	0.53		23	6.12		57	15.16		61	16.22		0	0.00		376	96.41		14	3.59		390	0.49
	Withers		8	0.40		1	0.05		1	0.05		13	0.64		1	0.05		648	32.00		26	1.28		2	0.10		216	10.67		44	2.17		2	0.10		11	0.54		1	0.05		18	0.89		79	3.90		854	42.17		99	4.89		1	0.05		2025	96.61		71	3.39		2096	2.66
	Wollaston		1	0.12		1	0.12		1	0.12		13	1.51		1	0.12		367	42.67		11	1.28		2	0.23		74	8.60		27	3.14		0	0.00		2	0.23		0	0.00		6	0.70		33	3.84		269	31.28		51	5.93		1	0.12		860	94.71		48	5.29		908	1.15
	Yallingup		0	0.00		0	0.00		0	0.00		6	1.08		0	0.00		228	41.23		10	1.81		1	0.18		34	6.15		16	2.89		0	0.00		1	0.18		0	0.00		3	0.54		40	7.23		100	18.08		114	20.61		0	0.00		553	98.05		11	1.95		564	0.71
